ID	Protein_copy_number	mRNA_copy_number	Protein_half-life_h	mRNA_half-life_h
ENSMUST00000000001	63610.68	40.29	22.55	9.26
ENSMUST00000000058	92100.23	22.05	212.6	9.96
ENSMUST00000115459	92100.23	22.05	212.6	9.96
ENSMUST00000000090	96367.63	96.75	149.52	12.24
ENSMUST00000000137	197465.48	39.94	82.2	11.47
ENSMUST00000000153	740.46	29.19	12.61	6.59
ENSMUST00000000175	2418.4	47.31	93.66	9.09
ENSMUST00000000199	21478.88	21.91	22.91	9.47
ENSMUST00000000264	9270.42	9.11	113.28	7.87
ENSMUST00000111214	9270.42	9.11	113.28	7.87
ENSMUST00000000266	6140.59	15.76	47.36	6.79
ENSMUST00000000287	155186.86	65.7	1274.4	17.2
ENSMUST00000100630	155186.86	65.7	1274.4	17.2
ENSMUST00000000291	1495.64	6.99	7.93	5.43
ENSMUST00000000304	12898.53	16.06	102.14	11.11
ENSMUST00000000335	58423.32	34.01	69.09	10.96
ENSMUST00000115609	58423.32	34.01	69.09	10.96
ENSMUST00000000348	51285.85	34.2	90.51	9.49
ENSMUST00000000365	33163.76	13.75	112.93	5.07
ENSMUST00000115115	33163.76	13.75	112.93	5.07
ENSMUST00000000394	11465.46	34.71	62.73	7.46
ENSMUST00000093343	11465.46	34.71	62.73	7.46
ENSMUST00000000451	898.08	29.53	20.01	7.86
ENSMUST00000112949	898.08	29.53	20.01	7.86
ENSMUST00000000466	12669.86	77.06	5.75	11.07
ENSMUST00000000505	172656.72	75.46	24.14	9.3
ENSMUST00000000590	57777.68	36.45	85.57	13.2
ENSMUST00000061352	57777.68	36.45	85.57	13.2
ENSMUST00000000642	38767.77	15.91	53.64	4.31
ENSMUST00000000645	10168.46	13.8	109.85	15.2
ENSMUST00000092886	10168.46	13.8	109.85	15.2
ENSMUST00000092887	10168.46	13.8	109.85	15.2
ENSMUST00000108375	10168.46	13.8	109.85	15.2
ENSMUST00000108376	10168.46	13.8	109.85	15.2
ENSMUST00000000727	23746.97	NA	43.56	12.5
ENSMUST00000000756	1642475.49	NA	173.25	6.32
ENSMUST00000079761	1642475.49	NA	173.25	6.32
ENSMUST00000000759	13834.29	NA	24.34	11.74
