"Ensembl_TransID","Probe"
"ENSMUST00000000001",10501265
"ENSMUST00000000003",10605475
"ENSMUST00000000010",10380622
"ENSMUST00000000028",10438378
"ENSMUST00000000049",10382189
"ENSMUST00000000058",10536494
"ENSMUST00000000080",10403352
"ENSMUST00000000090",10585706
"ENSMUST00000000095",10379936
"ENSMUST00000000122",10390175
"ENSMUST00000000127",10381738
"ENSMUST00000000128",10376490
"ENSMUST00000000129",10446351
"ENSMUST00000000137",10384522
"ENSMUST00000000153",10535273
"ENSMUST00000000163",10437195
"ENSMUST00000000175",10593356
"ENSMUST00000000186",10542028
"ENSMUST00000000187",10542023
"ENSMUST00000000188",10548105
"ENSMUST00000000194",10379530
"ENSMUST00000000199",10471129
"ENSMUST00000000201",10422537
"ENSMUST00000000208",10379636
"ENSMUST00000000221",10557111
"ENSMUST00000000253",10471833
"ENSMUST00000000254",10542129
"ENSMUST00000000260",10404885
"ENSMUST00000000266",10360398
"ENSMUST00000000287",10389719
"ENSMUST00000000291",10378497
"ENSMUST00000000299",10364262
"ENSMUST00000000305",10368566
"ENSMUST00000000312",10575052
"ENSMUST00000000314",10479274
"ENSMUST00000000317",10475324
"ENSMUST00000000326",10387797
"ENSMUST00000000329",10387821
"ENSMUST00000000342",10379524
"ENSMUST00000000348",10501649
"ENSMUST00000000349",10495549
"ENSMUST00000000356",10426921
"ENSMUST00000000365",10599335
"ENSMUST00000000369",10477140
"ENSMUST00000000384",10370446
"ENSMUST00000000388",10374185
"ENSMUST00000000395",10441254
"ENSMUST00000000412",10607848
"ENSMUST00000000421",10516602
"ENSMUST00000000445",10372226
"ENSMUST00000000449",10540923
"ENSMUST00000000466",10514221
"ENSMUST00000000500",10430660
"ENSMUST00000000505",10534974
"ENSMUST00000000542",10426999
"ENSMUST00000000543",10427026
"ENSMUST00000000544",10427015
"ENSMUST00000000572",10530406
"ENSMUST00000000579",10382328
"ENSMUST00000000590",10585301
"ENSMUST00000000594",10374442
"ENSMUST00000000608",10376208
"ENSMUST00000000619",10559853
"ENSMUST00000000641",10545608
"ENSMUST00000000642",10545588
"ENSMUST00000000687",10453260
"ENSMUST00000000696",10517165
"ENSMUST00000000707",10539263
"ENSMUST00000000717",10398100
"ENSMUST00000000718",10398111
"ENSMUST00000000724",10445909
"ENSMUST00000000727",10486057
"ENSMUST00000000755",10582466
"ENSMUST00000000759",10582474
"ENSMUST00000000769",10388430
"ENSMUST00000000793",10421351
"ENSMUST00000000804",10598723
"ENSMUST00000000808",10572497
"ENSMUST00000000809",10579442
"ENSMUST00000000828",10539933
"ENSMUST00000000834",10359434
"ENSMUST00000000894",10488785
"ENSMUST00000000895",10488771
"ENSMUST00000000896",10488797
"ENSMUST00000000904",10434211
"ENSMUST00000000910",10470412
"ENSMUST00000000924",10370037
"ENSMUST00000000939",10525677
"ENSMUST00000000940",10526345
"ENSMUST00000000958",10429607
"ENSMUST00000000964",10544746
"ENSMUST00000000984",10419744
"ENSMUST00000000985",10415030
"ENSMUST00000001002",10379740
"ENSMUST00000001008",10389231
"ENSMUST00000001036",10591446
"ENSMUST00000001040",10583529
"ENSMUST00000001042",10493770
"ENSMUST00000001043",10499847
"ENSMUST00000001047",10493803
"ENSMUST00000001051",10493820
"ENSMUST00000001055",10392177
"ENSMUST00000001059",10392183
"ENSMUST00000001079",10502165
"ENSMUST00000001080",10385709
"ENSMUST00000001081",10385699
"ENSMUST00000001109",10529410
"ENSMUST00000001115",10405464
"ENSMUST00000001122",10388834
"ENSMUST00000001126",10379184
"ENSMUST00000001127",10379204
"ENSMUST00000001130",10379200
"ENSMUST00000001147",10370210
"ENSMUST00000001156",10603860
"ENSMUST00000001179",10370127
"ENSMUST00000001184",10545921
"ENSMUST00000001185",10545940
"ENSMUST00000001202",10599435
"ENSMUST00000001240",10370471
"ENSMUST00000001242",10370413
"ENSMUST00000001253",10399854
"ENSMUST00000001258",10446074
"ENSMUST00000001279",10562181
"ENSMUST00000001304",10402708
"ENSMUST00000001319",10576911
"ENSMUST00000001326",10427214
"ENSMUST00000001327",10432957
"ENSMUST00000001384",10583809
"ENSMUST00000001416",10458398
"ENSMUST00000001419",10455007
"ENSMUST00000001439",10478572
"ENSMUST00000001451",10493210
"ENSMUST00000001455",10493177
"ENSMUST00000001456",10499348
"ENSMUST00000001479",10390352
"ENSMUST00000001480",10390381
"ENSMUST00000001484",10390328
"ENSMUST00000001485",10380732
"ENSMUST00000001497",10420165
"ENSMUST00000001507",10527920
"ENSMUST00000001513",10456400
"ENSMUST00000001520",10576354
"ENSMUST00000001534",10391508
"ENSMUST00000001536",10400474
"ENSMUST00000001544",10584435
"ENSMUST00000001547",10380419
"ENSMUST00000001548",10390117
"ENSMUST00000001562",10548163
"ENSMUST00000001565",10450564
"ENSMUST00000001566",10450605
"ENSMUST00000001569",10444895
"ENSMUST00000001583",10406254
"ENSMUST00000001592",10391103
"ENSMUST00000001595",10381122
"ENSMUST00000001599",10381133
"ENSMUST00000001611",10520405
"ENSMUST00000001620",10491455
"ENSMUST00000001626",10387668
"ENSMUST00000001652",10398117
"ENSMUST00000001672",10400095
"ENSMUST00000001675",10542757
"ENSMUST00000001699",10427280
"ENSMUST00000001700",10427268
"ENSMUST00000001701",10427277
"ENSMUST00000001706",10427286
"ENSMUST00000001709",10427297
"ENSMUST00000001711",10427293
"ENSMUST00000001712",10369948
"ENSMUST00000001715",10369993
"ENSMUST00000001716",10369989
"ENSMUST00000001720",10575349
"ENSMUST00000001724",10357292
"ENSMUST00000001757",10408762
"ENSMUST00000001780",10402766
"ENSMUST00000001792",10565218
"ENSMUST00000001802",10381211
"ENSMUST00000001812",10536917
"ENSMUST00000001818",10488303
"ENSMUST00000001824",10565401
"ENSMUST00000001825",10583347
"ENSMUST00000001834",10371432
"ENSMUST00000001836",10365450
"ENSMUST00000001845",10561842
"ENSMUST00000001854",10552143
"ENSMUST00000001867",10483789
"ENSMUST00000001872",10472946
"ENSMUST00000001878",10472949
"ENSMUST00000001882",10566034
"ENSMUST00000001884",10555550
"ENSMUST00000001900",10535458
"ENSMUST00000001920",10471247
"ENSMUST00000001921",10497451
"ENSMUST00000001927",10446928
"ENSMUST00000001950",10569265
"ENSMUST00000001963",10381962
"ENSMUST00000001965",10381994
"ENSMUST00000001975",10580188
"ENSMUST00000001984",10550322
"ENSMUST00000001989",10598882
"ENSMUST00000002007",10584334
"ENSMUST00000002008",10584325
"ENSMUST00000002011",10584317
"ENSMUST00000002013",10592336
"ENSMUST00000002029",10600341
"ENSMUST00000002043",10392087
"ENSMUST00000002044",10382028
"ENSMUST00000002048",10382022
"ENSMUST00000002053",10560270
"ENSMUST00000002063",10475686
"ENSMUST00000002073",10401527
"ENSMUST00000002080",10605104
"ENSMUST00000002084",10600235
"ENSMUST00000002087",10605067
"ENSMUST00000002091",10605081
"ENSMUST00000002099",10584803
"ENSMUST00000002101",10593015
"ENSMUST00000002121",10388786
"ENSMUST00000002133",10379068
"ENSMUST00000002145",10449756
"ENSMUST00000002152",10550290
"ENSMUST00000002171",10473793
"ENSMUST00000002172",10473847
"ENSMUST00000002180",10473809
"ENSMUST00000002198",10373873
"ENSMUST00000002259",10573172
"ENSMUST00000002274",10552697
"ENSMUST00000002275",10552725
"ENSMUST00000002280",10550889
"ENSMUST00000002284",10550906
"ENSMUST00000002289",10416793
"ENSMUST00000002291",10528840
"ENSMUST00000002292",10545298
"ENSMUST00000002298",10495042
"ENSMUST00000002303",10495054
"ENSMUST00000002305",10544148
"ENSMUST00000002320",10443332
"ENSMUST00000002327",10443319
"ENSMUST00000002336",10559790
"ENSMUST00000002360",10450038
"ENSMUST00000002379",10444046
"ENSMUST00000002395",10415332
"ENSMUST00000002397",10415363
"ENSMUST00000002400",10420080
"ENSMUST00000002412",10579165
"ENSMUST00000002413",10572318
"ENSMUST00000002436",10441436
"ENSMUST00000002444",10452151
"ENSMUST00000002445",10446149
"ENSMUST00000002452",10434664
"ENSMUST00000002457",10507817
"ENSMUST00000002466",10579479
"ENSMUST00000002473",10572596
"ENSMUST00000002487",10544219
"ENSMUST00000002502",10491014
"ENSMUST00000002518",10365136
"ENSMUST00000002529",10479649
"ENSMUST00000002532",10490736
"ENSMUST00000002551",10453825
"ENSMUST00000002572",10448676
"ENSMUST00000002603",10429699
"ENSMUST00000002625",10481577
"ENSMUST00000002640",10400072
"ENSMUST00000002677",10561104
"ENSMUST00000002678",10551185
"ENSMUST00000002683",10561078
"ENSMUST00000002699",10449839
"ENSMUST00000002708",10528872
"ENSMUST00000002710",10562349
"ENSMUST00000002733",10452213
"ENSMUST00000002735",10446207
"ENSMUST00000002737",10446214
"ENSMUST00000002740",10452210
"ENSMUST00000002757",10401309
"ENSMUST00000002765",10400170
"ENSMUST00000002790",10478799
"ENSMUST00000002808",10483856
"ENSMUST00000002809",10483865
"ENSMUST00000002818",10374106
"ENSMUST00000002825",10526319
"ENSMUST00000002837",10532157
"ENSMUST00000002839",10451434
"ENSMUST00000002844",10445565
"ENSMUST00000002845",10445601
"ENSMUST00000002846",10451451
"ENSMUST00000002848",10563421
"ENSMUST00000002850",10563447
"ENSMUST00000002855",10553131
"ENSMUST00000002880",10398929
"ENSMUST00000002881",10402835
"ENSMUST00000002883",10403834
"ENSMUST00000002885",10407955
"ENSMUST00000002889",10386551
"ENSMUST00000002891",10386582
"ENSMUST00000002902",10583634
"ENSMUST00000002911",10446044
"ENSMUST00000002914",10446027
"ENSMUST00000002923",10439455
"ENSMUST00000002924",10435714
"ENSMUST00000002925",10439463
"ENSMUST00000002926",10439442
"ENSMUST00000002976",10541246
"ENSMUST00000002979",10395163
"ENSMUST00000002989",10579406
"ENSMUST00000003035",10598178
"ENSMUST00000003038",10558971
"ENSMUST00000003044",10552760
"ENSMUST00000003049",10562942
"ENSMUST00000003061",10560655
"ENSMUST00000003071",10560614
"ENSMUST00000003100",10551293
"ENSMUST00000003117",10572786
"ENSMUST00000003121",10572757
"ENSMUST00000003123",10572779
"ENSMUST00000003135",10358027
"ENSMUST00000003154",10364722
"ENSMUST00000003183",10560315
"ENSMUST00000003238",10541532
"ENSMUST00000003268",10451907
"ENSMUST00000003274",10445977
"ENSMUST00000003284",10552812
"ENSMUST00000003310",10363281
"ENSMUST00000003312",10369236
"ENSMUST00000003313",10464425
"ENSMUST00000003319",10434396
"ENSMUST00000003320",10434348
"ENSMUST00000003345",10403796
"ENSMUST00000003360",10553080
"ENSMUST00000003369",10511333
"ENSMUST00000003386",10583508
"ENSMUST00000003413",10443854
"ENSMUST00000003433",10370931
"ENSMUST00000003434",10370920
"ENSMUST00000003438",10370946
"ENSMUST00000003442",10426611
"ENSMUST00000003444",10426627
"ENSMUST00000003445",10432243
"ENSMUST00000003451",10432236
"ENSMUST00000003461",10374119
"ENSMUST00000003468",10560945
"ENSMUST00000003469",10551025
"ENSMUST00000003501",10591706
"ENSMUST00000003509",10480238
"ENSMUST00000003512",10563085
"ENSMUST00000003513",10552832
"ENSMUST00000003521",10563094
"ENSMUST00000003527",10561401
"ENSMUST00000003529",10551496
"ENSMUST00000003536",10561456
"ENSMUST00000003554",10360235
"ENSMUST00000003561",10416273
"ENSMUST00000003569",10544932
"ENSMUST00000003572",10538420
"ENSMUST00000003574",10579636
"ENSMUST00000003575",10448202
"ENSMUST00000003620",10438272
"ENSMUST00000003621",10438245
"ENSMUST00000003622",10438262
"ENSMUST00000003635",10444890
"ENSMUST00000003640",10560481
"ENSMUST00000003642",10451395
"ENSMUST00000003643",10550698
"ENSMUST00000003645",10550650
"ENSMUST00000003655",10463704
"ENSMUST00000003659",10572378
"ENSMUST00000003677",10373861
"ENSMUST00000003681",10383819
"ENSMUST00000003687",10401673
"ENSMUST00000003705",10474596
"ENSMUST00000003717",10519578
"ENSMUST00000003720",10528102
"ENSMUST00000003726",10449815
"ENSMUST00000003754",10581654
"ENSMUST00000003759",10487371
"ENSMUST00000003762",10448117
"ENSMUST00000003808",10579331
"ENSMUST00000003818",10357280
"ENSMUST00000003826",10593233
"ENSMUST00000003843",10369154
"ENSMUST00000003850",10561204
"ENSMUST00000003870",10463930
"ENSMUST00000003876",10458138
"ENSMUST00000003907",10580233
"ENSMUST00000003911",10580210
"ENSMUST00000003912",10580219
"ENSMUST00000003947",10581538
"ENSMUST00000003964",10552945
"ENSMUST00000003971",10563253
"ENSMUST00000003981",10427628
"ENSMUST00000004036",10387483
"ENSMUST00000004050",10380289
"ENSMUST00000004051",10389786
"ENSMUST00000004054",10435470
"ENSMUST00000004057",10439276
"ENSMUST00000004072",10425018
"ENSMUST00000004076",10528145
"ENSMUST00000004094",10406551
"ENSMUST00000004097",10534596
"ENSMUST00000004120",10374746
"ENSMUST00000004136",10501218
"ENSMUST00000004137",10501199
"ENSMUST00000004140",10501229
"ENSMUST00000004156",10460645
"ENSMUST00000004172",10433292
"ENSMUST00000004173",10437443
"ENSMUST00000004200",10583254
"ENSMUST00000004201",10591281
"ENSMUST00000004206",10591357
"ENSMUST00000004222",10434252
"ENSMUST00000004232",10496438
"ENSMUST00000004281",10372745
"ENSMUST00000004294",10424945
"ENSMUST00000004326",10600419
"ENSMUST00000004327",10605338
"ENSMUST00000004343",10494664
"ENSMUST00000004377",10547769
"ENSMUST00000004378",10547807
"ENSMUST00000004428",10603289
"ENSMUST00000004453",10403911
"ENSMUST00000004470",10371676
"ENSMUST00000004480",10438730
"ENSMUST00000004494",10572838
"ENSMUST00000004505",10384102
"ENSMUST00000004507",10384123
"ENSMUST00000004508",10384138
"ENSMUST00000004576",10438672
"ENSMUST00000004587",10562761
"ENSMUST00000004614",10550029
"ENSMUST00000004622",10555027
"ENSMUST00000004655",10560408
"ENSMUST00000004657",10560401
"ENSMUST00000004673",10419578
"ENSMUST00000004686",10576719
"ENSMUST00000004728",10562709
"ENSMUST00000004729",10552418
"ENSMUST00000004732",10552398
"ENSMUST00000004770",10565422
"ENSMUST00000004774",10538459
"ENSMUST00000004784",10364593
"ENSMUST00000004829",10351644
"ENSMUST00000004868",10383813
"ENSMUST00000004910",10397332
"ENSMUST00000004913",10401607
"ENSMUST00000004920",10386789
"ENSMUST00000004936",10534493
"ENSMUST00000004943",10532261
"ENSMUST00000004949",10474112
"ENSMUST00000004955",10386775
"ENSMUST00000004959",10376796
"ENSMUST00000004965",10440307
"ENSMUST00000004968",10526520
