CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,7171,7184,7197,7210,7223,7236,7249,7262,7275,7288,7301,7314,7327,7340,7353,7366,7379,7392,7405,7418
YPR161C,3.74E-05,0.000452857,9,8.176128183,15.03304101,2.25E-07,3.92E-06,10,8,14.95884396,0.002908064,0.045989133,9.919282511,7.986634371,57.760261,1.28E-11,7.90E-10,9.639760837,8.071143636,44.01436841,17.78804562,0.40414179,35.839,24.618,28.662,33.185,43.981,47.279,53.119,64.429,60.105,53.757,43.19,25.108,23.586,34.671,38.815,46.179,61.32,65.369,53.613,43.303
YOL138C,0.006565542,0.011104793,9,8.348027232,2.979317261,0.014074327,0.023558282,11,8.5,2.193091682,0.043898432,0.081700598,10.14678899,7.881883135,25.30804495,0.000367044,0.000620125,10.04892966,8.278417469,22.26204069,3.717040368,0.166967639,23.991,19.063,17.189,19.706,25.057,24.401,24.121,22.573,28.061,24.095,22.905,16.355,17.849,18.616,22.581,21.779,22.666,25.365,25.461,23.34
YDR395W,0.00078083,0.002329963,9,8.445860745,31.49759068,3.19E-06,2.15E-05,11,8,22.07481305,0.016984076,0.04888964,9.919282511,8.123768388,70.533478,1.31E-08,6.25E-08,9.97309417,8.252433502,44.5214731,36.10338611,0.810920745,22.69,13.181,16.899,22.704,31.119,31.39,42.617,123.107,75.347,60.502,37.741,15.174,14.623,23.6,29.482,32.888,86.518,103.424,60.556,47.172
YGR129W,0.000457783,0.001683566,9,7.693000034,9.881311398,0.000505366,0.001231906,10,8,8.449926035,0.02046583,0.05253838,9.701754386,7.76483065,34.54038873,9.65E-07,2.48E-06,9.567251462,7.828852163,26.73437203,11.09955868,0.41517933,24.99,17.334,12.837,20.96,26.264,32.999,43.838,37.047,24.717,27.05,24.525,20.349,12.075,15.464,28.635,32.982,47.648,27.484,25.675,30.054
YPR165W,0.000138316,0.000835611,9,2.609331371,159.0721998,1.78E-05,7.54E-05,11,1,175.7701288,0.005457456,0.045989133,10.14678899,2.400976786,984.8823941,4.55E-09,2.87E-08,10.04892966,2.090236311,861.8278517,188.2420143,0.218421827,1075.722,1032.708,923.343,822.41,776.829,752.253,688.649,617.854,815.66,982.228,996.094,1080.173,992.565,915.502,776.741,813.897,637.58,663.392,935.414,927.823
YPR098C,0.000322185,0.001365138,9,4.763323331,46.29284539,0.047576974,0.071191483,10,4,52.97431873,0.017359165,0.049420479,9.919282511,3.612659042,161.9981761,3.48E-05,6.77E-05,9.639760837,4.142211532,131.7850571,51.64302524,0.391873148,109.65,166.78,162.726,179.797,149.353,180.502,157.585,50.599,75.792,86.293,97.989,179.985,169.107,153.865,157.859,183.105,109.361,57.695,90.19,97.268
YPL015C,0.144276175,0.173662869,9,2.530124275,6.490648411,1,1,10,1,6.061142552,0.775504014,0.813126689,4.486815416,2.304272925,68.27236119,0.625324447,0.680780677,7.828938472,2.27098327,63.65987388,2.178890661,0.034227065,60.136,72.261,64.89,58.123,64.007,69.88,68.48,34.94,73.295,71.989,77.5,72.033,64.184,55.441,57.525,69.51,43.264,62.671,65.455,72.829
YCL050C,0.000338802,0.001408463,9,7.896917531,27.78376561,0.000328541,0.000854846,10,8,36.26096607,0.011760481,0.046413677,10.14678899,8.005973892,217.2529092,3.02E-07,8.68E-07,9.71559633,7.985025463,199.6172671,32.45523173,0.162587296,160.371,135.613,157.856,184.297,197.452,186.902,211.072,223.123,230.404,211.228,191.073,157.638,156.286,190.685,210.614,241.19,239.506,246.757,237.583,221.656
YAL069W,0.096051794,0.120738462,9,4.311853856,1.783312574,1,1,9,5,2.147483294,0.85129911,0.8781973,8.253731343,6.318376446,8.904563778,0.542823491,0.598607723,8.751243781,5.186045329,7.959840448,1.458674465,0.183254234,4.034,7.709,8.723,12.147,9.27,7.123,6.948,7.177,4.921,5.448,6.317,10.86,11.359,6.927,8.178,9.661,3.71,11.391,10.114,4.645
YMR193W,1.32E-05,0.000305687,9,1.725923351,78.21978962,1.02E-05,4.91E-05,10,1,95.12955015,0.006323076,0.045989133,10.14678899,0.224966697,173.6962284,3.54E-10,5.23E-09,9.71559633,1.014409253,119.9064669,84.85469276,0.707674031,214.313,165.316,74.354,66.99,56.165,64.067,72.097,65.473,127.033,208.24,232.119,210.313,103.741,64.888,64.887,67.131,66.751,87.711,203.209,231.633
YLR031W,0.250354239,0.285414993,9,4.55414022,4.049308565,0.470082676,0.561574049,5,1.5,5.423509012,0.392098033,0.454866326,4.67653277,3.72153867,29.35170739,0.40638718,0.460307162,6.225510923,3.156852565,25.22191365,3.013089306,0.119463152,26.345,28.239,27.77,21.694,25.287,32.407,41.882,7.134,19.866,19.974,29.384,35.689,25.172,27.577,23.748,32.876,18.404,15.877,21.375,25.392
YIL014C-A,0.588116143,0.620037253,9,7.144058892,5.326615919,1,1,13,8.5,10.99621755,0.675490961,0.720946534,4.397614314,3.676869893,146.5511251,0.933278199,0.959286609,8.799204771,6.714983802,143.317502,4.795303092,0.033459299,131.461,137.725,126.91,139.011,137.549,147.647,172.964,126.899,120.065,157.155,166.806,134.841,120.888,149.277,137.282,173.899,148.126,133.118,157.933,137.402
YGR053C,0.018398991,0.027384338,9,3.156792847,4.944258688,0.063177891,0.091979577,10,3,5.594452076,0.070313599,0.114441117,10.38497653,2.441678774,21.52125215,0.004471247,0.006682375,9.794992175,2.893414865,16.80469266,5.802109355,0.34526721,25.917,25.219,17.547,16.267,16.917,17.323,18.404,4.333,11.802,14.999,24.775,26.157,20.456,15.463,18.968,15.488,5.581,8.526,15.501,16.852
YCR101C,0.461534391,0.496912487,9,5.906020083,0.594516576,1,1,12,4,1.173443703,0.46832575,0.528513229,5.168224299,3.986766904,5.244185982,0.800825649,0.845599146,8.722741433,5.477346533,4.775959265,0.52594658,0.110123757,8.702,5.3,5.482,3.351,7.034,5.844,5.688,1.495,4.511,3.842,5.228,3.803,5.579,4.763,5.021,6.299,4.906,3.17,2.006,2.44
YER087C-B,0.001362341,0.00338565,9,1.156784825,50.61303146,0.003586038,0.006954535,11,9.5,56.41722164,0.015225914,0.047992617,10.63461538,10.00406741,298.2852741,1.13E-05,2.36E-05,10.21153846,9.930981847,248.516247,62.19656125,0.25027161,239.154,189.018,188.119,202.777,206.829,202.313,212.396,259.387,294.067,339.06,342.124,255.134,190.382,203.913,215.976,215.96,226.212,264.973,322.11,375.38
YOR280C,0.000568742,0.001899748,9,0.113682194,10.25770599,1.02E-05,4.91E-05,11,9,12.6745355,0.004467458,0.045989133,10.38497653,8.82314548,62.52970647,8.39E-09,4.45E-08,10.12832551,9.020029597,52.83314504,12.67077981,0.23982634,51.04,44.274,37,40.259,47.203,48.039,63.992,55.698,65.57,68.263,61.248,51.031,37.364,40.783,41.616,53.741,56.795,59.913,66.569,64.26
YGR097W,7.56E-05,0.000626981,9,8.291249407,6.494844304,0.000132863,0.000392829,10,8,6.142283055,0.006499977,0.045989133,9.701754386,8.084146125,34.9014037,1.95E-08,8.48E-08,9.567251462,8.142276624,28.81731062,7.490443246,0.259928601,31.147,20.006,19.162,21.743,27.809,31.653,34.294,35.345,34.293,33.892,32.224,21.064,23.303,20.265,28.928,29.344,35.717,35.205,30.962,30.136
YHR215W,0.056102569,0.074311085,9,8.895145755,0.192211481,0.727252831,0.83359064,9,0,0.180312229,0.598420742,0.650222431,9.701754386,8.35189141,1.705680188,0.283321092,0.33124283,9.233918129,8.78093254,1.494523255,0.210322873,0.140729074,1.381,1.668,1.449,1.208,1.346,1.413,1.611,1.825,2.148,1.219,1.78,1.418,1.15,1.24,1.634,1.267,1.469,1.748,1.393,1.646
YKL025C,0.930951015,0.93751884,9,5.089194014,0.780868306,0.470082676,0.561574049,5,0.5,4.750343356,0.278856708,0.344183084,4.993227991,3.321874997,55.74712705,0.648699189,0.703234833,6.331075997,4.002669989,53.64733092,0.562580829,0.010486651,69.869,51.124,52.131,49.084,58.994,54.076,53.234,41.496,54.863,54.857,55.627,47.058,58.431,53.763,55.821,63.461,50.984,44.558,48.463,55.611
YKR011C,0.053912522,0.071642144,9,2.164400598,13.7913384,0.063177891,0.091979577,9,2,13.03127087,0.666005893,0.711937334,9.102880658,1.601056157,104.4671788,0.058128339,0.075993982,9.034293553,1.923661594,95.35672631,13.64757476,0.143121259,102.39,102.203,101.85,101.918,94.464,90.026,81.005,48.175,132.448,114.476,123.588,87.132,96.764,92.046,89.901,99.775,60.73,97.863,106.719,107.329
YEL004W,0.460568533,0.495959589,9,7.802465768,1.298336869,0.374483792,0.456430007,12,8,3.087228207,0.372551294,0.436396916,11.4611399,8.022416286,27.74885681,0.482694989,0.537905201,10.82037997,8.021964476,25.51176603,2.333111425,0.091452368,21.672,20.563,23.121,21.917,25.943,26.406,31.835,22.42,26.904,29.826,26.44,23.404,19.33,26.025,27.479,26.457,26.153,23.76,29.942,30.147
YJL200C,0.000535557,0.001842627,9,8.566445066,167.9382366,1.71E-06,1.37E-05,10,8.5,154.4848005,0.013025496,0.046843832,9.919282511,8.195890277,331.1359867,4.09E-09,2.65E-08,9.639760837,8.438192291,189.2123592,193.9316039,1.024941524,102.534,28.234,23.759,62.879,113.208,122.226,171.859,609.193,336.902,291.123,198.83,46.341,19.428,53.39,103.408,130.261,394.521,482.862,281.26,243.733
YLL027W,0.012053532,0.018792121,9,0.001505371,39.05574939,0.007248681,0.01297533,11,8,33.92751369,0.033271504,0.068403772,10.38497653,8.502303581,211.5342562,0.000276192,0.000473273,10.12832551,8.550806065,175.6326752,49.55496642,0.282151179,164.577,102.462,121.258,167.841,147.717,158.114,169.208,222.165,252.209,208.411,222.042,122.431,122.071,143.896,159.527,160.386,154.805,280.772,209.694,218.5
YLR045C,0.006963684,0.011662509,9,2.198120302,8.799699339,0.003586038,0.006954535,11,1,10.48215092,0.046825096,0.085260291,10.38497653,1.13777318,46.13802492,0.000126221,0.000226336,10.12832551,1.486138674,39.86849505,10.57685839,0.265293645,60.732,39.675,41.959,35.262,39.483,33.998,28.38,27.741,39.062,50.692,63.761,38.478,45.294,36.55,37.533,32.527,27.867,31.28,36.378,48.595
YDR348C,2.27E-05,0.000368835,9,0.561973257,35.76039302,3.19E-06,2.15E-05,10,9.5,41.7981425,0.003910474,0.045989133,10.14678899,9.77993061,105.5837773,1.27E-10,2.74E-09,9.71559633,9.633245547,72.94801585,39.17668955,0.537049419,85.943,50.326,37.843,42.548,48.966,50.902,59.779,94.916,123.124,124.656,120.457,54.343,40.788,38.887,43.502,52.687,75.448,108.607,113.101,111.236
YPL183C,0.002516459,0.005224713,9,8.175291607,14.1037217,1.71E-06,1.37E-05,11,8,8.017530238,0.043781195,0.081581352,9.701754386,8.006279605,26.82028792,5.17E-08,1.89E-07,9.900584795,8.124251961,15.78198219,15.7284523,0.996608164,6.174,2.945,5.114,7.781,11.202,10.464,16.937,57.802,22.305,18.088,8.672,2.99,3.379,7.51,10.073,11.455,44.205,34.917,19.36,14.467
YGR003W,1.79E-06,0.000217255,9,7.912438635,9.12147685,4.56E-07,5.79E-06,10,8,8.248223826,0.003322606,0.045989133,9.493562232,7.8482233,35.04547791,1.62E-12,2.95E-10,9.497854077,7.932550565,27.0294433,10.31596245,0.38165649,25.682,17.986,18.827,19.381,29.193,33.063,34.426,37.094,34.547,30.807,24.892,16.621,15.737,19.424,25.864,31.279,37.668,36.872,25.698,24.209
