ID	Translation_number	Protein_halflive	mRNA_halflive
ENSMUST00000027781	1104.78332	112.77	1.61
ENSMUST00000012104	750.1119067	21.59	1.74
ENSMUST00000029416	377.458653	89.04	2.21
ENSMUST00000029415	377.458653	89.04	2.21
ENSMUST00000102567	4651.97541	46.82	2.29
ENSMUST00000056665	61.82142857	7.66	2.49
ENSMUST00000049382	653.2115139	13.73	2.51
ENSMUST00000034868	155.9923954	5.74	2.57
ENSMUST00000093132	155.9923954	5.74	2.57
ENSMUST00000042512	298.1954397	46.02	2.6
ENSMUST00000037890	862.4611529	19.97	2.64
ENSMUST00000034406	182.818612	48.91	2.7
ENSMUST00000093470	3552.21466	158.32	2.73
ENSMUST00000059472	2261.973395	35.08	2.75
ENSMUST00000066627	2261.973395	35.08	2.75
ENSMUST00000018383	2780.015009	19.65	2.79
ENSMUST00000025406	525.9333333	22.76	2.8
ENSMUST00000110585	100.8645473	3.38	2.82
ENSMUST00000096482	100.8645473	3.38	2.82
ENSMUST00000060049	167.9183188	36.73	2.86
ENSMUST00000034094	2074.908907	72.81	2.87
ENSMUST00000071057	726.1431005	14.42	2.9
ENSMUST00000078259	750.1119067	16.03	2.92
ENSMUST00000076952	750.1119067	16.03	2.92
ENSMUST00000029771	220.4991556	5.58	2.93
ENSMUST00000090417	220.4991556	5.58	2.93
ENSMUST00000022580	436.9299859	14.72	2.93
ENSMUST00000021963	221.7012522	18.46	2.93
ENSMUST00000007007	607.517762	36.77	2.95
ENSMUST00000094993	185.7333333	4.62	2.97
ENSMUST00000026663	750.1119067	53.44	2.99
ENSMUST00000048807	135.3870006	16.98	3
ENSMUST00000059579	340.5187166	70.68	3
ENSMUST00000059052	241.0025641	92.97	3.02
ENSMUST00000116420	1127.054237	108.16	3.02
ENSMUST00000055255	1127.054237	108.16	3.02
ENSMUST00000109824	26.81038647	4.35	3.03
ENSMUST00000038368	26.81038647	4.35	3.03
ENSMUST00000017694	65.66463415	263.84	3.03
ENSMUST00000059507	5514.956146	157.77	3.04
ENSMUST00000082024	121.9193548	32.37	3.05
ENSMUST00000061656	333.6766982	26.59	3.07
ENSMUST00000049435	750.1119067	26.1	3.08
ENSMUST00000057093	756.972119	173.44	3.1
ENSMUST00000057438	387.41841	25.3	3.12
ENSMUST00000098513	12722.39412	42.03	3.12
ENSMUST00000062672	2316.335832	56.09	3.12
ENSMUST00000077605	325.7083535	80.55	3.12
ENSMUST00000115341	325.7083535	80.55	3.12
ENSMUST00000023599	325.7083535	80.55	3.12
ENSMUST00000029846	9.459480601	0.8	3.13
ENSMUST00000110998	100.9694847	12.92	3.13
ENSMUST00000003027	100.9694847	12.92	3.13
ENSMUST00000052385	100.9694847	12.92	3.13
ENSMUST00000080300	164098.1332	139.91	3.13
ENSMUST00000020553	3034.514706	141.68	3.14
ENSMUST00000043609	1613.761905	24.71	3.17
ENSMUST00000061772	543.3943355	50.95	3.18
ENSMUST00000050207	336.7956522	41.12	3.19
ENSMUST00000105263	3.99834974	0.74	3.2
ENSMUST00000020408	3.99834974	0.74	3.2
ENSMUST00000057478	123.8652215	7.36	3.22
ENSMUST00000099517	123.8652215	7.36	3.22
ENSMUST00000095797	123.8652215	7.36	3.22
ENSMUST00000099516	123.8652215	7.36	3.22
ENSMUST00000055516	111.3108571	8.02	3.23
ENSMUST00000071814	111.3108571	8.02	3.23
ENSMUST00000113409	111.3108571	8.02	3.23
ENSMUST00000113926	111.3108571	8.02	3.23
ENSMUST00000088102	111.3108571	8.02	3.23
ENSMUST00000113927	111.3108571	8.02	3.23
ENSMUST00000022535	380.3654391	46.73	3.23
ENSMUST00000059438	260.9242054	18.3	3.24
ENSMUST00000029085	958.3262411	36.55	3.24
ENSMUST00000120129	183.9737274	134.11	3.24
ENSMUST00000107802	66.73345259	8.15	3.26
ENSMUST00000110262	168.2974453	68.69	3.26
ENSMUST00000041448	3061.624277	112.12	3.26
ENSMUST00000039900	3061.624277	112.12	3.26
ENSMUST00000119954	139.1895833	17.27	3.28
ENSMUST00000051446	9.120135364	13.68	3.29
ENSMUST00000095573	9.120135364	13.68	3.29
ENSMUST00000114581	48.80364807	26.6	3.29
ENSMUST00000036370	48.80364807	26.6	3.29
ENSMUST00000097419	48.80364807	26.6	3.29
ENSMUST00000024636	48.80364807	26.6	3.29
ENSMUST00000040514	64.49858956	11.89	3.31
ENSMUST00000098750	262.7836257	62.84	3.31
ENSMUST00000106736	262.7836257	62.84	3.31
