Name	mRNA_Transcription_level
YLR167W	13.2227949
YKL060C	13.08737996
YLR110C	12.89746734
YDR154C	12.25709314
YOL127W	11.72940832
YDR050C	11.63888838
YHR174W	11.63481105
YOR369C	11.58894882
YMR116C	11.55626654
YGR034W	11.51766939
YAL037C-A	11.39954497
YPR132W	11.35645197
YGR118W	11.33343492
YLR325C	11.30035256
YLR044C	11.23870328
YDR524W-C	11.19290922
YMR251W-A	11.15955603
YGL030W	11.12315143
YLR109W	11.11015702
YOR293W	11.09110476
YJR094W-A	10.99506047
YHR010W	10.89784546
YGL123W	10.89102419
YJL052W	10.87996608
YOR063W	10.87805091
YOL109W	10.81097322
YHL015W	10.78871833
YPR080W	10.77313921
YDL075W	10.74483384
YDR447C	10.71853288
YDL055C	10.69479316
YER102W	10.64925618
YDR524C-B	10.64205169
YGL147C	10.56795608
YLR340W	10.54496443
YLL026W	10.51865316
YMR230W	10.49785184
YOR096W	10.48633225
YDL081C	10.48280796
YPL131W	10.4655664
YKL056C	10.45994385
YBR031W	10.42626475
YLR388W	10.41996018
YPR035W	10.38316426
YNL178W	10.38100211
YOR234C	10.37340896
YDR077W	10.36959735
YBR118W	10.33817925
YDR025W	10.33706434
YPL079W	10.31571566
YDR450W	10.29347165
YJL190C	10.28886607
YDR064W	10.22158712
YHR021C	10.21006248
YIL148W	10.19105921
YIL052C	10.18611424
YDL061C	10.1842555
YER072W	10.18053081
YAL005C	10.17990909
YGR027C	10.1692987
YDR382W	10.14338321
YGL008C	10.09209641
YML028W	10.07280253
YBL092W	10.05392588
YKL096W-A	10.05392588
YML024W	10.04712391
YMR122W-A	10.01541505
YOR312C	9.946175241
YOR122C	9.940313597
YJR123W	9.918117851
YER131W	9.904634622
YBR196C	9.903128677
YJL158C	9.89102419
YBR191W	9.888743249
YDR471W	9.8587581
YFL039C	9.792790294
YFR032C-A	9.791976821
YOL040C	9.783816759
YJR104C	9.765700488
YGL189C	9.758223215
YML063W	9.70822173
YLR029C	9.696967526
YNL135C	9.68474862
YER074W	9.674192268
YKR059W	9.673309076
YPL240C	9.670656249
YBR189W	9.665335917
YLR441C	9.653740779
YDR276C	9.599912842
YLL045C	9.588714636
YLR344W	9.58402294
YKL006W	9.570804438
YDR086C	9.566054038
YKR057W	9.535275377
YFR031C-A	9.529430554
YHR208W	9.528454111
YAL003W	9.485829309
YGR155W	9.475733431
YIL051C	9.469641817
YLR293C	9.46760555
YDR418W	9.458406613
YNL031C	9.411510988
YMR142C	9.400879436
YLL024C	9.398743692
YLR333C	9.386940245
YGR209C	9.378294856
YKL156W	9.373952655
YBR101C	9.334273285
YDL192W	9.312882955
YBR010W	9.301496195
YNL069C	9.281930027
YNL303W	9.259743264
YGR254W	9.250298418
YNL096C	9.240791332
YJL159W	9.237209961
YGR142W	9.222794903
YIL053W	9.21916852
YDR500C	9.216745858
YEL040W	9.214319121
YPL106C	9.214319121
YBR082C	9.181152257
YDL130W	9.177419538
YDR012W	9.177419538
YNL255C	9.176173149
YPR149W	9.147204925
YBL027W	9.145932146
YGL245W	9.13442632
YLR249W	9.13442632
YBL087C	9.127994321
YGR214W	9.124121312
YLR264C-A	9.108524457
YBL003C	9.086136225
YDR224C	9.086136225
YLR406C	9.086136225
YLR359W	9.067434361
YDL191W	9.043027284
YER056C-A	9.027905997
YNL007C	9.008428622
YDR033W	8.990103964
YKL180W	8.941047606
YHR068W	8.938109326
YKL081W	8.93516505
YOR007C	8.927777962
YPR036W-A	8.927777962
YDR225W	8.923327485
YEL027W	8.920352855
YER117W	8.914385132
YNL055C	8.905387005
YBR111C	8.894817763
YMR143W	8.861086906
YPR165W	8.821773982
YLR286C	8.815383296
YDL136W	8.807354922
YPR145W	8.804131021
YGR037C	8.802516365
YGL105W	8.781359714
YGR282C	8.77807713
YDR226W	8.758223215
YDR002W	8.749869427
YLR185W	8.74819285
YMR186W	8.736401931
YDR461W	8.731319031
YNL030W	8.722807531
YDL124W	8.696967526
YDR133C	8.695228291
YJL177W	8.689997971
YPL037C	8.681238412
YOR298W	8.6794801
YLR048W	8.670656249
YCL035C	8.667111542
YEL026W	8.659995892
YER177W	8.649256178
YEL009C	8.645658432
YJR139C	8.645658432
YLR262C-A	8.638435914
YBR025C	8.62388149
YDR023W	8.569855608
YPR163C	8.569855608
YMR260C	8.566054038
YLR150W	8.554588852
YIL018W	8.539158811
YHR183W	8.517669388
YBR162W-A	8.481799432
YOR285W	8.469641817
YPR062W	8.46760555
YOR020C	8.45532722
YML056C	8.449148645
YHR179W	8.440869168
YER062C	8.4325419
YMR120C	8.430452552
YMR194W	8.417852515
YDL137W	8.388017285
YBR109C	8.383704292
YER150W	8.37721053
YJR045C	8.364134655
YNL064C	8.364134655
YMR205C	8.35974956
YNL145W	8.353146825
YLR216C	8.344295908
YLR447C	8.335390355
YGL037C	8.328674927
YCR024C-B	8.326429487
YBL099W	8.319672121
YNL162W	8.312882955
YNL010W	8.310612782
YDL100C	8.301496195
YJL142C	8.301496195
YGR135W	8.296916207
YLR058C	8.296916207
YML123C	8.296916207
YGR211W	8.294620749
YER103W	8.292321633
YLR257W	8.292321633
YEL054C	8.285402219
YER009W	8.278449458
YOR045W	8.276124405
YNL070W	8.266786541
YKL080W	8.25502857
YFL045C	8.247927513
YDL082W	8.243173983
YOR309C	8.243173983
YGL200C	8.240791332
YMR242C	8.233619677
YLR027C	8.231221181
YLR179C	8.221587121
YLL050C	8.209453366
YBR011C	8.204571144
YDR429C	8.199672345
YCR053W	8.192292814
YLR264W	8.192292814
YLR367W	8.189824559
YBL002W	8.182394353
YGL054C	8.182394353
YIL069C	8.17990909
YLR390W-A	8.164906927
YDL143W	8.162391329
YER094C	8.162391329
YLR432W	8.154818109
YER091C	8.14974712
YEL051W	8.144658243
YMR119W-A	8.139551352
YPR113W	8.139551352
YOR375C	8.116343961
YBR067C	8.113742166
YER165W	8.113742166
YIL133C	8.103287808
YDL084W	8.100662339
YKL164C	8.100662339
YGL253W	8.079484784
YOR128C	8.071462363
YDR171W	8.057991723
YHR143W	8.047123912
YMR217W	8.047123912
YCR005C	8.044394119
YDL126C	8.044394119
YOR136W	8.044394119
YNL244C	8.036173613
YML130C	8.025139562
YDR353W	8.01402047
YDL185W	8.011227255
YGR086C	8.011227255
YKL035W	8.002815016
YMR307W	7.997179481
YPL028W	7.997179481
YGR234W	7.991521846
YNR034W-A	7.985841937
YPL218W	7.97441459
YLR354C	7.971543554
YPL237W	7.957102042
YJL001W	7.948367232
YDR037W	7.942514505
YCR021C	7.939579214
YER055C	7.933690655
YOR332W	7.933690655
YIL062C	7.918863237
YLR028C	7.918863237
YPR036W	7.912889336
YFL034C-A	7.909893084
YOR210W	7.909893084
YBR121C	7.900866808
YDR158W	7.897845456
YPL078C	7.897845456
YDR032C	7.894817763
YDR174W	7.894817763
YOR187W	7.894817763
YAL012W	7.888743249
YER178W	7.888743249
YNL071W	7.882643049
YPL250C	7.876516947
YDR129C	7.86727874
YKL117W	7.86727874
YNL208W	7.861086906
YGR250C	7.84862294
YDR345C	7.845490051
YHR039C-A	7.836050355
YPR069C	7.836050355
YBR286W	7.826548487
YCL040W	7.82336724
YLR355C	7.807354922
YPL234C	7.807354922
YMR297W	7.804131021
YKL210W	7.794415866
YKR080W	7.794415866
YPL061W	7.787902559
YDR177W	7.77148947
YML092C	7.77148947
YGR285C	7.768184325
YDR258C	7.761551232
YLR448W	7.761551232
YNL209W	7.754887502
YPL220W	7.744833837
YER120W	7.73809226
YEL046C	7.73470962
YML012W	7.73470962
YMR256C	7.710806434
YGL009C	7.707359132
YGR208W	7.703903573
YPL231W	7.686500527
YHR162W	7.682994584
YPL004C	7.6794801
YKL145W	7.668884984
YLR342W	7.665335917
YLR043C	7.658211483
YBL030C	7.647458426
YFL037W	7.647458426
YDR071C	7.64385619
YML081C-A	7.64385619
YDL198C	7.640244936
YBL091C	7.62935662
YLR175W	7.62935662
YOL039W	7.625708843
YDR046C	7.622051819
YJL014W	7.618385502
YNL256W	7.618385502
YBR126C	7.614709844
YER036C	7.611024797
YJR105W	7.607330314
YKR042W	7.607330314
YLL018C	7.607330314
YHR007C	7.599912842
YHR216W	7.599912842
YNL098C	7.599912842
YPR183W	7.596189756
YDR454C	7.592457037
YOR224C	7.592457037
YOR254C	7.592457037
YGL148W	7.588714636
YER074W-A	7.577428828
YIL076W	7.573647187
YEL071W	7.573647187
YER048C	7.573647187
YER087C-B	7.573647187
YBR072W	7.569855608
YER152C	7.558420713
YGL012W	7.554588852
YPL091W	7.535275377
YPR103W	7.535275377
YKL216W	7.523561956
YOR220W	7.523561956
YPR033C	7.523561956
YBR058C-A	7.519636253
YGR055W	7.519636253
YIR037W	7.515699838
YBR106W	7.511752654
YOR230W	7.50779464
YOL059W	7.503825738
YMR235C	7.499845887
YDR365C	7.495855027
YJL034W	7.495855027
YGR204W	7.483815777
YHR019C	7.471675214
YDL125C	7.46760555
YDL232W	7.459431619
YDR099W	7.459431619
YER056C	7.459431619
YPR028W	7.45532722
YJR120W	7.451211112
YJR148W	7.451211112
YDR304C	7.447083226
YPL048W	7.442943496
YBR149W	7.438791853
YMR183C	7.438791853
YNL002C	7.438791853
YOR015W	7.438791853
YHR072W-A	7.434628228
YDL236W	7.417852515
YJR070C	7.417852515
YOL139C	7.417852515
YPL271W	7.417852515
YMR315W	7.413627929
YKL001C	7.409390936
YKR071C	7.409390936
YCR097W	7.405141463
YHR005C-A	7.405141463
YJR068W	7.405141463
YGL048C	7.396604781
YJL167W	7.396604781
YMR083W	7.396604781
YDR502C	7.392317423
YER031C	7.383704292
YGL135W	7.383704292
YNL067W	7.383704292
YLR113W	7.379378367
YLR327C	7.379378367
YCL050C	7.375039431
YLR180W	7.370687407
YPR191W	7.366322214
YBR221C	7.357552005
YFR044C	7.348728154
YGR094W	7.348728154
YOR197W	7.344295908
YPR133C	7.344295908
YBR048W	7.335390355
YBR052C	7.335390355
YFR004W	7.335390355
YJR085C	7.335390355
YDL029W	7.330916878
YGR185C	7.330916878
YPR074C	7.330916878
YBR249C	7.326429487
YGR253C	7.326429487
YKL181W	7.321928095
YLR351C	7.321928095
YHR138C	7.317412614
YPR041W	7.317412614
YIL094C	7.312882955
YKL157W	7.312882955
YGR106C	7.30833903
YBR092C	7.299208018
YHL001W	7.299208018
YPL019C	7.294620749
YGL100W	7.285402219
YNL220W	7.285402219
YBR244W	7.28077077
YDR399W	7.28077077
YPL117C	7.28077077
YIL043C	7.266786541
YMR145C	7.257387843
YKR013W	7.243173983
YOL014W	7.243173983
YLR056W	7.22881869
YMR318C	7.22881869
YHR128W	7.224001674
YBR143C	7.21916852
YDR190C	7.21916852
YIL123W	7.21916852
YIL078W	7.214319121
YGL106W	7.214319121
YDL014W	7.209453366
YBR016W	7.204571144
YER010C	7.199672345
YHR089C	7.199672345
YER148W	7.194756854
YNL160W	7.189824559
YDL022W	7.184875343
YGR132C	7.17990909
YML022W	7.17990909
YFL004W	7.174925683
YOL012C	7.169925001
YBR054W	7.164906927
YGL055W	7.159871337
YGR180C	7.159871337
YJR144W	7.159871337
YIL041W	7.154818109
YKL024C	7.154818109
YMR298W	7.154818109
YDL015C	7.14974712
YOR232W	7.14974712
YIL074C	7.139551352
YJR073C	7.139551352
YFL022C	7.13442632
YIL111W	7.129283017
YLL039C	7.129283017
YLR153C	7.129283017
YJL196C	7.124121312
YJL144W	7.124121312
YLR300W	7.124121312
YBR169C	7.118941073
YIL109C	7.118941073
YMR300C	7.118941073
YAR015W	7.113742166
YDL147W	7.113742166
YKR025W	7.113742166
YMR071C	7.113742166
YNL015W	7.113742166
YOR184W	7.113742166
YIL075C	7.108524457
YGL234W	7.103287808
YGL026C	7.103287808
YML116W-A	7.103287808
YMR250W	7.103287808
YPR173C	7.103287808
YDR487C	7.098032083
YMR038C	7.098032083
YDR378C	7.092757141
YGR019W	7.092757141
YFL018C	7.087462841
YLR194C	7.087462841
YHL011C	7.082149041
YJR007W	7.082149041
YJR125C	7.06608919
YLR229C	7.060695932
YOR298C-A	7.060695932
YLR449W	7.055282436
YNL217W	7.055282436
YCR028C-A	7.049848549
YDL004W	7.049848549
YJR064W	7.049848549
YCL001W	7.044394119
YLR259C	7.044394119
YNR035C	7.044394119
YPL160W	7.044394119
YLR420W	7.038918989
YKL016C	7.033423002
YMR314W	7.027905997
YOL129W	7.027905997
YNL247W	7.016808288
YPL154C	7.016808288
YDL208W	7.011227255
YER030W	7.011227255
YJR016C	7.011227255
YKR043C	6.994353437
YMR105C	6.988684687
YDL072C	6.977279923
YDL067C	6.977279923
YHL033C	6.977279923
YGR137W	6.971543554
YML110C	6.971543554
YER053C	6.965784285
YFR015C	6.960001932
YJR121W	6.960001932
YOR046C	6.960001932
YGR159C	6.95419631
YGR162W	6.95419631
YNL079C	6.95419631
YMR195W	6.948367232
YEL060C	6.942514505
YER133W	6.942514505
YMR131C	6.942514505
YAL023C	6.936637939
