ID	Translation_number	Protein_halflive	mRNA_halflive
YHR061C	347.0113645	2	2.17
YJR056C	699.8860176	2	2.57
YER064C	361.8217627	2	3.58
YLR238W	523.2944719	2	3.9
YNR024W	523.2944719	2	4.83
YOR144C	523.2944719	2	4.94
YDR184C	523.2944719	2	4.95
YJL168C	523.2944719	2	5.3
YHR040W	560	2	5.34
YAL039C	722.3448314	2	5.48
YKR099W	271.615259	2	5.78
YMR037C	30.58131777	2	5.86
YML091C	499.5848073	2	6.31
YDL001W	250.0423574	2	6.36
YIL045W	234.4672777	2	6.48
YOR033C	523.2944719	2	6.69
YDR329C	285.3130659	2	6.7
YNL082W	153.5823259	2	6.83
YHR001W-A	850.8558382	2	7.28
YDR365C	87.51503299	2	7.29
YML111W	75.4699659	2	7.32
YIL143C	177.6540802	2	7.38
YLR228C	21.92491553	2	7.49
YCR018C	354.0875072	2	7.51
YER124C	500.0104436	2	7.64
YDR164C	523.2944719	2	7.77
YJL101C	908.9529973	2	7.83
YLR194C	97.07281935	2	8.34
YPL158C	81.87442635	2	9.03
YKL185W	261.5274375	2	9.35
YDL010W	523.2944719	2	9.38
YJL212C	553.0052061	2	9.73
YJL003W	181.6000398	2	9.83
YFR048W	162.1998205	2	9.94
YKL112W	523.2944719	2	10.25
YHL027W	357.7421707	2	10.34
YHR077C	340.8890411	2	10.43
YBR097W	139.5	2	10.45
YNL163C	2339.003066	2	10.49
YHL019C	523.2944719	2	10.74
YLL061W	523.2944719	2	11.54
YMR048W	103.4852078	2	11.61
YKL164C	144.4326342	2	11.93
YOL062C	667.5117304	2	12.1
YOR256C	63.82381607	2	12.47
YDL227C	523.2944719	2	12.75
YML115C	1118.192339	2	12.86
YBR055C	436.9146577	2	12.96
YNL148C	164	2	13.11
YDR482C	115.0450348	2	13.57
YLR220W	615.4233085	2	13.64
YBR094W	511.6447425	2	14.44
YMR006C	112.7895378	2	24.59
YEL042W	1466.497814	2	25.61
YGL184C	523.2944719	2	41.17
YER011W	120.9768141	2	41.77
YDR483W	2187.626128	2	52.45
YBR046C	523.2944719	2	55.67
YOL159C-A	34.30431759	2	11.075
YDL048C	121.9530229	2	11.075
YLR094C	251.8030899	2	11.075
YPL162C	401.6778417	2	11.075
YPL153C	2373.670344	2	11.075
YFR036W	523.2944719	2	11.075
YLR462W	523.2944719	2	11.075
YML037C	523.2944719	2	11.075
YHR015W	523.2944719	2	11.075
YNL279W	523.2944719	2	11.075
YMR154C	523.2944719	2	11.075
YDL149W	523.2944719	2	11.075
YNL278W	523.2944719	2	11.075
YBR071W	280.0203898	3	2.52
YDR451C	523.2944719	3	3.96
YNL289W	159.1656182	3	3.99
YDL138W	523.2944719	3	4.01
YER132C	250.9292454	3	4.6
YML027W	396.7879072	3	4.73
YOR025W	147.0096892	3	4.81
YDL176W	145.9993532	3	4.86
YDL028C	523.2944719	3	5.24
YOR208W	28.82053414	3	5.32
YBL084C	174.8067548	3	5.33
YBR201W	55.53737732	3	5.37
YIR011C	530	3	5.67
YIL130W	119.2078783	3	5.71
YLR131C	339.4402074	3	5.74
YGL144C	523.2944719	3	5.81
YER040W	253.6684927	3	5.93
YPL268W	523.2944719	3	6.02
YIL046W	59.55229534	3	6.17
YBR289W	55.54289138	3	6.36
YHR116W	340	3	6.47
YOR363C	523.2944719	3	6.73
YKR029C	523.2944719	3	6.81
YJL084C	12.44247785	3	6.94
YLR260W	337.8473472	3	7.03
YFL049W	1093.952419	3	7.4
YML076C	390.6236382	3	7.52
YER032W	523.2944719	3	7.67
YOL051W	523.2944719	3	7.89
YDL020C	523.2944719	3	8.03
YKL052C	523.2944719	3	8.06
YOL096C	71.07854605	3	8.35
YBR255W	523.2944719	3	8.49
YDR089W	41.24774425	3	8.61
YML081W	119.3742101	3	9.13
YNL004W	389.5449688	3	9.15
YPR060C	523.2944719	3	9.18
YOR227W	46.76343099	3	9.29
YMR019W	29.15411138	3	9.35
YML104C	168.8252108	3	9.41
YGR143W	130.5452986	3	9.53
YER087W	523.2944719	3	9.67
YMR172W	523.2944719	3	9.87
YMR016C	66.80226082	3	10.08
YOR092W	523.2944719	3	10.71
YNL286W	523.2944719	3	10.86
YAL017W	523.2944719	3	11.08
YBL085W	242.6843379	3	11.3
YPL176C	99	3	12.29
YGL130W	50.5108845	3	12.47
YPR115W	56.56342414	3	12.87
YDR323C	384	3	13.99
YIR006C	523.2944719	3	14.19
YOR042W	108.2558086	3	14.53
YMR247C	53.23836758	3	16.15
YDR128W	142.3126618	3	16.47
YAL022C	39.5130744	3	17.22
YOR320C	53.37003016	3	18.54
YER044C	58.21734388	3	19.04
YML010W	523.2944719	3	21.66
YDR481C	510.9636189	3	22.15
YEL060C	230.4640486	3	30.12
YPR183W	248.8089504	3	34.26
YBR056W	329.1796068	3	34.43
YOR099W	983.8675157	3	40.25
YEL066W	357.1508278	3	46.51
YML058W-A	523.2944719	3	152.83
YJL149W	47.22369457	3	11.075
YDL146W	82.25	3	11.075
YER104W	111.5452285	3	11.075
YIR009W	122.0550875	3	11.075
YOR058C	226.0684931	3	11.075
YER158C	290.3230888	3	11.075
YFL050C	758.7213086	3	11.075
YGR291C	523.2944719	3	11.075
YDR230W	523.2944719	3	11.075
YIL089W	523.2944719	3	11.075
YMR322C	523.2944719	3	11.075
YJR156C	523.2944719	3	11.075
YIL092W	523.2944719	3	11.075
YDR109C	523.2944719	3	11.075
YLR149C	523.2944719	3	11.075
YBL097W	523.2944719	3	11.075
YNL014W	523.2944719	3	11.075
YOR337W	1258.20031	4	5.82
YKR086W	1250	4	6.58
YDR444W	523.2944719	4	6.84
YBR162W-A	99.74298576	4	9.74
YML011C	210.5557436	4	10.42
YDR421W	63.8	4	12.86
YHR173C	523.2944719	4	11.075
YPL267W	163.4416491	5	4.33
YPL046C	137.7054173	5	6.7
YHR195W	344.9656576	5	7.42
YPL256C	296.3549126	5	7.43
YLR321C	819.5775149	5	7.53
YDR103W	523.2944719	5	7.62
YBR138C	65	5	7.64
YKL121W	124.6169352	5	7.67
YJR066W	154.7005761	5	9.17
YKL137W	41.64543848	5	9.28
YOR355W	485.0610021	5	11.88
YGR117C	282.9628537	5	12.48
YEL009C	523.2944719	5	20.88
YMR070W	312.4196458	5	11.075
YLL018C-A	2476.390209	5	11.075
YKR098C	523.2944719	5	11.075
YOR372C	207.1031457	6	4.96
YHR215W	523.2944719	6	5.09
YPL105C	157.0362984	6	5.42
YMR199W	71.01746054	6	5.98
YPR068C	523.2944719	6	6.24
YGL038C	2234.030588	6	6.7
YGL036W	113.4082579	6	6.88
YMR127C	523.2944719	6	6.88
YNL275W	51.93231486	6	7.41
YPL016W	27.7850686	6	9.39
YBL069W	523.2944719	6	9.78
YLR193C	156.7281888	6	9.96
YFR039C	523.2944719	6	10.88
YBL015W	1321.464575	6	11.37
YKL176C	523.2944719	6	13.16
YPR188C	202.8777907	6	13.5
YJL137C	490.5	6	17.64
YDL046W	472.4492819	6	17.78
YIL030C	523.2944719	6	18.85
YFL007W	527.3045027	6	22.64
YDR182W	523.2944719	6	30.77
YDR540C	57.33333333	6	11.075
YOR113W	198.051196	6	11.075
YIL054W	523.2944719	6	11.075
YOR044W	1350.189673	7	1.92
YHR156C	154.5476965	7	5
YOR233W	90.22295474	7	5.23
YDL091C	94.73733614	7	5.39
YDR143C	79.26541236	7	6
YNL183C	62.35469528	7	6.29
