ORF	Protein_abundance
YKL096W-a	1.59E+06
YGL008C	1.26E+06
YKL060C	1.02E+06
YLR355C	8.83E+05
YLR249W	8.71E+05
YNL030W	6.81E+05
YDR382W	6.02E+05
YBR009C	5.24E+05
YJR104C	5.19E+05
YER131W	5.03E+05
YLR134W	4.71E+05
YPL240C	4.45E+05
YBL002W	4.43E+05
YOL039W	4.28E+05
YML028W	3.78E+05
YLL024C	3.64E+05
YPR035W	3.46E+05
YJL034W	3.37E+05
YML123C	3.35E+05
YMR116C	3.33E+05
YGR027C	3.22E+05
YCR012W	3.14E+05
YHR027C	3.06E+05
YER070W	2.93E+05
YDR353W	2.92E+05
YAL038W	2.91E+05
YAL005C	2.69E+05
YGL135W	2.65E+05
YER091C	2.64E+05
YKL216W	2.64E+05
YNL031C	2.48E+05
YGL031C	2.47E+05
YHL033C	2.38E+05
YBL027W	2.25E+05
YLR153C	2.25E+05
YBR010W	2.13E+05
YDR050C	2.07E+05
YDL185W	2.00E+05
YER165W	1.98E+05
YIL053W	1.93E+05
YDR033W	1.82E+05
YKL152C	1.72E+05
YJR016C	1.71E+05
YDL229W	1.70E+05
YGR192C	1.69E+05
YIL051C	1.68E+05
YJR121W	1.64E+05
YLR333C	1.62E+05
YLR110C	1.58E+05
YPL160W	1.58E+05
YER177W	1.58E+05
YDR012W	1.51E+05
YNL178W	1.46E+05
YPL061W	1.35E+05
YDL082W	1.33E+05
YMR186W	1.32E+05
YBR127C	1.31E+05
YGL137W	1.29E+05
YCR024C-A	1.24E+05
YDR226W	1.23E+05
YJR009C	1.21E+05
YJL052W	1.20E+05
YNL064C	1.19E+05
YPL220W	1.16E+05
YGR086C	1.15E+05
YGL253W	1.14E+05
YML026C	1.12E+05
YIR034C	1.12E+05
YML063W	1.07E+05
YEL046C	1.06E+05
YKR059W	1.06E+05
YPL081W	1.06E+05
YPL004C	1.04E+05
YNL209W	1.04E+05
YLR180W	1.03E+05
YKL081W	1.02E+05
YHR203C	1.02E+05
YGL076C	1.01E+05
YHR183W	1.01E+05
YER178W	1.00E+05
YBR121C	9.84E+04
YBR084C-A	9.77E+04
YDL055C	9.71E+04
YLR304C	9.67E+04
YNL255C	9.67E+04
YGL009C	9.63E+04
YOR167C	9.45E+04
YGR214W	9.37E+04
YHR025W	9.26E+04
YLR441C	9.24E+04
YKL182W	9.18E+04
YBR196C	9.16E+04
YMR205C	9.02E+04
YGR240C	8.98E+04
YGR180C	8.89E+04
YHR208W	8.73E+04
YGR285C	8.64E+04
YDR155C	8.60E+04
YGR264C	8.50E+04
YMR079W	8.43E+04
YOR133W	8.27E+04
YLL045C	8.02E+04
YMR309C	7.89E+04
YDR172W	7.89E+04
YDR432W	7.87E+04
YDL126C	7.84E+04
YDR385W	7.81E+04
YNL287W	7.79E+04
YOR375C	7.75E+04
YGR159C	7.74E+04
YGR060W	7.71E+04
YHR047C	7.70E+04
YGR254W	7.67E+04
YNL067W	7.60E+04
YEL017C-A	7.47E+04
YFL034C-A	7.47E+04
YHR064C	7.36E+04
YHR007C	7.32E+04
YLR438W	7.20E+04
YPL106C	7.17E+04
YEL054C	6.85E+04
YBR011C	6.84E+04
YNR053C	6.77E+04
YLR058C	6.76E+04
YOR027W	6.76E+04
