cyclic nucleotide metabolic process (GO:0009187),1,1,0.32,+,3.11,2.75E-01
peptidoglycan metabolic process (GO:0000270),1,1,0.32,+,3.11,2.75E-01
protein K63-linked deubiquitination (GO:0070536),2,2,0.64,+,3.11,1.36E-01
mitochondrial fusion (GO:0008053),2,2,0.64,+,3.11,1.36E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525),1,1,0.32,+,3.11,2.75E-01
response to hypoxia (GO:0001666),1,1,0.32,+,3.11,2.75E-01
intracellular pH reduction (GO:0051452),5,5,1.61,+,3.11,2.40E-02
negative regulation of macroautophagy (GO:0016242),1,1,0.32,+,3.11,2.75E-01
response to nutrient (GO:0007584),2,2,0.64,+,3.11,1.36E-01
cristae formation (GO:0042407),2,2,0.64,+,3.11,1.36E-01
regulation of glucose metabolic process (GO:0010906),1,1,0.32,+,3.11,2.75E-01
energy reserve metabolic process (GO:0006112),3,3,0.96,+,3.11,7.38E-02
apoptotic mitochondrial changes (GO:0008637),1,1,0.32,+,3.11,2.75E-01
mitotic spindle assembly (GO:0090307),1,1,0.32,+,3.11,2.75E-01
protein import into chloroplast stroma (GO:0045037),1,1,0.32,+,3.11,2.75E-01
circadian regulation of gene expression (GO:0032922),2,2,0.64,+,3.11,1.36E-01
TORC1 signaling (GO:0038202),1,1,0.32,+,3.11,2.75E-01
regulation of cell cycle G1/S phase transition (GO:1902806),1,1,0.32,+,3.11,2.75E-01
response to oxygen levels (GO:0070482),1,1,0.32,+,3.11,2.75E-01
glycogen metabolic process (GO:0005977),3,3,0.96,+,3.11,7.38E-02
positive regulation of transport (GO:0051050),3,3,0.96,+,3.11,7.38E-02
histone exchange (GO:0043486),4,4,1.29,+,3.11,4.16E-02
negative regulation of autophagy (GO:0010507),1,1,0.32,+,3.11,2.75E-01
regulation of apoptotic process (GO:0042981),1,1,0.32,+,3.11,2.75E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620),4,4,1.29,+,3.11,4.16E-02
cellular response to light stimulus (GO:0071482),2,2,0.64,+,3.11,1.36E-01
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243),1,1,0.32,+,3.11,2.75E-01
regulation of intrinsic apoptotic signaling pathway (GO:2001242),1,1,0.32,+,3.11,2.75E-01
response to decreased oxygen levels (GO:0036293),1,1,0.32,+,3.11,2.75E-01
negative regulation of apoptotic signaling pathway (GO:2001234),1,1,0.32,+,3.11,2.75E-01
regulation of apoptotic signaling pathway (GO:2001233),1,1,0.32,+,3.11,2.75E-01
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134),1,1,0.32,+,3.11,2.75E-01
cellular response to hypoxia (GO:0071456),1,1,0.32,+,3.11,2.75E-01
syncytium formation (GO:0006949),1,1,0.32,+,3.11,2.75E-01
negative regulation of programmed cell death (GO:0043069),1,1,0.32,+,3.11,2.75E-01
negative regulation of apoptotic process (GO:0043066),1,1,0.32,+,3.11,2.75E-01
response to cadmium ion (GO:0046686),2,2,0.64,+,3.11,1.36E-01
long-chain fatty acid transport (GO:0015909),1,1,0.32,+,3.11,2.75E-01
peptidoglycan biosynthetic process (GO:0009252),1,1,0.32,+,3.11,2.75E-01
cell cycle arrest (GO:0007050),1,1,0.32,+,3.11,2.75E-01
pH reduction (GO:0045851),5,5,1.61,+,3.11,2.40E-02
negative regulation of cell death (GO:0060548),1,1,0.32,+,3.11,2.75E-01
vacuolar acidification (GO:0007035),5,5,1.61,+,3.11,2.40E-02
fertilization (GO:0009566),1,1,0.32,+,3.11,2.75E-01
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),1,1,0.32,+,3.11,2.75E-01
tyrosine metabolic process (GO:0006570),2,2,0.64,+,3.11,1.36E-01
pyrimidine nucleobase catabolic process (GO:0006208),1,1,0.32,+,3.11,2.75E-01
cellular zinc ion homeostasis (GO:0006882),1,1,0.32,+,3.11,2.75E-01
protein monoubiquitination (GO:0006513),1,1,0.32,+,3.11,2.75E-01
mitotic DNA replication (GO:1902969),4,4,1.29,+,3.11,4.16E-02
regulation of G1/S transition of mitotic cell cycle (GO:2000045),1,1,0.32,+,3.11,2.75E-01
photosynthesis (GO:0015979),30,25,9.64,+,2.59,2.58E-05
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289),6,5,1.93,+,2.59,4.64E-02
double-strand break repair via break-induced replication (GO:0000727),6,5,1.93,+,2.59,4.64E-02
protein N-linked glycosylation via asparagine (GO:0018279),6,5,1.93,+,2.59,4.64E-02
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267),6,5,1.93,+,2.59,4.64E-02
response to UV (GO:0009411),5,4,1.61,+,2.49,7.97E-02
protein targeting to chloroplast (GO:0045036),10,8,3.21,+,2.49,1.72E-02
UDP-N-acetylglucosamine metabolic process (GO:0006047),5,4,1.61,+,2.49,7.97E-02
establishment of protein localization to chloroplast (GO:0072596),10,8,3.21,+,2.49,1.72E-02
apoptotic process (GO:0006915),5,4,1.61,+,2.49,7.97E-02
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)",14,11,4.5,+,2.44,6.64E-03
TOR signaling (GO:0031929),4,3,1.29,+,2.33,1.40E-01
mitochondrial fission (GO:0000266),12,9,3.86,+,2.33,1.74E-02
"vacuole fusion, non-autophagic (GO:0042144)",4,3,1.29,+,2.33,1.40E-01
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)",4,3,1.29,+,2.33,1.40E-01
carotenoid biosynthetic process (GO:0016117),4,3,1.29,+,2.33,1.40E-01
intrinsic apoptotic signaling pathway (GO:0097193),4,3,1.29,+,2.33,1.40E-01
apoptotic signaling pathway (GO:0097190),4,3,1.29,+,2.33,1.40E-01
peroxisomal transport (GO:0043574),11,8,3.54,+,2.26,2.81E-02
protein localization to chloroplast (GO:0072598),11,8,3.54,+,2.26,2.81E-02
regulation of histone modification (GO:0031056),7,5,2.25,+,2.22,7.79E-02
establishment of protein localization to peroxisome (GO:0072663),10,7,3.21,+,2.18,4.54E-02
protein localization to peroxisome (GO:0072662),10,7,3.21,+,2.18,4.54E-02
protein targeting to peroxisome (GO:0006625),10,7,3.21,+,2.18,4.54E-02
DNA strand elongation involved in DNA replication (GO:0006271),10,7,3.21,+,2.18,4.54E-02
glucose metabolic process (GO:0006006),16,11,5.14,+,2.14,1.64E-02
embryo development (GO:0009790),3,2,0.96,+,2.07,2.51E-01
regulation of cell death (GO:0010941),3,2,0.96,+,2.07,2.51E-01
histone ubiquitination (GO:0016574),3,2,0.96,+,2.07,2.51E-01
protein import into peroxisome matrix (GO:0016558),6,4,1.93,+,2.07,1.30E-01
ubiquinone biosynthetic process (GO:0006744),6,4,1.93,+,2.07,1.30E-01
maturation of LSU-rRNA (GO:0000470),24,16,7.71,+,2.07,5.91E-03
regulation of telomere maintenance via telomere lengthening (GO:1904356),3,2,0.96,+,2.07,2.51E-01
positive regulation of translational initiation (GO:0045948),3,2,0.96,+,2.07,2.51E-01
regulation of mitochondrion organization (GO:0010821),3,2,0.96,+,2.07,2.51E-01
somatic cell DNA recombination (GO:0016444),3,2,0.96,+,2.07,2.51E-01
regulation of telomere maintenance via telomerase (GO:0032210),3,2,0.96,+,2.07,2.51E-01
regulation of telomere maintenance (GO:0032204),3,2,0.96,+,2.07,2.51E-01
organic cation transport (GO:0015695),3,2,0.96,+,2.07,2.51E-01
regulation of programmed cell death (GO:0043067),3,2,0.96,+,2.07,2.51E-01
protein localization to Golgi apparatus (GO:0034067),3,2,0.96,+,2.07,2.51E-01
nuclear DNA replication (GO:0033260),9,6,2.89,+,2.07,7.34E-02
regulation of cytokinesis (GO:0032465),3,2,0.96,+,2.07,2.51E-01
mitochondrial protein processing (GO:0034982),3,2,0.96,+,2.07,2.51E-01
COPII-coated vesicle budding (GO:0090114),6,4,1.93,+,2.07,1.30E-01
protein localization to cytoskeleton (GO:0044380),3,2,0.96,+,2.07,2.51E-01
nucleotide-sugar metabolic process (GO:0009225),19,12,6.11,+,1.97,2.25E-02
peroxisome organization (GO:0007031),19,12,6.11,+,1.97,2.25E-02
nucleoside diphosphate metabolic process (GO:0009132),40,25,12.86,+,1.94,1.70E-03
aromatic amino acid family catabolic process (GO:0009074),8,5,2.57,+,1.94,1.18E-01
glycoprotein biosynthetic process (GO:0009101),31,19,9.96,+,1.91,6.87E-03
protein glycosylation (GO:0006486),31,19,9.96,+,1.91,6.87E-03
macromolecule glycosylation (GO:0043413),31,19,9.96,+,1.91,6.87E-03
regulation of establishment of protein localization (GO:0070201),5,3,1.61,+,1.87,2.18E-01
proteasome assembly (GO:0043248),5,3,1.61,+,1.87,2.18E-01
regulation of peptide transport (GO:0090087),5,3,1.61,+,1.87,2.18E-01
regulation of translational initiation (GO:0006446),5,3,1.61,+,1.87,2.18E-01
"nucleotide-excision repair, DNA incision (GO:0033683)",5,3,1.61,+,1.87,2.18E-01
cytoplasmic mRNA processing body assembly (GO:0033962),10,6,3.21,+,1.87,1.07E-01
chlorophyll metabolic process (GO:0015994),5,3,1.61,+,1.87,2.18E-01
endoplasmic reticulum unfolded protein response (GO:0030968),20,12,6.43,+,1.87,3.15E-02
cell cycle DNA replication (GO:0044786),10,6,3.21,+,1.87,1.07E-01
regulation of protein transport (GO:0051223),5,3,1.61,+,1.87,2.18E-01
aerobic electron transport chain (GO:0019646),5,3,1.61,+,1.87,2.18E-01
chloroplast fission (GO:0010020),5,3,1.61,+,1.87,2.18E-01
glycosylation (GO:0070085),32,19,10.28,+,1.85,9.37E-03
hexose metabolic process (GO:0019318),36,21,11.57,+,1.81,7.92E-03
monosaccharide metabolic process (GO:0005996),43,25,13.82,+,1.81,4.24E-03
ribonucleoside diphosphate metabolic process (GO:0009185),31,18,9.96,+,1.81,1.37E-02
nucleosome assembly (GO:0006334),19,11,6.11,+,1.8,4.71E-02
regulation of mRNA catabolic process (GO:0061013),7,4,2.25,+,1.78,1.90E-01
vesicle targeting (GO:0006903),7,4,2.25,+,1.78,1.90E-01
"vesicle targeting, to, from or within Golgi (GO:0048199)",7,4,2.25,+,1.78,1.90E-01
poly(A)+ mRNA export from nucleus (GO:0016973),7,4,2.25,+,1.78,1.90E-01
regulation of protein stability (GO:0031647),14,8,4.5,+,1.78,8.65E-02
nucleoside diphosphate phosphorylation (GO:0006165),32,18,10.28,+,1.75,1.82E-02
nucleotide phosphorylation (GO:0046939),32,18,10.28,+,1.75,1.82E-02
