cyclic nucleotide metabolic process (GO:0009187),1,1,0.16,+,6.24,1.48E-01
response to hypoxia (GO:0001666),1,1,0.16,+,6.24,1.48E-01
negative regulation of macroautophagy (GO:0016242),1,1,0.16,+,6.24,1.48E-01
regulation of macroautophagy (GO:0016241),2,2,0.32,+,6.24,4.16E-02
mitochondrial respiratory chain complex II assembly (GO:0034553),1,1,0.16,+,6.24,1.48E-01
endosome to lysosome transport (GO:0008333),1,1,0.16,+,6.24,1.48E-01
energy reserve metabolic process (GO:0006112),3,3,0.48,+,6.24,1.29E-02
mitotic spindle assembly (GO:0090307),1,1,0.16,+,6.24,1.48E-01
protein import into chloroplast stroma (GO:0045037),1,1,0.16,+,6.24,1.48E-01
TORC1 signaling (GO:0038202),1,1,0.16,+,6.24,1.48E-01
response to oxygen levels (GO:0070482),1,1,0.16,+,6.24,1.48E-01
glycogen metabolic process (GO:0005977),3,3,0.48,+,6.24,1.29E-02
negative regulation of autophagy (GO:0010507),1,1,0.16,+,6.24,1.48E-01
regulation of autophagosome maturation (GO:1901096),1,1,0.16,+,6.24,1.48E-01
regulation of apoptotic process (GO:0042981),1,1,0.16,+,6.24,1.48E-01
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243),1,1,0.16,+,6.24,1.48E-01
regulation of intrinsic apoptotic signaling pathway (GO:2001242),1,1,0.16,+,6.24,1.48E-01
response to decreased oxygen levels (GO:0036293),1,1,0.16,+,6.24,1.48E-01
negative regulation of apoptotic signaling pathway (GO:2001234),1,1,0.16,+,6.24,1.48E-01
regulation of apoptotic signaling pathway (GO:2001233),1,1,0.16,+,6.24,1.48E-01
amino sugar catabolic process (GO:0046348),2,2,0.32,+,6.24,4.16E-02
cellular response to hypoxia (GO:0071456),1,1,0.16,+,6.24,1.48E-01
negative regulation of programmed cell death (GO:0043069),1,1,0.16,+,6.24,1.48E-01
negative regulation of apoptotic process (GO:0043066),1,1,0.16,+,6.24,1.48E-01
long-chain fatty acid transport (GO:0015909),1,1,0.16,+,6.24,1.48E-01
protein localization to cell surface (GO:0034394),1,1,0.16,+,6.24,1.48E-01
protein K11-linked ubiquitination (GO:0070979),1,1,0.16,+,6.24,1.48E-01
negative regulation of cell death (GO:0060548),1,1,0.16,+,6.24,1.48E-01
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),1,1,0.16,+,6.24,1.48E-01
tyrosine metabolic process (GO:0006570),2,2,0.32,+,6.24,4.16E-02
positive regulation of cell communication (GO:0010647),3,2,0.48,+,4.16,8.44E-02
positive regulation of signaling (GO:0023056),3,2,0.48,+,4.16,8.44E-02
histone ubiquitination (GO:0016574),3,2,0.48,+,4.16,8.44E-02
positive regulation of signal transduction (GO:0009967),3,2,0.48,+,4.16,8.44E-02
regulation of mRNA stability (GO:0043488),5,3,0.8,+,3.75,4.75E-02
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),9,5,1.44,+,3.47,1.59E-02
nucleoside triphosphate catabolic process (GO:0009143),2,1,0.32,+,3.12,2.74E-01
protein K63-linked deubiquitination (GO:0070536),2,1,0.32,+,3.12,2.74E-01
meiotic DNA double-strand break formation (GO:0042138),2,1,0.32,+,3.12,2.74E-01
regulation of meiotic cell cycle (GO:0051445),4,2,0.64,+,3.12,1.36E-01
Rho protein signal transduction (GO:0007266),2,1,0.32,+,3.12,2.74E-01
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)",2,1,0.32,+,3.12,2.74E-01
mitochondrial respiratory chain complex I assembly (GO:0032981),2,1,0.32,+,3.12,2.74E-01
positive regulation of response to DNA damage stimulus (GO:2001022),2,1,0.32,+,3.12,2.74E-01
monocarboxylic acid transport (GO:0015718),4,2,0.64,+,3.12,1.36E-01
circadian regulation of gene expression (GO:0032922),2,1,0.32,+,3.12,2.74E-01
autophagosome maturation (GO:0097352),4,2,0.64,+,3.12,1.36E-01
regulation of RNA stability (GO:0043487),6,3,0.96,+,3.12,7.33E-02
regulation of autophagy (GO:0010506),4,2,0.64,+,3.12,1.36E-01
"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)",4,2,0.64,+,3.12,1.36E-01
nucleotide transmembrane transport (GO:1901679),2,1,0.32,+,3.12,2.74E-01
cellular response to light stimulus (GO:0071482),2,1,0.32,+,3.12,2.74E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196),2,1,0.32,+,3.12,2.74E-01
gene silencing by miRNA (GO:0035195),2,1,0.32,+,3.12,2.74E-01
Golgi to plasma membrane protein transport (GO:0043001),2,1,0.32,+,3.12,2.74E-01
negative regulation of catabolic process (GO:0009895),2,1,0.32,+,3.12,2.74E-01
negative regulation of cellular catabolic process (GO:0031330),2,1,0.32,+,3.12,2.74E-01
COPII-coated vesicle budding (GO:0090114),6,3,0.96,+,3.12,7.33E-02
photosynthesis (GO:0015979),30,14,4.81,+,2.91,4.70E-04
"positive regulation of DNA-templated transcription, initiation (GO:2000144)",11,5,1.76,+,2.84,3.37E-02
"regulation of DNA-templated transcription, initiation (GO:2000142)",11,5,1.76,+,2.84,3.37E-02
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),11,5,1.76,+,2.84,3.37E-02
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),11,5,1.76,+,2.84,3.37E-02
triglyceride metabolic process (GO:0006641),7,3,1.12,+,2.68,1.04E-01
acylglycerol metabolic process (GO:0006639),7,3,1.12,+,2.68,1.04E-01
neutral lipid metabolic process (GO:0006638),7,3,1.12,+,2.68,1.04E-01
regulation of mRNA catabolic process (GO:0061013),7,3,1.12,+,2.68,1.04E-01
regulation of adenylate cyclase activity (GO:0045761),5,2,0.8,+,2.5,1.92E-01
regulation of microtubule cytoskeleton organization (GO:0070507),5,2,0.8,+,2.5,1.92E-01
regulation of cyclase activity (GO:0031279),5,2,0.8,+,2.5,1.92E-01
tRNA wobble uridine modification (GO:0002098),5,2,0.8,+,2.5,1.92E-01
regulation of lyase activity (GO:0051339),5,2,0.8,+,2.5,1.92E-01
regulation of microtubule polymerization or depolymerization (GO:0031110),5,2,0.8,+,2.5,1.92E-01
regulation of microtubule-based process (GO:0032886),5,2,0.8,+,2.5,1.92E-01
cyclic-nucleotide-mediated signaling (GO:0019935),5,2,0.8,+,2.5,1.92E-01
cAMP-mediated signaling (GO:0019933),5,2,0.8,+,2.5,1.92E-01
chloroplast fission (GO:0010020),5,2,0.8,+,2.5,1.92E-01
iron ion transport (GO:0006826),5,2,0.8,+,2.5,1.92E-01
positive regulation of cellular catabolic process (GO:0031331),23,9,3.68,+,2.44,1.33E-02
positive regulation of catabolic process (GO:0009896),26,10,4.17,+,2.4,1.05E-02
nucleoside diphosphate metabolic process (GO:0009132),40,15,6.41,+,2.34,2.56E-03
protein insertion into mitochondrial inner membrane (GO:0045039),8,3,1.28,+,2.34,1.39E-01
cellular carbohydrate catabolic process (GO:0044275),16,6,2.56,+,2.34,4.63E-02
cellular response to oxidative stress (GO:0034599),30,11,4.81,+,2.29,1.04E-02
cellular response to chemical stress (GO:0062197),30,11,4.81,+,2.29,1.04E-02
protein localization to chloroplast (GO:0072598),11,4,1.76,+,2.27,1.03E-01
regulation of cellular catabolic process (GO:0031329),31,11,4.97,+,2.21,1.30E-02
positive regulation of proteasomal protein catabolic process (GO:1901800),17,6,2.72,+,2.2,5.85E-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052),17,6,2.72,+,2.2,5.85E-02
positive regulation of cellular protein catabolic process (GO:1903364),17,6,2.72,+,2.2,5.85E-02
organic acid transmembrane transport (GO:1903825),17,6,2.72,+,2.2,5.85E-02
carboxylic acid transmembrane transport (GO:1905039),17,6,2.72,+,2.2,5.85E-02
regulation of catabolic process (GO:0009894),34,12,5.45,+,2.2,1.02E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436),17,6,2.72,+,2.2,5.85E-02
positive regulation of protein-containing complex assembly (GO:0031334),17,6,2.72,+,2.2,5.85E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060),17,6,2.72,+,2.2,5.85E-02
positive regulation of cellular component biogenesis (GO:0044089),17,6,2.72,+,2.2,5.85E-02
positive regulation of protein catabolic process (GO:0045732),20,7,3.2,+,2.18,4.48E-02
protein palmitoylation (GO:0018345),23,8,3.68,+,2.17,3.44E-02
negative regulation of translation (GO:0017148),23,8,3.68,+,2.17,3.44E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179),29,10,4.65,+,2.15,2.06E-02
purine nucleoside diphosphate metabolic process (GO:0009135),29,10,4.65,+,2.15,2.06E-02
ATP generation from ADP (GO:0006757),29,10,4.65,+,2.15,2.06E-02
glycolytic process (GO:0006096),29,10,4.65,+,2.15,2.06E-02
ADP metabolic process (GO:0046031),29,10,4.65,+,2.15,2.06E-02
