vesicle-mediated transport to the plasma membrane (GO:0098876),7,7,4.55,+,1.54,1.76E-01
non-motile cilium assembly (GO:1905515),9,9,5.86,+,1.54,1.38E-01
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)",9,9,5.86,+,1.54,1.38E-01
endonucleolytic cleavage involved in rRNA processing (GO:0000478),9,9,5.86,+,1.54,1.38E-01
cleavage involved in rRNA processing (GO:0000469),14,14,9.11,+,1.54,7.94E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071),9,9,5.86,+,1.54,1.38E-01
double-strand break repair via break-induced replication (GO:0000727),9,9,5.86,+,1.54,1.38E-01
DNA replication checkpoint (GO:0000076),9,9,5.86,+,1.54,1.38E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099),9,9,5.86,+,1.54,1.38E-01
spindle assembly (GO:0051225),9,9,5.86,+,1.54,1.38E-01
DNA strand elongation involved in DNA replication (GO:0006271),9,9,5.86,+,1.54,1.38E-01
receptor-mediated endocytosis (GO:0006898),7,7,4.55,+,1.54,1.76E-01
Golgi to plasma membrane transport (GO:0006893),7,7,4.55,+,1.54,1.76E-01
tissue morphogenesis (GO:0048729),1,1,0.65,+,1.54,4.78E-01
mitotic cytokinesis (GO:0000281),2,2,1.3,+,1.54,3.74E-01
negative regulation of actin filament polymerization (GO:0030837),1,1,0.65,+,1.54,4.78E-01
peptidoglycan metabolic process (GO:0000270),3,3,1.95,+,1.54,3.10E-01
nucleotide catabolic process (GO:0009166),3,3,1.95,+,1.54,3.10E-01
actin filament bundle organization (GO:0061572),2,2,1.3,+,1.54,3.74E-01
long-chain fatty acid metabolic process (GO:0001676),1,1,0.65,+,1.54,4.78E-01
regulation of chromatin assembly or disassembly (GO:0001672),1,1,0.65,+,1.54,4.78E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525),1,1,0.65,+,1.54,4.78E-01
