negative regulation of protein catabolic process (GO:0042177),1,1,0.18,+,5.44,1.68E-01
protein K63-linked deubiquitination (GO:0070536),1,1,0.18,+,5.44,1.68E-01
peptidyl-tyrosine dephosphorylation (GO:0035335),1,1,0.18,+,5.44,1.68E-01
embryo development ending in birth or egg hatching (GO:0009792),1,1,0.18,+,5.44,1.68E-01
protein localization to kinetochore (GO:0034501),1,1,0.18,+,5.44,1.68E-01
nucleotide-sugar transmembrane transport (GO:0015780),1,1,0.18,+,5.44,1.68E-01
citrate transport (GO:0015746),1,1,0.18,+,5.44,1.68E-01
protein insertion into mitochondrial inner membrane (GO:0045039),1,1,0.18,+,5.44,1.68E-01
endoderm development (GO:0007492),2,2,0.37,+,5.44,5.30E-02
L-alpha-amino acid transmembrane transport (GO:1902475),2,2,0.37,+,5.44,5.30E-02
mitochondrial outer membrane translocase complex assembly (GO:0070096),1,1,0.18,+,5.44,1.68E-01
heart morphogenesis (GO:0003007),1,1,0.18,+,5.44,1.68E-01
response to molecule of bacterial origin (GO:0002237),1,1,0.18,+,5.44,1.68E-01
chordate embryonic development (GO:0043009),1,1,0.18,+,5.44,1.68E-01
ectoderm development (GO:0007398),2,2,0.37,+,5.44,5.30E-02
response to lipopolysaccharide (GO:0032496),1,1,0.18,+,5.44,1.68E-01
gastrulation (GO:0007369),2,2,0.37,+,5.44,5.30E-02
negative regulation of protein ubiquitination (GO:0031397),1,1,0.18,+,5.44,1.68E-01
mesoderm formation (GO:0001707),2,2,0.37,+,5.44,5.30E-02
endoderm formation (GO:0001706),2,2,0.37,+,5.44,5.30E-02
ectoderm formation (GO:0001705),2,2,0.37,+,5.44,5.30E-02
formation of primary germ layer (GO:0001704),2,2,0.37,+,5.44,5.30E-02
carbohydrate derivative transport (GO:1901264),1,1,0.18,+,5.44,1.68E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481),1,1,0.18,+,5.44,1.68E-01
secondary alcohol metabolic process (GO:1902652),1,1,0.18,+,5.44,1.68E-01
fatty acid derivative metabolic process (GO:1901568),1,1,0.18,+,5.44,1.68E-01
behavior (GO:0007610),1,1,0.18,+,5.44,1.68E-01
positive regulation of Ras protein signal transduction (GO:0046579),2,2,0.37,+,5.44,5.30E-02
L-amino acid transport (GO:0015807),2,2,0.37,+,5.44,5.30E-02
basic amino acid transport (GO:0015802),1,1,0.18,+,5.44,1.68E-01
C4-dicarboxylate transport (GO:0015740),3,3,0.55,+,5.44,1.85E-02
triglyceride biosynthetic process (GO:0019432),3,3,0.55,+,5.44,1.85E-02
dicarboxylic acid transport (GO:0006835),3,3,0.55,+,5.44,1.85E-02
nucleoside diphosphate metabolic process (GO:0009132),9,8,1.65,+,4.84,3.19E-04
ribonucleoside diphosphate metabolic process (GO:0009185),8,7,1.47,+,4.76,8.15E-04
purine ribonucleoside diphosphate metabolic process (GO:0009179),8,7,1.47,+,4.76,8.15E-04
purine nucleoside diphosphate metabolic process (GO:0009135),8,7,1.47,+,4.76,8.15E-04
nucleoside diphosphate phosphorylation (GO:0006165),8,7,1.47,+,4.76,8.15E-04
ATP generation from ADP (GO:0006757),8,7,1.47,+,4.76,8.15E-04
glycolytic process (GO:0006096),8,7,1.47,+,4.76,8.15E-04
ADP metabolic process (GO:0046031),8,7,1.47,+,4.76,8.15E-04
nucleotide phosphorylation (GO:0046939),8,7,1.47,+,4.76,8.15E-04
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)",4,3,0.74,+,4.08,3.85E-02
regulation of circadian rhythm (GO:0042752),4,3,0.74,+,4.08,3.85E-02
circadian regulation of gene expression (GO:0032922),4,3,0.74,+,4.08,3.85E-02
rhythmic process (GO:0048511),8,6,1.47,+,4.08,4.02E-03
circadian rhythm (GO:0007623),8,6,1.47,+,4.08,4.02E-03
regulation of G protein-coupled receptor signaling pathway (GO:0008277),3,2,0.55,+,3.63,1.06E-01
negative regulation of MAPK cascade (GO:0043409),3,2,0.55,+,3.63,1.06E-01
regulation of mitochondrion organization (GO:0010821),3,2,0.55,+,3.63,1.06E-01
acyl-CoA metabolic process (GO:0006637),3,2,0.55,+,3.63,1.06E-01
Golgi to plasma membrane protein transport (GO:0043001),3,2,0.55,+,3.63,1.06E-01
regulation of double-strand break repair (GO:2000779),3,2,0.55,+,3.63,1.06E-01
pyrimidine nucleobase metabolic process (GO:0006206),3,2,0.55,+,3.63,1.06E-01
establishment or maintenance of bipolar cell polarity (GO:0061245),5,3,0.92,+,3.26,6.59E-02
triglyceride metabolic process (GO:0006641),5,3,0.92,+,3.26,6.59E-02
organic acid transmembrane transport (GO:1903825),10,6,1.84,+,3.26,1.13E-02
cellular response to light stimulus (GO:0071482),5,3,0.92,+,3.26,6.59E-02
carboxylic acid transmembrane transport (GO:1905039),10,6,1.84,+,3.26,1.13E-02
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),5,3,0.92,+,3.26,6.59E-02
membrane protein ectodomain proteolysis (GO:0006509),5,3,0.92,+,3.26,6.59E-02
amino acid transport (GO:0006865),10,6,1.84,+,3.26,1.13E-02
establishment or maintenance of apical/basal cell polarity (GO:0035088),5,3,0.92,+,3.26,6.59E-02
amino acid transmembrane transport (GO:0003333),7,4,1.29,+,3.11,4.17E-02
maturation of LSU-rRNA (GO:0000470),13,7,2.39,+,2.93,1.12E-02
carboxylic acid transport (GO:0046942),15,8,2.76,+,2.9,7.36E-03
organic acid transport (GO:0015849),15,8,2.76,+,2.9,7.36E-03
establishment of protein localization to membrane (GO:0090150),25,13,4.59,+,2.83,9.39E-04
regulation of peptide secretion (GO:0002791),2,1,0.37,+,2.72,3.08E-01
long-chain fatty acid metabolic process (GO:0001676),2,1,0.37,+,2.72,3.08E-01
"vacuole fusion, non-autophagic (GO:0042144)",2,1,0.37,+,2.72,3.08E-01
positive regulation of cell death (GO:0010942),2,1,0.37,+,2.72,3.08E-01
iron-sulfur cluster assembly (GO:0016226),4,2,0.74,+,2.72,1.68E-01
chondroitin sulfate proteoglycan metabolic process (GO:0050654),2,1,0.37,+,2.72,3.08E-01
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650),2,1,0.37,+,2.72,3.08E-01
tRNA wobble uridine modification (GO:0002098),2,1,0.37,+,2.72,3.08E-01
neuromuscular junction development (GO:0007528),2,1,0.37,+,2.72,3.08E-01
attachment of spindle microtubules to kinetochore (GO:0008608),2,1,0.37,+,2.72,3.08E-01
mesoderm morphogenesis (GO:0048332),4,2,0.74,+,2.72,1.68E-01
actin cytoskeleton reorganization (GO:0031532),2,1,0.37,+,2.72,3.08E-01
mitotic spindle assembly (GO:0090307),2,1,0.37,+,2.72,3.08E-01
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",8,4,1.47,+,2.72,6.18E-02
rRNA base methylation (GO:0070475),2,1,0.37,+,2.72,3.08E-01
negative regulation of transport (GO:0051051),2,1,0.37,+,2.72,3.08E-01
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),2,1,0.37,+,2.72,3.08E-01
receptor clustering (GO:0043113),4,2,0.74,+,2.72,1.68E-01
insulin receptor signaling pathway (GO:0008286),2,1,0.37,+,2.72,3.08E-01
pseudouridine synthesis (GO:0001522),4,2,0.74,+,2.72,1.68E-01
response to peptide hormone (GO:0043434),4,2,0.74,+,2.72,1.68E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315),2,1,0.37,+,2.72,3.08E-01
metaphase plate congression (GO:0051310),2,1,0.37,+,2.72,3.08E-01
mesoderm development (GO:0007498),4,2,0.74,+,2.72,1.68E-01
negative regulation of MAP kinase activity (GO:0043407),2,1,0.37,+,2.72,3.08E-01
DNA double-strand break processing (GO:0000729),2,1,0.37,+,2.72,3.08E-01
regulation of telomere maintenance (GO:0032204),2,1,0.37,+,2.72,3.08E-01
response to lipid (GO:0033993),2,1,0.37,+,2.72,3.08E-01
