peptidyl-serine acetylation (GO:0030920),1,1,0.32,+,3.11,2.75E-01
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036),1,1,0.32,+,3.11,2.75E-01
glycolate transport (GO:1900866),1,1,0.32,+,3.11,2.75E-01
plasma membrane pyruvate transport (GO:0006849),1,1,0.32,+,3.11,2.75E-01
regulation of protein binding (GO:0043393),1,1,0.32,+,3.11,2.75E-01
protoderm histogenesis (GO:0010068),1,1,0.32,+,3.11,2.75E-01
nitric oxide biosynthetic process (GO:0006809),4,4,1.29,+,3.11,4.16E-02
gamma-tubulin complex localization (GO:0033566),1,1,0.32,+,3.11,2.75E-01
response to dsRNA (GO:0043331),1,1,0.32,+,3.11,2.75E-01
response to exogenous dsRNA (GO:0043330),1,1,0.32,+,3.11,2.75E-01
"fatty acid beta-oxidation, unsaturated, even number (GO:0033542)",1,1,0.32,+,3.11,2.75E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539),1,1,0.32,+,3.11,2.75E-01
raffinose metabolic process (GO:0033530),1,1,0.32,+,3.11,2.75E-01
L-methionine biosynthetic process from L-homoserine via cystathionine (GO:0019279),1,1,0.32,+,3.11,2.75E-01
response to insecticide (GO:0017085),1,1,0.32,+,3.11,2.75E-01
vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072),2,2,0.64,+,3.11,1.36E-01
proton-transporting two-sector ATPase complex assembly (GO:0070071),3,3,0.96,+,3.11,7.38E-02
proton-transporting V-type ATPase complex assembly (GO:0070070),3,3,0.96,+,3.11,7.38E-02
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243),6,6,1.93,+,3.11,1.41E-02
gamma-aminobutyric acid catabolic process (GO:0009450),2,2,0.64,+,3.11,1.36E-01
gamma-aminobutyric acid metabolic process (GO:0009448),2,2,0.64,+,3.11,1.36E-01
lipooligosaccharide biosynthetic process (GO:1901271),2,2,0.64,+,3.11,1.36E-01
glycolate metabolic process (GO:0009441),3,3,0.96,+,3.11,7.38E-02
cyanate catabolic process (GO:0009440),1,1,0.32,+,3.11,2.75E-01
germ-line stem-cell niche homeostasis (GO:0060250),1,1,0.32,+,3.11,2.75E-01
lipooligosaccharide metabolic process (GO:1901269),2,2,0.64,+,3.11,1.36E-01
cyanate metabolic process (GO:0009439),1,1,0.32,+,3.11,2.75E-01
regulation of mitotic spindle organization (GO:0060236),1,1,0.32,+,3.11,2.75E-01
negative regulation of reactive oxygen species biosynthetic process (GO:1903427),1,1,0.32,+,3.11,2.75E-01
protein nitrosylation (GO:0017014),1,1,0.32,+,3.11,2.75E-01
protein-phytochromobilin linkage (GO:0017012),1,1,0.32,+,3.11,2.75E-01
protein-phycocyanobilin linkage (GO:0017009),1,1,0.32,+,3.11,2.75E-01
protein-bilin linkage (GO:0017007),2,2,0.64,+,3.11,1.36E-01
D-xylose catabolic process (GO:0042843),1,1,0.32,+,3.11,2.75E-01
protein-heme linkage (GO:0017003),1,1,0.32,+,3.11,2.75E-01
antibiotic catabolic process (GO:0017001),1,1,0.32,+,3.11,2.75E-01
endoplasmic reticulum cisternal network assembly (GO:0071784),1,1,0.32,+,3.11,2.75E-01
endoplasmic reticulum cisternal network organization (GO:0071783),1,1,0.32,+,3.11,2.75E-01
polyphosphate biosynthetic process (GO:0006799),1,1,0.32,+,3.11,2.75E-01
histone H3-K9 dimethylation (GO:0036123),1,1,0.32,+,3.11,2.75E-01
polyphosphate metabolic process (GO:0006797),1,1,0.32,+,3.11,2.75E-01
mitotic DNA replication initiation (GO:1902975),4,4,1.29,+,3.11,4.16E-02
uroporphyrinogen III biosynthetic process (GO:0006780),1,1,0.32,+,3.11,2.75E-01
Kdo2-lipid A biosynthetic process (GO:0036104),1,1,0.32,+,3.11,2.75E-01
Kdo2-lipid A metabolic process (GO:0036103),1,1,0.32,+,3.11,2.75E-01
glutathione biosynthetic process (GO:0006750),2,2,0.64,+,3.11,1.36E-01
NADP catabolic process (GO:0006742),1,1,0.32,+,3.11,2.75E-01
response to ether (GO:0045472),1,1,0.32,+,3.11,2.75E-01
cuticle hydrocarbon biosynthetic process (GO:0006723),2,2,0.64,+,3.11,1.36E-01
tricarboxylic acid transmembrane transport (GO:0035674),1,1,0.32,+,3.11,2.75E-01
steroid catabolic process (GO:0006706),1,1,0.32,+,3.11,2.75E-01
"retrograde transport, endosome to plasma membrane (GO:1990126)",1,1,0.32,+,3.11,2.75E-01
membrane protein intracellular domain proteolysis (GO:0031293),1,1,0.32,+,3.11,2.75E-01
CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process (GO:0033468),1,1,0.32,+,3.11,2.75E-01
CMP-keto-3-deoxy-D-manno-octulosonic acid metabolic process (GO:0033467),1,1,0.32,+,3.11,2.75E-01
nonribosomal peptide biosynthetic process (GO:0019184),2,2,0.64,+,3.11,1.36E-01
peptidyl-cysteine S-trans-nitrosylation (GO:0035606),1,1,0.32,+,3.11,2.75E-01
response to leucine (GO:0043201),1,1,0.32,+,3.11,2.75E-01
FMN biosynthetic process (GO:0009398),1,1,0.32,+,3.11,2.75E-01
selenium compound metabolic process (GO:0001887),4,4,1.29,+,3.11,4.16E-02
UDP-D-galactose metabolic process (GO:0052573),1,1,0.32,+,3.11,2.75E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),1,1,0.32,+,3.11,2.75E-01
"posttranslational protein targeting to membrane, translocation (GO:0031204)",3,3,0.96,+,3.11,7.38E-02
lycopene biosynthetic process (GO:1901177),1,1,0.32,+,3.11,2.75E-01
lycopene metabolic process (GO:1901175),1,1,0.32,+,3.11,2.75E-01
enzyme linked receptor protein signaling pathway (GO:0007167),1,1,0.32,+,3.11,2.75E-01
cell part morphogenesis (GO:0032990),1,1,0.32,+,3.11,2.75E-01
nucleosome mobilization (GO:0042766),1,1,0.32,+,3.11,2.75E-01
very long-chain fatty acid catabolic process (GO:0042760),2,2,0.64,+,3.11,1.36E-01
male meiosis I (GO:0007141),1,1,0.32,+,3.11,2.75E-01
p-coumaryl alcohol transport (GO:1901140),1,1,0.32,+,3.11,2.75E-01
regulation of division septum assembly (GO:0032955),1,1,0.32,+,3.11,2.75E-01
regulation of cytokinetic process (GO:0032954),1,1,0.32,+,3.11,2.75E-01
inositol phosphate-mediated signaling (GO:0048016),2,2,0.64,+,3.11,1.36E-01
farnesol metabolic process (GO:0016487),1,1,0.32,+,3.11,2.75E-01
regulation of root hair elongation (GO:1902890),1,1,0.32,+,3.11,2.75E-01
negative regulation of transcription by RNA polymerase III (GO:0016480),1,1,0.32,+,3.11,2.75E-01
negative regulation of response to oxidative stress (GO:1902883),1,1,0.32,+,3.11,2.75E-01
TORC1 signaling (GO:0038202),1,1,0.32,+,3.11,2.75E-01
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),1,1,0.32,+,3.11,2.75E-01
phosphatidylserine biosynthetic process (GO:0006659),2,2,0.64,+,3.11,1.36E-01
phosphatidylserine metabolic process (GO:0006658),2,2,0.64,+,3.11,1.36E-01
vacuolar sequestering (GO:0043181),2,2,0.64,+,3.11,1.36E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620),5,5,1.61,+,3.11,2.40E-02
negative regulation of cell cycle G1/S phase transition (GO:1902807),1,1,0.32,+,3.11,2.75E-01
positive regulation of chromatin binding (GO:0035563),1,1,0.32,+,3.11,2.75E-01
regulation of chromatin binding (GO:0035561),1,1,0.32,+,3.11,2.75E-01
entrainment of circadian clock by photoperiod (GO:0043153),4,4,1.29,+,3.11,4.16E-02
pericentric heterochromatin organization (GO:0140462),1,1,0.32,+,3.11,2.75E-01
chlorophyll cycle (GO:0033354),1,1,0.32,+,3.11,2.75E-01
guanosine tetraphosphate biosynthetic process (GO:0015970),1,1,0.32,+,3.11,2.75E-01
maltose catabolic process (GO:0000025),2,2,0.64,+,3.11,1.36E-01
oxidative RNA demethylation (GO:0035513),1,1,0.32,+,3.11,2.75E-01
formate metabolic process (GO:0015942),1,1,0.32,+,3.11,2.75E-01
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903298),1,1,0.32,+,3.11,2.75E-01
regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903297),1,1,0.32,+,3.11,2.75E-01
negative regulation of DNA duplex unwinding (GO:1905463),1,1,0.32,+,3.11,2.75E-01
regulation of DNA duplex unwinding (GO:1905462),1,1,0.32,+,3.11,2.75E-01
inductive cell-cell signaling (GO:0031129),1,1,0.32,+,3.11,2.75E-01
developmental induction (GO:0031128),1,1,0.32,+,3.11,2.75E-01
tRNA pseudouridine synthesis (GO:0031119),1,1,0.32,+,3.11,2.75E-01
fatty-acyl-CoA transport (GO:0015916),1,1,0.32,+,3.11,2.75E-01
long-chain fatty acid import into peroxisome (GO:0015910),2,2,0.64,+,3.11,1.36E-01
10-formyltetrahydrofolate biosynthetic process (GO:0009257),2,2,0.64,+,3.11,1.36E-01
10-formyltetrahydrofolate metabolic process (GO:0009256),2,2,0.64,+,3.11,1.36E-01
plasma membrane repair (GO:0001778),1,1,0.32,+,3.11,2.75E-01
long-chain fatty acid transport (GO:0015909),2,2,0.64,+,3.11,1.36E-01
exon-exon junction complex disassembly (GO:1903259),1,1,0.32,+,3.11,2.75E-01
lipid A biosynthetic process (GO:0009245),2,2,0.64,+,3.11,1.36E-01
menaquinone biosynthetic process (GO:0009234),2,2,0.64,+,3.11,1.36E-01
menaquinone metabolic process (GO:0009233),2,2,0.64,+,3.11,1.36E-01
protein catabolic process in the vacuole (GO:0007039),1,1,0.32,+,3.11,2.75E-01
pyrimidine deoxyribonucleoside triphosphate biosynthetic process (GO:0009212),1,1,0.32,+,3.11,2.75E-01
vacuolar acidification (GO:0007035),6,6,1.93,+,3.11,1.41E-02
regulation of response to reactive oxygen species (GO:1901031),4,4,1.29,+,3.11,4.16E-02
ubiquitin-dependent protein catabolic process via the N-end rule pathway (GO:0071596),2,2,0.64,+,3.11,1.36E-01
microtubule depolymerization (GO:0007019),1,1,0.32,+,3.11,2.75E-01
endodermal cell fate specification (GO:0001714),1,1,0.32,+,3.11,2.75E-01
endodermal cell fate commitment (GO:0001711),1,1,0.32,+,3.11,2.75E-01
ubiquinone-6 biosynthetic process (GO:1901006),2,2,0.64,+,3.11,1.36E-01
ubiquinone-6 metabolic process (GO:1901004),2,2,0.64,+,3.11,1.36E-01
response to bleomycin (GO:1904975),1,1,0.32,+,3.11,2.75E-01
positive regulation of cytochrome-c oxidase activity (GO:1904960),1,1,0.32,+,3.11,2.75E-01
ornithine catabolic process (GO:0006593),1,1,0.32,+,3.11,2.75E-01
regulation of cytochrome-c oxidase activity (GO:1904959),1,1,0.32,+,3.11,2.75E-01
positive regulation of establishment of protein localization (GO:1904951),3,3,0.96,+,3.11,7.38E-02
isoprenoid biosynthetic process via mevalonate (GO:1902767),2,2,0.64,+,3.11,1.36E-01
methylglyoxal catabolic process to lactate (GO:0061727),6,6,1.93,+,3.11,1.41E-02
S-adenosylmethioninamine biosynthetic process (GO:0006557),3,3,0.96,+,3.11,7.38E-02
sulfate ion homeostasis (GO:0055063),1,1,0.32,+,3.11,2.75E-01
glutamate decarboxylation to succinate (GO:0006540),2,2,0.64,+,3.11,1.36E-01
translation reinitiation (GO:0002188),1,1,0.32,+,3.11,2.75E-01
generative cell mitosis (GO:0055047),2,2,0.64,+,3.11,1.36E-01
telomeric loop disassembly (GO:0090657),1,1,0.32,+,3.11,2.75E-01
folic acid transport (GO:0015884),1,1,0.32,+,3.11,2.75E-01
choline transport (GO:0015871),1,1,0.32,+,3.11,2.75E-01
regulation of histone deacetylation (GO:0031063),2,2,0.64,+,3.11,1.36E-01
