protein depolymerization (GO:0051261),9,9,5.86,+,1.54,1.38E-01
cellular response to radiation (GO:0071478),7,7,4.55,+,1.54,1.76E-01
microtubule organizing center organization (GO:0031023),7,7,4.55,+,1.54,1.76E-01
cellular response to environmental stimulus (GO:0104004),7,7,4.55,+,1.54,1.76E-01
microtubule-based protein transport (GO:0099118),14,14,9.11,+,1.54,7.94E-02
nucleoside catabolic process (GO:0009164),7,7,4.55,+,1.54,1.76E-01
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130),7,7,4.55,+,1.54,1.76E-01
pyrimidine nucleoside monophosphate metabolic process (GO:0009129),7,7,4.55,+,1.54,1.76E-01
transport along microtubule (GO:0010970),14,14,9.11,+,1.54,7.94E-02
"photosynthesis, light harvesting in photosystem I (GO:0009768)",18,18,11.71,+,1.54,5.24E-02
axonemal dynein complex assembly (GO:0070286),7,7,4.55,+,1.54,1.76E-01
microtubule bundle formation (GO:0001578),18,18,11.71,+,1.54,5.24E-02
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)",7,7,4.55,+,1.54,1.76E-01
exonucleolytic trimming involved in rRNA processing (GO:0000459),7,7,4.55,+,1.54,1.76E-01
glycosyl compound catabolic process (GO:1901658),7,7,4.55,+,1.54,1.76E-01
protein O-linked mannosylation (GO:0035269),7,7,4.55,+,1.54,1.76E-01
cellular response to abiotic stimulus (GO:0071214),7,7,4.55,+,1.54,1.76E-01
cysteine biosynthetic process (GO:0019344),7,7,4.55,+,1.54,1.76E-01
interstrand cross-link repair (GO:0036297),7,7,4.55,+,1.54,1.76E-01
regulation of DNA repair (GO:0006282),7,7,4.55,+,1.54,1.76E-01
DNA replication initiation (GO:0006270),18,18,11.71,+,1.54,5.24E-02
RNA 5'-end processing (GO:0000966),7,7,4.55,+,1.54,1.76E-01
receptor-mediated endocytosis (GO:0006898),7,7,4.55,+,1.54,1.76E-01
Golgi to plasma membrane transport (GO:0006893),7,7,4.55,+,1.54,1.76E-01
cilium movement involved in cell motility (GO:0060294),7,7,4.55,+,1.54,1.76E-01
nucleobase-containing small molecule catabolic process (GO:0034656),7,7,4.55,+,1.54,1.76E-01
regulation of cell morphogenesis (GO:0022604),7,7,4.55,+,1.54,1.76E-01
regulation of cell shape (GO:0008360),7,7,4.55,+,1.54,1.76E-01
replication fork processing (GO:0031297),7,7,4.55,+,1.54,1.76E-01
protein polyglutamylation (GO:0018095),7,7,4.55,+,1.54,1.76E-01
(1->3)-beta-D-glucan biosynthetic process (GO:0006075),7,7,4.55,+,1.54,1.76E-01
(1->3)-beta-D-glucan metabolic process (GO:0006074),7,7,4.55,+,1.54,1.76E-01
vesicle-mediated transport to the plasma membrane (GO:0098876),7,7,4.55,+,1.54,1.76E-01
protein transport along microtubule (GO:0098840),14,14,9.11,+,1.54,7.94E-02
intraciliary transport (GO:0042073),14,14,9.11,+,1.54,7.94E-02
cellular polysaccharide catabolic process (GO:0044247),7,7,4.55,+,1.54,1.76E-01
ncRNA 5'-end processing (GO:0034471),7,7,4.55,+,1.54,1.76E-01
mitotic DNA replication checkpoint (GO:0033314),7,7,4.55,+,1.54,1.76E-01
microtubule polymerization or depolymerization (GO:0031109),18,18,11.71,+,1.54,5.24E-02
glucan catabolic process (GO:0009251),7,7,4.55,+,1.54,1.76E-01
negative regulation of chromosome organization (GO:2001251),7,7,4.55,+,1.54,1.76E-01
Golgi to plasma membrane protein transport (GO:0043001),2,2,1.3,+,1.54,3.74E-01
circadian rhythm (GO:0007623),3,3,1.95,+,1.54,3.10E-01
cysteine biosynthetic process from serine (GO:0006535),6,6,3.9,+,1.54,2.00E-01
gene silencing by RNA-directed DNA methylation (GO:0080188),1,1,0.65,+,1.54,4.78E-01
centrosome duplication (GO:0051298),6,6,3.9,+,1.54,2.00E-01
developmental vegetative growth (GO:0080186),1,1,0.65,+,1.54,4.78E-01
negative regulation of DNA-dependent DNA replication (GO:2000104),6,6,3.9,+,1.54,2.00E-01
regulation of histone deacetylation (GO:0031063),1,1,0.65,+,1.54,4.78E-01
arginine catabolic process (GO:0006527),1,1,0.65,+,1.54,4.78E-01
positive regulation of histone modification (GO:0031058),3,3,1.95,+,1.54,3.10E-01
negative regulation of histone modification (GO:0031057),2,2,1.3,+,1.54,3.74E-01
chromatin remodeling at centromere (GO:0031055),1,1,0.65,+,1.54,4.78E-01
histone-threonine phosphorylation (GO:0035405),1,1,0.65,+,1.54,4.78E-01
response to karrikin (GO:0080167),1,1,0.65,+,1.54,4.78E-01
