pericentric heterochromatin organization (GO:0140462),3,3,0.3,+,9.84,3.76E-03
ammonium import across plasma membrane (GO:0140157),3,3,0.3,+,9.84,3.76E-03
pericentric heterochromatin assembly (GO:0031508),3,3,0.3,+,9.84,3.76E-03
response to silver ion (GO:0010272),1,1,0.1,+,9.84,9.67E-02
negative regulation of macrophage antigen processing and presentation (GO:0002617),1,1,0.1,+,9.84,9.67E-02
regulation of macrophage antigen processing and presentation (GO:0002616),1,1,0.1,+,9.84,9.67E-02
positive regulation of L-dopa decarboxylase activity (GO:1903200),1,1,0.1,+,9.84,9.67E-02
mesenchymal-epithelial cell signaling involved in lung development (GO:0060496),1,1,0.1,+,9.84,9.67E-02
cell-cell signaling involved in lung development (GO:0060495),1,1,0.1,+,9.84,9.67E-02
positive regulation of pro-B cell differentiation (GO:2000975),1,1,0.1,+,9.84,9.67E-02
positive regulation of cytosolic calcium ion concentration involved in egg activation (GO:0060470),1,1,0.1,+,9.84,9.67E-02
left lung morphogenesis (GO:0060460),1,1,0.1,+,9.84,9.67E-02
signal transduction involved in intra-S DNA damage checkpoint (GO:0072428),1,1,0.1,+,9.84,9.67E-02
left lung development (GO:0060459),2,2,0.2,+,9.84,1.81E-02
bud outgrowth involved in lung branching (GO:0060447),2,2,0.2,+,9.84,1.81E-02
bronchiole morphogenesis (GO:0060436),1,1,0.1,+,9.84,9.67E-02
lung pattern specification process (GO:0060432),1,1,0.1,+,9.84,9.67E-02
positive regulation of chondrocyte development (GO:1902761),1,1,0.1,+,9.84,9.67E-02
D-alanine family amino acid metabolic process (GO:0046144),1,1,0.1,+,9.84,9.67E-02
cell gliding (GO:0071976),1,1,0.1,+,9.84,9.67E-02
toll-like receptor 1 signaling pathway (GO:0034130),1,1,0.1,+,9.84,9.67E-02
formation of animal organ boundary (GO:0010160),1,1,0.1,+,9.84,9.67E-02
regulation of L-dopa decarboxylase activity (GO:1903198),1,1,0.1,+,9.84,9.67E-02
positive regulation of L-dopa biosynthetic process (GO:1903197),1,1,0.1,+,9.84,9.67E-02
regulation of L-dopa biosynthetic process (GO:1903195),1,1,0.1,+,9.84,9.67E-02
glyoxal catabolic process (GO:1903190),1,1,0.1,+,9.84,9.67E-02
glyoxal metabolic process (GO:1903189),1,1,0.1,+,9.84,9.67E-02
positive regulation of tyrosine 3-monooxygenase activity (GO:1903178),1,1,0.1,+,9.84,9.67E-02
regulation of tyrosine 3-monooxygenase activity (GO:1903176),1,1,0.1,+,9.84,9.67E-02
positive regulation of pyrroline-5-carboxylate reductase activity (GO:1903168),1,1,0.1,+,9.84,9.67E-02
regulation of pyrroline-5-carboxylate reductase activity (GO:1903167),1,1,0.1,+,9.84,9.67E-02
dibenzo-p-dioxin catabolic process (GO:0019341),1,1,0.1,+,9.84,9.67E-02
ventral midline determination (GO:0007371),1,1,0.1,+,9.84,9.67E-02
