regulation of circadian rhythm (GO:0042752),7,7,0.98,+,7.17,7.16E-05
nucleotide-sugar transmembrane transport (GO:0015780),2,2,0.28,+,7.17,3.24E-02
cellular response to osmotic stress (GO:0071470),1,1,0.14,+,7.17,1.30E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481),2,2,0.28,+,7.17,3.24E-02
mitochondrion distribution (GO:0048311),5,4,0.7,+,5.73,5.68E-03
cell-substrate junction assembly (GO:0007044),5,4,0.7,+,5.73,5.68E-03
circadian regulation of gene expression (GO:0032922),16,11,2.23,+,4.93,2.23E-05
circadian rhythm (GO:0007623),22,15,3.07,+,4.89,8.64E-07
response to cadmium ion (GO:0046686),3,2,0.42,+,4.78,6.66E-02
positive regulation of inflammatory response (GO:0050729),3,2,0.42,+,4.78,6.66E-02
protein N-linked glycosylation via asparagine (GO:0018279),8,5,1.12,+,4.48,5.76E-03
rhythmic process (GO:0048511),24,15,3.35,+,4.48,2.47E-06
axo-dendritic transport (GO:0008088),14,7,1.95,+,3.58,3.98E-03
mitochondrial respiratory chain complex II assembly (GO:0034553),2,1,0.28,+,3.58,2.44E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790),2,1,0.28,+,3.58,2.44E-01
carbohydrate transport (GO:0008643),4,2,0.56,+,3.58,1.08E-01
macrophage chemotaxis (GO:0048246),4,2,0.56,+,3.58,1.08E-01
nucleotide transmembrane transport (GO:1901679),2,1,0.28,+,3.58,2.44E-01
response to osmotic stress (GO:0006970),4,2,0.56,+,3.58,1.08E-01
regulation of exit from mitosis (GO:0007096),2,1,0.28,+,3.58,2.44E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),4,2,0.56,+,3.58,1.08E-01
neural tube development (GO:0021915),2,1,0.28,+,3.58,2.44E-01
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),2,1,0.28,+,3.58,2.44E-01
Golgi to endosome transport (GO:0006895),2,1,0.28,+,3.58,2.44E-01
nucleotide transport (GO:0006862),2,1,0.28,+,3.58,2.44E-01
regulation of stress fiber assembly (GO:0051492),6,3,0.84,+,3.58,5.29E-02
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512),6,3,0.84,+,3.58,5.29E-02
'de novo' protein folding (GO:0006458),17,8,2.37,+,3.37,3.10E-03
vesicle transport along microtubule (GO:0047496),13,6,1.81,+,3.31,1.07E-02
UDP-N-acetylglucosamine metabolic process (GO:0006047),9,4,1.26,+,3.19,3.88E-02
N-terminal protein amino acid acetylation (GO:0006474),7,3,0.98,+,3.07,7.60E-02
monocarboxylic acid transport (GO:0015718),38,16,5.3,+,3.02,1.31E-04
activin receptor signaling pathway (GO:0032924),12,5,1.67,+,2.99,2.80E-02
nucleotide-sugar metabolic process (GO:0009225),12,5,1.67,+,2.99,2.80E-02
negative regulation of macroautophagy (GO:0016242),5,2,0.7,+,2.87,1.55E-01
lysosomal microautophagy (GO:0016237),5,2,0.7,+,2.87,1.55E-01
response to heat (GO:0009408),5,2,0.7,+,2.87,1.55E-01
kinetochore assembly (GO:0051382),5,2,0.7,+,2.87,1.55E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048),10,4,1.4,+,2.87,5.32E-02
negative regulation of sister chromatid segregation (GO:0033046),10,4,1.4,+,2.87,5.32E-02
negative regulation of mitotic sister chromatid separation (GO:2000816),10,4,1.4,+,2.87,5.32E-02
piecemeal microautophagy of the nucleus (GO:0034727),5,2,0.7,+,2.87,1.55E-01
cholesterol biosynthetic process (GO:0006695),5,2,0.7,+,2.87,1.55E-01
"positive regulation of DNA-templated transcription, initiation (GO:2000144)",5,2,0.7,+,2.87,1.55E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),5,2,0.7,+,2.87,1.55E-01
negative regulation of mitotic nuclear division (GO:0045839),10,4,1.4,+,2.87,5.32E-02
positive regulation of protein kinase B signaling (GO:0051897),5,2,0.7,+,2.87,1.55E-01
negative regulation of protein ubiquitination (GO:0031397),5,2,0.7,+,2.87,1.55E-01
cellular response to heat (GO:0034605),5,2,0.7,+,2.87,1.55E-01
secondary alcohol biosynthetic process (GO:1902653),5,2,0.7,+,2.87,1.55E-01
erythrocyte differentiation (GO:0030218),5,2,0.7,+,2.87,1.55E-01
basic amino acid transport (GO:0015802),5,2,0.7,+,2.87,1.55E-01
neuromuscular junction development (GO:0007528),15,6,2.09,+,2.87,2.01E-02
COPII-coated vesicle budding (GO:0090114),15,6,2.09,+,2.87,2.01E-02
cortical actin cytoskeleton organization (GO:0030866),15,6,2.09,+,2.87,2.01E-02
bile acid and bile salt transport (GO:0015721),13,5,1.81,+,2.76,3.74E-02
chaperone-mediated protein folding (GO:0061077),21,8,2.93,+,2.73,1.04E-02
regulation of centrosome duplication (GO:0010824),8,3,1.12,+,2.69,1.03E-01
cellular response to hypoxia (GO:0071456),8,3,1.12,+,2.69,1.03E-01
organelle transport along microtubule (GO:0072384),19,7,2.65,+,2.64,1.88E-02
response to light stimulus (GO:0009416),22,8,3.07,+,2.61,1.34E-02
negative regulation of chromosome separation (GO:1905819),11,4,1.53,+,2.61,7.00E-02
protein folding (GO:0006457),77,28,10.74,+,2.61,7.83E-06
