response to heat (GO:0009408),5,5,0.98,+,5.12,3.31E-03
cholesterol biosynthetic process (GO:0006695),5,5,0.98,+,5.12,3.31E-03
cellular response to heat (GO:0034605),5,5,0.98,+,5.12,3.31E-03
secondary alcohol biosynthetic process (GO:1902653),5,5,0.98,+,5.12,3.31E-03
cellular component macromolecule biosynthetic process (GO:0070589),1,1,0.2,+,5.12,1.77E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790),2,2,0.39,+,5.12,5.90E-02
cell wall organization or biogenesis (GO:0071554),1,1,0.2,+,5.12,1.77E-01
phytosteroid metabolic process (GO:0016128),1,1,0.2,+,5.12,1.77E-01
cellular alcohol metabolic process (GO:0044107),1,1,0.2,+,5.12,1.77E-01
multi-organism cellular process (GO:0044764),1,1,0.2,+,5.12,1.77E-01
cell wall biogenesis (GO:0042546),1,1,0.2,+,5.12,1.77E-01
cell wall macromolecule biosynthetic process (GO:0044038),1,1,0.2,+,5.12,1.77E-01
cell wall macromolecule metabolic process (GO:0044036),1,1,0.2,+,5.12,1.77E-01
erythrocyte differentiation (GO:0030218),5,4,0.98,+,4.1,1.76E-02
proteasome assembly (GO:0043248),7,5,1.37,+,3.66,1.30E-02
regulation of circadian rhythm (GO:0042752),7,5,1.37,+,3.66,1.30E-02
pre-replicative complex assembly involved in nuclear cell cycle DNA replication (GO:0006267),7,5,1.37,+,3.66,1.30E-02
pyrimidine nucleotide biosynthetic process (GO:0006221),7,5,1.37,+,3.66,1.30E-02
sterol biosynthetic process (GO:0016126),13,9,2.54,+,3.54,1.26E-03
pyrimidine nucleotide metabolic process (GO:0006220),9,6,1.76,+,3.41,9.30E-03
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525),3,2,0.59,+,3.41,1.17E-01
purine nucleobase biosynthetic process (GO:0009113),6,4,1.17,+,3.41,3.13E-02
"nucleotide-excision repair, DNA incision (GO:0033683)",6,4,1.17,+,3.41,3.13E-02
triglyceride homeostasis (GO:0070328),6,4,1.17,+,3.41,3.13E-02
regulation of mitochondrial membrane permeability (GO:0046902),3,2,0.59,+,3.41,1.17E-01
regulation of reactive oxygen species metabolic process (GO:2000377),3,2,0.59,+,3.41,1.17E-01
intra-S DNA damage checkpoint (GO:0031573),8,5,1.56,+,3.2,2.16E-02
circadian regulation of gene expression (GO:0032922),16,10,3.12,+,3.2,1.47E-03
folic acid-containing compound metabolic process (GO:0006760),13,8,2.54,+,3.15,4.63E-03
GPI anchor metabolic process (GO:0006505),18,11,3.52,+,3.13,1.05E-03
lysosomal microautophagy (GO:0016237),5,3,0.98,+,3.07,7.60E-02
piecemeal microautophagy of the nucleus (GO:0034727),5,3,0.98,+,3.07,7.60E-02
regulation of epithelial cell differentiation (GO:0030856),5,3,0.98,+,3.07,7.60E-02
circadian rhythm (GO:0007623),22,13,4.3,+,3.03,5.25E-04
GPI anchor biosynthetic process (GO:0006506),17,10,3.32,+,3.01,2.28E-03
regulation of lipid biosynthetic process (GO:0046890),14,8,2.73,+,2.93,7.09E-03
purine ribonucleotide catabolic process (GO:0009154),7,4,1.37,+,2.93,5.00E-02
nucleoside monophosphate metabolic process (GO:0009123),14,8,2.73,+,2.93,7.09E-03
mitochondrial respiratory chain complex I assembly (GO:0032981),7,4,1.37,+,2.93,5.00E-02
ubiquinone biosynthetic process (GO:0006744),7,4,1.37,+,2.93,5.00E-02
establishment of mitotic spindle orientation (GO:0000132),7,4,1.37,+,2.93,5.00E-02
iron ion transmembrane transport (GO:0034755),7,4,1.37,+,2.93,5.00E-02
intraciliary retrograde transport (GO:0035721),7,4,1.37,+,2.93,5.00E-02
nucleobase metabolic process (GO:0009112),23,13,4.49,+,2.89,7.85E-04
pteridine-containing compound metabolic process (GO:0042558),16,9,3.12,+,2.88,4.90E-03
establishment of spindle orientation (GO:0051294),9,5,1.76,+,2.84,3.34E-02
DNA unwinding involved in DNA replication (GO:0006268),9,5,1.76,+,2.84,3.34E-02
protein localization to cytoskeleton (GO:0044380),9,5,1.76,+,2.84,3.34E-02
pyrimidine-containing compound metabolic process (GO:0072527),20,11,3.91,+,2.82,2.36E-03
ribonucleoside monophosphate metabolic process (GO:0009161),11,6,2.15,+,2.79,2.25E-02
rhythmic process (GO:0048511),24,13,4.69,+,2.77,1.14E-03
endocytic recycling (GO:0032456),15,8,2.93,+,2.73,1.04E-02
cholesterol metabolic process (GO:0008203),17,9,3.32,+,2.71,7.14E-03
cellular carbohydrate catabolic process (GO:0044275),10,5,1.95,+,2.56,4.85E-02
response to temperature stimulus (GO:0009266),10,5,1.95,+,2.56,4.85E-02
pyrimidine nucleobase metabolic process (GO:0006206),10,5,1.95,+,2.56,4.85E-02
Golgi to vacuole transport (GO:0006896),10,5,1.95,+,2.56,4.85E-02
fat cell differentiation (GO:0045444),4,2,0.78,+,2.56,1.84E-01
mitochondrial respiratory chain complex II assembly (GO:0034553),2,1,0.39,+,2.56,3.23E-01
mitochondrial respiratory chain complex III assembly (GO:0034551),4,2,0.78,+,2.56,1.84E-01
endosome to lysosome transport (GO:0008333),6,3,1.17,+,2.56,1.14E-01
intracellular sterol transport (GO:0032366),2,1,0.39,+,2.56,3.23E-01
neuron apoptotic process (GO:0051402),12,6,2.34,+,2.56,3.23E-02
basic amino acid transmembrane transport (GO:1990822),2,1,0.39,+,2.56,3.23E-01
carbohydrate transport (GO:0008643),4,2,0.78,+,2.56,1.84E-01
folic acid-containing compound biosynthetic process (GO:0009396),4,2,0.78,+,2.56,1.84E-01
sterol metabolic process (GO:0016125),30,15,5.86,+,2.56,1.10E-03
oligosaccharide biosynthetic process (GO:0009312),2,1,0.39,+,2.56,3.23E-01
centrosome localization (GO:0051642),6,3,1.17,+,2.56,1.14E-01
lipid homeostasis (GO:0055088),34,17,6.64,+,2.56,5.36E-04
mitochondrial outer membrane translocase complex assembly (GO:0070096),2,1,0.39,+,2.56,3.23E-01
