CycID1,CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,X4,X4.1,X8,X8.1,X12,X12.1,X16,X16.1,X20,X20.1,X24,X24.1,X28,X28.1,X32,X32.1,X36,X36.1,X40,X40.1
Synpcc7942_1907,"""acsF, y",0.003138671,0.017444845,24,2,455.7644493,0.095249467,0.486555722,23.18658281,0.799863909,6236.558685,0.002725054,0.015078631,23.5932914,1.390000844,5653.136163,704.8200873,0.124677713,6826.705073,5286.937498,6109.055197,5457.794346,4816.737593,4754.889908,5560.95875,5576.444696,6496.165974,5430.362016,6502.481443,5782.82518,6759.450796,5788.18573,5759.779572,5142.615971,4509.022714,4375.129497,5344.149004,5193.125735
Synpcc7942_0618,"""ahcY, s",0.005842913,0.028360337,24,20,266.5555034,0.128279186,0.578448535,24.41501104,19.80712569,2802.110499,0.006143154,0.029875884,24.20750552,19.90585215,2552.413164,329.2586918,0.128998979,2504.62938,2169.001227,1999.33815,2415.94465,2356.38535,2855.440202,2437.2703,2825.168168,2583.708741,3081.144306,2724.995926,2864.47737,2627.546069,2095.997494,2014.508906,2143.250771,2410.108305,2523.820907,2519.029521,2888.139823
Synpcc7942_2201,"""alr, da",0.343341746,0.667385595,28,10,2.8005773,0.92091092,1,24.09586057,14.03095812,281.8556694,0.680251688,1,26.04793028,12.23523779,251.1424977,16.08745703,0.064057088,214.2453979,235.2027197,266.4076476,287.0166087,234.3917598,230.3419567,208.8883309,250.0135175,234.0733942,280.5367306,193.9439229,226.3962881,204.9277165,288.786425,299.728603,281.9903041,275.4628794,326.8171252,226.964602,305.408707
Synpcc7942_1603,"""ampC, p",0.819887421,1,24,0,69.86337579,0.930080714,1,22.52545825,1.307920184,929.8091063,0.969270655,1,23.26272912,0.675364573,865.9804234,81.88706462,0.094559949,969.0541521,801.0886356,979.9743141,823.5542588,695.2356183,699.8619924,753.6716134,961.1684698,870.8476992,1076.351138,844.8001527,948.5436737,886.3643137,849.6846487,833.303097,919.6097823,624.9231577,830.0043164,675.752276,1063.027815
Synpcc7942_0822,"""appB, d",0.039652498,0.127894715,24,22,22.61939346,0.283629217,0.860215286,23.38266385,20.07046998,185.9724505,0.061717879,0.199360506,23.69133192,21.02623448,167.669801,22.5098257,0.134250924,145.5982407,183.3407178,127.6909714,134.2330703,143.8792289,180.2706962,160.5685949,196.9187017,171.1520602,192.2323446,179.1226335,200.3294801,147.1241414,164.151139,128.4806795,156.0202222,146.4111742,182.1707454,147.7382348,194.5569103
Synpcc7942_2501,"""aroF, a",0.023834236,0.085761917,24,2,177.0854782,0.374201568,1,25.07936508,23.97705514,2486.613301,0.051011953,0.170725488,24.53968254,0.483192101,2323.752827,163.8834269,0.070525327,2500.92153,2142.683318,2464.555777,2358.877729,2135.044023,2145.577767,2134.776834,2225.434983,2677.535719,2450.821806,2582.365061,2427.704154,2394.499966,2282.049585,2393.780643,2256.035428,1938.668559,2345.09084,1953.82254,2225.795387
Synpcc7942_0354,"""bgl, cg",1,1,24,10,10.65348908,0.999914132,1,28,4.000041217,120.1386048,0.999999996,1,26,7.27382866,117.169004,8.746599936,0.074649435,93.57453552,141.330015,108.063471,128.4695953,110.023802,152.1086974,76.14260719,118.4016873,89.70403339,130.9455564,93.1119839,140.2661233,95.03249001,123.0661913,99.89547568,115.6293418,114.2589113,191.1375685,108.7613096,147.6200673
Synpcc7942_0030,"""bioD, c",1,1,28,22,13.73004065,0.99999998,1,28,2.851035766,198.7240791,1,1,28,26.42551788,190.1721126,6.33698891,0.033322388,158.9629037,203.4959356,140.9664784,178.3733576,190.9380245,197.6010021,181.8170271,204.8136835,171.1747821,209.479253,199.2414349,210.457706,184.1889456,231.5650584,148.7386485,187.3606465,185.086371,263.9658385,159.4109467,180.2520222
Synpcc7942_0707,"""cad, ld",0.819887421,1,20,18,10.73310858,0.810318595,1,20,16.00334556,100.3768786,0.936041569,1,20,17.00167278,100.2601805,11.37986243,0.113503311,71.58691984,126.5354855,76.8210136,85.64183519,93.66521668,127.3808323,100.3400452,89.92975894,104.3671241,93.1434077,106.6580188,83.33611447,96.84606416,76.71796033,104.4969226,85.33513496,126.658155,137.5133307,104.0731362,114.1571332
Synpcc7942_2122,"""carA, p",3.96E-06,0.000209882,28,22,160.7335883,0.007148473,0.287325741,24.6325167,20.1699377,1222.398077,5.21E-07,3.94E-05,26.31625835,21.11285122,1069.806514,190.3072003,0.177889364,994.6478886,896.5624441,868.2439541,787.7642966,964.1577965,985.6183442,1152.519015,1158.113584,1185.874848,1316.459605,1177.388158,1188.151895,1129.422498,946.2766237,811.4986332,886.311844,949.5760379,976.1165338,1145.778345,1067.55763
Synpcc7942_2289,"""ccmA, k",1,1,28,10,41.90380447,0.999999998,1,28,4.000041217,783.0616769,1,1,28,7.000020608,734.1648637,27.77782768,0.037835954,767.7769461,856.0163104,610.9320307,789.920442,627.2047265,899.0045432,670.8919387,842.8838599,589.6950979,840.5501387,636.8866294,736.3168504,649.7425347,715.8012586,680.9865498,896.0820533,634.5009632,850.027545,688.135677,821.6439219
Synpcc7942_0308,"""chpX, c",0.050611446,0.153498781,24,8,61.19204652,0.124506332,0.569891117,22.0758483,8.146974325,1028.569253,0.03823072,0.133888175,23.03792415,8.090665673,903.8772867,164.3860489,0.181867662,823.9727402,1012.403489,1094.266326,1195.423157,873.9148151,791.0975705,842.65243,877.1583156,831.5501136,883.9490415,777.8751037,866.2229449,920.3605085,1043.896508,1283.543916,1217.128029,823.2078096,795.4609574,688.9464601,805.7404687
Synpcc7942_2093,"""chpY, c",0.587596282,1,28,22,187.0046574,0.960096422,1,28,22.05882958,1242.117657,0.887088743,1,28,22.02941479,1101.295911,169.9883465,0.154353017,1009.974037,603.2610425,1332.918739,837.8295615,847.4499451,948.5365202,890.2836413,1489.079297,1066.941365,1615.784789,867.7255652,1499.544155,997.425089,1146.189918,806.7833261,1418.076585,819.792753,779.8103059,1010.99008,1273.617455
Synpcc7942_1310,"""cmpR, n",0.191227213,0.414769825,24,22,53.64629991,0.356091046,0.979742215,23.48195329,20.03587711,557.5049792,0.251054267,0.594790793,23.74097665,21.00972481,507.0628023,69.93327713,0.137918374,561.0477675,428.9679676,504.5436577,324.5330894,499.4429397,469.0939587,612.9719864,472.6122294,548.3503685,575.8524914,575.3297272,504.8158299,581.3312686,394.4480912,420.720872,436.1213477,483.8202107,434.3938008,589.9013143,499.2778789
Synpcc7942_1658,"""cpx, ka",0.000806317,0.006626167,24,22,55.39440972,0.038317011,0.342205783,23.38266385,20.30678778,346.4516625,0.000351744,0.003094847,23.69133192,21.14595317,299.5056326,61.30816233,0.204697861,301.7848804,330.8053755,256.1241498,231.4692278,269.8866052,218.8429589,352.2099623,307.6727707,390.0973839,350.3621133,358.638111,271.6794349,318.4078974,289.1053465,239.338543,214.1191825,260.6354889,254.3326337,291.7022419,286.8827763
Synpcc7942_2439,"""crtR, b",1,1,28,22,202.0789247,0.988265668,1,28,23.80680215,2872.615779,0.999930882,1,28,22.90340108,2713.910875,182.441892,0.067224718,2664.75782,2305.812648,2619.93911,2514.728005,2617.733952,2499.731261,2909.283546,2846.359983,2634.444058,2905.721866,2780.810185,2683.206582,3149.828235,2825.649123,3009.215437,2476.795027,2733.017165,1653.334153,3072.915109,2571.837425
Synpcc7942_2584,"""csgA, s",0.587596282,1,28,24,25.14541611,0.922340485,1,24.20131291,23.95648762,296.1654987,0.873947039,1,26.10065646,24.10430414,276.7592722,21.56178801,0.077908096,245.0933817,283.0089977,215.0104629,231.0911714,234.8831415,300.745021,253.7192728,279.1304686,259.9905364,299.0080775,334.8252341,310.5631507,301.2404555,256.4706641,226.3288489,304.5452451,253.4526911,285.9076052,243.7297372,335.4361794
Synpcc7942_0173,"""cysQ, a",1,1,28,0,14.82849914,0.936819983,1,23.08977035,20.37114049,150.0454901,0.99796073,1,25.54488518,24.04103549,139.7523463,13.74534377,0.098355013,156.0812472,174.8064255,100.7290617,95.49811575,115.1917798,170.4756745,133.6783395,172.2182933,141.7879717,138.7202558,119.061134,168.9811414,145.9546504,159.6909204,118.3406257,115.4943643,83.61421237,140.3003349,143.042905,151.4474284
Synpcc7942_1934,"""dacB, p",0.284044956,0.575017839,20,2,14.03943549,0.686957457,1,20,0.581959592,183.3152508,0.513984613,1,20,1.290979796,173.091034,15.88324778,0.091762395,193.8044323,180.9819136,187.8553463,118.634587,161.0575955,133.1752785,185.6544047,157.7781932,185.5795927,197.4770358,204.0106725,172.2783385,171.1229319,139.7237983,176.210515,176.7801368,177.6603189,186.4360403,155.7221453,199.8774025
Synpcc7942_2561,"""desC, d",0.493766276,0.890280975,24,22,203.2517313,0.772545626,1,22.80412371,22.05419668,3027.650564,0.749088887,1,23.40206186,22.04218066,2895.51486,188.4133348,0.065070754,3099.909814,2667.69616,2909.968638,2411.174298,2695.569645,2495.536267,2876.4299,2948.726813,3331.509228,2992.816312,3056.444758,2705.681798,3297.634198,2748.708891,2935.700449,2553.489832,2751.959018,2971.001821,2862.437312,3014.810963
Synpcc7942_1694,"""divK, r",1,1,20,0,23.43322342,0.924260973,1,20,19.33586181,283.1052057,0.997056515,1,20,19.66793091,282.5600839,26.22180328,0.092800805,310.5103351,341.3824511,244.4388239,250.6710876,262.5686315,301.8412137,268.9688021,297.5986854,250.0142221,336.5418198,237.7996391,281.5106403,271.0739444,260.5163961,217.381142,291.8625005,240.7942641,347.187389,290.8472052,347.692485
Synpcc7942_0094,"""dnaX, d",1,1,24,16,8.469685973,0.932794495,1,24.74272931,16.6353373,83.91763869,0.997689348,1,24.37136465,16.31661664,77.13139696,9.352351948,0.121252205,53.8702108,72.55293609,57.81024363,77.41181231,76.71320439,91.61780613,79.93735692,79.83728376,58.75149202,117.3199134,72.23617087,73.57168344,63.57636346,88.26093981,68.32347725,69.51540836,68.15130966,81.84319195,65.90425973,121.8130499
Synpcc7942_0017,"""eda, hg",1,1,20,6,7.620354022,0.999762125,1,20,3.704172259,97.55156992,0.999999972,1,20,4.852086129,98.49274756,7.147976164,0.072573629,94.76607524,145.9643841,93.26342757,116.8204281,84.19341818,107.4136184,79.19559841,121.6591769,61.14645112,117.9106157,99.87678808,99.52044018,94.34469703,105.9014855,66.16535395,115.4434573,61.68055892,103.3577296,90.69418083,110.5370661
Synpcc7942_0126,"""envM, f",0.005842913,0.028360337,24,20,154.3414493,0.084500482,0.461417106,22.99376299,19.85382548,1240.951912,0.004252746,0.021788761,23.4968815,19.93448735,1078.06021,220.7804786,0.2047942,1255.504539,841.8327578,736.9649172,808.8451644,1007.088013,1162.011031,1033.943747,1317.307075,1138.616938,1358.332582,1155.158308,1212.95296,1076.463138,896.9952404,661.8731096,815.9826407,967.0440394,1174.59754,1129.39283,1216.844156
Synpcc7942_0537,"""fabF, f",0.005842913,0.028360337,28,22,209.5460416,0.137272879,0.606045157,26.27078385,20.13688293,2953.670139,0.006519502,0.031521476,27.13539192,21.06014043,2723.546659,282.5149538,0.103730536,2714.243327,2403.152136,2260.467457,2432.951512,2709.712702,2754.978109,2708.670648,3026.262726,2699.49499,2956.993999,2839.166053,3260.996431,2836.016513,2568.214194,2090.355008,2545.952243,2627.909143,2386.42967,2826.363474,2591.691968
Synpcc7942_1961,"""fbp, yr",0.233711771,0.486573839,24,8,11.69951773,0.574444824,1,22.43407708,6.73535527,202.1351297,0.403839991,0.863144266,23.21703854,7.354717835,193.2225166,18.78621627,0.097225813,169.158125,270.4369941,235.7073501,216.383673,168.419933,178.2725848,185.1917716,194.3372453,167.1362794,175.9787854,167.2587931,192.4137527,219.6599867,228.1764506,205.5700081,195.3169728,160.2449048,193.5660806,195.160735,184.03163
