




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_background.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	arabidopsis_background.txt - REFLIST (14244)	upload_1 (1970)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
energy reserve metabolic process (GO:0006112)	3	3	.41	+	7.23	8.74E-03
glycogen metabolic process (GO:0005977)	3	3	.41	+	7.23	8.74E-03
positive regulation of translational initiation (GO:0045948)	3	3	.41	+	7.23	8.74E-03
regulation of cytokinesis (GO:0032465)	3	3	.41	+	7.23	8.74E-03
cyclic nucleotide metabolic process (GO:0009187)	1	1	.14	+	7.23	1.29E-01
negative regulation of macroautophagy (GO:0016242)	1	1	.14	+	7.23	1.29E-01
protein import into chloroplast stroma (GO:0045037)	1	1	.14	+	7.23	1.29E-01
circadian regulation of gene expression (GO:0032922)	2	2	.28	+	7.23	3.19E-02
TORC1 signaling (GO:0038202)	1	1	.14	+	7.23	1.29E-01
regulation of cell cycle G1/S phase transition (GO:1902806)	1	1	.14	+	7.23	1.29E-01
negative regulation of autophagy (GO:0010507)	1	1	.14	+	7.23	1.29E-01
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	1	1	.14	+	7.23	1.29E-01
fertilization (GO:0009566)	1	1	.14	+	7.23	1.29E-01
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	1	1	.14	+	7.23	1.29E-01
pyrimidine nucleobase catabolic process (GO:0006208)	1	1	.14	+	7.23	1.29E-01
cellular zinc ion homeostasis (GO:0006882)	1	1	.14	+	7.23	1.29E-01
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	1	1	.14	+	7.23	1.29E-01
carotenoid biosynthetic process (GO:0016117)	4	3	.55	+	5.42	1.87E-02
peptidyl-threonine phosphorylation (GO:0018107)	6	4	.83	+	4.82	1.03E-02
protein N-linked glycosylation via asparagine (GO:0018279)	6	4	.83	+	4.82	1.03E-02
regulation of translational initiation (GO:0006446)	5	3	.69	+	4.34	3.31E-02
regulation of cell division (GO:0051302)	5	3	.69	+	4.34	3.31E-02
regulation of mRNA catabolic process (GO:0061013)	7	4	.97	+	4.13	1.71E-02
poly(A)+ mRNA export from nucleus (GO:0016973)	7	4	.97	+	4.13	1.71E-02
photosynthesis (GO:0015979)	30	16	4.15	+	3.86	7.40E-06
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	6	3	.83	+	3.62	5.18E-02
positive regulation of cell cycle (GO:0045787)	6	3	.83	+	3.62	5.18E-02
positive regulation of cell cycle process (GO:0090068)	6	3	.83	+	3.62	5.18E-02
ubiquinone biosynthetic process (GO:0006744)	6	3	.83	+	3.62	5.18E-02
purine nucleoside metabolic process (GO:0042278)	6	3	.83	+	3.62	5.18E-02
GPI anchor biosynthetic process (GO:0006506)	6	3	.83	+	3.62	5.18E-02
GPI anchor metabolic process (GO:0006505)	6	3	.83	+	3.62	5.18E-02
TOR signaling (GO:0031929)	4	2	.55	+	3.62	1.07E-01
protein K63-linked deubiquitination (GO:0070536)	2	1	.28	+	3.62	2.42E-01
mitochondrial fusion (GO:0008053)	2	1	.28	+	3.62	2.42E-01
vacuole fusion, non-autophagic (GO:0042144)	4	2	.55	+	3.62	1.07E-01
chromosome localization (GO:0050000)	2	1	.28	+	3.62	2.42E-01
regulation of meiotic cell cycle (GO:0051445)	4	2	.55	+	3.62	1.07E-01
regulation of macroautophagy (GO:0016241)	2	1	.28	+	3.62	2.42E-01
response to nutrient (GO:0007584)	2	1	.28	+	3.62	2.42E-01
cristae formation (GO:0042407)	2	1	.28	+	3.62	2.42E-01
regulation of circadian rhythm (GO:0042752)	8	4	1.11	+	3.62	2.62E-02
detection of mechanical stimulus (GO:0050982)	2	1	.28	+	3.62	2.42E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	2	1	.28	+	3.62	2.42E-01
mitochondrial respiratory chain complex I assembly (GO:0032981)	2	1	.28	+	3.62	2.42E-01
positive regulation of response to DNA damage stimulus (GO:2001022)	2	1	.28	+	3.62	2.42E-01
regulation of cell growth (GO:0001558)	2	1	.28	+	3.62	2.42E-01
regulation of autophagy (GO:0010506)	4	2	.55	+	3.62	1.07E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	2	1	.28	+	3.62	2.42E-01
metaphase plate congression (GO:0051310)	2	1	.28	+	3.62	2.42E-01
establishment of chromosome localization (GO:0051303)	2	1	.28	+	3.62	2.42E-01
positive regulation of mitotic cell cycle (GO:0045931)	2	1	.28	+	3.62	2.42E-01
positive regulation of growth (GO:0045927)	2	1	.28	+	3.62	2.42E-01
detection of stimulus (GO:0051606)	2	1	.28	+	3.62	2.42E-01
liposaccharide metabolic process (GO:1903509)	10	5	1.38	+	3.62	1.36E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	4	2	.55	+	3.62	1.07E-01
nucleotide transmembrane transport (GO:1901679)	2	1	.28	+	3.62	2.42E-01
glycolipid metabolic process (GO:0006664)	10	5	1.38	+	3.62	1.36E-02
positive regulation of cell growth (GO:0030307)	2	1	.28	+	3.62	2.42E-01
cellular response to light stimulus (GO:0071482)	2	1	.28	+	3.62	2.42E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	2	1	.28	+	3.62	2.42E-01
gene silencing by miRNA (GO:0035195)	2	1	.28	+	3.62	2.42E-01
cellular response to organonitrogen compound (GO:0071417)	2	1	.28	+	3.62	2.42E-01
Golgi to plasma membrane protein transport (GO:0043001)	2	1	.28	+	3.62	2.42E-01
mitotic metaphase plate congression (GO:0007080)	2	1	.28	+	3.62	2.42E-01
glycolipid biosynthetic process (GO:0009247)	10	5	1.38	+	3.62	1.36E-02
positive regulation of mitotic nuclear division (GO:0045840)	2	1	.28	+	3.62	2.42E-01
negative regulation of catabolic process (GO:0009895)	2	1	.28	+	3.62	2.42E-01
regulation of growth (GO:0040008)	2	1	.28	+	3.62	2.42E-01
histone H4 acetylation (GO:0043967)	2	1	.28	+	3.62	2.42E-01
tyrosine metabolic process (GO:0006570)	2	1	.28	+	3.62	2.42E-01
negative regulation of cellular catabolic process (GO:0031330)	2	1	.28	+	3.62	2.42E-01
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	14	7	1.94	+	3.62	3.79E-03
mitotic spindle organization (GO:0007052)	14	7	1.94	+	3.62	3.79E-03
mRNA export from nucleus (GO:0006406)	18	8	2.49	+	3.21	4.12E-03
mRNA transport (GO:0051028)	18	8	2.49	+	3.21	4.12E-03
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	18	8	2.49	+	3.21	4.12E-03
regulation of mRNA stability (GO:0043488)	5	2	.69	+	2.89	1.53E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	2	.69	+	2.89	1.53E-01
nucleotide-excision repair, DNA incision (GO:0033683)	5	2	.69	+	2.89	1.53E-01
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	5	2	.69	+	2.89	1.53E-01
aerobic electron transport chain (GO:0019646)	5	2	.69	+	2.89	1.53E-01
chloroplast fission (GO:0010020)	5	2	.69	+	2.89	1.53E-01
mitochondrial membrane organization (GO:0007006)	13	5	1.80	+	2.78	3.62E-02
Golgi to vacuole transport (GO:0006896)	21	8	2.90	+	2.75	9.91E-03
nucleoside diphosphate metabolic process (GO:0009132)	40	15	5.53	+	2.71	6.21E-04
nucleoside diphosphate phosphorylation (GO:0006165)	32	12	4.43	+	2.71	2.08E-03
aromatic amino acid family catabolic process (GO:0009074)	8	3	1.11	+	2.71	1.01E-01
nucleobase-containing small molecule biosynthetic process (GO:0034404)	8	3	1.11	+	2.71	1.01E-01
nucleotide phosphorylation (GO:0046939)	32	12	4.43	+	2.71	2.08E-03
base-excision repair (GO:0006284)	11	4	1.52	+	2.63	6.83E-02
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	14	5	1.94	+	2.58	4.70E-02
ribonucleoside diphosphate metabolic process (GO:0009185)	31	11	4.29	+	2.57	4.67E-03
response to light stimulus (GO:0009416)	66	23	9.13	+	2.52	7.82E-05
oligosaccharide biosynthetic process (GO:0009312)	26	9	3.60	+	2.50	1.15E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	29	10	4.01	+	2.49	8.21E-03
purine nucleoside diphosphate metabolic process (GO:0009135)	29	10	4.01	+	2.49	8.21E-03
ATP generation from ADP (GO:0006757)	29	10	4.01	+	2.49	8.21E-03
glycolytic process (GO:0006096)	29	10	4.01	+	2.49	8.21E-03
ADP metabolic process (GO:0046031)	29	10	4.01	+	2.49	8.21E-03
mitochondrial fission (GO:0000266)	12	4	1.66	+	2.41	8.72E-02
positive regulation of cellular component organization (GO:0051130)	24	8	3.32	+	2.41	2.03E-02
positive regulation of cell communication (GO:0010647)	3	1	.41	+	2.41	3.40E-01
positive regulation of organelle organization (GO:0010638)	15	5	2.07	+	2.41	5.95E-02
positive regulation of signaling (GO:0023056)	3	1	.41	+	2.41	3.40E-01
C-terminal protein amino acid modification (GO:0018410)	6	2	.83	+	2.41	2.02E-01
embryo development (GO:0009790)	3	1	.41	+	2.41	3.40E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	3	1	.41	+	2.41	3.40E-01
histone ubiquitination (GO:0016574)	3	1	.41	+	2.41	3.40E-01
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	3	1	.41	+	2.41	3.40E-01
nucleotide-sugar transmembrane transport (GO:0015780)	3	1	.41	+	2.41	3.40E-01
regulation of innate immune response (GO:0045088)	6	2	.83	+	2.41	2.02E-01
rRNA base methylation (GO:0070475)	9	3	1.24	+	2.41	1.30E-01
microtubule polymerization (GO:0046785)	9	3	1.24	+	2.41	1.30E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	18	6	2.49	+	2.41	4.12E-02
regulation of immune system process (GO:0002682)	6	2	.83	+	2.41	2.02E-01
regulation of RNA stability (GO:0043487)	6	2	.83	+	2.41	2.02E-01
endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)	6	2	.83	+	2.41	2.02E-01
intracellular mRNA localization (GO:0008298)	3	1	.41	+	2.41	3.40E-01
endonucleolytic cleavage involved in rRNA processing (GO:0000478)	6	2	.83	+	2.41	2.02E-01
establishment or maintenance of cell polarity (GO:0007163)	6	2	.83	+	2.41	2.02E-01
regulation of vesicle-mediated transport (GO:0060627)	12	4	1.66	+	2.41	8.72E-02
somatic cell DNA recombination (GO:0016444)	3	1	.41	+	2.41	3.40E-01
organic cation transport (GO:0015695)	3	1	.41	+	2.41	3.40E-01
positive regulation of signal transduction (GO:0009967)	3	1	.41	+	2.41	3.40E-01
membrane protein proteolysis (GO:0033619)	6	2	.83	+	2.41	2.02E-01
phosphatidylinositol biosynthetic process (GO:0006661)	9	3	1.24	+	2.41	1.30E-01
protein stabilization (GO:0050821)	12	4	1.66	+	2.41	8.72E-02
vacuolar protein processing (GO:0006624)	6	2	.83	+	2.41	2.02E-01
rhythmic process (GO:0048511)	12	4	1.66	+	2.41	8.72E-02
protein localization to Golgi apparatus (GO:0034067)	3	1	.41	+	2.41	3.40E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	9	3	1.24	+	2.41	1.30E-01
negative regulation of DNA replication (GO:0008156)	3	1	.41	+	2.41	3.40E-01
post-translational protein modification (GO:0043687)	6	2	.83	+	2.41	2.02E-01
lysosomal transport (GO:0007041)	3	1	.41	+	2.41	3.40E-01
regulation of response to biotic stimulus (GO:0002831)	6	2	.83	+	2.41	2.02E-01
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	6	2	.83	+	2.41	2.02E-01
regulation of response to external stimulus (GO:0032101)	6	2	.83	+	2.41	2.02E-01
regulation of immune response (GO:0050776)	6	2	.83	+	2.41	2.02E-01
mitochondrial protein processing (GO:0034982)	3	1	.41	+	2.41	3.40E-01
