




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (1540)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
peptidyl-serine acetylation (GO:0030920)	1	1	.11	+	9.25	1.02E-01
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036)	1	1	.11	+	9.25	1.02E-01
plasma membrane pyruvate transport (GO:0006849)	1	1	.11	+	9.25	1.02E-01
L-methionine biosynthetic process from L-homoserine via cystathionine (GO:0019279)	1	1	.11	+	9.25	1.02E-01
gamma-aminobutyric acid catabolic process (GO:0009450)	2	2	.22	+	9.25	2.03E-02
gamma-aminobutyric acid metabolic process (GO:0009448)	2	2	.22	+	9.25	2.03E-02
negative regulation of reactive oxygen species biosynthetic process (GO:1903427)	1	1	.11	+	9.25	1.02E-01
protein nitrosylation (GO:0017014)	1	1	.11	+	9.25	1.02E-01
endoplasmic reticulum cisternal network assembly (GO:0071784)	1	1	.11	+	9.25	1.02E-01
endoplasmic reticulum cisternal network organization (GO:0071783)	1	1	.11	+	9.25	1.02E-01
uroporphyrinogen III biosynthetic process (GO:0006780)	1	1	.11	+	9.25	1.02E-01
tricarboxylic acid transmembrane transport (GO:0035674)	1	1	.11	+	9.25	1.02E-01
galacturonate biosynthetic process (GO:0033481)	2	2	.22	+	9.25	2.03E-02
CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process (GO:0033468)	1	1	.11	+	9.25	1.02E-01
CMP-keto-3-deoxy-D-manno-octulosonic acid metabolic process (GO:0033467)	1	1	.11	+	9.25	1.02E-01
peptidyl-cysteine S-trans-nitrosylation (GO:0035606)	1	1	.11	+	9.25	1.02E-01
negative regulation of cellular protein catabolic process (GO:1903363)	2	2	.22	+	9.25	2.03E-02
signal complex assembly (GO:0007172)	1	1	.11	+	9.25	1.02E-01
cell part morphogenesis (GO:0032990)	1	1	.11	+	9.25	1.02E-01
amino acid export across plasma membrane (GO:0032973)	1	1	.11	+	9.25	1.02E-01
heme O biosynthetic process (GO:0048034)	1	1	.11	+	9.25	1.02E-01
heme o metabolic process (GO:0048033)	1	1	.11	+	9.25	1.02E-01
farnesol metabolic process (GO:0016487)	1	1	.11	+	9.25	1.02E-01
