




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (773)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
protein localization to nuclear inner membrane (GO:0036228)	1	1	.05	+	18.43	5.28E-02
glycolate transport (GO:1900866)	1	1	.05	+	18.43	5.28E-02
plasma membrane pyruvate transport (GO:0006849)	1	1	.05	+	18.43	5.28E-02
negative regulation of DNA binding (GO:0043392)	1	1	.05	+	18.43	5.28E-02
positive regulation of trichoblast fate specification (GO:0010063)	1	1	.05	+	18.43	5.28E-02
positive regulation of atrichoblast fate specification (GO:0010059)	1	1	.05	+	18.43	5.28E-02
regulation of atrichoblast fate specification (GO:0010058)	1	1	.05	+	18.43	5.28E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	1	1	.05	+	18.43	5.28E-02
response to dsRNA (GO:0043331)	1	1	.05	+	18.43	5.28E-02
response to exogenous dsRNA (GO:0043330)	1	1	.05	+	18.43	5.28E-02
raffinose metabolic process (GO:0033530)	1	1	.05	+	18.43	5.28E-02
cyclic purine nucleotide metabolic process (GO:0052652)	1	1	.05	+	18.43	5.28E-02
protein nitrosylation (GO:0017014)	1	1	.05	+	18.43	5.28E-02
pyridoxal biosynthetic process (GO:0042821)	1	1	.05	+	18.43	5.28E-02
vitamin B6 catabolic process (GO:0042820)	1	1	.05	+	18.43	5.28E-02
heme A biosynthetic process (GO:0006784)	1	1	.05	+	18.43	5.28E-02
peptidyl-cysteine S-trans-nitrosylation (GO:0035606)	1	1	.05	+	18.43	5.28E-02
cell part morphogenesis (GO:0032990)	1	1	.05	+	18.43	5.28E-02
regulation of root hair elongation (GO:1902890)	1	1	.05	+	18.43	5.28E-02
beta-alanine biosynthetic process via 3-ureidopropionate (GO:0033396)	1	1	.05	+	18.43	5.28E-02
positive regulation of chromatin binding (GO:0035563)	1	1	.05	+	18.43	5.28E-02
regulation of chromatin binding (GO:0035561)	1	1	.05	+	18.43	5.28E-02
innate immune response activating cell surface receptor signaling pathway (GO:0002220)	1	1	.05	+	18.43	5.28E-02
chlorophyll cycle (GO:0033354)	1	1	.05	+	18.43	5.28E-02
maltose catabolic process (GO:0000025)	2	2	.11	+	18.43	5.47E-03
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903298)	1	1	.05	+	18.43	5.28E-02
regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903297)	1	1	.05	+	18.43	5.28E-02
inductive cell-cell signaling (GO:0031129)	1	1	.05	+	18.43	5.28E-02
developmental induction (GO:0031128)	1	1	.05	+	18.43	5.28E-02
positive regulation of cell fate specification (GO:0042660)	1	1	.05	+	18.43	5.28E-02
microtubule depolymerization (GO:0007019)	1	1	.05	+	18.43	5.28E-02
cellular chloride ion homeostasis (GO:0030644)	1	1	.05	+	18.43	5.28E-02
ethanolamine metabolic process (GO:0006580)	1	1	.05	+	18.43	5.28E-02
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	1	1	.05	+	18.43	5.28E-02
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	1	1	.05	+	18.43	5.28E-02
negative regulation of apoptotic signaling pathway (GO:2001234)	1	1	.05	+	18.43	5.28E-02
regulation of apoptotic signaling pathway (GO:2001233)	1	1	.05	+	18.43	5.28E-02
cyclic nucleotide biosynthetic process (GO:0009190)	1	1	.05	+	18.43	5.28E-02
cyclic nucleotide metabolic process (GO:0009187)	2	2	.11	+	18.43	5.47E-03
positive regulation by host of viral process (GO:0044794)	1	1	.05	+	18.43	5.28E-02
modulation by host of viral process (GO:0044788)	1	1	.05	+	18.43	5.28E-02
gamma-aminobutyric acid transport (GO:0015812)	2	2	.11	+	18.43	5.47E-03
regulation of heterochromatin assembly by small RNA (GO:0010964)	1	1	.05	+	18.43	5.28E-02
regulation of protein complex stability (GO:0061635)	1	1	.05	+	18.43	5.28E-02
modulation by host of symbiont process (GO:0051851)	1	1	.05	+	18.43	5.28E-02
protein K11-linked ubiquitination (GO:0070979)	1	1	.05	+	18.43	5.28E-02
vesicle tethering involved in exocytosis (GO:0090522)	1	1	.05	+	18.43	5.28E-02
sphingolipid mediated signaling pathway (GO:0090520)	1	1	.05	+	18.43	5.28E-02
UDP-N-acetylgalactosamine transmembrane transport (GO:0015789)	1	1	.05	+	18.43	5.28E-02
3'-UTR-mediated mRNA stabilization (GO:0070935)	1	1	.05	+	18.43	5.28E-02
glycogen catabolic process (GO:0005980)	2	2	.11	+	18.43	5.47E-03
negative regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903070)	1	1	.05	+	18.43	5.28E-02
regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	1	1	.05	+	18.43	5.28E-02
negative regulation of seed maturation (GO:2000692)	1	1	.05	+	18.43	5.28E-02
cellular response to exogenous dsRNA (GO:0071360)	1	1	.05	+	18.43	5.28E-02
cellular response to dsRNA (GO:0071359)	1	1	.05	+	18.43	5.28E-02
cellular response to trehalose stimulus (GO:0071327)	1	1	.05	+	18.43	5.28E-02
negative regulation of mRNA polyadenylation (GO:1900364)	1	1	.05	+	18.43	5.28E-02
molybdate ion export from vacuole (GO:0090414)	1	1	.05	+	18.43	5.28E-02
cellular monovalent inorganic anion homeostasis (GO:0030320)	1	1	.05	+	18.43	5.28E-02
preprophase band assembly (GO:0000913)	1	1	.05	+	18.43	5.28E-02
