




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (995)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
RNA capping (GO:0036260)	2	2	.34	+	5.91	4.59E-02
cell volume homeostasis (GO:0006884)	4	4	.68	+	5.91	5.11E-03
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036)	1	1	.17	+	5.91	1.56E-01
protein splicing (GO:0030908)	1	1	.17	+	5.91	1.56E-01
acyl carnitine transport (GO:0006844)	1	1	.17	+	5.91	1.56E-01
water transport (GO:0006833)	2	2	.34	+	5.91	4.59E-02
Rac protein signal transduction (GO:0016601)	1	1	.17	+	5.91	1.56E-01
histone glutamine methylation (GO:1990258)	1	1	.17	+	5.91	1.56E-01
cellular response to leucine starvation (GO:1990253)	1	1	.17	+	5.91	1.56E-01
response to manganese ion (GO:0010042)	1	1	.17	+	5.91	1.56E-01
response to iron(II) ion (GO:0010040)	2	2	.34	+	5.91	4.59E-02
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis (GO:0002433)	3	3	.51	+	5.91	1.50E-02
negative regulation of vesicle fusion (GO:0031339)	1	1	.17	+	5.91	1.56E-01
galactose homeostasis (GO:0033501)	1	1	.17	+	5.91	1.56E-01
negative regulation of double-strand break repair via single-strand annealing (GO:1901291)	1	1	.17	+	5.91	1.56E-01
7-methylguanosine RNA capping (GO:0009452)	2	2	.34	+	5.91	4.59E-02
protein localization to euchromatin (GO:1905632)	1	1	.17	+	5.91	1.56E-01
alditol phosphate metabolic process (GO:0052646)	2	2	.34	+	5.91	4.59E-02
positive regulation of miRNA mediated inhibition of translation (GO:1905618)	1	1	.17	+	5.91	1.56E-01
regulation of miRNA mediated inhibition of translation (GO:1905616)	1	1	.17	+	5.91	1.56E-01
positive regulation of reactive oxygen species biosynthetic process (GO:1903428)	1	1	.17	+	5.91	1.56E-01
regulation of reactive oxygen species biosynthetic process (GO:1903426)	1	1	.17	+	5.91	1.56E-01
negative regulation of synaptic vesicle recycling (GO:1903422)	1	1	.17	+	5.91	1.56E-01
positive regulation of receptor recycling (GO:0001921)	1	1	.17	+	5.91	1.56E-01
negative regulation of NIK/NF-kappaB signaling (GO:1901223)	1	1	.17	+	5.91	1.56E-01
regulation of NIK/NF-kappaB signaling (GO:1901222)	1	1	.17	+	5.91	1.56E-01
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (GO:0050428)	1	1	.17	+	5.91	1.56E-01
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	1	1	.17	+	5.91	1.56E-01
activation of phospholipase C activity (GO:0007202)	2	2	.34	+	5.91	4.59E-02
protein arginylation (GO:0016598)	1	1	.17	+	5.91	1.56E-01
phospholipase C-inhibiting G protein-coupled receptor signaling pathway (GO:0030845)	1	1	.17	+	5.91	1.56E-01
vitamin A metabolic process (GO:0006776)	1	1	.17	+	5.91	1.56E-01
regulation of mitochondrial electron transport, NADH to ubiquinone (GO:1902956)	1	1	.17	+	5.91	1.56E-01
male courtship behavior, tapping to detect pheromone (GO:0016544)	2	2	.34	+	5.91	4.59E-02
intein-mediated protein splicing (GO:0016539)	1	1	.17	+	5.91	1.56E-01
female analia development (GO:0045497)	2	2	.34	+	5.91	4.59E-02
male analia development (GO:0045496)	2	2	.34	+	5.91	4.59E-02
positive regulation of p38MAPK cascade (GO:1900745)	1	1	.17	+	5.91	1.56E-01
NADH regeneration (GO:0006735)	1	1	.17	+	5.91	1.56E-01
juvenile hormone catabolic process (GO:0006719)	2	2	.34	+	5.91	4.59E-02
protein localization to rhabdomere (GO:1990146)	2	2	.34	+	5.91	4.59E-02
positive regulation of nitric oxide biosynthetic process (GO:0045429)	1	1	.17	+	5.91	1.56E-01
regulation of nitric oxide biosynthetic process (GO:0045428)	1	1	.17	+	5.91	1.56E-01
messenger ribonucleoprotein complex assembly (GO:1990120)	1	1	.17	+	5.91	1.56E-01
regulation of transcription involved in G2/M transition of mitotic cell cycle (GO:0000117)	1	1	.17	+	5.91	1.56E-01
response to leucine (GO:0043201)	2	2	.34	+	5.91	4.59E-02
sulfate assimilation (GO:0000103)	1	1	.17	+	5.91	1.56E-01
positive regulation of lipase activity (GO:0060193)	2	2	.34	+	5.91	4.59E-02
regulation of lipase activity (GO:0060191)	2	2	.34	+	5.91	4.59E-02
negative regulation of male pigmentation (GO:0048092)	1	1	.17	+	5.91	1.56E-01
regulation of male pigmentation (GO:0048088)	1	1	.17	+	5.91	1.56E-01
phospholipase C-activating dopamine receptor signaling pathway (GO:0060158)	1	1	.17	+	5.91	1.56E-01
R1/R6 development (GO:0048053)	1	1	.17	+	5.91	1.56E-01
oligosaccharide catabolic process (GO:0009313)	1	1	.17	+	5.91	1.56E-01
GDP-fucose import into Golgi lumen (GO:0036085)	1	1	.17	+	5.91	1.56E-01
positive regulation of regulated secretory pathway (GO:1903307)	2	2	.34	+	5.91	4.59E-02
positive regulation of phagocytosis, engulfment (GO:0060100)	1	1	.17	+	5.91	1.56E-01
commissural neuron axon guidance (GO:0071679)	1	1	.17	+	5.91	1.56E-01
insulin-like growth factor receptor signaling pathway (GO:0048009)	1	1	.17	+	5.91	1.56E-01
ocellus photoreceptor cell differentiation (GO:0042705)	2	2	.34	+	5.91	4.59E-02
negative regulation of activin receptor signaling pathway (GO:0032926)	1	1	.17	+	5.91	1.56E-01
