




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (1025)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
peptidyl-serine acetylation (GO:0030920)	1	1	.17	+	5.73	1.60E-01
purine ribonucleoside bisphosphate biosynthetic process (GO:0034036)	1	1	.17	+	5.73	1.60E-01
protein splicing (GO:0030908)	1	1	.17	+	5.73	1.60E-01
extracellular transport (GO:0006858)	1	1	.17	+	5.73	1.60E-01
drug transmembrane transport (GO:0006855)	1	1	.17	+	5.73	1.60E-01
water transport (GO:0006833)	2	2	.35	+	5.73	4.83E-02
positive regulation of mitochondrial membrane permeability (GO:0035794)	1	1	.17	+	5.73	1.60E-01
nitric oxide biosynthetic process (GO:0006809)	1	1	.17	+	5.73	1.60E-01
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)	1	1	.17	+	5.73	1.60E-01
mitochondrial outer membrane translocase complex assembly (GO:0070096)	1	1	.17	+	5.73	1.60E-01
negative regulation of vesicle fusion (GO:0031339)	1	1	.17	+	5.73	1.60E-01
proprioception (GO:0019230)	2	2	.35	+	5.73	4.83E-02
gamma-aminobutyric acid biosynthetic process (GO:0009449)	1	1	.17	+	5.73	1.60E-01
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	1	1	.17	+	5.73	1.60E-01
NAD biosynthetic process (GO:0009435)	1	1	.17	+	5.73	1.60E-01
cytoplasmic sequestering of NF-kappaB (GO:0007253)	1	1	.17	+	5.73	1.60E-01
positive regulation of miRNA mediated inhibition of translation (GO:1905618)	1	1	.17	+	5.73	1.60E-01
regulation of miRNA mediated inhibition of translation (GO:1905616)	1	1	.17	+	5.73	1.60E-01
negative regulation of synaptic vesicle recycling (GO:1903422)	1	1	.17	+	5.73	1.60E-01
protein-tetrapyrrole linkage (GO:0017006)	1	1	.17	+	5.73	1.60E-01
protein-heme linkage (GO:0017003)	1	1	.17	+	5.73	1.60E-01
positive regulation of receptor recycling (GO:0001921)	1	1	.17	+	5.73	1.60E-01
reactive oxygen species biosynthetic process (GO:1903409)	2	2	.35	+	5.73	4.83E-02
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process (GO:0050428)	1	1	.17	+	5.73	1.60E-01
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	1	1	.17	+	5.73	1.60E-01
inner dynein arm assembly (GO:0036159)	2	2	.35	+	5.73	4.83E-02
protein arginylation (GO:0016598)	1	1	.17	+	5.73	1.60E-01
phospholipase C-inhibiting G protein-coupled receptor signaling pathway (GO:0030845)	1	1	.17	+	5.73	1.60E-01
positive regulation of amyloid precursor protein catabolic process (GO:1902993)	1	1	.17	+	5.73	1.60E-01
regulation of amyloid precursor protein catabolic process (GO:1902991)	1	1	.17	+	5.73	1.60E-01
