




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
ectoderm and mesoderm interaction (GO:0007499)	1	1	.05	+	19.58	4.98E-02
fluorene metabolic process (GO:0018917)	1	1	.05	+	19.58	4.98E-02
nerve maturation (GO:0021682)	1	1	.05	+	19.58	4.98E-02
negative regulation of cell-cell adhesion mediated by integrin (GO:0033633)	1	1	.05	+	19.58	4.98E-02
positive regulation of testosterone secretion (GO:2000845)	1	1	.05	+	19.58	4.98E-02
regulation of testosterone secretion (GO:2000843)	1	1	.05	+	19.58	4.98E-02
biphenyl metabolic process (GO:0018879)	2	2	.10	+	19.58	4.87E-03
negative regulation of synaptic vesicle clustering (GO:2000808)	1	1	.05	+	19.58	4.98E-02
regulation of mRNA stability involved in cellular response to UV (GO:1902629)	1	1	.05	+	19.58	4.98E-02
suppression by symbiont of host defense-related programmed cell death (GO:0034054)	1	1	.05	+	19.58	4.98E-02
modulation by symbiont of host defense-related programmed cell death (GO:0034053)	1	1	.05	+	19.58	4.98E-02
multi-organism intercellular transport (GO:1902586)	1	1	.05	+	19.58	4.98E-02
negative regulation of blood vessel endothelial cell differentiation (GO:0110059)	1	1	.05	+	19.58	4.98E-02
regulation of blood vessel endothelial cell differentiation (GO:0110057)	1	1	.05	+	19.58	4.98E-02
ncRNA deadenylation (GO:0110008)	1	1	.05	+	19.58	4.98E-02
B cell cytokine production (GO:0002368)	1	1	.05	+	19.58	4.98E-02
glucocorticoid catabolic process (GO:0006713)	1	1	.05	+	19.58	4.98E-02
cholesterol biosynthetic process via 24,25-dihydrolanosterol (GO:0033488)	1	1	.05	+	19.58	4.98E-02
negative regulation of translation in response to oxidative stress (GO:0032938)	1	1	.05	+	19.58	4.98E-02
positive regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902425)	2	2	.10	+	19.58	4.87E-03
regulation of attachment of mitotic spindle microtubules to kinetochore (GO:1902423)	2	2	.10	+	19.58	4.87E-03
primary adaptive immune response involving T cells and B cells (GO:0090721)	1	1	.05	+	19.58	4.98E-02
primary adaptive immune response (GO:0090720)	1	1	.05	+	19.58	4.98E-02
positive regulation of endoribonuclease activity (GO:1902380)	1	1	.05	+	19.58	4.98E-02
