




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of citrulline biosynthetic process (GO:1903249)	1	1	.02	+	42.90	2.30E-02
regulation of citrulline biosynthetic process (GO:1903248)	1	1	.02	+	42.90	2.30E-02
positive regulation of cytosolic calcium ion concentration involved in egg activation (GO:0060470)	1	1	.02	+	42.90	2.30E-02
positive regulation of cellular defense response (GO:0010186)	1	1	.02	+	42.90	2.30E-02
regulation of cellular defense response (GO:0010185)	1	1	.02	+	42.90	2.30E-02
response to chlorate (GO:0010157)	1	1	.02	+	42.90	2.30E-02
coronal suture morphogenesis (GO:0060365)	1	1	.02	+	42.90	2.30E-02
asparagine transport (GO:0006867)	1	1	.02	+	42.90	2.30E-02
neural fold bending (GO:0021503)	1	1	.02	+	42.90	2.30E-02
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1	1	.02	+	42.90	2.30E-02
negative regulation of cellular amine catabolic process (GO:0033242)	1	1	.02	+	42.90	2.30E-02
regulation of cellular amine catabolic process (GO:0033241)	1	1	.02	+	42.90	2.30E-02
mRNA cleavage involved in gene silencing by siRNA (GO:0090625)	1	1	.02	+	42.90	2.30E-02
positive regulation of glutamine transport (GO:2000487)	1	1	.02	+	42.90	2.30E-02
benzoyl-CoA metabolic process (GO:1901787)	1	1	.02	+	42.90	2.30E-02
cellular response to oleic acid (GO:0071400)	1	1	.02	+	42.90	2.30E-02
vasoconstriction of artery involved in ischemic response to lowering of systemic arterial blood pressure (GO:0002014)	1	1	.02	+	42.90	2.30E-02
aminophospholipid translocation (GO:0140331)	1	1	.02	+	42.90	2.30E-02
lysophospholipid translocation (GO:0140329)	1	1	.02	+	42.90	2.30E-02
fibroblast growth factor receptor apoptotic signaling pathway (GO:1902178)	1	1	.02	+	42.90	2.30E-02
behavioral response to nutrient (GO:0051780)	1	1	.02	+	42.90	2.30E-02
endosome fission (GO:0140285)	2	2	.05	+	42.90	1.05E-03
cellular response to tumor cell (GO:0071228)	1	1	.02	+	42.90	2.30E-02
negative regulation of elastin biosynthetic process (GO:0051545)	1	1	.02	+	42.90	2.30E-02
regulation of elastin biosynthetic process (GO:0051543)	1	1	.02	+	42.90	2.30E-02
regulation of prostaglandin catabolic process (GO:1905828)	1	1	.02	+	42.90	2.30E-02
negative regulation of Wnt signaling pathway involved in digestive tract morphogenesis (GO:2000057)	1	1	.02	+	42.90	2.30E-02
regulation of Wnt signaling pathway involved in digestive tract morphogenesis (GO:2000056)	1	1	.02	+	42.90	2.30E-02
negative regulation of axon extension involved in regeneration (GO:0048692)	1	1	.02	+	42.90	2.30E-02
proline import across plasma membrane (GO:1905647)	1	1	.02	+	42.90	2.30E-02
negative regulation of the force of heart contraction (GO:0098736)	1	1	.02	+	42.90	2.30E-02
negative regulation of heat generation (GO:0031651)	1	1	.02	+	42.90	2.30E-02
negative regulation of myeloid progenitor cell differentiation (GO:1905454)	1	1	.02	+	42.90	2.30E-02
negative regulation of macrophage proliferation (GO:0120042)	1	1	.02	+	42.90	2.30E-02
protein localization to M-band (GO:0036309)	1	1	.02	+	42.90	2.30E-02
positive regulation of calcium-independent cell-cell adhesion (GO:0051041)	1	1	.02	+	42.90	2.30E-02
glycine betaine transport (GO:0031460)	1	1	.02	+	42.90	2.30E-02
