




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of histone methylation (GO:0031061)	1	1	.02	+	54.51	1.82E-02
negative regulation of histone modification (GO:0031057)	1	1	.02	+	54.51	1.82E-02
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1	1	.02	+	54.51	1.82E-02
negative regulation of histone H3-K14 acetylation (GO:0071441)	1	1	.02	+	54.51	1.82E-02
regulation of histone H3-K14 acetylation (GO:0071440)	1	1	.02	+	54.51	1.82E-02
xylulose 5-phosphate biosynthetic process (GO:1901159)	1	1	.02	+	54.51	1.82E-02
L-arabinose catabolic process (GO:0019572)	1	1	.02	+	54.51	1.82E-02
L-arabinose catabolic process to xylulose 5-phosphate (GO:0019569)	1	1	.02	+	54.51	1.82E-02
arabinose catabolic process (GO:0019568)	1	1	.02	+	54.51	1.82E-02
xylulose 5-phosphate metabolic process (GO:0051167)	1	1	.02	+	54.51	1.82E-02
pyrimidine nucleoside biosynthetic process (GO:0046134)	1	1	.02	+	54.51	1.82E-02
pyrimidine ribonucleoside biosynthetic process (GO:0046132)	1	1	.02	+	54.51	1.82E-02
mitochondrial RNA 3'-end processing (GO:0000965)	1	1	.02	+	54.51	1.82E-02
negative regulation of histone H3-K9 methylation (GO:0051573)	1	1	.02	+	54.51	1.82E-02
negative regulation of histone H3-K4 methylation (GO:0051572)	1	1	.02	+	54.51	1.82E-02
regulation of histone H3-K9 methylation (GO:0051570)	1	1	.02	+	54.51	1.82E-02
negative regulation of histone acetylation (GO:0035067)	1	1	.02	+	54.51	1.82E-02
regulation of DNA-dependent DNA replication initiation (GO:0030174)	1	1	.02	+	54.51	1.82E-02
negative regulation of protein acetylation (GO:1901984)	1	1	.02	+	54.51	1.82E-02
dolichyl monophosphate biosynthetic process (GO:0043048)	1	1	.02	+	54.51	1.82E-02
arabinose metabolic process (GO:0019566)	4	3	.07	+	40.89	6.13E-05
L-arabinose metabolic process (GO:0046373)	3	2	.06	+	36.34	1.45E-03
ketone body catabolic process (GO:0046952)	2	1	.04	+	27.26	3.60E-02
fatty acid elongation (GO:0030497)	4	2	.07	+	27.26	2.55E-03
stabilization of membrane potential (GO:0030322)	2	1	.04	+	27.26	3.60E-02
fatty acid derivative catabolic process (GO:1901569)	2	1	.04	+	27.26	3.60E-02
alpha-glucan biosynthetic process (GO:0030979)	2	1	.04	+	27.26	3.60E-02
alpha-glucan metabolic process (GO:0030978)	2	1	.04	+	27.26	3.60E-02
negative regulation of pyruvate dehydrogenase activity (GO:1904183)	2	1	.04	+	27.26	3.60E-02
regulation of histone H3-K4 methylation (GO:0051569)	2	1	.04	+	27.26	3.60E-02
fungal-type cell wall (1->3)-alpha-glucan biosynthetic process (GO:0070600)	2	1	.04	+	27.26	3.60E-02
osmosensory signaling via phosphorelay pathway (GO:0007234)	2	1	.04	+	27.26	3.60E-02
fungal-type cell wall (1->3)-alpha-glucan metabolic process (GO:0070599)	2	1	.04	+	27.26	3.60E-02
cell wall (1->3)-alpha-glucan biosynthetic process (GO:0070598)	2	1	.04	+	27.26	3.60E-02
cell wall (1->3)-alpha-glucan metabolic process (GO:0070597)	2	1	.04	+	27.26	3.60E-02
(1->3)-alpha-glucan biosynthetic process (GO:0070596)	2	1	.04	+	27.26	3.60E-02
(1->3)-alpha-glucan metabolic process (GO:0070595)	2	1	.04	+	27.26	3.60E-02
lactone biosynthetic process (GO:1901336)	2	1	.04	+	27.26	3.60E-02
lactone metabolic process (GO:1901334)	2	1	.04	+	27.26	3.60E-02
N-acetylglucosamine catabolic process (GO:0006046)	2	1	.04	+	27.26	3.60E-02
UDP-glucose metabolic process (GO:0006011)	2	1	.04	+	27.26	3.60E-02
