




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
ribosomal large subunit assembly (GO:0000027)	42	42	34.03	+	1.23	1.02E-01
inner mitochondrial membrane organization (GO:0007007)	25	25	20.25	+	1.23	1.71E-01
purine ribonucleoside monophosphate metabolic process (GO:0009167)	25	25	20.25	+	1.23	1.71E-01
purine nucleoside monophosphate metabolic process (GO:0009126)	25	25	20.25	+	1.23	1.71E-01
monocarboxylic acid transport (GO:0015718)	29	29	23.49	+	1.23	1.50E-01
cellular oxidant detoxification (GO:0098869)	29	29	23.49	+	1.23	1.50E-01
UMP metabolic process (GO:0046049)	10	10	8.10	+	1.23	2.96E-01
positive regulation of trehalose catabolic process (GO:1901319)	1	1	.81	+	1.23	5.55E-01
UDP metabolic process (GO:0046048)	2	2	1.62	+	1.23	4.82E-01
cyanamide metabolic process (GO:0018890)	2	2	1.62	+	1.23	4.82E-01
ITP metabolic process (GO:0046041)	1	1	.81	+	1.23	5.55E-01
RNA (guanine-N7)-methylation (GO:0036265)	5	5	4.05	+	1.23	3.81E-01
maintenance of mitotic sister chromatid cohesion (GO:0034088)	1	1	.81	+	1.23	5.55E-01
7-methylguanosine cap hypermethylation (GO:0036261)	1	1	.81	+	1.23	5.55E-01
maintenance of sister chromatid cohesion (GO:0034086)	1	1	.81	+	1.23	5.55E-01
inter-Golgi cisterna vesicle-mediated transport (GO:0048219)	1	1	.81	+	1.23	5.55E-01
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	1	1	.81	+	1.23	5.55E-01
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	1	1	.81	+	1.23	5.55E-01
GTP metabolic process (GO:0046039)	5	5	4.05	+	1.23	3.81E-01
GMP metabolic process (GO:0046037)	8	8	6.48	+	1.23	3.24E-01
Golgi vesicle fusion to target membrane (GO:0048210)	1	1	.81	+	1.23	5.55E-01
CTP metabolic process (GO:0046036)	5	5	4.05	+	1.23	3.81E-01
AMP metabolic process (GO:0046033)	8	8	6.48	+	1.23	3.24E-01
