




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
iron import into cell (GO:0033212)	1	1	.10	+	9.84	9.67E-02
quaternary ammonium group transport (GO:0015697)	3	2	.30	+	6.56	3.80E-02
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	6	3	.61	+	4.92	2.41E-02
nucleotide-sugar transmembrane transport (GO:0015780)	2	1	.20	+	4.92	1.84E-01
bile acid and bile salt transport (GO:0015721)	8	4	.81	+	4.92	9.58E-03
DNA double-strand break processing (GO:0000729)	4	2	.41	+	4.92	6.33E-02
activation of innate immune response (GO:0002218)	4	2	.41	+	4.92	6.33E-02
regulation of insulin secretion (GO:0050796)	4	2	.41	+	4.92	6.33E-02
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	2	1	.20	+	4.92	1.84E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	2	1	.20	+	4.92	1.84E-01
positive regulation of protein secretion (GO:0050714)	2	1	.20	+	4.92	1.84E-01
positive regulation of epithelial cell proliferation (GO:0050679)	10	4	1.02	+	3.93	2.00E-02
intracellular pH reduction (GO:0051452)	8	3	.81	+	3.69	4.93E-02
pH reduction (GO:0045851)	8	3	.81	+	3.69	4.93E-02
vacuolar acidification (GO:0007035)	8	3	.81	+	3.69	4.93E-02
double-strand break repair via break-induced replication (GO:0000727)	11	4	1.12	+	3.58	2.71E-02
negative regulation of cell migration (GO:0030336)	14	5	1.42	+	3.51	1.51E-02
behavior (GO:0007610)	14	5	1.42	+	3.51	1.51E-02
regulation of stress fiber assembly (GO:0051492)	6	2	.61	+	3.28	1.25E-01
