




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
mammary gland development (GO:0030879)	1	1	.05	+	19.58	4.98E-02
regulation of circadian rhythm (GO:0042752)	7	5	.36	+	13.98	3.58E-05
circadian regulation of gene expression (GO:0032922)	16	9	.82	+	11.01	2.08E-07
regulation of mitotic spindle organization (GO:0060236)	4	2	.20	+	9.79	1.82E-02
circadian rhythm (GO:0007623)	22	11	1.12	+	9.79	3.07E-08
rhythmic process (GO:0048511)	24	11	1.23	+	8.97	7.29E-08
regulation of chromatin assembly or disassembly (GO:0001672)	5	2	.26	+	7.83	2.75E-02
regulation of autophagosome maturation (GO:1901096)	5	2	.26	+	7.83	2.75E-02
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	2	.26	+	7.83	2.75E-02
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	5	2	.26	+	7.83	2.75E-02
poly(A)+ mRNA export from nucleus (GO:0016973)	13	5	.66	+	7.53	6.16E-04
protein demethylation (GO:0006482)	11	4	.56	+	7.12	2.65E-03
regulation of stress fiber assembly (GO:0051492)	6	2	.31	+	6.53	3.84E-02
negative regulation of macroautophagy (GO:0016242)	6	2	.31	+	6.53	3.84E-02
lysosomal microautophagy (GO:0016237)	3	1	.15	+	6.53	1.42E-01
intracellular mRNA localization (GO:0008298)	3	1	.15	+	6.53	1.42E-01
centrosome localization (GO:0051642)	6	2	.31	+	6.53	3.84E-02
regulation of telomere maintenance via telomerase (GO:0032210)	3	1	.15	+	6.53	1.42E-01
piecemeal microautophagy of the nucleus (GO:0034727)	3	1	.15	+	6.53	1.42E-01
vacuolar protein processing (GO:0006624)	3	1	.15	+	6.53	1.42E-01
gland development (GO:0048732)	6	2	.31	+	6.53	3.84E-02
endosome to lysosome transport (GO:0008333)	7	2	.36	+	5.59	5.05E-02
response to heat (GO:0009408)	7	2	.36	+	5.59	5.05E-02
sterol biosynthetic process (GO:0016126)	14	4	.72	+	5.59	6.16E-03
cellular response to heat (GO:0034605)	7	2	.36	+	5.59	5.05E-02
mRNA cis splicing, via spliceosome (GO:0045292)	11	3	.56	+	5.34	1.95E-02
ribosomal subunit export from nucleus (GO:0000054)	11	3	.56	+	5.34	1.95E-02
intracellular pH reduction (GO:0051452)	8	2	.41	+	4.89	6.38E-02
histone deubiquitination (GO:0016578)	4	1	.20	+	4.89	1.85E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	8	2	.41	+	4.89	6.38E-02
stress fiber assembly (GO:0043149)	8	2	.41	+	4.89	6.38E-02
regulation of telomere maintenance via telomere lengthening (GO:1904356)	4	1	.20	+	4.89	1.85E-01
contractile actin filament bundle assembly (GO:0030038)	8	2	.41	+	4.89	6.38E-02
cellular response to hypoxia (GO:0071456)	8	2	.41	+	4.89	6.38E-02
activation of innate immune response (GO:0002218)	4	1	.20	+	4.89	1.85E-01
regulation of autophagosome assembly (GO:2000785)	8	2	.41	+	4.89	6.38E-02
mitotic metaphase plate congression (GO:0007080)	8	2	.41	+	4.89	6.38E-02
plasma membrane phospholipid scrambling (GO:0017121)	8	2	.41	+	4.89	6.38E-02
pH reduction (GO:0045851)	8	2	.41	+	4.89	6.38E-02
vacuolar acidification (GO:0007035)	8	2	.41	+	4.89	6.38E-02
skeletal muscle organ development (GO:0060538)	4	1	.20	+	4.89	1.85E-01
mitochondrial RNA processing (GO:0000963)	4	1	.20	+	4.89	1.85E-01
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	9	2	.46	+	4.35	7.82E-02
regulation of macroautophagy (GO:0016241)	18	4	.92	+	4.35	1.44E-02
autophagosome maturation (GO:0097352)	9	2	.46	+	4.35	7.82E-02
metaphase plate congression (GO:0051310)	9	2	.46	+	4.35	7.82E-02
regulation of telomere maintenance (GO:0032204)	9	2	.46	+	4.35	7.82E-02
mitotic recombination (GO:0006312)	9	2	.46	+	4.35	7.82E-02
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	9	2	.46	+	4.35	7.82E-02
telomere-telomerase complex assembly (GO:1905324)	9	2	.46	+	4.35	7.82E-02
telomere maintenance via telomerase (GO:0007004)	9	2	.46	+	4.35	7.82E-02
response to light stimulus (GO:0009416)	23	5	1.17	+	4.26	7.06E-03
sterol metabolic process (GO:0016125)	28	6	1.43	+	4.20	3.51E-03
steroid biosynthetic process (GO:0006694)	24	5	1.23	+	4.08	8.38E-03
ribonucleoprotein complex localization (GO:0071166)	39	8	1.99	+	4.02	1.05E-03
ribonucleoprotein complex export from nucleus (GO:0071426)	39	8	1.99	+	4.02	1.05E-03
telomere capping (GO:0016233)	10	2	.51	+	3.92	9.34E-02
muscle organ development (GO:0007517)	5	1	.26	+	3.92	2.25E-01
mitochondrion distribution (GO:0048311)	5	1	.26	+	3.92	2.25E-01
phosphatidylcholine metabolic process (GO:0046470)	5	1	.26	+	3.92	2.25E-01
