




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of membrane potential (GO:0042391)	2	1	.04	+	27.26	3.60E-02
C-terminal protein amino acid modification (GO:0018410)	3	1	.06	+	18.17	5.36E-02
potassium ion transmembrane transport (GO:0071805)	3	1	.06	+	18.17	5.36E-02
post-translational protein modification (GO:0043687)	3	1	.06	+	18.17	5.36E-02
intracellular pH reduction (GO:0051452)	4	1	.07	+	13.63	7.08E-02
positive regulation of TOR signaling (GO:0032008)	4	1	.07	+	13.63	7.08E-02
glycerophospholipid catabolic process (GO:0046475)	4	1	.07	+	13.63	7.08E-02
pH reduction (GO:0045851)	4	1	.07	+	13.63	7.08E-02
vacuolar acidification (GO:0007035)	4	1	.07	+	13.63	7.08E-02
potassium ion transport (GO:0006813)	4	1	.07	+	13.63	7.08E-02
glycerolipid catabolic process (GO:0046503)	5	1	.09	+	10.90	8.77E-02
protein O-linked glycosylation (GO:0006493)	5	1	.09	+	10.90	8.77E-02
acyl-CoA metabolic process (GO:0006637)	5	1	.09	+	10.90	8.77E-02
fatty acid biosynthetic process (GO:0006633)	10	2	.18	+	10.90	1.48E-02
very long-chain fatty acid metabolic process (GO:0000038)	5	1	.09	+	10.90	8.77E-02
monocarboxylic acid biosynthetic process (GO:0072330)	17	3	.31	+	9.62	3.95E-03
ceramide biosynthetic process (GO:0046513)	6	1	.11	+	9.09	1.04E-01
regulation of intracellular pH (GO:0051453)	6	1	.11	+	9.09	1.04E-01
cell differentiation (GO:0030154)	6	1	.11	+	9.09	1.04E-01
