




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
maturation of SSU-rRNA (GO:0030490)	42	42	34.03	+	1.23	1.02E-01
establishment or maintenance of bipolar cell polarity (GO:0061245)	1	1	.81	+	1.23	5.55E-01
regulation of cell projection assembly (GO:0060491)	3	3	2.43	+	1.23	4.38E-01
nucleoside triphosphate catabolic process (GO:0009143)	2	2	1.62	+	1.23	4.82E-01
mitochondrial fusion (GO:0008053)	1	1	.81	+	1.23	5.55E-01
long-chain fatty acid metabolic process (GO:0001676)	1	1	.81	+	1.23	5.55E-01
regulation of chromatin assembly or disassembly (GO:0001672)	1	1	.81	+	1.23	5.55E-01
regulation of adenylate cyclase activity (GO:0045761)	3	3	2.43	+	1.23	4.38E-01
response to hypoxia (GO:0001666)	2	2	1.62	+	1.23	4.82E-01
purine nucleobase biosynthetic process (GO:0009113)	5	5	4.05	+	1.23	3.81E-01
cytochrome complex assembly (GO:0017004)	17	17	13.77	+	1.23	2.24E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	3	3	2.43	+	1.23	4.38E-01
positive regulation of DNA replication (GO:0045740)	1	1	.81	+	1.23	5.55E-01
positive regulation of DNA repair (GO:0045739)	1	1	.81	+	1.23	5.55E-01
regulation of cell shape (GO:0008360)	2	2	1.62	+	1.23	4.82E-01
RNA interference (GO:0016246)	1	1	.81	+	1.23	5.55E-01
Rho protein signal transduction (GO:0007266)	1	1	.81	+	1.23	5.55E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	3	3	2.43	+	1.23	4.38E-01
hormone biosynthetic process (GO:0042446)	1	1	.81	+	1.23	5.55E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	5	5	4.05	+	1.23	3.81E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	20	20	16.20	+	1.23	2.02E-01
positive regulation of TOR signaling (GO:0032008)	4	4	3.24	+	1.23	4.07E-01
regulation of cyclase activity (GO:0031279)	3	3	2.43	+	1.23	4.38E-01
histone methylation (GO:0016571)	8	8	6.48	+	1.23	3.24E-01
negative regulation of phosphatase activity (GO:0010923)	1	1	.81	+	1.23	5.55E-01
signal transduction in response to DNA damage (GO:0042770)	3	3	2.43	+	1.23	4.38E-01
negative regulation of protein phosphorylation (GO:0001933)	4	4	3.24	+	1.23	4.07E-01
