CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,3,6,9,12,15,18,21
Cre01.g000050,0.00266115,0.005726238,24,16.5,1.196951468,0.059993992,0.138138868,24.29752066,17.19828218,5.029160068,0.001555421,0.00346884,24.14876033,16.84762965,4.006304182,1.288601142,0.321643361,3.562705,2.128915,2.188375,5.14614,4.120335,5.187475,5.264995,4.446205
Cre01.g000100,1,1,21,18,0.338265742,0.999981353,1,20,9.5463283,2.219218333,1,1,20.5,13.67820754,2.101949148,0.154873866,0.073681072,2.255175,1.783295,1.664985,2.811685,1.645975,2.3405,2.214015,1.99974
Cre01.g000150,0.213256716,0.268639405,24,12,0.08552651,0.435776362,0.570594563,20,11.88760587,1.12431988,0.313728513,0.400402914,22,12.03818323,0.384090862,0.51903928,0.51903928,0.00615185,0.1698135,0.04481335,0.4123425,1.8323,0.077712,0.08929725,0.1217105
Cre01.g000200,1,1,24,21,0.387694274,0.810084078,0.930366138,26.80851064,7.74E-05,3.476832979,0.980701748,1,25.40425532,23.81652603,3.221854265,0.338141667,0.104952502,3.58519,2.891595,2.9569,3.496865,2.37398,3.35478,3.210815,3.74541
Cre01.g000250,0.279912985,0.344442478,24,18,1.225087247,0.980986515,1,20,17.20496901,11.09437034,0.629492156,0.751637999,22,17.71273296,9.949284922,0.693852805,0.069738962,8.403865,12.5371,8.71567,7.99375,9.921655,10.64665,11.30705,10.28965
Cre01.g000300,0.00423193,0.008454411,24,22.5,1.816437113,0.183350203,0.291564301,27.30650155,20.99992264,13.75578432,0.006332679,0.011793854,25.65325077,21.88921067,9.670026619,2.382719657,0.246402595,11.463,8.47593,7.465735,6.63781,10.633,8.016625,9.2579,14.1581
Cre01.g000350,0.04531654,0.066622016,24,3,2.503720155,0.346768897,0.476807233,23.27176781,3.260173735,17.32321103,0.080978959,0.117168478,23.63588391,3.132834372,12.79040432,3.770576826,0.294797313,12.6484,22.0119,14.2253,8.68315,10.892025,11.2124,10.6698,12.15785
Cre01.g000400,0.04531654,0.066622016,24,10.5,1.246052963,0.161871674,0.265998106,20,9.328370617,7.249727712,0.043389525,0.066100171,22,9.94310384,4.356931618,2.023172374,0.464357156,4.20608,2.119625,3.75914,8.82236,5.67369,3.402165,3.23924,2.278365
Cre01.g000450,1,1,21,4.5,0.665387481,0.966571084,1,28,7.74E-05,5.284743525,0.999434921,1,24.5,2.625033847,4.078855008,0.059398814,0.01456262,5.308135,4.30721,3.13959,5.013905,3.133925,4.140575,3.626585,3.956515
Cre01.g000500,0.119401804,0.158559137,21,3,0.055817595,0.473499228,0.609530901,23.39522546,2.120333384,0.322929751,0.218958914,0.289073156,22.19761273,2.591440021,0.206981417,0.10924741,0.10924741,0.242604,0.4987235,0.10657355,0.21081,0.0505359,0.200843,0.144686,0.242514
Cre01.g000550,9.27E-05,0.000440158,21,15,0.119270812,0.012927486,0.101644165,20.55944056,14.78776658,0.239510824,1.75E-05,0.00010939,20.77972028,14.89443214,0.10565532,0.131145572,0.131145572,0.05892765,0.00890621,0.014286705,0.0482141,0.2328645,0.23047,0.1657705,0.0522387
Cre01.g000600,9.27E-05,0.000440158,24,16.5,3.258782918,0.015632777,0.101644165,24.98583569,15.32038257,7.580299716,2.09E-05,0.000122508,24.49291785,15.92851238,4.280464628,3.239242446,0.756750196,1.302535,2.313575,0.499007,3.91516,6.63091,7.88675,6.483305,5.30913
Cre01.g000650,0.015014056,0.02497277,21,16.5,3.85970206,0.646734918,0.780197067,20,12.89634153,4.753733468,0.054712486,0.081756507,20.5,14.66294646,3.050051533,3.276986098,1.074403518,7.928845,0.2611965,0.2541035,0.718516,6.55488,3.52834,2.22263,1.83513
Cre01.g000700,0.213256716,0.268639405,21,0,0.067318687,0.410185897,0.544720443,24.43213296,7.74E-05,0.724401353,0.300599036,0.385295039,22.71606648,3.60E-05,0.619500404,0.079400767,0.079400767,0.7468835,0.597444,0.6614335,0.584311,0.495229,0.567229,0.6741665,0.6631245
Cre01.g000750,0.00097863,0.002519158,24,22.5,1.048038316,0.025023513,0.10192405,25.12820513,20.99992264,4.478526963,0.000284493,0.000851892,24.56410256,21.77867098,2.871293066,1.357312802,0.472718309,4.040095,2.472375,1.738735,1.811105,1.50026,3.44697,3.08506,4.62294
Cre01.g000800,4.69E-05,0.000274494,21,3,0.380362637,0.076627415,0.158960182,20.36951501,3.291150282,1.845566801,4.86E-05,0.00022119,20.68475751,3.148525055,1.17626447,0.718038927,0.610440038,1.20349,2.5707,1.218205,0.949123,0.717533,0.557191,1.100357,1.57767
Cre01.g000850,0.279912985,0.344442478,24,21,1.503841115,0.929505541,1,20,0.999922636,34.0700317,0.610482462,0.732469793,22,21.17495745,27.23126315,6.376125559,0.234147257,20.51105,47.55465,16.28195,10.246595,32.9853,27.5722,32.4009,34.6031
Cre01.g000900,9.27E-05,0.000440158,24,22.5,12.22817434,0.04500193,0.119117535,23.52,20.99992264,46.3313542,5.59E-05,0.00024475,23.76,21.74460378,28.93183031,17.53457955,0.606065339,51.3538,17.94075,15.68445,10.04641,14.3153,43.0803,31.26045,49.1929
Cre01.g000950,0.010037898,0.017616642,24,10.5,0.147257462,0.140833805,0.240865293,21.05011933,11.08643257,0.56191072,0.010689594,0.01868098,22.52505967,10.85897532,0.33763898,0.186395703,0.186395703,0.1987685,0.344302,0.2324785,0.608123,0.590923,0.264001,0.2143575,0.1549215
Cre01.g001000,0.000176005,0.000685626,21,15,2.353437054,0.020478291,0.101644165,21.88585608,13.48418482,4.645741279,4.88E-05,0.000221586,21.44292804,14.26383389,2.066527128,2.652605967,1.283605684,0.2177905,0.0171166,0.01776585,1.73205,5.745455,3.519645,3.3171,0.936403
Cre01.g001100,0.000322032,0.0010662,21,13.5,9.31485905,0.048843908,0.124553738,21.77777778,11.4981499,39.26196148,0.000189695,0.000615773,21.38888889,12.5214129,30.1287205,8.91520343,0.295903818,24.93035,14.9975,25.38715,38.2582,40.93735,31.8709,31.54915,26.6167
Cre01.g001150,1,1,21,18,0.284956962,0.998465755,1,20,12.00714276,2.568472987,0.999998822,1,20.5,14.93937495,2.424463434,0.286685769,0.1182471,3.00701,1.927895,1.930545,2.85348,2.267275,2.578345,2.29888,2.463405
Cre01.g001200,9.27E-05,0.000440158,24,1.5,0.411063092,0.023108645,0.101644165,24.16438356,7.74E-05,1.304843407,3.01E-05,0.000157579,24.08219178,0.752607044,0.834200789,0.45960456,0.45960456,1.259545,1.29562,0.804146,0.609876,0.2388325,0.7030305,0.6387075,1.113175
Cre01.g001237,2.21E-07,1.18E-05,24,1.5,5.167766167,0.012421357,0.101644165,25.71428571,7.74E-05,16.217657,5.68E-08,4.18E-06,24.85714286,0.776823107,8.721524567,5.885488372,0.674823344,16.09765,13.1881,8.942845,5.801175,2.01665,5.17165,6.47886,10.74265
Cre01.g001250,0.00266115,0.005726238,24,0,0.094258571,0.051294279,0.127574218,23.52,20.99992264,0.30335837,0.001351255,0.003076139,23.76,22.48710378,0.223173223,0.100481518,0.100481518,0.3386275,0.2576715,0.132748,0.158499,0.09498985,0.256502,0.248819,0.3057775
Cre01.g001300,1,1,21,19.5,0.026292634,0.999200391,1,20,14.90769501,0.081991968,0.99999968,1,20.5,17.15805084,0.063220117,0.022441886,0.022441886,0.0813766,0.09099245,0.03740635,0.0657659,0.040015,0.112198,0.05554195,0.03416695
Cre01.g001350,4.69E-05,0.000274494,21,15,0.472594817,0.021485965,0.101644165,20,12.49800283,1.565638325,1.49E-05,9.86E-05,20.5,13.72665502,0.979385277,0.584172647,0.584172647,0.789579,0.37484,0.4740285,1.00351,1.747225,1.352295,0.95997,0.7639055
Cre01.g001400,0.015014056,0.02497277,21,16.5,11.16892131,0.216799087,0.330368329,21.05011933,12.8194949,32.74056995,0.02189841,0.035424611,21.02505967,14.66196167,15.8936878,14.40276572,0.906194075,8.442565,4.010905,2.163745,3.02979,46.9796,23.4223,15.8214,18.6887
Cre01.g001450,4.47E-06,6.17E-05,21,16.5,3.691764199,0.009920893,0.101644165,23.27176781,16.12323689,6.330571531,7.95E-07,1.62E-05,22.13588391,16.36437479,2.753206849,2.977876323,1.081602831,1.27179,0.3407445,0.2080295,0.333568,4.404335,6.130475,5.93676,3.576505
Cre01.g001500,0.00423193,0.008454411,24,18,0.315644335,0.025124655,0.102042952,25.86510264,18.63127791,0.886691465,0.001079101,0.002540248,24.93255132,18.32947572,0.539353041,0.312238061,0.312238061,0.3962715,0.3947955,0.0815118,0.4378725,0.370027,0.874884,0.8950345,0.8255955
Cre01.g001550,0.00097863,0.002519158,24,21,4.769101131,0.058676083,0.136503812,24.16438356,20.99992264,17.95006575,0.000618154,0.001589094,24.08219178,21.00020607,10.16050197,5.77731695,0.568605466,9.36346,15.179,4.005945,2.761815,6.35315,11.04355,14.46855,17.9591
Cre01.g001600,1,1,21,18,1.464898976,0.928376304,1,28,7.74E-05,7.638046837,0.997371493,1,24.5,22.75003385,4.155071155,1.182548218,0.284603602,8.485105,2.12425,4.257225,4.212165,1.65164,4.91479,3.56316,3.830335
Cre01.g001650,0.00097863,0.002519158,24,21,0.216361876,0.051738333,0.12802614,28,20.99992264,0.884476244,0.000551436,0.00144419,26,21.12496408,0.396846951,0.243047205,0.243047205,0.3606815,0.273757,0.0943861,0.2198795,0.1787395,0.5483185,0.425476,0.9357935
Cre01.g001700,6.62E-07,2.04E-05,24,3,1.569411657,0.00845345,0.101644165,26.32835821,1.651585021,3.190593692,1.12E-07,6.19E-06,25.1641791,2.36203907,1.614060536,1.398543933,0.866475514,3.042405,3.24749,2.673155,1.19605,0.3683135,0.3758095,0.536562,1.22633
Cre01.g001750,0.213256716,0.268639405,24,19.5,0.573935593,0.335086293,0.463924235,26.80851064,13.01047564,7.409607694,0.260014024,0.337852425,25.40425532,16.48496599,5.746130338,1.532371336,0.266678834,3.6166,6.40776,1.727715,5.269535,8.19747,6.279185,7.547185,6.98963
Cre01.g001800,0.000176005,0.000685626,24,21,1.572665585,0.014810113,0.101644165,24.16438356,20.99992264,4.530254558,3.61E-05,0.000178765,24.08219178,21.00020607,2.916862247,1.30154655,0.44621461,3.467445,2.27402,1.17175,1.685655,1.96612,4.268795,3.81328,4.654165
Cre01.g001950,1,1,21,16.5,0.354281711,0.654908185,0.787474159,20.85106383,15.61338982,3.216767943,0.932104773,1,20.92553191,16.05532064,2.925483868,0.377131393,0.128912484,3.056625,3.23106,2.294275,1.98499,3.450325,3.13758,2.83878,3.447705
Cre01.g002000,1,1,24,3,2.455993983,0.993907579,1,20,11.95260127,12.47610107,0.999981403,1,22,7.948930697,12.86822972,0.321201093,0.024960783,12.2147,15.34175,13.67375,8.422165,15.9066,10.401805,10.54545,16.60215
Cre01.g002050,0.00266115,0.005726238,21,9,2.601184218,0.049130544,0.124881538,20,8.834339381,6.403938069,0.00129989,0.002973921,20.5,8.920456076,4.206528346,2.231365978,0.530453094,1.94854,3.197255,6.827835,5.143895,6.38442,2.56167,2.31381,3.00032
Cre01.g002100,1,1,21,18,0.564999531,1,1,26.48648649,9.054546158,4.866338848,1,1,23.74324324,2.362430993,4.618620843,0.043785737,0.009480262,5.15285,4.15571,3.801845,6.07268,3.60052,4.618395,4.95473,4.59012
Cre01.g002150,0.001634479,0.003805356,21,15,4.469708584,0.03817164,0.111132531,22.44274809,14.42743472,7.606615267,0.000666464,0.00168913,21.72137405,14.73948146,3.515539328,4.171182243,1.18649853,0.729797,0.0409097,0.0415736,2.220415,9.515,5.29713,6.878015,2.317135
Cre01.g002200,0.00266115,0.005726238,24,18,8.920611664,0.022069639,0.101644165,25.71428571,16.09088594,25.59838192,0.000630917,0.001615821,24.85714286,17.09869011,17.96755481,7.593242194,0.422608545,11.45685,12.51945,5.47986,16.93915,24.14925,25.01745,24.705,23.25825
Cre01.g002201,0.006584336,0.012329551,24,18,0.361671684,0.029304185,0.103583347,26.32835821,16.06229371,0.957193597,0.001843255,0.00402601,25.1641791,17.11259528,0.65288853,0.295562861,0.295562861,0.386195,0.419925,0.189988,0.5727205,0.912437,0.9402725,0.895575,0.896611
