CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,4,8,12,16,20,24,28,32,36,40
Synpcc7942_1541,0.191227213,0.414769825,24,2,18.45525006,0.498452927,1,22.61758691,0.923403863,149.1213346,0.319365894,0.724905264,23.30879346,1.447011537,132.8936645,22.84734768,0.171922023,166.3341419,117.3842589,119.5720083,128.5427419,153.2877364,140.3073163,148.0615941,116.0756773,87.37122252,126.4891925
Synpcc7942_1542,1,1,20,0,18.44189201,0.998439585,1,22.61758691,19.96610282,314.2430682,0.999998782,1,21.30879346,20.05976704,291.4357595,22.71531306,0.077942779,341.7630663,262.4235562,289.5231188,310.5312975,303.8726299,317.7478682,286.4927366,244.8458676,282.1802417,262.051
Synpcc7942_1544,0.587596282,1,28,6,29.47706302,0.789585042,1,24.30769231,7.495955826,325.841181,0.820259177,1,26.15384615,6.834832266,306.6103802,39.80549727,0.129824363,327.2831523,389.6980277,291.7841955,285.8674154,298.6421481,270.7555474,300.1364601,384.4097194,298.3370833,294.3768835
Synpcc7942_1545,0.023834236,0.085761917,28,6,20.09861463,0.204945043,0.718750927,26.65060241,4.774368205,203.1339079,0.030879396,0.113574145,27.3253012,5.375329987,174.7107708,32.35670183,0.185201529,210.2213476,189.2961216,177.1348163,148.6292089,152.296961,171.230033,185.9971396,220.8223563,202.2521307,145.4990328
Synpcc7942_1546,0.050611446,0.153498781,24,10,21.7503928,0.313854785,0.907663665,23.58208955,7.991643051,109.7406372,0.081685233,0.24774206,23.79104478,8.987695201,98.19534509,21.25971042,0.216504259,106.6294976,133.0076612,105.8167885,80.9389377,84.04124441,92.47694012,96.95806283,125.8542011,104.847791,85.37242851
Synpcc7942_1548,7.43E-05,0.001390329,24,0,132.3013658,0.017835243,0.296395924,22.61758691,1.228387155,426.5597379,1.93E-05,0.000374488,23.30879346,0.632963688,349.9074488,116.3064866,0.332392142,462.6788266,301.3004222,205.888003,284.6449619,463.3965558,433.4312394,349.2813655,311.9037634,239.867547,293.9702294
Synpcc7942_1549,1,1,24,2,17.06422505,0.876243895,1,28,2.555065489,180.9907867,0.992005184,1,26,2.269613739,170.4334083,16.08891693,0.094400019,194.4088877,165.4426123,155.4460724,135.9953156,173.2542809,179.1766347,166.3031882,188.6238594,178.9524411,164.8183279
Synpcc7942_1550,0.125826047,0.302128117,24,10,26.22526006,0.512000565,1,22.16432866,9.804267078,224.8399082,0.241089218,0.576668736,23.08216433,9.913917518,203.9934969,33.19120634,0.162707179,198.0614805,230.1806394,227.3320779,197.8867637,174.2984203,191.0182218,198.4391491,258.7069843,220.0986369,191.0666309
Synpcc7942_1551,0.023834236,0.085761917,28,6,50.99193525,0.128432003,0.578448535,24.41501104,7.346462595,286.3937512,0.020781626,0.082151481,26.20750552,6.75085859,253.6479954,52.39872254,0.206580472,299.7770993,300.6357504,289.1474114,206.6962055,235.4619665,214.962706,261.0239727,320.1382092,294.5367951,212.6484499
Synpcc7942_1552,1,1,20,0,189.785909,0.984126646,1,20.44362292,19.68739184,2117.801897,0.999873346,1,20.22181146,19.84779844,2038.74729,189.1490716,0.092777105,2099.359386,1822.597233,2064.705661,2092.046399,2060.981554,2109.292018,1935.389061,1643.53923,2268.356819,2273.650851
Synpcc7942_1553,1,1,24,2,15.88433494,0.999302467,1,20,1.681239584,145.8043639,0.999999757,1,22,1.841348438,142.0675945,9.030387338,0.063564019,152.242948,135.3351594,120.0745183,130.5959256,149.1776673,157.2669362,131.8186152,132.2676939,166.4480361,137.6382567
Synpcc7942_1554,0.000806317,0.006626167,28,22,144.8002893,0.033810698,0.332132724,24.85393258,20.4044935,1918.910617,0.000313787,0.002841203,26.42696629,21.22998104,1783.418867,177.3332646,0.099434445,1652.670917,1613.248925,1671.733579,1812.954337,2029.287365,1834.222309,1775.236275,1621.278104,1611.229919,1831.784262
Synpcc7942_1555,0.023834236,0.085761917,24,20,240.8439654,0.509908302,1,25.78088578,19.98358449,2606.587954,0.065751119,0.209093597,24.89044289,20.01770481,2393.521739,218.4711386,0.09127602,2019.602479,2165.078187,2443.687208,2359.379336,2634.87556,2738.497443,2193.266975,2090.050939,2591.322931,2325.358233
Synpcc7942_1556,1.86E-05,0.000557637,24,12,434.9962255,0.010065871,0.287325741,23.58208955,10.40657464,921.9922564,3.09E-06,0.000109407,23.79104478,11.19715359,691.1047643,508.6374208,0.735977303,478.9223157,1125.652979,1154.581625,648.8673014,325.7130045,355.1608781,470.981275,1081.103306,1320.314012,764.5186762
Synpcc7942_1557,0.000259241,0.003179851,24,10,2048.291848,0.032818028,0.330837606,23.28421053,11.61592921,4897.401399,0.000107832,0.001260572,23.64210526,10.82267571,3551.483791,2455.242116,0.691328543,3013.540403,7051.658401,4519.123464,3635.640798,1209.253754,1149.491824,3795.440096,6810.029299,4381.859954,3880.743189
Synpcc7942_1558,0.01827761,0.070889795,24,12,19.937025,0.082549241,0.453747483,22.89855072,10.80209088,177.7458872,0.011310648,0.049236912,23.44927536,11.39326284,160.3677735,26.77811467,0.1669794,164.6074279,171.7826968,180.2742471,159.7492207,138.4210971,138.3611426,154.5888695,192.9674213,200.65656,142.2630442
Synpcc7942_1559,3.00E-05,0.000785877,24,12,64.37464576,0.007651186,0.287325741,23.68308351,9.496753161,441.5856594,3.74E-06,0.000119282,23.84154176,10.74053235,398.3019844,78.40404977,0.196845742,392.7530745,467.369334,466.3324607,397.8105993,356.9088232,322.3346967,365.1257205,474.6333874,470.9626974,398.9802133
Synpcc7942_1560,0.101156161,0.253910122,20,14,14.61346484,0.55111074,1,22.71047228,12.16050436,80.65980397,0.21668838,0.534741393,21.35523614,13.1917488,68.17038203,12.86164255,0.18866907,68.3725778,62.96633213,79.01607934,64.62125058,50.45493556,49.78551756,68.2441044,94.66490905,82.06156583,69.18619342
Synpcc7942_1561,0.343341746,0.667385595,28,6,91.42132097,0.920616193,1,22.99376299,14.3672873,1402.82666,0.680135157,1,25.4968815,10.69746929,1283.820468,106.3159667,0.082812176,1122.441073,1422.146102,1330.758073,1200.972017,1238.908424,1213.091695,1244.909518,1502.262855,1391.228876,1377.169539
Synpcc7942_1562,1,1,24,14,64.09746992,0.985828583,1,21.72888016,18.05718168,996.4964818,0.999899108,1,22.86444008,16.16922361,916.552801,4.738582375,0.005170005,709.5031219,952.1279837,927.9859984,875.8148066,868.9179962,908.7221094,941.5874631,1010.382925,969.0998541,1001.588201
Synpcc7942_1563,1,1,28,4,11.88867673,0.998037462,1,28,11.99991803,80.96640268,0.999998073,1,28,7.999959017,76.64966025,4.91439794,0.064115065,89.00795196,84.54330133,72.64988755,75.03625008,71.4586907,64.77844585,90.49942642,69.04248669,77.76527302,82.7574409
Synpcc7942_1564,1,1,24,2,10.54185388,0.890765956,1,20,0.169289598,74.4688548,0.993804027,1,22,1.009775945,71.40770293,5.281411729,0.073961373,82.16990112,59.66991581,60.75149795,73.41669495,72.7889298,77.61512051,62.59915148,64.45805052,83.71694254,71.82752127
Synpcc7942_1565,0.005842913,0.028360337,24,0,64.33293706,0.059577253,0.392453333,23.18658281,0.150512792,365.1963147,0.003120065,0.016889047,23.5932914,0.076576445,324.8141465,62.91202152,0.193686212,389.7868188,256.4954892,268.4928214,325.5122433,348.1683138,383.3528835,342.6964679,277.738607,266.9295431,297.5449958
Synpcc7942_1566,1,1,28,8,14.69011879,0.998145775,1,28,15.42008828,126.096327,0.99999828,1,28,11.71004414,119.9784774,11.45119797,0.095443768,129.078653,111.0910997,148.3576816,105.0089287,125.2557873,134.3371943,86.85486183,101.1040689,145.707704,130.305628
Synpcc7942_1568,0.493766276,0.890280975,20,12,19.07968214,0.64526682,1,20.6728972,9.36250668,237.5332661,0.683033271,1,20.3364486,10.70600116,202.8787608,35.09489931,0.17298459,183.6044977,221.8491748,217.2694645,171.049918,176.4406544,212.9971955,219.7757888,269.795127,197.8790855,164.0359306
Synpcc7942_1569,0.039652498,0.127894715,24,10,19.14874705,0.444316782,1,21.06666667,10.7831106,359.9804393,0.088775272,0.264414386,22.53333333,10.46136119,263.895994,76.63432247,0.290395929,150.9260324,303.3282289,273.3397137,187.7895221,230.3729354,251.8541668,296.7585261,446.1555856,333.701074,258.4571804
Synpcc7942_1570,0.050611446,0.153498781,20,12,78.99028327,0.16989875,0.663084461,20.44362292,10.83748158,506.5180995,0.049495935,0.166456424,20.22181146,11.42649138,386.4418974,110.3035943,0.285433839,217.8659637,440.6723305,414.155001,281.5719585,315.2129371,394.2444854,427.1451692,618.8042432,443.7804312,323.8792061
Synpcc7942_1571,0.010503636,0.045485311,24,10,7.441285542,0.127295498,0.578404725,23.38266385,10.99714823,34.24368839,0.0101848,0.045448301,23.69133192,10.50685342,27.67408634,9.290546929,0.335712869,25.33280186,35.56766543,35.68744915,20.37677678,23.00988296,19.23198906,29.72575369,38.45286336,37.15282418,27.37754182
Synpcc7942_1572,0.000259241,0.003179851,28,10,98.35057349,0.011215043,0.287325741,23.18658281,10.32140567,356.7488674,4.00E-05,0.000667926,25.5932914,10.26660133,231.0491329,272.408548,1.179007013,97.7993822,508.0125977,500.8934949,140.5606395,71.49156455,79.27094774,94.48088388,556.6453914,587.4682618,221.168094
Synpcc7942_1573,0.000382986,0.003990109,24,12,285.7527147,0.007615912,0.287325741,22.99376299,12.13700166,516.578791,4.01E-05,0.000667926,23.4968815,12.07550395,340.6416058,301.9419845,0.886391971,189.5719764,638.8603966,670.893443,217.7685916,111.6069979,118.305676,216.4504871,693.3664475,671.259186,299.4381047
Synpcc7942_1574,0.000173248,0.002451068,28,8,96.10292194,0.012573927,0.287325741,23.88768898,9.584710112,198.1540133,3.06E-05,0.000551736,25.94384449,8.911125066,134.9122353,134.5119473,0.997032975,88.00377719,278.377576,260.6824088,82.60495019,59.48208804,48.42508113,71.88614149,284.7977544,295.67443,165.4568254
