CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,6,12,18
1-Dec,1,1,18,0,0.093405715,1,1,28,11.99999638,4.222079141,1,1,23,4.928569941,4.181200276,0.122309766,0.02925231,4.930135701,4.121950427,4.222079141,4.046351867
1-Mar,1,1,18,6,0.802010906,1,1,20,6.000001318,13.69823389,1,1,19,6.016667293,12.94342645,0.794638786,0.061393232,8.055505828,13.69823389,12.53138152,12.68002165
10-Mar,1,1,18,6,0.04075882,1,1,20.07572172,5.999999523,4.205568533,1,1,19.03786086,6.017884646,4.122827993,0.086609237,0.02100724,3.555272995,4.205568533,4.109946916,4.054522832
11-Mar,1,1,24,0,0.110124822,1,1,27.77996071,7.45E-05,5.236976421,1,1,25.88998035,3.47E-05,5.294752447,0.256234322,0.048394014,4.935980086,5.226711693,5.146274552,5.518656352
2-Mar,1,1,18,12,2.112761601,1,1,20,11.99999313,53.67955892,1,1,19,12.03333007,51.68843966,1.527878541,0.029559386,48.59146455,48.96990326,53.67955892,52.34485352
3-Mar,0.127673938,0.491271509,24,18,2.789965787,0.999742498,1,27.45631068,17.99993369,38.10874631,0.39039442,1,25.72815534,18.08154911,33.87903297,2.992496925,0.088328877,25.42608806,30.94784058,33.73468961,38.10877048
4-Mar,1,1,24,18,0.087028166,1,1,23.37190083,17.99993369,5.580056128,1,1,23.68595041,18.00313133,5.442370731,0.080455153,0.014783108,4.328162767,5.295502907,5.540803912,5.580056345
5-Mar,0.006602959,0.072169707,18,6,6.032266503,0.360874343,1,20,6.00000002,111.0324421,0.016773903,0.181838281,19,6.016666676,104.9369925,5.015529491,0.047795628,99.60541213,111.0324421,97.31095502,103.5655312
6-Mar,0.156135806,0.553542795,24,21,10.17024558,0.98746329,1,24.67713787,17.99993369,214.832728,0.442437216,1,24.33856894,19.52461172,203.5319421,11.66084602,0.057292462,214.4553571,195.2757148,195.761075,214.8328334
7-Mar,0.40265731,0.980172393,24,15,8.849398975,0.999616158,1,28,6.000016114,382.0412984,0.768801729,1,26,10.91072177,375.9984062,7.830709979,0.020826445,318.9790729,382.0412984,381.9273715,383.7863247
8-Mar,1,1,18,9,0.089927013,1,1,23.81807973,6.000019459,6.21747139,1,1,20.90903987,7.860861152,6.122749819,0.126223074,0.020615422,5.484174587,6.21747139,6.176866274,6.020794363
9-Mar,0.156135806,0.553542795,24,21,0.627969383,0.934427271,1,25.91325596,17.99993369,17.89626221,0.426728549,1,24.95662798,19.58624387,16.74473588,0.858573434,0.05127423,18.29867508,15.86191114,16.49628309,17.89626995
A1BG,0.890537609,1,24,15,0.137787068,1,1,20,11.99999575,5.429005524,0.993777584,1,22,13.47499766,5.220697972,0.259894978,0.049781654,5.116825707,5.151107747,5.429005524,5.177431484
A1CF,1,1,18,15,0.094724339,1,1,21.01040119,17.99994205,5.464172628,1,1,19.50520059,16.4823734,5.361554037,0.107362206,0.020024457,4.364719959,5.253885567,5.379083195,5.464173038
A2LD1,1,1,18,3,0.420356993,1,1,28,6.63E-05,14.71367452,1,1,23,1.916693902,14.06993483,0.279929187,0.019895557,13.11846409,14.10856608,13.72198321,13.75409171
A2M,1,1,18,6,0.123653077,1,1,22.10526316,12,11.98024635,1,1,20.05263158,8.784962405,10.91894616,0.449959243,0.041209036,5.429732849,10.42147752,11.98024635,11.02295972
A2ML1,1,1,18,9,17.81150483,1,1,28,6.000011294,302.6490615,1,1,23,8.214290353,281.3418157,16.52198734,0.058725673,254.8029243,302.6490615,279.8921645,287.9465278
A4GALT,1,1,18,15,0.037340011,1,1,20,11.99999996,5.63418419,1,1,19,13.61666665,5.616403567,0.053521694,0.009529531,5.10864425,5.567082709,5.63418419,5.601383224
A4GNT,1,1,24,6,0.195254794,1,1,28,6.67E-05,6.865612092,1,1,26,3.250030959,6.672608105,0.013466513,0.002018178,5.156898478,6.699325851,6.54846614,6.576151346
AAAS,1,1,24,6,0.218996719,1,1,28,12.00001349,9.113052609,1,1,26,8.821434833,8.845266191,0.276865017,0.031300925,7.072628511,8.996340143,9.113052609,8.250837515
AACS,0.323687371,0.857983556,24,12,3.309109974,0.999218567,1,25.78723404,12.00000004,94.60604651,0.688513915,1,24.89361702,12.01548348,91.42502524,4.638889525,0.050739822,82.36382089,94.22655929,94.60604651,91.24132112
AADAC,1,1,24,12,7.138792887,1,1,23.24383562,5.999985666,59.77146281,1,1,23.62191781,8.954269905,52.53121578,7.341336924,0.139751894,19.58771557,59.77146281,55.52390296,47.80976309
AADACL2,2.94E-05,0.001873092,18,6,121.8958258,0.05885252,1,20,5.999982473,1292.219454,2.47E-05,0.001021662,19,6.016658342,1186.242962,101.6566416,0.085696307,1071.180472,1292.219454,1065.335627,1192.483367
AADAT,0.466894602,1,24,6,0.166600794,1,1,28,6.63E-05,4.777099065,0.822505687,1,26,3.250030788,4.668897163,0.058633091,0.012558231,4.215638745,4.726715004,4.594018566,4.58157013
AAGAB,1,1,18,6,0.817922081,1,1,28,5.999999096,86.31650217,1,1,23,6.297618677,85.93789912,0.137517445,0.001600196,75.55806842,86.31650217,85.21966107,87.05319492
AAK1,0.028357308,0.190423075,18,6,1.064155146,0.933678511,1,20,6.000000071,24.54114976,0.122626245,0.769629121,19,6.016666701,23.65038096,0.635166934,0.02685652,22.52880396,24.54114976,21.99241216,23.78528182
AAMP,0.561533274,1,24,21,2.825897097,1,1,22.1978022,17.99995079,131.0384768,0.885585281,1,23.0989011,19.47109016,128.7651083,3.134144095,0.024340011,119.9257676,125.6404665,127.904994,131.0384896
AANAT,1,1,18,0,0.057315796,1,1,28,12.00001563,4.434237301,1,1,23,4.928577847,4.447761959,0.123959349,0.02787005,4.238195312,4.38404893,4.434237301,4.398595223
AARS,0.008676919,0.086291937,24,6,3.002685954,0.985641489,1,25.44691062,6.000000492,39.29265154,0.049274698,0.409522136,24.72345531,6.005142195,36.46738022,2.982493577,0.081785244,41.42128643,39.29265154,36.96302698,33.0815755
AARS2,0.001167361,0.022418609,18,6,1.407989693,0.065669183,1,20,6.000012531,13.61817466,0.000803097,0.016849878,19,6.016672619,12.15894181,1.335801805,0.109861683,15.19864915,13.61817466,10.8904953,11.59206322
AARSD1,0.032955363,0.210093528,24,6,0.535094946,0.907908718,1,28,6.63E-05,11.19474419,0.134917724,0.821003091,26,3.250030788,10.82242224,0.274870859,0.025398275,10.92950463,11.17875189,10.79076734,10.14330723
AASDH,0.608286445,1,18,6,2.588411685,1,1,20,6.000004445,79.74890527,0.910671343,1,19,6.016668778,77.21053676,2.738184572,0.035463872,72.25009899,79.74890527,74.7355363,77.78715635
AASDHPPT,0.204095693,0.650320659,24,18,5.404414636,0.999470184,1,28,17.99993734,179.0297739,0.528265822,1,26,18.10711377,173.2507448,0.109750775,0.000633479,196.3530413,171.5381862,174.592605,179.029797
AASS,0.302687224,0.82536051,24,6,0.921532108,0.999995551,1,20,6.000000005,16.54692921,0.664413577,1,22,6.050000003,15.20633543,0.993499434,0.065334573,17.79189979,16.54692921,14.25380436,14.57651535
AATF,0.753044609,1,24,12,3.528908153,1,1,24.19851683,12.00000332,83.20446552,0.966631262,1,24.09925841,12.00020523,80.65513661,4.09778554,0.050806256,83.39583671,83.1168372,83.20446552,78.75462875
AATK,0.486712943,1,24,21,0.449943359,0.999999164,1,27.14011516,6.63E-05,11.18758507,0.83718528,1,25.57005758,23.97196022,11.33975343,0.618153668,0.054512091,9.184546405,10.96070555,10.94382878,12.1154478
