"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"YPR161C","3.73542476375111e-05","0.000452856510549522","9","8.17612818328585","15.0330410146894","2.24834676775147e-07","3.92055467626662e-06","10","8","14.9588439560014","0.00290806356532924","0.0459891327435487","9.91928251121076","7.98663437099771","57.7602609991869","1.27866606192129e-11","7.89840293169419e-10","9.63976083707025","8.07114363632209","44.0143684121818","17.7880456244442","0.404141789741576","35.839","24.618","28.662","33.185","43.981","47.279","53.119","64.429","60.105","53.757","43.19","25.108","23.586","34.671","38.815","46.179","61.32","65.369","53.613","43.303"
"YOL138C","0.00656554167289869","0.0111047932731475","9","8.34802723232526","2.97931726136128","0.014074327414591","0.0235582824299863","11","8.5","2.19309168185008","0.0438984315546491","0.0817005982057114","10.1467889908257","7.88188313500725","25.3080449483054","0.000367043903877651","0.000620125373520787","10.0489296636086","8.27841746931145","22.2620406921926","3.71704036826273","0.166967638755881","23.991","19.063","17.189","19.706","25.057","24.401","24.121","22.573","28.061","24.095","22.905","16.355","17.849","18.616","22.581","21.779","22.666","25.365","25.461","23.34"
"YDR395W","0.000780829917252701","0.00232996306859362","9","8.44586074489611","31.4975906754947","3.18727017471679e-06","2.14983124531997e-05","11","8","22.0748130484722","0.0169840756848187","0.0488896397513825","9.91928251121076","8.12376838805293","70.5334780036645","1.31108909284805e-08","6.24720455242725e-08","9.97309417040359","8.25243350194721","44.5214730969646","36.1033861124923","0.810920744555368","22.69","13.181","16.899","22.704","31.119","31.39","42.617","123.107","75.347","60.502","37.741","15.174","14.623","23.6","29.482","32.888","86.518","103.424","60.556","47.172"
"YGR129W","0.00045778283268727","0.00168356562434659","9","7.69300003406664","9.88131139751831","0.000505366258242492","0.00123190551751089","10","8","8.44992603517924","0.0204658301533781","0.0525383795405415","9.70175438596491","7.76483064999509","34.5403887348663","9.65321232282434e-07","2.48121512719832e-06","9.5672514619883","7.82885216285941","26.7343720273954","11.0995586774362","0.415179330416373","24.99","17.334","12.837","20.96","26.264","32.999","43.838","37.047","24.717","27.05","24.525","20.349","12.075","15.464","28.635","32.982","47.648","27.484","25.675","30.054"
"YPR165W","0.000138315585331616","0.000835611282249467","9","2.60933137098317","159.072199844402","1.77779475492947e-05","7.53598356751179e-05","11","1","175.770128793618","0.0054574561977957","0.0459891327435487","10.1467889908257","2.4009767861305","984.882394113559","4.55454496339769e-09","2.86806832156712e-08","10.0489296636086","2.09023631086625","861.827851667692","188.242014290632","0.218421827429193","1075.722","1032.708","923.343","822.41","776.829","752.253","688.649","617.854","815.66","982.228","996.094","1080.173","992.565","915.502","776.741","813.897","637.58","663.392","935.414","927.823"
"YPR098C","0.000322184575464401","0.00136513813156207","9","4.76332333148167","46.2928453861155","0.0475769737137442","0.0711914833386061","10","4","52.9743187261526","0.017359164596404","0.0494204787999665","9.91928251121076","3.61265904179874","161.998176120534","3.47888999044921e-05","6.77026847221853e-05","9.63976083707025","4.14221153221653","131.785057083507","51.6430252441308","0.391873148496697","109.65","166.78","162.726","179.797","149.353","180.502","157.585","50.599","75.792","86.293","97.989","179.985","169.107","153.865","157.859","183.105","109.361","57.695","90.19","97.268"
"YPL015C","0.144276175067321","0.173662868707457","9","2.53012427493934","6.49064841143629","1","1","10","1","6.0611425516358","0.775504014136705","0.81312668923319","4.4868154158215","2.3042729251102","68.2723611908411","0.625324447098421","0.680780676887214","7.8289384719405","2.27098326980275","63.6598738800911","2.17889066088908","0.0342270653095105","60.136","72.261","64.89","58.123","64.007","69.88","68.48","34.94","73.295","71.989","77.5","72.033","64.184","55.441","57.525","69.51","43.264","62.671","65.455","72.829"
"YCL050C","0.000338802477722666","0.00140846282049918","9","7.89691753135352","27.7837656095947","0.000328540686446034","0.0008548464321347","10","8","36.260966069332","0.011760480728695","0.0464136766901804","10.1467889908257","8.00597389224725","217.252909235687","3.0191732025564e-07","8.67994619076871e-07","9.71559633027523","7.98502546306806","199.617267125948","32.4552317276722","0.162587296154068","160.371","135.613","157.856","184.297","197.452","186.902","211.072","223.123","230.404","211.228","191.073","157.638","156.286","190.685","210.614","241.19","239.506","246.757","237.583","221.656"
"YAL069W","0.0960517940123988","0.120738462348577","9","4.31185385625234","1.78331257432137","1","1","9","5","2.14748329446355","0.851299109778242","0.878197300137622","8.25373134328358","6.31837644623092","8.90456377836927","0.542823491022586","0.598607723301587","8.75124378109453","5.18604532913659","7.95984044783956","1.45867446506407","0.183254234129779","4.034","7.709","8.723","12.147","9.27","7.123","6.948","7.177","4.921","5.448","6.317","10.86","11.359","6.927","8.178","9.661","3.71","11.391","10.114","4.645"
"YMR193W","1.31786166929215e-05","0.000305686941995867","9","1.72592335117657","78.2197896231574","1.02494169190293e-05","4.91491570695327e-05","10","1","95.1295501467604","0.00632307603672244","0.0459891327435487","10.1467889908257","0.2249666966232","173.696228371558","3.54353546505592e-10","5.22841843377723e-09","9.71559633027523","1.0144092529889","119.906466944649","84.8546927598624","0.707674030617822","214.313","165.316","74.354","66.99","56.165","64.067","72.097","65.473","127.033","208.24","232.119","210.313","103.741","64.888","64.887","67.131","66.751","87.711","203.209","231.633"
"YLR031W","0.250354239288555","0.285414992710466","9","4.55414021972013","4.04930856487243","0.470082675756571","0.561574049006195","5","1.5","5.42350901170082","0.392098033405958","0.454866325655976","4.67653276955603","3.72153866981924","29.3517073947125","0.406387179885677","0.460307161863496","6.22551092318534","3.15685256500742","25.2219136513813","3.01308930574256","0.119463152058549","26.345","28.239","27.77","21.694","25.287","32.407","41.882","7.134","19.866","19.974","29.384","35.689","25.172","27.577","23.748","32.876","18.404","15.877","21.375","25.392"
"YIL014C-A","0.58811614286854","0.620037252649794","9","7.14405889233608","5.32661591921891","1","1","13","8.5","10.996217554232","0.675490960940796","0.720946534212242","4.39761431411531","3.67686989260143","146.551125056514","0.933278198883579","0.959286608994038","8.79920477137177","6.71498380168036","143.317501997801","4.79530309159977","0.0334592985835977","131.461","137.725","126.91","139.011","137.549","147.647","172.964","126.899","120.065","157.155","166.806","134.841","120.888","149.277","137.282","173.899","148.126","133.118","157.933","137.402"
"YGR053C","0.0183989913670912","0.0273843377815727","9","3.15679284667231","4.94425868822241","0.0631778910625085","0.0919795766939462","10","3","5.59445207605267","0.0703135985988542","0.114441116750202","10.3849765258216","2.4416787740932","21.5212521479157","0.00447124671932964","0.00668237457103611","9.79499217527387","2.89341486475317","16.8046926589336","5.80210935531807","0.345267210360648","25.917","25.219","17.547","16.267","16.917","17.323","18.404","4.333","11.802","14.999","24.775","26.157","20.456","15.463","18.968","15.488","5.581","8.526","15.501","16.852"
"YCR101C","0.461534390755768","0.496912487363428","9","5.90602008349264","0.594516576102378","1","1","12","4","1.17344370337908","0.468325749910285","0.528513229076913","5.16822429906542","3.98676690358126","5.24418598193331","0.800825649244523","0.845599145890742","8.72274143302181","5.4773465325969","4.77595926459397","0.525946579881805","0.110123757499535","8.702","5.3","5.482","3.351","7.034","5.844","5.688","1.495","4.511","3.842","5.228","3.803","5.579","4.763","5.021","6.299","4.906","3.17","2.006","2.44"
"YER087C-B","0.00136234096989385","0.00338565016911355","9","1.15678482455356","50.6130314641844","0.00358603830527101","0.00695453495031705","11","9.5","56.4172216437499","0.0152259142388229","0.0479926172685517","10.6346153846154","10.0040674116591","298.285274073443","1.1315707451609e-05","2.36163931785026e-05","10.2115384615385","9.93098184653732","248.516246955022","62.196561253665","0.250271610068704","239.154","189.018","188.119","202.777","206.829","202.313","212.396","259.387","294.067","339.06","342.124","255.134","190.382","203.913","215.976","215.96","226.212","264.973","322.11","375.38"
"YOR280C","0.000568742450771875","0.00189974805847947","9","0.113682194428456","10.2577059931822","1.02494169190293e-05","4.91491570695327e-05","11","9","12.6745354993783","0.0044674577767867","0.0459891327435487","10.3849765258216","8.82314547999737","62.5297064735476","8.39469938007653e-09","4.45074608774294e-08","10.1283255086072","9.02002959689926","52.8331450407821","12.6707798052496","0.239826339989205","51.04","44.274","37","40.259","47.203","48.039","63.992","55.698","65.57","68.263","61.248","51.031","37.364","40.783","41.616","53.741","56.795","59.913","66.569","64.26"
"YGR097W","7.55570604993316e-05","0.000626980874798532","9","8.29124940717054","6.49484430381424","0.000132863148804749","0.000392829483315776","10","8","6.14228305477694","0.00649997685803994","0.0459891327435487","9.70175438596491","8.08414612538268","34.9014037008608","1.95408409453535e-08","8.48243859424184e-08","9.5672514619883","8.14227662416877","28.8173106169146","7.490443246114","0.259928601446847","31.147","20.006","19.162","21.743","27.809","31.653","34.294","35.345","34.293","33.892","32.224","21.064","23.303","20.265","28.928","29.344","35.717","35.205","30.962","30.136"
"YHR215W","0.0561025685262485","0.0743110845088721","9","8.89514575540857","0.192211481053494","0.727252831096001","0.833590640012559","9","0","0.18031222920257","0.598420741699565","0.650222430970425","9.70175438596491","8.35189140984447","1.70568018840057","0.283321091546496","0.331242830459504","9.23391812865497","8.78093253971453","1.49452325456504","0.21032287326656","0.140729073719078","1.381","1.668","1.449","1.208","1.346","1.413","1.611","1.825","2.148","1.219","1.78","1.418","1.15","1.24","1.634","1.267","1.469","1.748","1.393","1.646"
"YKL025C","0.930951014525322","0.937518839566272","9","5.08919401416798","0.780868306219255","0.470082675756571","0.561574049006195","5","0.5","4.75034335601122","0.278856708349114","0.344183083822011","4.99322799097065","3.3218749973105","55.7471270513049","0.648699188953666","0.70323483253225","6.33107599699022","4.00266998872358","53.6473309163671","0.562580828708938","0.0104866508566096","69.869","51.124","52.131","49.084","58.994","54.076","53.234","41.496","54.863","54.857","55.627","47.058","58.431","53.763","55.821","63.461","50.984","44.558","48.463","55.611"
"YKR011C","0.0539125222405308","0.0716421436484906","9","2.16440059816788","13.7913384012782","0.0631778910625085","0.0919795766939462","9","2","13.0312708704869","0.666005893100034","0.711937334003485","9.10288065843621","1.60105615745759","104.46717879181","0.0581283390138646","0.0759939818673271","9.03429355281207","1.92366159352752","95.3567263114874","13.6475747589237","0.143121259368146","102.39","102.203","101.85","101.918","94.464","90.026","81.005","48.175","132.448","114.476","123.588","87.132","96.764","92.046","89.901","99.775","60.73","97.863","106.719","107.329"
"YEL004W","0.460568533065216","0.495959588763911","9","7.80246576829172","1.29833686915356","0.374483792135701","0.456430007174132","12","8","3.08722820666047","0.372551293663187","0.43639691612684","11.4611398963731","8.0224162860606","27.7488568080191","0.482694989355067","0.53790520055581","10.8203799654577","8.02196447640222","25.5117660339359","2.33311142463431","0.0914523683515597","21.672","20.563","23.121","21.917","25.943","26.406","31.835","22.42","26.904","29.826","26.44","23.404","19.33","26.025","27.479","26.457","26.153","23.76","29.942","30.147"
"YJL200C","0.000535556573786344","0.00184262682169315","9","8.56644506606429","167.938236603133","1.71368983993592e-06","1.36961305176128e-05","10","8.5","154.48480046634","0.0130254957549137","0.0468438321821325","9.91928251121076","8.19589027716302","331.135986695448","4.09333189566041e-09","2.64957826743129e-08","9.63976083707025","8.43819229075436","189.212359229099","193.931603862851","1.02494152418467","102.534","28.234","23.759","62.879","113.208","122.226","171.859","609.193","336.902","291.123","198.83","46.341","19.428","53.39","103.408","130.261","394.521","482.862","281.26","243.733"
"YLL027W","0.0120535321730012","0.0187921210256239","9","0.00150537109498344","39.0557493929958","0.00724868141218809","0.012975329981922","11","8","33.9275136914165","0.0332715035582066","0.0684037720821839","10.3849765258216","8.50230358050902","211.53425620812","0.000276191853488372","0.000473273477585603","10.1283255086072","8.55080606545394","175.632675165712","49.5549664174891","0.282151179276482","164.577","102.462","121.258","167.841","147.717","158.114","169.208","222.165","252.209","208.411","222.042","122.431","122.071","143.896","159.527","160.386","154.805","280.772","209.694","218.5"
