"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"Q0045","0.384440032330449","0.397069296371262","14.463768115942","3.3635392893168","0.246495288357884","1","1","9","8.5","0.173948268171891","0.999999712106059","0.999999999903122","5.76923076923077","3.19078212666109","1.81097248999304","0.92761698033835","0.952255089949773","9.74433296172426","1.95447529671142","1.30921828380607","0.0272367814716916","0.0208038505179677","1.376","0.981","0.9","1.002","1.172","0.8","0.795","1.237","0.567","1.168","1.048","0.768","1.068","1.531","1.075","1.489","1.332","3.32","0.996","2.309","0.65","1.969","2.799","0.995"
"Q0050","0.597350299185851","0.601813318190228","5.97604790419162","0.245542344001492","0.208448016756946","1","1","15","2","0.394388807206797","0.979950095500645","0.999999999903122","15","2.9278385610669","1.83219451381993","0.982776582934905","0.989038303694758","11.9920159680639","1.48247920770169","1.28099421181627","0.151781440973992","0.118487218422936","1.565","1.421","0.748","1.193","1.168","0.679","0.612","0.897","0.288","0.982","0.898","0.915","1.016","1.906","1.599","1.545","1.356","3.856","0.985","2.001","0.434","1.309","2.215","1.158"
"Q0055","0.688598179502908","0.691332520387764","8.91071428571429","0.101298704825836","0.194964249675435","1","1","14","13.5","0.260215295476649","0.999999145090391","0.999999999903122","5.91286307053942","1.39721267091704","2.1243678030362","0.993439310561669","0.996724493466966","9.60785911875124","0.595760364526986","1.5143393601406","0.0458807588830306","0.0302975410206406","1.622","1.214","0.841","1.139","1.487","0.918","0.726","1.259","0.612","1.335","1.366","0.939","1.2","2.005","1.361","1.837","1.812","4.143","1.001","2.897","0.65","1.814","2.943","1.233"
"Q0060","0.668713320199252","0.671924561511684","8.91071428571429","0.361510107664268","0.183292401563369","1","1","14","13.5","0.268700576850888","0.999999207748488","0.999999999903122","5.8641975308642","1.8602035479329","2.01881658688725","0.991944314765708","0.995494707659039","9.59163727219283","0.84108860616999","1.43785964956826","0.0619309458272432","0.0430716209651193","1.586","1.167","0.834","1.01","1.39","0.875","0.759","1.073","0.657","1.258","1.314","0.82","1.273","1.748","1.296","1.678","1.649","3.882","1.032","2.764","0.728","1.78","2.816","1.161"
"Q0065","0.779763796374102","0.781050960118529","9.07272727272727","0.154046996689954","0.148746460023034","1","1","14","2.5","0.239002092041053","0.999999987958412","0.999999999903122","15","4.8940698901102","2.09615927540782","0.99786844864213","0.999185766726146","12.6909090909091","2.21950837612089","1.50170173513925","0.180066566781746","0.119908343027284","1.605","1.177","0.981","1.201","1.314","0.863","0.79","1.291","0.7","1.297","1.229","0.832","1.239","1.888","1.333","1.715","1.605","3.888","1.173","2.834","0.688","2.045","3.106","1.156"
"Q0070","0.805561181567905","0.806757757015027","9.07272727272727","0.315736710043785","0.125578065724587","1","1","14","2.5","0.207889393668845","0.999999984160527","0.999999999903122","5","4.90109545268","1.88905992125221","0.998566253958086","0.999719523018918","9.35757575757576","0.584230497718131","1.35582581476293","0.0961013103185953","0.0708802777408387","1.415","1.052","0.902","1.137","1.231","0.781","0.696","1.167","0.608","1.168","1.14","0.8","1.101","1.706","1.181","1.522","1.423","3.543","1.064","2.57","0.597","1.888","2.778","1.028"
"Q0075","0.683529370596462","0.686357143931711","12.6329113924051","6.36991303289628","0.0519904349752117","1","1","5","2.5","0.0837921535706059","0.92180917243767","0.999999999903122","5.03533568904594","4.03872958016298","0.381367876344383","0.988336446213172","0.993082555989655","7.55608236048368","4.41018039020107","0.325289479851909","0.001656347065025","0.001656347065025","0.357","0.085","0.426","0.16","0.343","0.273","0.61","0.389","0","0.358","0.267","0.329","0.316","0.343","0.394","0.07","0.334","0.85","0.232","0.186","0.282","0.673","0.459","0.069"
"Q0085","0.447394572257618","0.456343967802862","5.06598984771574","2.27657628326395","0.533756604624459","1","1","8","0","0.513359523141433","0.999971832553913","0.999999999903122","5.54474708171206","3.50361714429762","3.0222921082946","0.951950980289213","0.9672536082376","6.20357897647593","3.69011278275573","2.08394518359552","0.0354553301739917","0.0170135618024362","2.641","1.563","0.752","2.142","1.09","2.183","1.597","1.373","1.043","1.768","0.879","1.084","1.187","3.386","1.112","2.085","2.356","6.93","0.873","3.019","0.796","5.292","3.075","1.763"
"Q0105","0.00374590369746297","0.00880833050165922","13.4864864864865","5.77316919202423","0.137298325874175","0.0372768240568282","0.0788413274230859","13","6","0.109601551083915","0.197803654810735","0.479752301689743","13.0733944954128","6.16958801009973","0.497256145270294","0.00183924188439111","0.00408510971979694","13.1866269939664","5.98496878438085","0.443439383556208","0.135964195453914","0.135964195453914","0.358","0.329","0.478","0.482","0.518","0.69","0.417","0.497","0.394","0.512","0.316","0.323","0.277","0.336","0.289","0.435","0.594","0.818","0.383","0.691","0.393","0.446","0.674","0.301"
"Q0110","0.4310699531759","0.441027225741251","6.04848484848485","5.28016832696186","0.0781392673832208","1","1","6","5.5","0.117379725676967","0.999670504256344","0.999999999903122","14.1089108910891","6.04911013139758","0.371225239825869","0.946378135741915","0.963351955051919","8.71913191319132","7.51383793840971","0.373876099599493","0.0307117528167464","0.0307117528167464","0.288","0.459","0.115","0.56","0.37","0.393","0.329","0.262","0.443","0.289","0.288","0.473","0.227","0.246","0.053","0.303","0.495","0.815","0.167","0.802","0.152","0.57","0.742","0.187"
