LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA
AT1G01050,AT1G01010,AT1G01490,AT1G01010,AT1G01225,AT1G01010
AT1G01080,AT1G01020,AT1G01510,AT1G01050,AT1G01390,AT1G01030
AT1G01090,AT1G01030,AT1G01540,AT1G01080,AT1G01510,AT1G01080
AT1G01300,AT1G01050,AT1G01620,AT1G01090,AT1G01920,AT1G01110
AT1G01350,AT1G01080,AT1G01660,AT1G01120,AT1G01940,AT1G01210
AT1G01470,AT1G01220,AT1G01710,AT1G01160,AT1G01950,AT1G01470
AT1G01540,AT1G01230,AT1G01720,AT1G01170,AT1G01960,AT1G01490
AT1G01620,AT1G01390,AT1G01770,AT1G01200,AT1G02010,AT1G01540
AT1G01650,AT1G01490,AT1G01940,AT1G01210,AT1G02060,AT1G01580
AT1G01860,AT1G01570,AT1G02640,AT1G01220,AT1G02120,AT1G01630
AT1G01970,AT1G01580,AT1G02890,AT1G01225,AT1G02130,AT1G01640
AT1G02050,AT1G01620,AT1G03080,AT1G01230,AT1G02260,AT1G01860
AT1G02270,AT1G01770,AT1G03620,AT1G01290,AT1G02270,AT1G01900
AT1G02475,AT1G01780,AT1G03840,AT1G01300,AT1G02280,AT1G02060
AT1G02500,AT1G01790,AT1G04120,AT1G01350,AT1G02300,AT1G02110
AT1G02750,AT1G01950,AT1G04400,AT1G01450,AT1G02305,AT1G02280
AT1G02816,AT1G02110,AT1G04425,AT1G01470,AT1G02500,AT1G02305
AT1G02850,AT1G02170,AT1G04620,AT1G01490,AT1G02520,AT1G02310
AT1G03080,AT1G02190,AT1G05540,AT1G01510,AT1G02560,AT1G02430
AT1G03130,AT1G02220,AT1G06110,AT1G01540,AT1G02840,AT1G02460
AT1G03160,AT1G02270,AT1G06290,AT1G01580,AT1G02850,AT1G02620
AT1G03330,AT1G02300,AT1G06410,AT1G01630,AT1G02870,AT1G02660
AT1G03400,AT1G02400,AT1G06460,AT1G01650,AT1G02910,AT1G02690
AT1G03475,AT1G02410,AT1G06570,AT1G01720,AT1G03080,AT1G02790
AT1G03520,AT1G02475,AT1G06680,AT1G01760,AT1G03130,AT1G02840
AT1G03650,AT1G02500,AT1G06830,AT1G01770,AT1G03260,AT1G02850
AT1G03680,AT1G02610,AT1G07050,AT1G01780,AT1G03520,AT1G02870
AT1G03740,AT1G02640,AT1G07420,AT1G01790,AT1G03610,AT1G03130
AT1G04120,AT1G02660,AT1G07650,AT1G01830,AT1G03680,AT1G03430
AT1G04200,AT1G02680,AT1G07700,AT1G01860,AT1G03760,AT1G03550
AT1G04300,AT1G02816,AT1G07900,AT1G01920,AT1G03900,AT1G03630
AT1G04340,AT1G02850,AT1G07980,AT1G01940,AT1G03905,AT1G03650
AT1G04500,AT1G02880,AT1G08230,AT1G01950,AT1G03910,AT1G03680
AT1G04550,AT1G02950,AT1G08470,AT1G01960,AT1G03970,AT1G03780
AT1G04620,AT1G03080,AT1G08920,AT1G02010,AT1G04010,AT1G03860
AT1G04690,AT1G03130,AT1G09080,AT1G02060,AT1G04160,AT1G03870
AT1G04860,AT1G03150,AT1G09180,AT1G02100,AT1G04300,AT1G03900
AT1G04990,AT1G03270,AT1G09360,AT1G02110,AT1G04350,AT1G03910
AT1G05010,AT1G03310,AT1G09390,AT1G02120,AT1G04380,AT1G04010
AT1G05560,AT1G03430,AT1G09460,AT1G02130,AT1G04400,AT1G04120
AT1G06000,AT1G03495,AT1G09570,AT1G02145,AT1G04480,AT1G04260
AT1G06040,AT1G03680,AT1G09740,AT1G02160,AT1G04520,AT1G04350
AT1G06050,AT1G03870,AT1G09960,AT1G02170,AT1G04620,AT1G04380
AT1G06080,AT1G03970,AT1G09970,AT1G02220,AT1G04690,AT1G04400
AT1G06290,AT1G04010,AT1G10020,AT1G02260,AT1G04810,AT1G04425
AT1G06450,AT1G04120,AT1G10130,AT1G02270,AT1G04870,AT1G04430
AT1G06460,AT1G04290,AT1G10770,AT1G02280,AT1G04950,AT1G04550
AT1G06520,AT1G04350,AT1G10950,AT1G02300,AT1G04990,AT1G04620
AT1G06570,AT1G04620,AT1G10970,AT1G02305,AT1G05000,AT1G04680
AT1G06640,AT1G04690,AT1G11090,AT1G02410,AT1G05010,AT1G04690
AT1G06680,AT1G04750,AT1G11130,AT1G02460,AT1G05030,AT1G04710
AT1G06840,AT1G04810,AT1G11170,AT1G02500,AT1G05160,AT1G04850
AT1G07030,AT1G05470,AT1G11500,AT1G02560,AT1G05380,AT1G05000
AT1G07050,AT1G05500,AT1G11570,AT1G02680,AT1G05500,AT1G05570
AT1G07130,AT1G05570,AT1G12140,AT1G02730,AT1G05520,AT1G05630
AT1G07440,AT1G05675,AT1G12420,AT1G02750,AT1G05560,AT1G05810
AT1G07530,AT1G05830,AT1G12480,AT1G02840,AT1G05830,AT1G05870
AT1G07570,AT1G06000,AT1G12800,AT1G02850,AT1G05840,AT1G05890
AT1G07590,AT1G06040,AT1G12880,AT1G02870,AT1G05850,AT1G05900
AT1G07640,AT1G06130,AT1G12970,AT1G03000,AT1G05870,AT1G06000
AT1G07725,AT1G06150,AT1G13080,AT1G03070,AT1G05890,AT1G06040
AT1G07840,AT1G06220,AT1G13190,AT1G03130,AT1G05900,AT1G06220
AT1G07890,AT1G06240,AT1G13280,AT1G03150,AT1G06040,AT1G06430
AT1G08220,AT1G06330,AT1G14360,AT1G03160,AT1G06110,AT1G06450
