CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,X4,X4.1,X8,X8.1,X12,X12.1,X16,X16.1,X20,X20.1,X24,X24.1,X28,X28.1,X32,X32.1,X36,X36.1,X40,X40.1
Synpcc7942_1541,0.191227213,0.414769825,24,2,18.45525006,0.498452927,1,22.61758691,0.923403863,149.1213346,0.319365894,0.724905264,23.30879346,1.447011537,132.8936645,22.84734768,0.171922023,133.0815897,199.5866941,96.66648485,138.102033,121.2636425,117.8803741,123.0060583,134.0794254,142.1533569,164.4221159,129.8407936,150.773839,114.4966897,181.6264985,81.81922535,150.3321292,98.31092326,76.43152178,106.2313453,146.7470397
Synpcc7942_1542,1,1,20,0,18.44189201,0.998439585,1,22.61758691,19.96610282,314.2430682,0.999998782,1,21.30879346,20.05976704,291.4357595,22.71531306,0.077942779,297.6119409,385.9141916,186.5720538,338.2750585,261.8373612,317.2088764,295.0752504,325.9873445,287.3537728,320.391487,278.1006786,357.3950577,257.2639111,315.721562,195.9453841,293.746351,237.6313532,326.7291302,268.8799409,255.2220591
Synpcc7942_1544,0.587596282,1,28,6,29.47706302,0.789585042,1,24.30769231,7.495955826,325.841181,0.820259177,1,26.15384615,6.834832266,306.6103802,39.80549727,0.129824363,260.1167934,394.4495111,393.6861379,385.7099175,284.5938967,298.9744943,268.5851405,303.1496903,268.4564997,328.8277964,245.6482337,295.862861,237.9534999,362.3194202,352.9312414,415.8881973,292.4952759,304.1788907,241.3239458,347.4298211
Synpcc7942_1545,0.023834236,0.085761917,28,6,20.09861463,0.204945043,0.718750927,26.65060241,4.774368205,203.1339079,0.030879396,0.113574145,27.3253012,5.375329987,174.7107708,32.35670183,0.185201529,171.1506154,249.2920797,182.7163862,195.8758569,181.3597418,172.9098908,170.4161566,126.8422611,129.4035856,175.1903363,175.0079425,167.4521235,159.5166142,212.477665,197.831279,243.8134335,183.3379952,221.1662662,114.1837368,176.8143288
Synpcc7942_1546,0.050611446,0.153498781,24,10,21.7503928,0.313854785,0.907663665,23.58208955,7.991643051,109.7406372,0.081685233,0.24774206,23.79104478,8.987695201,98.19534509,21.25971042,0.216504259,79.40799818,133.850997,140.4529944,125.562328,96.65389018,114.9796868,69.43229517,92.44558022,61.17829882,106.90419,82.60792874,102.3459515,80.05381136,113.8623143,110.1808427,141.5275595,94.85180754,114.8437744,67.70805561,103.0368014
Synpcc7942_1548,7.43E-05,0.001390329,24,0,132.3013658,0.017835243,0.296395924,22.61758691,1.228387155,426.5597379,1.93E-05,0.000374488,23.30879346,0.632963688,349.9074488,116.3064866,0.332392142,495.2068707,430.1507824,274.8052825,327.7955619,192.3600587,219.4159473,321.2429143,248.0470094,389.5421829,537.2509287,426.3839981,440.4784807,341.9030909,356.65964,265.0491578,358.758369,219.1958346,260.5392594,274.9448272,312.9956316
Synpcc7942_1549,1,1,24,2,17.06422505,0.876243895,1,28,2.555065489,180.9907867,0.992005184,1,26,2.269613739,170.4334083,16.08891693,0.094400019,154.4630866,234.3546888,152.459267,178.4259576,141.8972556,168.9948892,112.8669987,159.1236324,156.7100135,189.7985482,159.6329049,198.7203644,151.8180355,180.7883408,194.2752036,182.9725152,162.9940146,194.9108676,151.8407651,177.7958906
Synpcc7942_1550,0.125826047,0.302128117,24,10,26.22526006,0.512000565,1,22.16432866,9.804267078,224.8399082,0.241089218,0.576668736,23.08216433,9.913917518,203.9934969,33.19120634,0.162707179,145.2889225,250.8340385,208.9589142,251.4023646,202.3185467,252.345609,195.4277888,200.3457385,165.5258773,183.0709633,175.0029389,207.0335046,151.1980677,245.6802305,232.3886094,285.0253591,197.8930639,242.3042099,172.0780188,210.055243
Synpcc7942_1551,0.023834236,0.085761917,28,6,50.99193525,0.128432003,0.578448535,24.41501104,7.346462595,286.3937512,0.020781626,0.082151481,26.20750552,6.75085859,253.6479954,52.39872254,0.206580472,222.2659575,377.2882411,274.5217041,326.7497966,290.9691377,287.3256851,215.2121987,198.1802122,234.3759612,236.5479717,212.2015805,217.7238314,228.3681461,293.6797992,294.710499,345.5659193,302.0268664,287.0467237,218.2823349,207.0145649
Synpcc7942_1552,1,1,20,0,189.785909,0.984126646,1,20.44362292,19.68739184,2117.801897,0.999873346,1,20.22181146,19.84779844,2038.74729,189.1490716,0.092777105,2176.71709,2022.001681,1741.46278,1903.731686,1867.895217,2261.516105,1907.86932,2276.223477,1817.161257,2304.80185,1813.864392,2404.719644,1891.887179,1978.890943,1436.924687,1850.153772,1664.428049,2872.285588,1884.358324,2662.943378
Synpcc7942_1553,1,1,24,2,15.88433494,0.999302467,1,20,1.681239584,145.8043639,0.999999757,1,22,1.841348438,142.0675945,9.030387338,0.063564019,140.8144468,163.6714491,123.4833043,147.1870145,110.2046902,129.9443464,126.5351841,134.656667,131.8231681,166.5321664,133.6929233,180.8409491,117.5333006,146.1039298,115.1645019,149.3708858,135.6083223,197.2877499,99.45714778,175.8193657
