"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","7171","7184","7197","7210","7223","7236","7249","7262","7275","7288","7301","7314","7327","7340","7353","7366","7379","7392","7405","7418"
"YPR161C","1.13678679678486e-05","0.000155252602444","120","63.373005885487","15.3852579777323","2.15750447410494e-07","3.78789137783197e-06","130","112","14.9588439560014","0.00292698627419785","0.0462976872777139","130.45871559633","86.5971553113905","57.7602610001415","4.04809519238825e-12","2.40550272009225e-10","126.819571865443","86.148849192595","44.2027357975341","14.8660108736993","0.336314271175237","35.839","24.618","28.662","33.185","43.981","47.279","53.119","64.429","60.105","53.757","43.19","25.108","23.586","34.671","38.815","46.179","61.32","65.369","53.613","43.303"
"YOL138C","0.00341571532935636","0.00611254831430106","120","65.885160081183","3.09992151537036","0.0135056677210722","0.0227549145355033","143","118.5","2.19309168185008","0.0439089634821257","0.0821499706113488","132.897196261682","84.0157164116508","25.3080449484114","0.000202642009707876","0.000349226887895894","131.965732087227","87.625374174345","22.2872583715024","2.43758756104472","0.109371351128658","23.991","19.063","17.189","19.706","25.057","24.401","24.121","22.573","28.061","24.095","22.905","16.355","17.849","18.616","22.581","21.779","22.666","25.365","25.461","23.34"
"YDR395W","0.000526287703466854","0.00150437465653338","120","66.8985015137421","31.909017469125","3.05849158179894e-06","2.07708549181511e-05","143","112","22.0748130484722","0.016873033448171","0.0491085756756896","128.108108108108","89.5549349906014","70.5334780036645","8.7260180192672e-09","3.96812298447912e-08","130.369369369369","88.8787029267326","44.5235142271694","35.007937197624","0.786279740161689","22.69","13.181","16.899","22.704","31.119","31.39","42.617","123.107","75.347","60.502","37.741","15.174","14.623","23.6","29.482","32.888","86.518","103.424","60.556","47.172"
"YGR129W","0.000319798493108037","0.00107430933654838","120","57.1634098347865","9.9870704534926","0.000484947419525624","0.00119022043394295","130","112","8.44992603517924","0.0204406383070529","0.0527533057929054","125.840707964602","86.0222956108564","34.5403887349447","6.72216342034737e-07","1.70048996879848e-06","125.280235988201","84.8807995383173","26.6833342214543","1.05776319704128","0.0396413427296052","24.99","17.334","12.837","20.96","26.264","32.999","43.838","37.047","24.717","27.05","24.525","20.349","12.075","15.464","28.635","32.982","47.648","27.484","25.675","30.054"
"YPR165W","3.79291648746616e-05","0.000301675983172984","120","109.247245524109","164.765337210507","1.70596466382121e-05","7.28098178343581e-05","143","21","175.770128793618","0.00543405554392484","0.0462976872777139","132.897196261682","11.7751607078299","984.88239411356","1.31911348510982e-09","9.55700039622358e-09","131.965732087227","6.96915926983501","861.055976175658","109.969959062504","0.127715226541868","1075.722","1032.708","923.343","822.41","776.829","752.253","688.649","617.854","815.66","982.228","996.094","1080.173","992.565","915.502","776.741","813.897","637.58","663.392","935.414","927.823"
"YPR098C","0.000202148473880226","0.000802361957983171","120","18.0135174738879","46.9759424254243","0.0456546717455121","0.0687657497897307","130","60","52.9743187261526","0.0172544376244992","0.0495964765206535","128.108108108108","31.7530780269626","161.998176120534","2.21598358517427e-05","4.34203505275112e-05","126.036036036036","35.0959788552849","131.976142768804","47.6895343825094","0.361349660491684","109.65","166.78","162.726","179.797","149.353","180.502","157.585","50.599","75.792","86.293","97.989","179.985","169.107","153.865","157.859","183.105","109.361","57.695","90.19","97.268"
"YPL015C","0.151696129029603","0.180354381955165","120","107.26347415879","6.38666529577806","1","1","130","21","6.0611425516358","0.817217150326828","0.863258622607016","60","44.6125993002597","68.2723611908438","0.652946372527343","0.710424046165313","103.333333333333","94.4024555361551","64.0612678135761","2.49209228153679","0.0389017009277586","60.136","72.261","64.89","58.123","64.007","69.88","68.48","34.94","73.295","71.989","77.5","72.033","64.184","55.441","57.525","69.51","43.264","62.671","65.455","72.829"
"YCL050C","0.000147288438040905","0.000651983024161391","120","59.5227803749989","28.4791536842005","0.000315266315276497","0.000825920232475097","130","112","36.260966069332","0.011761328504831","0.046689743665238","132.897196261682","85.6289135648913","217.252909236276","1.36410657547437e-07","4.03550916057041e-07","127.632398753894","84.217336062929","199.743797277656","9.66687946812913","0.0483963937798358","160.371","135.613","157.856","184.297","197.452","186.902","211.072","223.123","230.404","211.228","191.073","157.638","156.286","190.685","210.614","241.19","239.506","246.757","237.583","221.656"
"YAL069W","0.101135770567176","0.124928855107965","120","13.4154473686791","1.75354205423483","1","1","117","86","2.14748329446355","0.851218142565114","0.892231346117572","106.917293233083","77.061461414426","8.90456377836927","0.556085695336919","0.614448345643154","114.639097744361","92.3683913768591","7.77432206805338","1.21987470720527","0.156910750098461","4.034","7.709","8.723","12.147","9.27","7.123","6.948","7.177","4.921","5.448","6.317","10.86","11.359","6.927","8.178","9.661","3.71","11.391","10.114","4.645"
"YMR193W","2.83680670609687e-06","8.23073495008388e-05","120","97.2968322621333","80.5625914978147","9.83529906371498e-06","4.74860532919989e-05","130","21","95.1295501467604","0.00631568688149298","0.0462976872777139","130.45871559633","117.60331255729","173.696228372927","8.1336382073971e-11","1.46093577814964e-09","126.819571865443","119.416629507873","120.721562272201","72.9330600143188","0.604142778154828","214.313","165.316","74.354","66.99","56.165","64.067","72.097","65.473","127.033","208.24","232.119","210.313","103.741","64.888","64.887","67.131","66.751","87.711","203.209","231.633"
