KID,LIV
Huwe1,Wars
Wars,Mrpl52
Hbxip,Ctbp1
Dlg1,Dlg1
Ube2r2,Polr2f
Copg,Copg
Rragc,Rfk
Canx,Dhrs1
Snrnp27,Tbl3
Eif5,Gbf1
Nmt1,Itch
G3bp2,Zc3h11a
Tmem234,BC031181
Vta1,Ppm1a
Cox18,Psph
Hdac5,G3bp2
Arfgef1,Rab7
Nat15,Zkscan3
Cfh,Cox18
Eef1g,Apoa1bp
Timm21,Hdac5
Zfp429,Anapc1
Sap25,Ddb1
Kdelr2,Derl1
Nkain1,Nat15
Tmlhe,Raet1c
Scamp5,Eef1g
Echdc1,Ost4
Klhl2,Snrnp40
Rpe,Kdelr2
Arhgap5,Pglyrp2
Mta3,Irgm1
Numa1,Echdc1
Gtpbp10,Rps7
Dstn,Tpsb2
Zcchc10,Mta3
Cdk5rap2,4930544G11Rik
Eif4ebp3,Slc12a4
Stt3a,Numa1
Pigg,Dstn
Rap1gap,Thop1
Plek2,Zcchc10
Mgat4c,Cdk5rap2
Hnrnpl,Iws1
Plekhm1,Eif4ebp3
Cckar,Tifa
Cpeb1,Hnrnpl
Derl2,Plekhm1
Gm7092,Col10a1
Cks1b,Haao
Med21,Cpeb1
Sclt1,Os9
Wdr93,Zmat5
4930506M07Rik,Tm6sf2
Npr2,S1pr5
Kif3a,Mtmr6
Pparg,Slc47a1
Far1,Dennd5b
Fam48a,Zranb1
Klhl28,4930506M07Rik
Dnase2a,Npr2
Afap1l1,Gch1
Tsr1,Pafah1b1
Kdr,Rec8
2410066E13Rik,As3mt
Coq10b,Fam48a
Gimap8,Dnase2a
Efna3,Kdr
Fam189a2,Coq10b
Cnot2,Nde1
Vill,Cnot2
Gcnt2,Slc25a28
Trdmt1,Enpp4
Mme,D730039F16Rik
Hnrnpul1,B130006D01Rik
Zfp277,Gcnt2
Gm6588,Snx15
BC003331,Neu3
Akap1,Mme
Lamb1,Hras1
Trim25,Hnrnpul1
Faf1,Zfp277
Hist2h3c1,Snrpa
Lpar4,Akap1
Vasn,Ptov1
Eif2c1,Hist2h3c1
Pacsin3,Dhx9
Cmbl,Vasn
Scnn1a,Cmbl
Bag3,Scnn1a
Ncbp2,Grb10
Plat,Ncbp2
Mat2b,Prodh2
Rilpl2,1810030N24Rik
Vamp5,Myo18a
Aspn,Gtse1
Slc23a2,Slc23a2
Cxxc1,Lipg
Tspan8,Uvrag
4933427G17Rik,Cxxc1
Prss48,Dcbld2
Cbx5,Cbx5
Tmem135,Tmem135
Pdgfd,Vldlr
Ptges,Zbtb6
Prdm11,Cpsf1
BC027231,3830406C13Rik
Brpf3,Apba3
Spink8,Lsm10
5330426P16Rik,Mcm4
Hadh,Brpf3
Lsp1,Hadh
Slc25a30,Rora
Cetn2,Ldlrad3
Itpr1,Rpl9
Tmem9,Ceacam3
Vmn1r35,Unc93a
Vopp1,Kmo
Ptprs,Itpr1
Esam,Ptprs
Gipc2,Psmd14
Mosc2,Med12l
Psmd14,Degs1
Degs1,Rrp1b
Ndst1,Letm1
Serpinh1,Ndst1
Katna1,Katna1
Zfp40,Wdr34
Ndrg2,Nt5dc2
Wdr34,Dyrk1b
Nt5dc2,Rela
Brms1l,Myl12a
Dyrk1b,Serpinf2
Akap12,Grk4
S100a11,Zfp207
Myl12a,Arl6ip5
Gm3893,Gstm7
Pnpla7,Fabp1
Arhgef5,Rpl15
Eng,Pnpla7
Mkln1,Arhgef5
Nup188,Scamp4
Zfp36l1,Grem2
P4ha2,Zfp36l1
Erp29,P4ha2
Serpina3c,Erp29
Ttc26,Lcmt2
Myo5b,Mlh1
Taf7,Tmem173
Prex1,Gm10106
Myc,Cyp4a12a
Hspa5,Atp6v0b
0610012H03Rik,Sap130
Ace,0610012H03Rik
Arf5,Itih3
Ext2,Arf5
Abhd14b,Ext2
Cir1,Cir1
Rcn2,Zc3hc1
D10Wsu102e,Hnrnpk
Tubb2b,Spon2
Hap1,P2ry4
Ppp2r5c,S100a5
Sgsh,Ears2
Mdm1,Atp5k
H1foo,Kynu
Kynu,Wbp2
Ogg1,Mrps5
Pde1a,Pigh
Arhgef6,Dclre1a
Pigh,Arhgef7
Arhgef7,Dpy19l1
Hk1,Tgfbr2
Dpy19l1,Ncapd3
