SAMPLE2,SAMPLE6
Q0140,Q0105
YAL003W,Q0120
YAL005C,YAL002W
YAL007C,YAL003W
YAL008W,YAL005C
YAL009W,YAL007C
YAL010C,YAL008W
YAL011W,YAL012W
YAL012W,YAL015C
YAL013W,YAL018C
YAL015C,YAL019W
YAL017W,YAL020C
YAL019W,YAL022C
YAL020C,YAL023C
YAL021C,YAL024C
YAL022C,YAL025C
YAL023C,YAL028W
YAL024C,YAL029C
YAL025C,YAL030W
YAL026C,YAL034C
YAL026C-A,YAL034W-A
YAL027W,YAL036C
YAL028W,YAL038W
YAL029C,YAL039C
YAL030W,YAL040C
YAL032C,YAL041W
YAL033W,YAL042W
YAL034C,YAL044C
YAL034W-A,YAL046C
YAL035W,YAL048C
YAL036C,YAL049C
YAL037C-A,YAL053W
YAL037W,YAL054C
YAL038W,YAL055W
YAL039C,YAL058W
YAL040C,YAL059W
YAL041W,YAL061W
YAL042W,YAL062W
YAL043C,YAL063C-A
YAL044C,YAR002C-A
YAL046C,YAR002W
YAL047C,YAR003W
YAL049C,YAR007C
YAL053W,YAR008W
YAL054C,YAR014C
YAL058W,YAR015W
YAL059W,YAR018C
YAL060W,YAR019C
YAL061W,YAR031W
YAL062W,YAR042W
YAL067W-A,YAR050W
YAR002C-A,YAR068W
YAR002W,YBL001C
YAR003W,YBL002W
YAR007C,YBL003C
YAR008W,YBL005W
YAR014C,YBL008W
YAR015W,YBL009W
YAR018C,YBL010C
YAR028W,YBL011W
YBL001C,YBL013W
YBL002W,YBL015W
YBL003C,YBL016W
YBL004W,YBL020W
YBL005W,YBL021C
YBL006C,YBL022C
YBL007C,YBL024W
YBL008W,YBL027W
YBL009W,YBL028C
YBL010C,YBL029C-A
YBL011W,YBL030C
YBL014C,YBL031W
YBL015W,YBL032W
YBL016W,YBL034C
YBL017C,YBL035C
YBL018C,YBL036C
YBL020W,YBL037W
YBL021C,YBL038W
YBL022C,YBL039C
YBL023C,YBL039C-A
YBL024W,YBL039W-B
YBL026W,YBL040C
YBL027W,YBL043W
YBL028C,YBL044W
YBL029W,YBL045C
YBL030C,YBL046W
YBL031W,YBL048W
YBL032W,YBL049W
YBL033C,YBL054W
YBL034C,YBL055C
YBL035C,YBL056W
YBL036C,YBL057C
YBL037W,YBL059C-A
YBL038W,YBL059W
YBL039C,YBL061C
YBL039C-A,YBL062W
YBL039W-B,YBL063W
YBL040C,YBL064C
YBL041W,YBL066C
YBL042C,YBL067C
YBL043W,YBL068W-A
YBL044W,YBL069W
YBL045C,YBL071W-A
YBL046W,YBL072C
YBL047C,YBL074C
YBL051C,YBL075C
YBL054W,YBL076C
YBL055C,YBL078C
YBL056W,YBL079W
YBL057C,YBL080C
YBL058W,YBL081W
YBL059C-A,YBL082C
YBL059W,YBL083C
YBL060W,YBL086C
YBL061C,YBL087C
YBL063W,YBL088C
YBL064C,YBL089W
YBL065W,YBL090W
YBL066C,YBL092W
YBL067C,YBL093C
YBL068W,YBL096C
YBL068W-A,YBL097W
YBL069W,YBL098W
YBL071W-A,YBL099W
YBL072C,YBL100W-B
YBL074C,YBL101C
YBL075C,YBL106C
YBL076C,YBL107C
YBL078C,YBL113C
YBL079W,YBR002C
YBL080C,YBR003W
YBL081W,YBR005W
YBL082C,YBR006W
YBL083C,YBR007C
YBL085W,YBR008C
YBL086C,YBR010W
YBL087C,YBR012C
YBL089W,YBR015C
YBL090W,YBR017C
YBL091C,YBR018C
YBL091C-A,YBR019C
YBL092W,YBR020W
YBL093C,YBR021W
YBL099W,YBR022W
YBL102W,YBR025C
YBL103C,YBR026C
YBL104C,YBR027C
YBL106C,YBR028C
YBL107C,YBR029C
YBL108W,YBR030W
YBL113C,YBR031W
YBR001C,YBR036C
YBR002C,YBR037C
YBR003W,YBR038W
YBR004C,YBR039W
YBR005W,YBR041W
YBR007C,YBR042C
YBR009C,YBR043C
YBR010W,YBR044C
YBR011C,YBR045C
YBR014C,YBR046C
YBR015C,YBR047W
YBR017C,YBR048W
YBR018C,YBR049C
YBR020W,YBR052C
YBR021W,YBR054W
YBR022W,YBR055C
YBR023C,YBR056W
YBR024W,YBR057C
YBR025C,YBR061C
YBR026C,YBR063C
YBR028C,YBR065C
YBR029C,YBR066C
YBR030W,YBR067C
YBR031W,YBR068C
YBR033W,YBR069C
YBR034C,YBR070C
YBR036C,YBR071W
YBR037C,YBR072W
YBR038W,YBR073W
YBR039W,YBR074W
YBR040W,YBR076W
YBR041W,YBR078W
YBR042C,YBR079C
YBR043C,YBR080C
YBR044C,YBR082C
YBR045C,YBR083W
YBR046C,YBR084C-A
YBR047W,YBR085C-A
YBR048W,YBR086C
YBR049C,YBR087W
YBR052C,YBR088C
YBR053C,YBR089C-A
YBR054W,YBR090C
YBR055C,YBR091C
YBR056W,YBR094W
YBR057C,YBR096W
YBR058C,YBR098W
YBR060C,YBR099C
YBR061C,YBR101C
YBR062C,YBR103W
YBR063C,YBR104W
YBR064W,YBR105C
YBR065C,YBR106W
YBR066C,YBR109C
YBR067C,YBR109W-A
YBR070C,YBR114W
YBR071W,YBR115C
YBR072W,YBR116C
YBR073W,YBR117C
YBR074W,YBR118W
YBR076C-A,YBR119W
YBR076W,YBR120C
YBR078W,YBR121C
YBR079C,YBR122C
YBR080C,YBR126W-A
YBR081C,YBR126W-B
YBR083W,YBR127C
YBR084C-A,YBR128C
YBR084W,YBR130C
YBR085C-A,YBR131W
YBR086C,YBR133C
YBR087W,YBR136W
YBR088C,YBR138C
YBR089C-A,YBR140C
YBR090C,YBR141C
YBR091C,YBR142W
YBR094W,YBR143C
YBR095C,YBR146W
YBR096W,YBR148W
YBR098W,YBR149W
YBR099C,YBR151W
YBR101C,YBR153W
YBR102C,YBR154C
YBR104W,YBR155W
YBR105C,YBR156C
YBR106W,YBR158W
YBR107C,YBR159W
YBR109C,YBR160W
YBR109W-A,YBR161W
YBR110W,YBR162C
YBR111C,YBR162W-A
YBR112C,YBR164C
YBR114W,YBR166C
YBR115C,YBR167C
YBR116C,YBR168W
YBR117C,YBR169C
YBR120C,YBR173C
YBR121C,YBR175W
YBR121C-A,YBR177C
YBR122C,YBR179C
YBR123C,YBR180W
YBR124W,YBR181C
YBR125C,YBR185C
YBR126C,YBR186W
YBR126W-A,YBR187W
YBR126W-B,YBR189W
YBR127C,YBR191W
YBR128C,YBR191W-A
YBR130C,YBR192W
YBR131W,YBR195C
YBR132C,YBR196C
YBR133C,YBR197C
YBR137W,YBR199W
YBR139W,YBR200W
YBR141C,YBR201C-A
YBR142W,YBR201W
YBR143C,YBR203W
YBR145W,YBR205W
YBR146W,YBR206W
YBR148W,YBR211C
YBR149W,YBR212W
YBR151W,YBR213W
YBR152W,YBR214W
YBR153W,YBR219C
YBR154C,YBR220C
YBR155W,YBR221C
YBR156C,YBR222C
YBR157C,YBR225W
YBR158W,YBR228W
YBR159W,YBR230C
YBR160W,YBR230W-A
YBR161W,YBR231C
YBR162C,YBR233W
YBR162W-A,YBR233W-A
YBR163W,YBR236C
YBR164C,YBR239C
YBR166C,YBR240C
YBR167C,YBR241C
YBR168W,YBR242W
YBR169C,YBR243C
YBR171W,YBR244W
YBR172C,YBR245C
YBR173C,YBR246W
YBR175W,YBR247C
YBR176W,YBR249C
YBR177C,YBR250W
YBR179C,YBR251W
YBR180W,YBR252W
YBR181C,YBR253W
YBR182C,YBR255C-A
YBR183W,YBR255W
YBR185C,YBR256C
YBR187W,YBR257W
YBR188C,YBR260C
YBR189W,YBR261C
YBR191W,YBR262C
YBR191W-A,YBR267W
YBR192W,YBR268W
YBR193C,YBR269C
YBR194W,YBR270C
YBR195C,YBR271W
YBR196C,YBR273C
YBR197C,YBR275C
YBR198C,YBR280C
YBR200W,YBR281C
YBR201C-A,YBR282W
YBR202W,YBR283C
YBR203W,YBR286W
YBR205W,YBR287W
YBR206W,YBR291C
YBR207W,YBR294W
YBR208C,YBR295W
YBR211C,YBR296C
YBR212W,YBR297W
YBR213W,YBR298C
YBR214W,YBR299W
YBR215W,YCL001W
YBR216C,YCL002C
YBR217W,YCL005W
YBR218C,YCL011C
YBR219C,YCL012C
YBR220C,YCL014W
YBR221C,YCL016C
YBR222C,YCL017C
YBR223C,YCL018W
YBR226C,YCL021W-A
YBR227C,YCL024W
YBR228W,YCL025C
YBR230C,YCL026C-B
YBR230W-A,YCL027W
YBR231C,YCL028W
YBR235W,YCL029C
YBR236C,YCL030C
YBR238C,YCL031C
YBR239C,YCL033C
YBR240C,YCL036W
YBR241C,YCL037C
YBR242W,YCL038C
YBR243C,YCL039W
YBR244W,YCL040W
YBR245C,YCL042W
YBR246W,YCL044C
YBR247C,YCL045C
YBR248C,YCL047C
YBR249C,YCL048W
YBR250W,YCL048W-A
YBR251W,YCL050C
YBR252W,YCL054W
YBR253W,YCL055W
YBR254C,YCL057C-A
YBR255C-A,YCL058C
YBR256C,YCL058W-A
YBR257W,YCL059C
YBR258C,YCL063W
YBR259W,YCL064C
YBR261C,YCR002C
YBR262C,YCR003W
YBR263W,YCR004C
YBR267W,YCR007C
YBR268W,YCR008W
YBR269C,YCR010C
YBR270C,YCR012W
YBR271W,YCR014C
YBR273C,YCR017C
YBR274W,YCR018C
YBR275C,YCR019W
YBR276C,YCR020C
YBR279W,YCR020C-A
YBR280C,YCR021C
YBR281C,YCR022C
YBR282W,YCR023C
YBR283C,YCR024C
YBR284W,YCR024C-A
YBR285W,YCR027C
YBR286W,YCR030C
YBR287W,YCR031C
YBR288C,YCR033W
YBR291C,YCR034W
YBR292C,YCR037C
YBR293W,YCR038C
YBR294W,YCR042C
YBR295W,YCR043C
YBR296C,YCR044C
YBR297W,YCR045W-A
YBR298C,YCR046C
YBR299W,YCR047C
YCL001W,YCR048W
YCL002C,YCR052W
YCL004W,YCR054C
YCL005W,YCR057C
YCL005W-A,YCR059C
YCL008C,YCR060W
YCL011C,YCR061W
YCL012C,YCR065W
YCL016C,YCR067C
YCL017C,YCR068W
YCL018W,YCR069W
YCL021W-A,YCR071C
YCL024W,YCR072C
YCL025C,YCR073C
YCL026C-A,YCR077C
YCL026C-B,YCR083W
YCL027W,YCR084C
YCL029C,YCR086W
YCL030C,YCR087C-A
YCL031C,YCR087W
YCL032W,YCR089W
YCL033C,YCR091W
YCL034W,YCR092C
YCL035C,YCR093W
YCL036W,YCR094W
YCL037C,YCR095W-A
YCL038C,YCR097W
YCL039W,YCR099C
YCL040W,YCR100C
YCL042W,YCR101C
YCL043C,YDL001W
YCL044C,YDL003W
YCL047C,YDL006W
YCL048W,YDL010W
YCL048W-A,YDL012C
YCL049C,YDL013W
YCL050C,YDL014W
YCL052C,YDL015C
YCL054W,YDL017W
YCL055W,YDL018C
YCL056C,YDL019C
YCL057C-A,YDL020C
YCL058C,YDL022C-A
YCL058W-A,YDL022W
YCL059C,YDL024C
YCL061C,YDL025C
YCL064C,YDL028C
YCR002C,YDL029W
YCR003W,YDL031W
YCR004C,YDL033C
YCR005C,YDL036C
YCR006C,YDL039C
YCR008W,YDL040C
YCR010C,YDL042C
YCR012W,YDL043C
YCR014C,YDL044C
YCR015C,YDL045C
YCR016W,YDL045W-A
YCR017C,YDL046W
YCR018C,YDL048C
YCR019W,YDL049C
YCR020C,YDL051W
YCR020C-A,YDL052C
YCR020W-B,YDL055C
YCR021C,YDL056W
YCR022C,YDL057W
YCR023C,YDL059C
YCR024C,YDL060W
YCR024C-A,YDL061C
YCR024C-B,YDL062W
YCR026C,YDL063C
YCR027C,YDL064W
YCR028C,YDL069C
YCR028C-A,YDL070W
