Human blood,Human skin
GO:0140462,GO:0018879
GO:0140157,GO:1902425
GO:0031508,GO:1902423
GO:0009235,GO:0071483
GO:0042267,GO:1901301
GO:0002228,GO:0009785
GO:0055075,GO:0098506
GO:0010837,GO:0017126
GO:0001909,GO:0042747
GO:0015721,GO:0016340
GO:0046427,GO:0097528
GO:1904894,GO:0097167
GO:0030517,GO:0003252
GO:0060260,GO:2000323
GO:2000142,GO:2000322
GO:1904892,GO:0045338
GO:1903313,GO:0051987
GO:0031589,GO:0070291
GO:0051056,GO:0009240
,GO:0046490
,GO:1902339
,GO:1901097
,GO:0000389
,GO:1904747
,GO:0000019
,GO:0002902
,GO:1902653
,GO:0006695
,GO:0007028
,GO:0071372
,GO:0070862
,GO:0042754
,GO:0002903
,GO:0016126
,GO:0016973
,GO:0046855
,GO:1902337
,GO:0051984
,GO:1904748
,GO:0032354
,GO:0009648
,GO:0043153
,GO:0045540
,GO:0106118
,GO:0071545
,GO:0046838
,GO:0032922
,GO:0070932
,GO:1901673
,GO:0042026
,GO:1902236
,GO:0009649
,GO:0032211
,GO:0031065
,GO:1904380
,GO:0036508
,GO:0036507
,GO:0090181
,GO:0033561
,GO:1904357
,GO:0032205
,GO:0048255
,GO:0006084
,GO:1904353
,GO:0007623
,GO:0046174
,GO:0043489
,GO:1900034
,GO:0046165
,GO:0090398
,GO:0050810
,GO:1902373
,GO:0051568
,GO:0044068
,GO:0071426
,GO:0071166
,GO:0006405
,GO:0006406
,GO:0071427
,GO:0006694
,GO:1902930
,GO:1902369
,GO:0033120
,GO:0008203
,GO:0000381
,GO:0032210
,GO:0042752
,GO:0006446
,GO:1903312
,GO:0032206
,GO:1902652
,GO:0051168
,GO:0016125
,GO:0051236
,GO:0070228
,GO:0051028
,GO:0098781
,GO:2001251
,GO:0050658
,GO:0050657
,GO:0061077
,GO:0009301
,GO:0019218
,GO:0045600
,GO:0006611
,GO:0031124
,GO:0006403
,GO:0007569
,GO:0075733
,GO:1904356
,GO:0044003
,GO:0042795
,GO:0014823
,GO:0048511
,GO:0048024
,GO:1902579
,GO:0044766
,GO:1901617
,GO:0008088
,GO:0031123
,GO:0043401
,GO:0034968
,GO:0032204
,GO:0006606
,GO:0043484
,GO:0031397
,GO:0032434
,GO:0015931
,GO:0097306
,GO:0006913
,GO:0051169
,GO:0006493
,GO:0032436
,GO:1990928
,GO:0046488
,GO:0045598
,GO:0008202
,GO:1905269
,GO:0050684
,GO:0043488
,GO:0051170
,GO:0006661
,GO:2001243
,GO:2001252
,GO:0034504
,GO:0006066
,GO:0006479
,GO:0008213
,GO:0061013
,GO:1903311
,GO:0000398
,GO:0000377
,GO:0031503
,GO:1901800
,GO:0043487
,GO:0000375
,GO:2000060
,GO:2000058
,GO:0006164
,GO:0008380
,GO:0071478
,GO:0006397
,GO:0040029
,GO:0051053
,GO:0071383
,GO:1903364
,GO:0061136
,GO:1903052
,GO:0032869
,GO:0072522
,GO:0009267
,GO:1903320
,GO:0031396
,GO:0046890
,GO:0019058
,GO:0008654
,GO:0033044
,GO:0006366
,GO:0031669
,GO:0043414
,GO:1902275
,GO:0006417
,GO:0010608
,GO:0006644
,GO:0032259
,GO:0010639
,GO:0016071
,GO:1903050
,GO:1901615
,GO:0071214
,GO:0104004
,GO:0006396
,GO:0030522
,GO:0071496
,GO:0006351
,GO:0097659
,GO:0090305
,GO:0032774
,GO:1903362
,GO:0031331
,GO:0006650
,GO:0042594
,GO:0031668
,GO:0032868
,GO:0016070
,GO:0006325
,GO:0090407
,GO:0045732
,GO:0034248
,GO:0016311
,GO:0045862
,GO:1901362
,GO:0046486
,GO:0016570
,GO:0008610
,GO:0051052
,GO:0031329
,GO:0009314
,GO:0080135
,GO:0016569
,GO:0009894
,GO:0051276
,GO:0009896
,GO:0034654
,GO:0033554
,GO:0010467
,GO:0032870
,GO:0090304
,GO:0070201
,GO:1903827
,GO:0051129
,GO:0032446
,GO:0034470
,GO:0042176
,GO:0032880
,GO:0005975
,GO:0016567
,GO:0051223
,GO:0034660
,GO:0031667
,GO:0019438
,GO:0018130
,GO:0070647
,GO:0006139
,GO:0031400
,GO:0090087
,GO:1901360
,GO:0046483
,GO:0019637
,GO:0009991
,GO:0006725
,GO:0060341
,GO:0006974
,GO:0044087
,GO:0043412
,GO:1903047
,GO:0051254
,GO:0045935
,GO:0009628
,GO:0034645
,GO:0044070
,GO:0010557
,GO:0033043
,GO:0006464
,GO:0036211
,GO:0018193
,GO:0009059
,GO:0034641
,GO:0032270
,GO:0006796
,GO:0007017
,GO:1902680
,GO:0051173
,GO:0010604
,GO:0006629
,GO:0006793
,GO:0051247
,GO:1903508
,GO:0045893
,GO:0044271
,GO:0031328
,GO:0044260
,GO:0031325
,GO:0009891
,GO:0006886
,GO:0007049
,GO:1901576
,GO:0045934
,GO:0046907
,GO:0010629
,GO:0080134
,GO:0009058
,GO:1901698
,GO:0016310
,GO:0019219
,GO:0051726
,GO:0043170
,GO:0045944
,GO:0032268
,GO:0045184
,GO:0051252
,GO:0051253
,GO:0044238
,GO:0009893
,GO:0006996
,GO:0044281
,GO:0044249
,GO:0044267
,GO:0009889
,GO:0043933
,GO:0006807
,GO:0051246
,GO:0042886
,GO:2000112
,GO:0010556
,GO:0015031
,GO:0051128
,GO:0015833
,GO:0080090
,GO:0031323
,GO:0071704
,GO:0051171
,GO:0031326
,GO:0044237
,GO:0008104
,GO:0010468
,GO:2001141
,GO:0031324
,GO:0051172
,GO:0006355
,GO:1903506
,GO:0019222
,GO:0060255
,GO:0006357
,GO:0019538
,GO:0033036
,GO:0008152
,GO:0010605
,GO:0006950
,GO:0044085
,GO:0009892
,GO:0022607
,GO:1901564
,GO:0048522
,GO:0048518
,GO:0016043
,GO:0071840
