mouse kid,mouse liv
GO:0043653,GO:0046055
GO:1905603,GO:0046054
GO:0015791,GO:0046038
GO:0019262,GO:2000323
GO:0015820,GO:0120183
GO:0070203,GO:0120182
GO:0070202,GO:0046654
GO:1904851,GO:0090205
GO:0048280,GO:0045542
GO:0010887,GO:0106120
GO:1902966,GO:1901069
GO:1902965,GO:1901725
GO:0050667,GO:0009396
GO:0090205,GO:0046037
GO:0009191,GO:0071763
GO:0045542,GO:0032957
GO:0106120,GO:0009170
GO:0042045,GO:0071712
GO:0009134,GO:1902653
GO:0010885,GO:0006695
GO:0010819,GO:0046130
GO:1904814,GO:0071360
GO:0010820,GO:0006152
GO:0042044,GO:0009169
GO:0010888,GO:0046322
GO:0001771,GO:0006144
GO:0070633,GO:0050667
GO:1904816,GO:0009435
GO:0009437,GO:0042454
GO:0030320,GO:0006783
GO:0006577,GO:0031998
GO:0019755,GO:0016126
GO:0050435,GO:0046040
GO:0006833,GO:0006699
GO:0006595,GO:0070207
GO:0055083,GO:0009128
GO:0030002,GO:0010889
GO:0010763,GO:0045898
GO:0006654,GO:0071218
GO:0038084,GO:0009151
GO:0043117,GO:0045922
GO:0055064,GO:0009112
GO:0006817,GO:0019359
GO:0043129,GO:0002753
GO:0010766,GO:0019363
GO:0032469,GO:0044783
GO:0048875,GO:0009164
GO:0051016,GO:0031571
GO:1904358,GO:0009200
GO:0048010,GO:0010867
GO:1902235,GO:0072413
GO:0061028,GO:0010866
GO:0016073,GO:0006515
GO:0045047,GO:0051788
GO:1905898,GO:0090169
GO:0090140,GO:0009159
GO:0050765,GO:0090151
GO:0046473,GO:0032239
GO:0030866,GO:0009162
GO:0032212,GO:0009125
GO:0090317,GO:0034656
GO:0048489,GO:0008206
GO:0072599,GO:0009167
GO:0001569,GO:0042537
GO:0032922,GO:0072525
GO:0000096,GO:0000038
GO:1903421,GO:0045540
GO:0071260,GO:0106118
GO:0032835,GO:1904292
GO:0001885,GO:0046320
GO:0048813,GO:0006779
GO:0035924,GO:0033014
GO:0051973,GO:0009264
GO:1904646,GO:0009123
GO:0009167,GO:0036314
GO:0006457,GO:0009161
GO:0055081,GO:0043153
GO:1901998,GO:0009158
GO:0051972,GO:0046337
GO:0006635,GO:0070328
GO:0006458,GO:0055090
GO:0018208,GO:0009126
GO:0043628,GO:0045723
GO:1901068,GO:0046386
GO:0051084,GO:0009394
GO:0009261,GO:0019692
GO:0015804,GO:0009262
GO:0030501,GO:0006506
GO:1903961,GO:0009649
GO:1903573,GO:0042168
GO:0008089,GO:0006749
GO:0061077,GO:0006998
GO:0070972,GO:0046931
GO:0047496,GO:1901532
GO:0010883,GO:0000096
GO:0007585,GO:0042304
GO:1905897,GO:0060261
GO:0032387,GO:0060260
GO:0030837,GO:0044819
GO:0006890,GO:1901658
GO:0032781,GO:0009648
GO:2000193,GO:0032922
GO:0032272,GO:0006505
GO:1904356,GO:0009069
GO:0098930,GO:0090208
GO:0006487,GO:0031063
GO:0019395,GO:0008299
GO:0097479,GO:0006694
GO:0030433,GO:0006220
GO:0070849,GO:0032456
GO:0010518,GO:0072527
GO:0007030,GO:0007032
GO:0099518,GO:0007031
GO:0006888,GO:0150117
GO:0071456,GO:0032781
GO:0006446,GO:0006984
GO:0043648,GO:0005977
GO:2000573,GO:0006073
GO:0043536,GO:0044042
GO:0030968,GO:0046473
GO:0032210,GO:0090181
GO:2000278,GO:0009154
GO:0071453,GO:2000144
GO:0036294,GO:0019217
GO:0006906,GO:0046889
GO:0009123,GO:0019362
GO:0007589,GO:0009124
GO:0046834,GO:0030488
GO:0002028,GO:0055088
GO:0006986,GO:0090207
GO:0009062,GO:0010257
GO:0035966,GO:0032981
GO:0051954,GO:0010823
GO:0032206,GO:0032392
GO:0042632,GO:2000142
GO:0009132,GO:0043648
GO:0001954,GO:0032509
