yeast high,yeast low
GO:0006415,GO:0032543
GO:0002181,GO:0140053
GO:0042274,GO:0006415
GO:0006364,GO:0002181
GO:0009451,GO:0006412
GO:0043043,GO:0043043
GO:0006412,GO:0043624
GO:0042254,GO:0043604
GO:0043604,GO:0032984
GO:0006518,GO:0006518
GO:0034470,GO:0042273
GO:0043603,GO:0000462
GO:0016072,GO:0043603
GO:0022613,GO:0042274
GO:0034660,GO:0006364
GO:1901566,GO:0042254
GO:0006396,GO:0016072
GO:0010467,GO:1901566
GO:0044271,GO:0034470
GO:0043933,GO:0034660
GO:0034645,GO:0022411
GO:0009059,GO:0022613
GO:0009058,GO:0019752
GO:0044249,GO:0044271
GO:1901576,GO:0006082
GO:0044085,GO:0043436
GO:0034641,GO:0034645
,GO:0009059
,GO:0044249
,GO:0010467
,GO:0009058
,GO:1901576
,GO:0034641
,GO:1901564
,GO:0006807
,GO:0044238
,GO:0071704
,GO:0044237
,GO:0008152
