ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT,FLY OLD,FLY YOUNG,GSE56931,GSE108539,LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA,SAMPLE2,SAMPLE6,NEU,CYANO,CHAL
GO:0048246,GO:0042908,GO:0050796,GO:0061515,GO:0032922,GO:0032922,GO:0042752,GO:0015780,GO:0046902,GO:0032366,GO:1901679,GO:0006622,GO:0046835,GO:0048511,GO:0045736,GO:0032922,GO:1901679,GO:0015979,GO:0001666,GO:0051452,GO:0046677,GO:0009410,GO:0006364,GO:0046785,GO:0042391,GO:0051604,GO:0006364
GO:0032922,GO:0032922,GO:0032922,GO:0030195,GO:0042752,GO:0010811,GO:0016233,GO:0032922,GO:0032922,GO:0006940,GO:0006862,GO:0042752,GO:0008361,GO:0007623,GO:0032922,GO:1901679,GO:0009790,GO:0000289,GO:0042981,GO:0045851,GO:0032465,GO:0046677,GO:0042274,GO:0051302,GO:0018410,GO:0008150,GO:0016072
GO:0042752,GO:1901679,GO:0006940,GO:0032366,GO:0034198,GO:0070059,GO:0007623,GO:0090481,GO:0006220,GO:0032922,GO:0032922,GO:0032922,GO:0042752,GO:0006096,GO:0015697,GO:0046686,GO:0046677,GO:0019216,GO:2001242,GO:0007035,GO:0045948,GO:0016241,GO:0042254,GO:0032465,GO:0046677,GO:0009987,GO:0042254
GO:0045736,GO:0006862,GO:0046835,GO:0001764,GO:0007623,GO:0043618,GO:0048511,GO:0006939,GO:0032981,GO:0006939,GO:0006940,GO:0061462,GO:0006474,GO:0046939,GO:0070059,GO:0006862,GO:0051452,GO:0051452,GO:2001233,GO:0006267,GO:0000289,GO:0006112,GO:0034470,GO:0045039,GO:0043687,GO:1901362,GO:0007049
GO:0034067,GO:0046835,GO:0030073,GO:0042752,GO:0015802,GO:0043966,GO:0032204,GO:0046686,GO:0046470,GO:0006937,GO:0042752,GO:0010508,GO:0090307,GO:0006120,GO:0000055,GO:0036159,GO:0045851,GO:0006123,GO:0043069,GO:0009226,GO:0051302,GO:0005977,GO:0042273,GO:0031109,GO:0030148,GO:0006950,GO:0007010
GO:0009225,GO:0042752,GO:0006939,GO:0032922,GO:0048511,GO:0042752,GO:0009612,GO:0042752,GO:0051642,GO:0045777,GO:0046348,GO:0034067,GO:0010569,GO:0015740,GO:0042752,GO:0000186,GO:0007035,GO:0045851,GO:0043066,GO:0045036,GO:0034067,GO:0045899,GO:0016072,GO:0007007,GO:0010383,GO:0050896,GO:0007017
GO:0033683,GO:0032968,GO:0007519,GO:0042177,GO:0031532,GO:2001235,GO:1904356,GO:0070059,GO:0006695,GO:0090257,GO:0007623,GO:0007623,GO:0006096,GO:0010821,GO:0008625,GO:0051180,GO:0006112,GO:0007035,GO:0070979,GO:0072596,GO:0016973,GO:0045898,GO:0034660,GO:0051274,GO:0006665,GO:0017144,GO:0022402
GO:0007422,GO:0007623,GO:0060538,GO:0042770,GO:0032007,GO:0060337,GO:0036297,GO:0001764,GO:0090559,GO:0045039,GO:0010811,GO:0030042,GO:0046939,GO:0006536,GO:0030317,GO:0048332,GO:0005977,GO:0006112,GO:0060548,GO:0015979,GO:0015979,GO:0001505,GO:0006399,GO:0000726,GO:0044036,GO:0006259,GO:0034470
GO:0007623,GO:0048511,GO:0042752,GO:0015740,GO:0008637,GO:0034340,GO:0000281,GO:0007623,GO:0043248,GO:0042177,GO:0070059,GO:0006623,GO:0030100,GO:0006835,GO:0042552,GO:0007498,GO:0015979,GO:0005977,GO:0042752,GO:0000463,GO:0006112,GO:0015979,GO:0043043,GO:0090148,GO:0072330,,GO:0022613
GO:0048511,GO:0032008,GO:0017015,GO:0031638,GO:2000045,GO:2001242,GO:0051788,GO:1901264,GO:0031573,GO:0006783,GO:0048511,GO:0048511,GO:0000018,GO:0015807,GO:0006878,GO:0015697,GO:0010154,GO:0001763,GO:0033314,GO:0000266,GO:0005977,GO:0072593,GO:0006414,GO:0000910,GO:1901700,,GO:0006396
GO:0006474,GO:0032786,GO:0046686,GO:0072331,GO:0072527,GO:0008286,GO:0071218,GO:0048511,GO:0006267,GO:0006636,GO:0006939,GO:0030199,GO:0006639,GO:0045116,GO:0030888,GO:0001707,GO:0048316,GO:0048646,GO:0015979,GO:0072598,GO:0006744,GO:0071417,GO:0006412,GO:0030150,GO:0034404,,GO:0034660
GO:0050918,GO:0014066,GO:0050714,GO:0010508,GO:0034599,GO:0007623,GO:0006515,GO:0003073,GO:0006744,GO:0060047,GO:0045777,GO:1905515,GO:0006638,GO:0045017,GO:0007623,GO:0070286,GO:0046835,GO:0032886,GO:0070534,GO:0090114,GO:0045899,GO:0009636,GO:0022613,GO:0061640,GO:0070589,,GO:0035556
GO:0009612,GO:0006301,GO:0038061,GO:0006835,GO:1901264,GO:0048511,GO:0032543,GO:0009226,GO:0033683,GO:0008016,GO:0006744,GO:0048545,GO:0008360,GO:0032543,GO:0042130,GO:0007260,GO:0002098,GO:0045899,GO:0006112,GO:0097164,GO:0045898,GO:0008654,GO:0043604,GO:0016125,GO:0044038,,GO:0016070
GO:0019985,GO:0006368,GO:0046879,GO:0007623,GO:0034446,GO:0032869,GO:0061640,GO:0008088,GO:0006505,GO:0046185,GO:2001237,GO:0030514,GO:1902476,GO:0006865,GO:0015695,GO:0060337,GO:0051239,GO:0045898,GO:0005977,GO:0009225,GO:0040011,GO:0009737,GO:0006518,GO:0008202,GO:0042546,,GO:0044085
GO:0035721,GO:0032784,GO:0009914,GO:0009408,GO:2001022,GO:0000245,GO:0035567,GO:0047496,GO:0032511,GO:0060048,GO:0007519,GO:0007041,GO:0006821,GO:0000470,GO:0070997,GO:0048511,GO:2000026,GO:0019646,GO:0045491,GO:0030488,GO:0007052,GO:0034599,GO:0043603,GO:0030148,GO:0071852,,GO:0023052
GO:0000290,GO:0009755,GO:0007623,GO:0048511,GO:0051592,GO:0032868,GO:0051302,GO:0009225,GO:0046890,GO:0007422,GO:0015740,GO:0001558,GO:0006865,GO:0008654,GO:0048511,GO:0034340,GO:0031647,GO:0006006,GO:0007029,GO:0042440,GO:0006406,GO:0048584,GO:0006396,GO:0072330,GO:0071554,,GO:0007165
