GSE56931,GSE108539
GO:0045736,GO:0032922
GO:0032922,GO:1901679
GO:0015697,GO:0046686
GO:0070059,GO:0006862
GO:0000055,GO:0036159
GO:0042752,GO:0000186
GO:0008625,GO:0051180
GO:0030317,GO:0048332
GO:0042552,GO:0007498
GO:0006878,GO:0015697
GO:0030888,GO:0001707
GO:0007623,GO:0070286
GO:0042130,GO:0007260
GO:0015695,GO:0060337
GO:0070997,GO:0048511
GO:0048511,GO:0034340
GO:0006284,GO:0042531
GO:0002821,GO:0007623
GO:0030336,GO:0006882
GO:0000302,GO:0030856
GO:0050731,GO:0042752
GO:0030217,GO:0045446
GO:0034599,GO:0050673
GO:0007257,GO:0045089
GO:0043507,GO:0036065
GO:0046427,GO:0032210
GO:2000146,GO:0002218
GO:1904894,GO:0002833
GO:0030203,GO:0010038
GO:0006919,GO:0000188
GO:0007258,GO:0008285
GO:0043506,GO:1904356
GO:0045088,GO:0046854
GO:0002831,GO:0008625
GO:0050670,GO:0045088
GO:0032944,GO:0001539
GO:0030968,GO:0003002
GO:0070663,GO:2001242
GO:0006801,GO:0060285
GO:0042129,GO:0002831
GO:0042098,GO:0031349
GO:1903038,GO:0001568
GO:0000469,GO:0001525
GO:0050868,GO:0048514
GO:0010952,GO:0046916
GO:0010950,GO:0043407
GO:0008285,GO:0001944
GO:0006672,GO:0016241
GO:0050863,GO:0032204
GO:0006979,GO:0072358
GO:0016236,GO:0009952
GO:0051051,GO:0043409
GO:0046854,GO:0051607
GO:0043280,GO:0009615
GO:2001056,GO:0007389
GO:0000045,GO:0043900
GO:0018212,GO:0030855
GO:1903037,GO:0000187
GO:0000422,GO:0055076
GO:1903008,GO:0019216
GO:1904029,GO:0009755
GO:0000079,GO:0071560
GO:0045089,GO:0007179
GO:0002833,GO:0031347
GO:0043281,GO:0010035
GO:2000116,GO:0051348
GO:0042176,GO:0008283
GO:0018108,GO:0015748
GO:0031347,GO:0071559
GO:0000082,GO:0032147
GO:0007159,GO:0042127
GO:0006986,GO:0045087
GO:0034620,GO:0043405
GO:0043406,GO:0035239
GO:0050865,GO:0033673
GO:0010942,GO:0071901
GO:0030098,GO:0030148
GO:0022407,GO:0035295
