SAMPLE2,SAMPLE6
GO:0006364,GO:0046785
GO:0042274,GO:0051302
GO:0042254,GO:0032465
GO:0034470,GO:0045039
GO:0042273,GO:0031109
GO:0016072,GO:0007007
GO:0034660,GO:0051274
GO:0006399,GO:0000726
GO:0043043,GO:0090148
GO:0006414,GO:0000910
GO:0006412,GO:0030150
GO:0022613,GO:0061640
GO:0043604,GO:0016125
GO:0006518,GO:0008202
GO:0043603,GO:0030148
GO:0006396,GO:0072330
GO:0006082,GO:0007006
GO:0043436,GO:0070585
GO:0044085,GO:0072655
GO:0010467,GO:0006626
GO:1901566,GO:0017004
GO:0034645,GO:0140053
GO:0009059,GO:0006073
GO:0016070,GO:0044042
GO:0044271,GO:0070589
GO:0009058,GO:0071555
GO:1901576,GO:0051301
GO:0044249,GO:0045229
GO:0034641,GO:0044038
GO:1901360,GO:0044036
GO:0006725,GO:0044264
GO:0046483,GO:0034637
GO:0044237,GO:0046467
GO:0008152,GO:0044743
GO:0009987,GO:0071554
GO:0008150,GO:0006839
GO:0009056,GO:0042546
GO:0044248,GO:0005976
GO:1901565,GO:0031505
GO:0044257,GO:0071852
GO:0051603,GO:0071806
GO:0016192,GO:0065002
GO:0006508,GO:1903046
GO:0043632,GO:0140013
GO:0019941,GO:0051321
GO:0006511,GO:0016051
GO:0070647,GO:1990542
GO:0016050,GO:0006605
GO:0032446,GO:0007005
GO:0022411,GO:0090150
GO:0016567,GO:0008610
GO:0007033,GO:0072657
GO:1903008,GO:0055082
GO:0000209,GO:0030003
GO:0016236,GO:0006873
GO:0071214,GO:0044262
GO:0104004,GO:0019725
GO:0000726,GO:0055114
,GO:0022402
,GO:0042592
,GO:0072594
,GO:0000280
,GO:0007049
,GO:0000278
,GO:1903047
,GO:0140014
,GO:0048285
,GO:0033365
,GO:1901135
,GO:0055085
,GO:0008152
,GO:0071704
,GO:0044238
,GO:0044237
,GO:0006807
,GO:0043170
,GO:1901360
,GO:0034641
,GO:0006725
,GO:0046483
,GO:0006139
,GO:0043933
,GO:0009056
,GO:0034622
,GO:0010467
,GO:0090304
,GO:0044085
,GO:0044248
,GO:1901575
,GO:0016070
,GO:0016071
,GO:0009057
,GO:0044265
,GO:0006357
,GO:0006366
,GO:0010628
,GO:0010557
,GO:0009891
,GO:0031328
,GO:0051603
,GO:0043161
,GO:0045935
,GO:0044257
,GO:0070647
,GO:0030163
,GO:0051254
,GO:0000398
,GO:0000377
,GO:0000375
,GO:1903508
,GO:0045893
,GO:1902680
,GO:0045944
,GO:1901565
,GO:0006511
,GO:0019941
,GO:0043632
,GO:0015931
,GO:0051169
,GO:0006913
,GO:0006396
,GO:0022618
,GO:0022411
,GO:0034660
,GO:0006403
,GO:0031503
,GO:0071826
,GO:0051640
,GO:0090174
,GO:0051168
,GO:0050658
,GO:0050657
,GO:0051236
,GO:0009451
,GO:0034470
,GO:0006906
,GO:0006611
,GO:0006405
,GO:0022613
,GO:0043254
,GO:0006892
,GO:0071166
,GO:0071426
,GO:0042254
,GO:0099500
,GO:0140029
,GO:0000122
,GO:0006887
,GO:0000470
,GO:0001510
,GO:0032984
,GO:0000460
,GO:0006354
,GO:0006364
,GO:0016072
,GO:0042273
,GO:0000027
,GO:0042274
,GO:0030490
,GO:0002181
,GO:0090066
,GO:0032535
,GO:0090501
