GSE56931,GSE108539
TRMT1,TERF1
CHCHD3,EBAG9
PUF60,ZNF7
CHST7,UHRF2
SERTAD1,C9orf72
ANK3,FBXO10
CLSTN2,SIGMAR1
GMIP,AUH
ZDHHC18,ZNF462
AGPAT9,UGCG
ZNF101,STOM
ZFP90,SURF6
TARBP1,REXO4
CADM1,FAM73B
ZSWIM5,HMCN2
SAR1A,INPP5E
METRNL,FAM13C
ZNF354C,POLR3A
EML4,HERC4
ZNF76,CAMK2G
SMPDL3A,ANKRD1
BIN1,PAOX
HEATR5B,PPRC1
MON1B,ITPRIP
TTLL4,CNNM2
NUP210,BTBD10
CEP68,LIN7C
POU2F1,TUT1
AASS,DGKZ
RDH10,SLC43A1
C1orf109,PTPRJ
HIVEP3,ARFGAP2
VPS13A,ENDOD1
UNG,SERPINH1
PPP1R3F,ADAM33
CAPG,MTA2
MLLT11,FADS1
PLCG2,EML3
SH3BP5L,INCENP
WDR47,B3GAT3
SPOP,ESAM
INPP5F,LSM14B
KLHL21,NUDT22
MYOT,MRPL49
SMAD7,TMEM219
FAM160B1,MPP7
SLC30A1,CTF1
MXD1,ARID5B
PLK2,N6AMT2
RPL13A,CTAGE5
FLT3LG,PDCD4
HSPH1,VEGFC
ADIPOR2,CCT5
NR3C1,PIP4K2A
TMEM143,CRIM1
TAF9B,SEC24D
MKLN1,DHX37
LPCAT1,ITPR1
RNF166,CCRN4L
PIP4K2B,UEVLD
BLMH,TMEM86A
ZBTB4,IPMK
ARHGAP27,DLG5
ZNF146,GXYLT1
CCDC126,DIP2C
EEPD1,EIF4E
TOMM70A,MIPOL1
GIPC1,FER
DGKG,ANKRD50
HYAL1,VPS26B
CYP51A1,QTRTD1
WDR70,EDNRA
FMNL1,NR3C2
SRM,ADAM8
UBIAD1,ANKAR
ARRDC3,INPP1
BTBD3,ADAM17
POGK,FLI1
PAG1,SAV1
FURIN,C5orf28
PRMT1,SCHIP1
GGCX,TMEM56
BST2,C18orf25
GARS,TCF7L1
DKC1,UHMK1
PRDM5,TADA1
SEPHS1,CWF19L2
PCDH12,ZNF773
GDI1,ZNF776
PAX7,ZNF256
ZCCHC11,DCLRE1C
ELAVL1,RPP38
CKB,ZFP36L2
UXS1,MBNL1
SLC2A8,GJA1
TOR1B,GPR180
SNPH,IFIT5
PHF1,SLC16A12
MAP3K11,PANK1
MTDH,PRDM8
UXT,PTPRK
DERL1,PLOD2
BIN2,CDYL
PRR14,CARHSP1
GPRASP2,TXNDC11
PGAP2,DAB2
FAM109A,BCL2L11
RIPK2,HNRNPU
MED25,TMEM87B
R3HDM2,RBMS1
GRK5,FAM49B
CBX5,ASAP1
SFMBT2,LPCAT1
BRE,ING1
ACACA,UBP1
STMN3,PTPRD
GABARAPL1,GTF2E1
PPP1R12C,CEBPG
TMEM39A,KCTD15
COPS7B,ZNF599
LDLRAD3,CHD1
INHBB,HS2ST1
DCXR,ZUFSP
PLXDC1,GDPD1
LMNB1,NUS1
CYB5R4,PITPNC1
KIF27,ABCA6
CD93,ABCA10
ZFAT,MIA3
TM9SF2,DISP1
FAM126B,TNIK
NMNAT1,PGM5
YIPF4,ENAH
BAZ1A,FAM69A
MAN2A2,LY96
ZNF200,BTG3
CHCHD7,ADAMTS1
ZNF33A,ADAMTS5
MCL1,TSEN2
ARL2,FLCN
GBE1,PLCL2
CCDC88C,PPP4R1
RNF214,APCDD1
AARS,MPPE1
SAMM50,ZNF18
ATP13A2,CYP2U1
EAF1,KLF10
ZNF397,OTUD6B
ULK1,TTC39B
TTC9,MMS19
HOPX,MARVELD1
SLC31A1,SLC25A28
PIK3IP1,HSPA13
AKR1C1,GRAMD3
PIK3R3,ZKSCAN2
KIAA0556,RBM45
NCKAP5L,PDIA4
ZNF286A,KCTD18
ZNF275,FAM126B
SLC15A3,PPARGC1B
SIAE,SLC26A2
ABCB7,MED7
MKL2,RASA2
CTSZ,RMND1
CUEDC1,CLIC2
MARK2,GNA14
TRAF5,FAM161B
CLIC1,GNAQ
EPAS1,DCK
IGSF6,WHAMM
UNC119,RWDD2B
TP53BP1,BACH1
HLA-DMB,ANKRD9
CCM2,PCDH1
VAT1,TSPAN6
MYO1F,FGR
BTBD8,NFYA
ARGLU1,SEMA3F
BTG2,CYP51A1
GTF3C6,LAP3
MBOAT1,SNX11
GNG2,RBM5
PPIE,SARM1
HBEGF,POLDIP2
PIK3R1,PLXND1
CYFIP2,KDM1A
LYRM7,RBM6
TMEM184B,RECQL
NCOA3,HSPB6
JDP2,PDK4
ASB13,ARX
TICAM2,SLC25A13
BRF2,ST7
SEPW1,CDC27
AP1S2,CCDC109B
KCTD10,DHX33
TSEN2,MEOX1
UNC13D,CREBBP
BICD2,MYCBP2
ARMC7,ITGAL
ERN1,PDK2
PDXK,ITGA3
CST3,ASB4
TNPO2,C19orf60
MLF2,OSBPL7
ADAMTS17,MAP3K14
NKIRAS2,TMEM132A
BTF3,ZNF263
APOM,CX3CL1
MLKL,TNFRSF12A
MAP3K5,MAP3K9
EPHA2,RALA
MS4A7,IFRD1
PAPOLA,MARK4
BZRAP1,GAS7
TTC31,RHBDF1
CNPY3,LUC7L
OSBPL6,BAIAP3
