ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Hnrnpul2,Ube2v1,Itch,1700037C18Rik,Zc3h11a,Psenen,Sap30l,Wars,Dcdc2b,Huwe1,Cdc42,Zkscan3
Ube2r2,Npas2,Tmem234,Npas2,Eif5,Nat15,Derl1,Hbxip,Dlg1,Ctbp1,Rb1cc1,Gsta3
G3bp2,9430016H08Rik,Cdc42,Coq10b,Tmem234,Rrs1,Ormdl1,Copg,Copg,Atox1,Tmem70,Npas2
Tmem234,Fam117b,St18,Armc9,Anapc1,Pi15,Fzd7,Rragc,Rfk,Canx,Gsta3,Map4k4
Nat15,Arl8a,Gsta3,Neu4,Nat15,Pdcl3,Vwc2l,Nmt1,Sap30l,Sap30l,Npas2,Efhd1
Sgk3,Glul,Dst,Ccdc93,Paqr8,Npas2,Vil1,G3bp2,BC031181,BC031181,Coq10b,Ube2f
Prex2,Cenpl,Unc50,Tnr,Imp4,Col3a1,Agfg1,Hdac5,Ppm1a,Psap,Fzd7,Pm20d1
Sulf1,Pfdn2,Npas2,Fam78b,Npas2,Wdr75,Cntnap5a,Nat15,Rab7,Cox18,Fam117b,Nucks1
Npas2,Susd4,Map4k4,Sdccag8,Gpr45,Stat1,A130050O07Rik,Atp6v1h,Zkscan3,Ddb1,Fastkd2,B3galt2
AI597479,Rev1,Tmem182,Stk17b,Cdk15,Coq10b,Stx6,Adhfe1,Cox18,Derl1,Plcd4,Stx6
Ercc5,Per2,Pou3f3,Kif1a,Carf,Sgol2,Tor1aip2,Prex2,Apoa1bp,Nat15,Rhbdd1,Fcgr4
Col3a1,Pask,Nck2,Rgl1,Creb1,Fam117b,Pigc,Sulf1,Hdac5,Prex2,Fbxo36,Adamts4
Hspe1,Steap3,Col3a1,Fmo2,Pnkd,Cd28,Nr1i3,Terf1,Anapc1,Rpl5,Gigyf2,Tceb1
Mars2,Fmo1,Coq10b,Uhmk1,Sgpp2,Nrp2,Rd3,Rdh10,Nat15,Rdh10,Klhl30,Rev1
Adam23,Fmo2,Mars2,Usp21,Rhbdd1,Creb1,Uggt1,Crispld1,Ahcy,Gsta3,Tfcp2l1,Col5a2
Psmd1,Fmo3,Fam117b,Vangl2,Efhd1,Efhd1,Fam126b,Tfap2b,Ly96,Npas2,Ccnt2,Ankrd44
Cops7b,Ppox,Nrp2,Grem2,Cdh7,Lrrfip1,Resp18,Iars,Crispld1,Map4k4,Plekha6,Als2cr12
Gigyf2,Atp1a2,Cxcr2,Mtap7,Eif2d,Klhl30,Pam,Dst,Iars,Il1r1,Golt1a,Sumo1
Inpp5d,Ahctf1,Pnkd,6330407J23Rik,5430435G22Rik,Zcchc2,Swt1,Hs6st1,Tmem14a,Il1rl2,Etnk2,Scg2
Dgkd,Ephx1,Fam134a,Fabp7,Klhdc8a,Clasp1,Fmo1,Cnnm3,Gsta3,Il18r1,Glul,Per2
Ivns1abp,Rhobtb1,Zfand2b,Sppl2b,Syt2,Mgat5,Fmo2,Npas2,B3gat2,Col3a1,Tor1aip2,Vps4b
Edem3,Etv5,Cab39,Dapk3,Ptgs2,Klhdc8a,Vangl2,Pou3f3,Dst,Tmeff2,Rc3h1,Fmo1
Glul,Midn,Psmd1,Timp3,Astn1,Lmod1,Hnrnpu,Nck2,Imp4,Stat4,Pigc,Fmo2
Tor1aip2,Cirbp,Inpp5d,B4galnt1,Tnr,Cacna1s,Ahctf1,Tpp2,Cnnm3,Mars2,Dcaf8,Syt14
Scyl3,Chst11,Ramp1,Utrn,Ankrd45,Zfp281,Smyd2,Wdr75,Lipt1,Fam117b,Nsl1,Epm2a
Ildr2,Btbd11,5430435G22Rik,Lace1,Slc19a2,B3galt2,Reps1,Coq10b,Pdcl3,Pard3b,Batf3,Plagl1
Fam78b,Ccdc38,Ppp1r15b,Unc5b,Copa,Rxrg,Mtap7,Hspe1,Npas2,Adam23,Cd34,Prep
Aldh9a1,Cdk4,Cyb5r1,Mon2,Sdccag8,Tagln2,H60b,Aox3,Map4k4,Crygf,Tram1,Pln
F11r,Mthfd1l,Arl8a,Esyt1,Gm16432,Aim2,Asf1a,Bzw1,Gpr45,Spag16,Eya1,Fabp7
1700016C15Rik,Sgpl1,Csrp1,Erbb3,Lin9,Spna1,Fabp7,Nif3l1,1500015O10Rik,Atic,Pkhd1,P4ha1
Tmem206,Gstt2,Dennd1b,Efemp1,Susd4,Desi2,Kiss1r,Cd28,Ercc5,Igfbp2,Fam135a,Herc4
Neurl3,Pdxk,Glul,Stk10,Pkhd1,Ints7,Apc2,Creb1,Gulp1,Arpc2,Rnf149,Fam13c
Rev1,ORF61,Tor1aip2,Atp10b,Lman2l,Lamb3,A230046K03Rik,Pth2r,C230029F24Rik,Des,Col5a2,S100b
Rnf149,Nfic,Dpt,Neurl4,Slc39a10,Slco5a1,Lum,Unc80,Stat1,Gmppa,Slc40a1,Slc1a6
Slc39a10,Cry1,Olfml2b,Git1,Stk17b,Ankrd23,Ctdsp2,Pnkd,Coq10b,Col4a3,Slc39a10,Prtn3
