SAMPLE2,SAMPLE6
YPR161C,YGR129W
YOL138C,YPR165W
YDR395W,YPL015C
YGR129W,YCL050C
YPR165W,YMR193W
YPR098C,YLR031W
YPL015C,YER087C-B
YCL050C,YJL200C
YMR193W,YLL027W
YGR053C,YLR045C
YER087C-B,YDR348C
YOR280C,YBL095W
YGR097W,YGL060W
YHR215W,YBR252W
YKR011C,YDR329C
YJL200C,YDL202W
YLL027W,YPR008W
YLR045C,YBL049W
YDR348C,YER054C
YPL183C,YPL171C
YGR003W,YDL116W
YBL095W,YPL119C-A
YEL008C-A,YDR167W
YGL060W,YPL118W
YLL007C,YPR086W
YEL009C,YBR122C
YEL015W,YBR271W
YBR252W,YMR221C
YDR329C,YDR241W
YDL202W,YLR443W
YHR209W,YAL034C
YPR008W,YBR067C
YER075C,YLR270W
YDL203C,YBR184W
YMR197C,YDL222C
YBL049W,YEL065W
YER054C,YNL335W
YDR305C,YHR116W
YNL201C,YDR313C
YCR061W,YNL134C
YBR206W,YKL100C
YPL171C,YOR192C-B
YHR051W,YIL146C
YDL116W,YNL218W
YPR124W,YPL214C
YJL023C,YGR222W
YGL167C,YGR121C
YDL165W,YDL095W
YIL143C,YDL003W
YPL119C-A,YOR323C
YBR292C,YER146W
YGR240C,YLR434C
YOR094W,YGL097W
YDR167W,YOR026W
YBR063C,YNR016C
YER052C,YGR055W
YPL118W,YKR054C
YPR187W,YMR315W
YJL065C,YHR160C
YOL141W,YHR097C
YPR086W,YGR007W
YBR122C,YML116W
YBR271W,YGL155W
YBR279W,YER061C
YMR221C,YPL119C
YER130C,YHR186C
YBR155W,YLL019C
YDR363W,YNL257C
YGR266W,YJR092W
YLR443W,YBL059W
YPL147W,YBR291C
YAL034C,YDR262W
YBR067C,YDR072C
YCR095C,YIL053W
YLR270W,YGR220C
YPR084W,YMR161W
YBR184W,YGL162W
YMR113W,YBR234C
YGR035C,YLR411W
YDL222C,YBR045C
YCL008C,YKL195W
YEL065W,YPR127W
YNL335W,YGL147C
YMR296C,YJR126C
YDR232W,YPR026W
YHR116W,YMR274C
YDR313C,YMR008C
YFR018C,YNL081C
YIL048W,YKL170W
YDL213C,YLR178C
YNL292W,YBR008C
YOR324C,YOR184W
YKL100C,YMR203W
YOR192C-B,YIR008C
YIL146C,YHR028C
YNL218W,YEL072W
YIL121W,YIR010W
YDL167C,YHR017W
YBR270C,YMR095C
YPL214C,YGR088W
YEL063C,YDL048C
YML020W,YDL243C
YGR121C,YFL017C
YBR222C,YHR092C
YDL095W,YDR379C-A
YDL003W,YDR113C
YOR323C,YOL159C
YMR183C,YDL247W
YOR274W,YFL028C
YML075C,YML032C
YPL063W,YPL024W
YDR457W,YMR257C
YLR273C,YGL240W
YLR434C,YEL001C
YGL097W,YDR223W
YCL056C,YGR104C
YJL083W,YPR062W
YPL140C,YGR241C
YNR016C,YPR131C
YER123W,YNL180C
YGR055W,YIL140W
YKR054C,YKL142W
YMR315W,YLR139C
YAL024C,YNR044W
YKL187C,YPR009W
YDR396W,YMR244W
YKL055C,YNR030W
YDR035W,YDR246W-A
YHR160C,YNR040W
YDR119W,YNR034W
YBR208C,YOR173W
YER151C,YGL104C
YLR070C,YGR210C
YPR019W,YLR054C
YPR190C,YNL002C
YGR041W,YJR127C
YDR353W,YCR007C
YHR097C,YPR020W
YPL047W,YPR114W
YPL014W,YPL247C
YGR007W,YDR482C
YML116W,YKL107W
YOL137W,YCR065W
YGL155W,YLR002C
YER061C,YFL045C
YKL214C,YOL083W
YPL119C,YLR307C-A
YDL125C,YDR366C
YHR186C,YGL125W
YLL019C,YKR038C
YJR092W,YFR008W
YBL059W,YKL051W
YBR291C,YMR091C
YPL189C-A,YJL143W
YDR262W,YKL194C
YFL012W,YPR121W
YLR078C,YML058W
YIL053W,YGR019W
YGR220C,YMR076C
YMR161W,YJR135W-A
YER011W,YOR186W
YDR258C,YDR083W
YGL162W,YLR109W
YNL243W,YOR032C
YBR234C,YLR292C
YNL047C,YLR216C
YFL053W,YDR046C
YKR060W,YHR059W
YPR200C,YNL093W
YLR411W,YDR425W
YLR318W,YDR293C
YHR150W,YBR115C
YGL219C,YCR097W
YFL009W,YBR147W
YBR045C,YFL003C
YMR039C,YLR065C
YKL195W,YNL298W
YPR127W,YGL225W
YPL188W,YAL039C
YGL147C,YLR191W
YDR217C,YCR027C
YML015C,YDL046W
YJR126C,YBR197C
YPR026W,YGR197C
YHR073W,YDR365C
YMR274C,YBL036C
YMR008C,YGL202W
YER119C-A,YFR007W
YDL227C,YIL118W
YOR197W,YJR008W
YNL081C,YPL036W
YKL096W-A,YBR042C
YDR532C,YFR011C
YDR049W,YDR256C
YKL170W,YGR103W
YGL047W,YBR162C
YHR079C,YJL078C
YPR171W,YMR114C
YHL029C,YGR251W
YLR178C,YGR065C
YML063W,YOR374W
YJL090C,YDL015C
YBR008C,YDR533C
YDR372C,YBR177C
YOR184W,YJL034W
YMR203W,YNR059W
YIR008C,YOR034C-A
YBL024W,YOL162W
YDR317W,YOR077W
YJL038C,YHR107C
YJL087C,YER112W
YDR043C,YLR174W
YHR028C,YGR108W
YOR340C,YER185W
YCL044C,YOL013C
YEL072W,YKL155C
YFR022W,YGR154C
YIR010W,YDR493W
YBL008W,YLR345W
YOL008W,YGL022W
YHR017W,YDR031W
YKR101W,YAL008W
YMR095C,YLR459W
YHR198C,YNL193W
YNL219C,YHR099W
YLR210W,YOR142W
YIL034C,YOR283W
YOR342C,YJR054W
YOL070C,YER084W-A
YDL160C,YDR033W
YIL043C,YDR253C
YGR231C,YAL032C
YGR034W,YNL014W
YMR266W,YEL011W
YNL021W,YMR104C
YPL107W,YOR348C
YGR088W,YOR097C
YCR063W,YOL126C
YDL048C,YGR028W
YML092C,YJL089W
YBR201C-A,YBR228W
YNL056W,YNL320W
YAL020C,YMR188C
YDL025C,YPR159W
YDL243C,YMR198W
YFL017C,YAL044C
YGL197W,YKL197C
YHR092C,YNL268W
YLL011W,YIL105C
YDR379C-A,YCL026C-B
YDR113C,YPL255W
YFL028C,YOR192C
YML032C,YML052W
YBR256C,YML064C
YOR081C,YPR176C
YPL024W,YJL062W
YMR257C,YDR140W
YDL219W,YNL252C
YKL122C,YGR282C
YDL080C,YMR196W
YGL240W,YOR205C
YEL001C,YER056C
YPR168W,YBL003C
YHR109W,YJR077C
YJL060W,YPR078C
YPL061W,YMR284W
YDR223W,YML061C
YER174C,YJL139C
YGR104C,YMR317W
YPR062W,YKR069W
YMR146C,YHR071C-A
YGR241C,YPL218W
YGL062W,YLR080W
YPR057W,YPR198W
YDR156W,YNR052C
YJR113C,YPL097W
YPR131C,YNL115C
YLR029C,YLR103C
YMR155W,YBR112C
YNL180C,YPL222W
YIL140W,YOR020W-A
YOR238W,YOR054C
YKL142W,YMR158C-A
YLR139C,YKR036C
YNR044W,YCR002C
YPR009W,YPR093C
YHR032W,YLR163C
YDR429C,YPL190C
YGL079W,YER059W
YNR031C,YBR069C
YHR084W,YLR084C
YOR004W,YNL202W
YMR233W,YNL133C
YMR244W,YIL097W
YLL010C,YOR198C
YNL188W,YML055W
YNL104C,YML035C
YIL005W,YDR357C
YOR365C,YHR197W
YGL131C,YDL244W
YDR246W-A,YBR128C
YHR033W,YNL216W
YNR040W,YIL036W
YNR034W,YLR307W
YOR173W,YLR046C
YOR337W,YKR085C
YGL104C,YPL025C
YNL181W,YHR171W
YDR164C,YER116C
YGR243W,YGR137W
YOR107W,YBR153W
YDR464W,YGR142W
YGR210C,YOL023W
YOR168W,YKL186C
YNL002C,YLR112W
YHR193C,YBL083C
YPR147C,YJR152W
YOR242C,YPR042C
YLR077W,YBL078C
YBL040C,YOL136C
YJR127C,YIL077C
YJL176C,YGR038W
YLR453C,YPL279C
YHR128W,YHL014C
YOR297C,YIL054W
YDR225W,YMR312W
YPR020W,YMR164C
YJR003C,YOR382W
YIL101C,YLR141W
YPR114W,YJR096W
YPL247C,YGL059W
YDR482C,YNL087W
YJL122W,YDR502C
YBL058W,YGL037C
YLL039C,YDR359C
YKL107W,YLR073C
YCL017C,YAR018C
YMR186W,YJR076C
YCR065W,YJR057W
YOR388C,YKL045W
YLR002C,YHR162W
YFL045C,YPR074C
YPR091C,YFR020W
YOL083W,YGR014W
YNL020C,YLR297W
YGL125W,YNL165W
YKR038C,YDL169C
YDL215C,YMR319C
YLR354C,YDL127W
YCR022C,YOR152C
YFL013C,YDL216C
YKL051W,YBR068C
YPR174C,YFR028C
YMR091C,YOL001W
YJL143W,YMR016C
YGR057C,YBR133C
YKL194C,YGR229C
YLR308W,YOR092W
YBR065C,YBR159W
YPR121W,YDR249C
YNL068C,YOR350C
YGL178W,YKL174C
YGL157W,YLR058C
YMR148W,YLR028C
YML058W,YLR286C
YLR249W,YDL044C
YGR019W,YER081W
YJL049W,YMR179W
YBR263W,YNL305C
YOR249C,YBL051C
YBL097W,YOR351C
YCR020W-B,YDL168W
YDR286C,YDL114W
YLR342W-A,YCL027W
YLR018C,YCL021W-A
YMR076C,YGL098W
