Human_blood,Human_muscle
A2LD1,AADACL2
AAGAB,AARS2
ABCA13,ABCA12
ABCB11,ABCC5
ABCB4,ABCG1
ABCB7,ABLIM2
ABCC1,ACACA
ABCC2,ACAT2
ABCC4,ACBD3
ABCD4,ACIN1
ABCF2,ACLY
ABCG8,ACSBG1
ABLIM2,ACSL3
ABLIM3,ACTB
ABR,ACTG1
ABRA,ADA
ABTB1,ADCK2
ACCN2,ADCY3
ACCS,ADRB2
ACER3,AFG3L2
ACLY,AFTPH
ACO2,AGFG1
ACOT4,AGFG2
ACOT8,AHCTF1
ACSBG2,AKAP8
ACSM2A,ALDH4A1
ACTA1,ALG5
ACTL6B,AMFR
ACTR1A,AMOTL1
ACTR8,AMPD2
ACTRT2,ANGPTL2
ACVR1B,ANKRA2
ADAD1,ANKRD13A
ADAM33,ANO6
ADAMTS15,ANTXR2
ADAMTS3,ANXA3
ADH4,AP1AR
ADI1,AP1S1
ADIPOR1,AP3M1
ADM2,APCDD1
ADORA3,APLF
ADPRH,APTX
ADSSL1,AQP3
AFF1,ARAP2
AGAP2,ARFIP2
AGBL1,ARHGEF10
AGBL3,ARHGEF10L
AGPAT1,ARID4A
AGPAT2,ARL17A
AGR3,ARL4A
AGRN,ARL8A
AHDC1,ARMC5
AIF1L,ARNTL
AIFM3,ARSK
AKAP1,ASCC3
AKAP13,ASCL2
AKR1C4,ASH2L
AKR1D1,ASPH
AKR7A2,ATAD1
AKR7A3,ATF4
AKTIP,ATG2B
ALDH18A1,ATM
ALDH1A2,ATMIN
ALDH1L2,ATP2A2
ALDH3B2,ATP6V0A2
ALDOB,ATP6V0D1
ALG10B,ATP6V1H
ALG12,ATXN1
ALKBH3,ATXN10
ALKBH4,AUTS2
ALOX12B,B3GALNT2
ALOX5AP,B4GALT2
ALPP,B9D1
ALS2CL,BACH2
AMBN,BAG5
AMHR2,BAHD1
AMOTL2,BANP
AMT,BCAR3
ANAPC16,BCL6
ANGEL2,BCLAF1
ANGPTL5,BECN1
ANKRD1,BHLHB9
ANKRD13D,BHLHE41
ANKRD40,BIVM
ANKRD43,BLNK
ANKRD52,BMP2
ANKS3,BMP7
ANKS4B,BMPR2
ANTXR1,BRD8
ANTXR2,BRE
AP3B1,BSDC1
AP4S1,BTBD1
APBB2,BTBD3
APBB3,BTK
APOA2,BTN3A3
APPL2,BZW2
AQP1,C10orf2
AQP8,C10orf26
AQPEP,C11orf49
ARC,C11orf70
ARFGAP3,C11orf74
ARG1,C12orf11
ARHGAP10,C12orf23
ARHGAP23,C12orf4
ARHGAP26,C13orf26
ARHGAP33,C13orf31
ARHGAP4,C14orf1
ARHGEF15,C14orf101
ARHGEF19,C14orf119
