ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Hnrnpul2,Polr2f,Xpo7,Hnrnpul2,Tmem234,Zkscan3,Wars,Huwe1,Wars,Huwe1,Snrnp40,Txndc12
Ube2r2,Ube2v1,Itch,Cdc42,Vta1,Nat15,Sap30l,Wars,Mrpl52,Wars,Prkcg,Rab7
Dhrs1,Snrnp27,Eif5,2310009B15Rik,Cdc42,Eef1g,Eif5,Hbxip,Ctbp1,Mrpl52,Tpsb2,Zkscan3
Atox1,BC031181,Psap,Klhl2,Nat15,Kdelr2,G3bp2,Dlg1,Dlg1,Ctbp1,Slc12a4,Cox18
BC031181,Eif5,Tmem234,Rpe,Hjurp,2310042D19Rik,Tmem234,Ube2r2,Polr2f,Txndc12,Numa1,Nat15
Eif5,Psap,Rab7,Ninj2,Ccdc82,Klhl17,Derl1,Copg,Copg,Rfk,Plekhm1,Nkain1
G3bp2,Tmem234,Anapc1,Tm6sf2,Irgm1,B4galt6,Snrnp40,Rragc,Rfk,Dhrs1,Cpeb1,Padi4
Tmem234,Rab7,Cdc42,Snx30,B4galt6,Actr3b,Plekhn1,Canx,Dhrs1,Atox1,Asb18,Setx
Hdac5,Ddb1,Derl1,Slc47a1,Slc12a4,Mfsd11,Echdc1,Snrnp27,Tbl3,Canx,Pon1,Rpe
Nat15,Cdc42,Nat15,4930506M07Rik,Toe1,Mta3,Mta3,Eif5,Gbf1,Sap30l,Snx30,Actr3b
Tmlhe,Derl1,Hjurp,Fam48a,Atp8a1,Slc12a4,Numa1,Nmt1,Itch,BC031181,Sclt1,Cd300a
Vax2,Nat15,Timm21,Mmp2,Ninj2,Toe1,Ninj2,G3bp2,Zc3h11a,Psap,Pparg,Hnrnpl
Echdc1,Nkain1,Zfp429,Kdr,Cpeb1,Stt3a,Cpeb1,Tmem234,BC031181,Golga7,Far1,Cpeb1
Klhl2,Zcchc10,Noc2l,Coq10b,Tm6sf2,Cpeb1,Nfrkb,Vta1,Ppm1a,Nmt1,Uqcrq,Nfrkb
Dstn,Atp5l,Prkcg,Nde1,Dennd5b,Asb18,Snx30,Cox18,Psph,Rab7,Kdr,Kirrel
Rhno1,Slc2a8,Nkain1,Tmem88b,4930506M07Rik,Cks1b,Kif3a,Hdac5,G3bp2,Anapc1,Clmp,Mtmr6
Stt3a,Hnrnpl,Cacng6,Inha,Pdcd7,Ankrd10,Pfdn5,Arfgef1,Rab7,Ddb1,Coq10b,Dennd5b
Mgat4c,Cpeb1,2310042D19Rik,Tyrobp,As3mt,Snx30,Fam48a,Nat15,Zkscan3,Derl1,Icosl,Ing5
Hnrnpl,Nfrkb,B4galt6,Frmd5,Fam48a,Slc47a1,Mmp2,Cfh,Cox18,Nat15,Retnlb,2410066E13Rik
Cpeb1,4930506M07Rik,Nxt1,Fras1,Mmp2,Cpz,Kdr,Eef1g,Apoa1bp,Klra1,Gpx3,Coq10b
Fam46c,Gch1,Tpsb2,Scnn1a,Afap1l1,Kdr,Trdmt1,Timm21,Hdac5,Eef1g,Mme,Slc25a28
Asb18,Uqcrq,Setx,Klhl29,Kdr,2410066E13Rik,Tyrobp,Zfp429,Anapc1,L2hgdh,Akap1,Mme
Pon1,Coq10b,Mfsd11,Abcg4,Csgalnact2,Clmp,Eif2c1,Sap25,Ddb1,Snrnp40,Lpar4,Zfp277
