mouse adr,mouse aor,mouse bfat,mouse bst,mouse cer,mouse hea,mouse hyp,mouse lun,mouse mus,mouse wat,mouse kid,mouse liv
GO:1903116,GO:2000323,GO:0071878,GO:0021769,GO:0140199,GO:0060979,GO:2001045,GO:0033227,GO:0019448,GO:2000850,GO:0043653,GO:0046055
GO:0046069,GO:0010986,GO:0140192,GO:0021762,GO:2000323,GO:0048875,GO:0019346,GO:0031947,GO:0002581,GO:2000847,GO:1905603,GO:0046054
GO:0002485,GO:0006651,GO:0016557,GO:1902767,GO:0071878,GO:0001935,GO:0009092,GO:0031944,GO:0007181,GO:2000832,GO:0015791,GO:0046038
GO:0110097,GO:0045338,GO:0014724,GO:1902748,GO:0045338,GO:0035855,GO:0016560,GO:1990379,GO:0060178,GO:0015878,GO:0019262,GO:2000323
GO:2000323,GO:0070278,GO:0061031,GO:0018931,GO:0071288,GO:0051894,GO:0035443,GO:0072656,GO:2000547,GO:0034201,GO:0015820,GO:0120183
GO:0098711,GO:1905323,GO:0006651,GO:0010142,GO:0140192,GO:0150117,GO:0034775,GO:0060315,GO:0009093,GO:0002625,GO:0070203,GO:0120182
GO:0035992,GO:1900126,GO:0038066,GO:2000850,GO:1904684,GO:0098751,GO:0035280,GO:0090032,GO:0003331,GO:0046168,GO:0070202,GO:0046654
GO:0035990,GO:0009051,GO:0060449,GO:2000847,GO:0061789,GO:0003181,GO:0038033,GO:0051775,GO:0046439,GO:1902748,GO:1904851,GO:0090205
GO:0061885,GO:1903849,GO:0019249,GO:2000832,GO:1903613,GO:0003171,GO:2000323,GO:2000668,GO:2000323,GO:0002590,GO:0048280,GO:0045542
GO:0061884,GO:1903847,GO:2001016,GO:0072160,GO:0097118,GO:0001569,GO:0003100,GO:0032347,GO:2001137,GO:0038172,GO:0010887,GO:0106120
GO:0061047,GO:0030382,GO:0038033,GO:1902367,GO:1905049,GO:0042908,GO:1903748,GO:0032287,GO:0051176,GO:1902269,GO:1902966,GO:1901069
GO:0009214,GO:0022615,GO:2000323,GO:1902366,GO:0044837,GO:0005979,GO:2000302,GO:0002606,GO:1905382,GO:0071403,GO:1902965,GO:1901725
GO:0006528,GO:1903691,GO:0008582,GO:2000393,GO:2000481,GO:0010962,GO:0051596,GO:0002576,GO:0019805,GO:0018214,GO:0050667,GO:0009396
GO:1903142,GO:0003332,GO:0061550,GO:0140285,GO:0000915,GO:0055023,GO:1990379,GO:2000064,GO:0030035,GO:1901508,GO:0090205,GO:0046037
GO:0033211,GO:0097167,GO:1904238,GO:0090420,GO:0000912,GO:0032922,GO:0009256,GO:0048642,GO:0086100,GO:1901506,GO:0009191,GO:0071763
GO:1901552,GO:0003273,GO:0048845,GO:0090275,GO:0048597,GO:0060421,GO:0061727,GO:0060754,GO:0061470,GO:1905885,GO:0045542,GO:0032957
GO:0006015,GO:0032483,GO:0014819,GO:0090177,GO:1904220,GO:0060977,GO:0015825,GO:0019673,GO:0045602,GO:1905883,GO:0106120,GO:0009170
GO:0035989,GO:0032911,GO:0038089,GO:0070483,GO:1901897,GO:0048008,GO:0045964,GO:0006013,GO:0002580,GO:1901189,GO:0042045,GO:0071712
GO:0042695,GO:1901679,GO:0031987,GO:0070352,GO:0015670,GO:0150116,GO:0045915,GO:0006007,GO:0045636,GO:0032014,GO:0009134,GO:1902653
GO:0060744,GO:0031999,GO:0043501,GO:0032014,GO:0006707,GO:0051893,GO:0070922,GO:0019320,GO:0002315,GO:0036333,GO:0010885,GO:0006695
GO:0060685,GO:1905653,GO:1905150,GO:0070178,GO:0016127,GO:0090109,GO:0032329,GO:0033275,GO:2000583,GO:0035887,GO:0010819,GO:0046130
GO:0046391,GO:0060745,GO:1904396,GO:0035607,GO:0034163,GO:0032885,GO:0097501,GO:0071225,GO:0033227,GO:0017187,GO:1904814,GO:0071360
GO:0042178,GO:1903334,GO:0070885,GO:0042701,GO:0070831,GO:0035924,GO:0000738,GO:0031946,GO:0006003,GO:1904772,GO:0010820,GO:0006152
