Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUST00000000001	Ensembl Transcript	MGI:95773	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3	protein coding gene
ENSMUST00000000003	Ensembl Transcript	MGI:1860484	Pbsn	probasin	protein coding gene
ENSMUST00000000010	Ensembl Transcript	MGI:96190	Hoxb9	homeobox B9	protein coding gene
ENSMUST00000000028	Ensembl Transcript	MGI:1338073	Cdc45	cell division cycle 45	protein coding gene
ENSMUST00000000049	Ensembl Transcript	MGI:88058	Apoh	apolipoprotein H	protein coding gene
ENSMUST00000000058	Ensembl Transcript	MGI:107571	Cav2	caveolin 2	protein coding gene
ENSMUST00000000080	Ensembl Transcript	MGI:1346318	Klf6	Kruppel-like factor 6	protein coding gene
ENSMUST00000000090	Ensembl Transcript	MGI:88474	Cox5a	cytochrome c oxidase subunit 5A	protein coding gene
ENSMUST00000000095	Ensembl Transcript	MGI:98494	Tbx2	T-box 2	protein coding gene
ENSMUST00000000122	Ensembl Transcript	MGI:97323	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16)	protein coding gene
ENSMUST00000000127	Ensembl Transcript	MGI:98955	Wnt3	wingless-type MMTV integration site family, member 3	protein coding gene
ENSMUST00000000128	Ensembl Transcript	MGI:2446084	Wnt9a	wingless-type MMTV integration site family, member 9A	protein coding gene
ENSMUST00000000129	Ensembl Transcript	MGI:105917	Fer	fer (fms/fps related) protein kinase	protein coding gene
ENSMUST00000000137	Ensembl Transcript	MGI:1913963	Actr2	ARP2 actin-related protein 2	protein coding gene
ENSMUST00000000153	Ensembl Transcript	MGI:95767	Gna12	guanine nucleotide binding protein, alpha 12	protein coding gene
ENSMUST00000000163	Ensembl Transcript	MGI:1919308	Igsf5	immunoglobulin superfamily, member 5	protein coding gene
ENSMUST00000000175	Ensembl Transcript	MGI:1914175	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	protein coding gene
ENSMUST00000000186	Ensembl Transcript	MGI:1891427	Fgf23	fibroblast growth factor 23	protein coding gene
ENSMUST00000000187	Ensembl Transcript	MGI:95520	Fgf6	fibroblast growth factor 6	protein coding gene
ENSMUST00000000188	Ensembl Transcript	MGI:88314	Ccnd2	cyclin D2	protein coding gene
ENSMUST00000000194	Ensembl Transcript	MGI:108224	Ccl12	chemokine (C-C motif) ligand 12	protein coding gene
ENSMUST00000000199	Ensembl Transcript	MGI:109166	Ncs1	neuronal calcium sensor 1	protein coding gene
ENSMUST00000000201	Ensembl Transcript	MGI:2444306	Nalcn	sodium leak channel, non-selective	protein coding gene
ENSMUST00000000208	Ensembl Transcript	MGI:1329010	Slfn4	schlafen 4	protein coding gene
ENSMUST00000000221	Ensembl Transcript	MGI:104695	Scnn1g	sodium channel, nonvoltage-gated 1 gamma	protein coding gene
ENSMUST00000000253	Ensembl Transcript	MGI:96785	Lhx2	LIM homeobox protein 2	protein coding gene
ENSMUST00000000254	Ensembl Transcript	MGI:1918059	Clec2g	C-type lectin domain family 2, member g	protein coding gene
ENSMUST00000000260	Ensembl Transcript	MGI:1913605	Gmpr	guanosine monophosphate reductase	protein coding gene
ENSMUST00000000266	Ensembl Transcript	MGI:1347083	Ifi202b	interferon activated gene 202B	protein coding gene
ENSMUST00000000287	Ensembl Transcript	MGI:1921867	Scpep1	serine carboxypeptidase 1	protein coding gene
ENSMUST00000000291	Ensembl Transcript	MGI:109150	Mnt	max binding protein	protein coding gene
ENSMUST00000000299	Ensembl Transcript	MGI:96611	Itgb2	integrin beta 2	protein coding gene
