BAA18097,hoxF
BAA10577,cobW
BAA10105,gnd
BAA17461,recQ
BAA10114,chlB
BAA18030,menA
BAA18028,leuB
BAA10302,natA
BAA16726,bcp
BAA10774,nifJ
BAA17229,cpcC1
BAA10059,dnaK
BAA10371,metS
BAA18477,aroA
BAA17918,mntA
BAA17154,sqdB
BAA16863,hemF
BAA17567,ribH
BAA10837,trpB
BAA16731,ctpB
BAA18306,ffh
BAA17540,pntB
BAA18494,priA
BAA10121,rpl20
BAA17899,folC
BAA17541,pmbA
BAA10833,argS
BAA17627,petA
BAA10262,gltA
BAA18627,pyrD
BAA16696,infB
BAA18633,gap2
BAA18190,ribA
BAA16800,malQ
icfA,icfA
BAA17565,cbbZp
BAA10882,ndhE
BAA10831,lysA
BAA17312,acpP
BAA16588,lig
BAA18192,hisF
BAA17345,rps19
BAA10432,ftrV
BAA17939,ndhH
BAA17491,nrtB
BAA17478,hypE
BAA18770,ama
BAA17913,lacG
BAA10149,petB
BAA17700,trpS
BAA17929,kdpB
BAA10210,guaA
BAA17803,purT
BAA18488,radA
BAA10366,menD
BAA10297,mrp
BAA18828,surE
BAA18529,ycf39
BAA10281,chlG
BAA16712,ycf4
BAA16809,cysH
BAA16758,ubiX
BAA18762,KaiC
BAA18067,hemB
BAA10185,hemL
BAA18265,hlyB
BAA17434,ndhD3
BAA18123,ndhL
BAA18754,accA
BAA10479,ftrC
BAA18390,pheT
BAA16810,hrcA
BAA16902,rfbG
BAA17321,rps9
BAA10132,purF
BAA10312,purN
BAA10218,rfbA
BAA18689,acnB
BAA17219,spoIID
BAA10483,dfa1
BAA10451,moaA
BAA18467,PgsA
BAA10085,psbI
BAA16871,dnaN
BAA18018,fabH
BAA17771,sdhB
BAA17488,narB
fur,fur
BAA18679,proC
BAA17284,argH
BAA17683,cpcE
BAA16644,dapB
BAA18685,nadA
BAA10274,gst
BAA18807,ilvD
BAA17768,opcA
BAA10410,lytB
BAA18344,gpx1
BAA18760,KaiA
BAA17864,topA
BAA17910,aspS
BAA18443,pilT
BAA17356,argB
BAA10623,"trxA,trx"
BAA10870,dapA
BAA18668,hisA
BAA17944,dfp
BAA10058,gcvT
