"goterm" "ontology"
"1" "GO:0005575" "C"
"2" "GO:0003674" "F"
"3" "GO:0008150" "P"
"14" "GO:0000001" "P"
"32" "GO:0000002" "P"
"4" "GO:0000003" "P"
"5" "GO:0000006" "F"
"6" "GO:0000007" "F"
"7" "GO:0000009" "F"
"8" "GO:0000010" "F"
"9" "GO:0000011" "P"
"11" "GO:0000012" "P"
"12" "GO:0000014" "F"
"13" "GO:0000015" "C"
"15" "GO:0000016" "F"
"16" "GO:0000017" "P"
"17" "GO:0000018" "P"
"18" "GO:0000019" "P"
"19" "GO:0000022" "P"
"21" "GO:0000023" "P"
"22" "GO:0000024" "P"
"24" "GO:0000025" "P"
"26" "GO:0000026" "F"
"27" "GO:0000027" "P"
"28" "GO:0000028" "P"
"29" "GO:0000030" "F"
"30" "GO:0000031" "F"
"31" "GO:0000032" "P"
"33" "GO:0000033" "F"
"34" "GO:0000034" "F"
"36" "GO:0000035" "F"
"37" "GO:0000036" "F"
"39" "GO:0000038" "P"
"40" "GO:0000041" "P"
"41" "GO:0000045" "P"
"43" "GO:0000048" "F"
"44" "GO:0000049" "F"
"45" "GO:0000050" "P"
"48" "GO:0000052" "P"
"49" "GO:0000053" "P"
"52" "GO:0000054" "P"
"55" "GO:0000055" "P"
"56" "GO:0000056" "P"
"57" "GO:0000062" "F"
"63" "GO:0000064" "F"
"65" "GO:0000070" "P"
"67" "GO:0000073" "P"
"68" "GO:0000075" "P"
"70" "GO:0000076" "P"
"71" "GO:0000077" "P"
"73" "GO:0000079" "P"
"75" "GO:0000080" "P"
"76" "GO:0000082" "P"
"78" "GO:0000083" "P"
"80" "GO:0000084" "P"
"81" "GO:0000085" "P"
"82" "GO:0000086" "P"
"84" "GO:0000087" "P"
"86" "GO:0000088" "P"
"87" "GO:0000089" "P"
"88" "GO:0000090" "P"
"89" "GO:0000091" "P"
"90" "GO:0000092" "P"
"91" "GO:0000093" "P"
"92" "GO:0000095" "F"
"94" "GO:0000096" "P"
"96" "GO:0000097" "P"
"99" "GO:0000098" "P"
"102" "GO:0000099" "F"
"104" "GO:0000100" "F"
"106" "GO:0000101" "P"
"108" "GO:0000102" "F"
"111" "GO:0000103" "P"
"112" "GO:0000104" "F"
"113" "GO:0000105" "P"
"117" "GO:0000107" "F"
"118" "GO:0000109" "C"
"120" "GO:0000110" "C"
"121" "GO:0000111" "C"
"122" "GO:0000112" "C"
"123" "GO:0000113" "C"
"124" "GO:0000117" "P"
"126" "GO:0000118" "C"
"128" "GO:0000120" "C"
"130" "GO:0000121" "F"
"131" "GO:0000122" "P"
"133" "GO:0000123" "C"
"135" "GO:0000124" "C"
"137" "GO:0000125" "C"
"138" "GO:0000126" "C"
"139" "GO:0000127" "C"
"140" "GO:0000128" "P"
"141" "GO:0000131" "C"
"142" "GO:0000132" "P"
"144" "GO:0000133" "C"
"146" "GO:0000136" "C"
"149" "GO:0000137" "C"
"150" "GO:0000138" "C"
"151" "GO:0000139" "C"
"153" "GO:0000140" "F"
"154" "GO:0000142" "C"
"155" "GO:0000144" "C"
"158" "GO:0000145" "C"
"160" "GO:0000146" "F"
"161" "GO:0000147" "P"
"164" "GO:0000148" "C"
"166" "GO:0000149" "F"
"167" "GO:0000150" "F"
"168" "GO:0000151" "C"
"170" "GO:0000152" "C"
"172" "GO:0000153" "C"
"174" "GO:0000154" "P"
"176" "GO:0000155" "F"
"178" "GO:0000156" "F"
"179" "GO:0000159" "C"
"181" "GO:0000160" "P"
"182" "GO:0000161" "P"
"183" "GO:0000162" "P"
"187" "GO:0000164" "C"
"189" "GO:0000165" "P"
"191" "GO:0000166" "F"
"193" "GO:0000167" "P"
"194" "GO:0000168" "P"
"195" "GO:0000169" "P"
"196" "GO:0000170" "F"
"197" "GO:0000171" "F"
"198" "GO:0000172" "C"
"200" "GO:0000173" "P"
"201" "GO:0000175" "F"
"203" "GO:0000176" "C"
"205" "GO:0000177" "C"
"207" "GO:0000178" "C"
"209" "GO:0000179" "F"
"211" "GO:0000182" "F"
"212" "GO:0000183" "P"
"213" "GO:0000184" "P"
"214" "GO:0000185" "P"
"216" "GO:0000186" "P"
"218" "GO:0000187" "P"
"220" "GO:0000188" "P"
"221" "GO:0000196" "P"
"222" "GO:0000197" "P"
"223" "GO:0000198" "P"
"224" "GO:0000199" "P"
"225" "GO:0000200" "P"
"226" "GO:0000209" "P"
"227" "GO:0000210" "F"
"228" "GO:0000212" "P"
"230" "GO:0000213" "F"
"232" "GO:0000214" "C"
"234" "GO:0000215" "F"
"236" "GO:0000217" "F"
"237" "GO:0000220" "C"
"239" "GO:0000221" "C"
"241" "GO:0000222" "C"
"243" "GO:0000223" "C"
"245" "GO:0000224" "F"
"246" "GO:0000225" "F"
"248" "GO:0000226" "P"
"250" "GO:0000227" "F"
"252" "GO:0000228" "C"
"254" "GO:0000229" "C"
"256" "GO:0000234" "F"
"258" "GO:0000235" "C"
"260" "GO:0000236" "P"
"261" "GO:0000237" "P"
"262" "GO:0000238" "P"
"263" "GO:0000239" "P"
"264" "GO:0000240" "P"
"265" "GO:0000241" "P"
"266" "GO:0000242" "C"
"267" "GO:0000243" "C"
"268" "GO:0000244" "P"
"269" "GO:0000245" "P"
"270" "GO:0000246" "F"
"271" "GO:0000247" "F"
"272" "GO:0000248" "F"
"274" "GO:0000249" "F"
"276" "GO:0000250" "F"
"277" "GO:0000252" "F"
"278" "GO:0000253" "F"
"279" "GO:0000254" "F"
"280" "GO:0000255" "P"
"285" "GO:0000256" "P"
"291" "GO:0000257" "F"
"292" "GO:0000262" "C"
"294" "GO:0000266" "P"
"296" "GO:0000268" "F"
"297" "GO:0000269" "F"
"299" "GO:0000270" "P"
"300" "GO:0000271" "P"
"303" "GO:0000272" "P"
"306" "GO:0000274" "C"
"308" "GO:0000275" "C"
"310" "GO:0000276" "C"
"312" "GO:0000277" "F"
"313" "GO:0000278" "P"
"314" "GO:0000279" "P"
"315" "GO:0000280" "P"
"316" "GO:0000281" "P"
"318" "GO:0000282" "P"
"320" "GO:0000285" "F"
"321" "GO:0000286" "F"
"322" "GO:0000287" "F"
"323" "GO:0000288" "P"
"324" "GO:0000289" "P"
"325" "GO:0000290" "P"
"326" "GO:0000291" "P"
"327" "GO:0000292" "P"
"328" "GO:0000293" "F"
"329" "GO:0000294" "P"
"330" "GO:0000295" "F"
"331" "GO:0000296" "P"
"334" "GO:0000297" "F"
"336" "GO:0000298" "F"
"337" "GO:0000301" "P"
"338" "GO:0000302" "P"
"340" "GO:0000303" "P"
"341" "GO:0000304" "P"
"345" "GO:0000305" "P"
"347" "GO:0000306" "C"
"349" "GO:0000307" "C"
"351" "GO:0000308" "C"
"353" "GO:0000309" "F"
"354" "GO:0000310" "F"
"355" "GO:0000311" "C"
"357" "GO:0000312" "C"
"359" "GO:0000313" "C"
"361" "GO:0000314" "C"
"362" "GO:0000315" "C"
"363" "GO:0000316" "P"
"365" "GO:0000319" "F"
"367" "GO:0000320" "P"
"368" "GO:0000321" "P"
"370" "GO:0000322" "C"
"371" "GO:0000323" "C"
"372" "GO:0000324" "C"
"374" "GO:0000325" "C"
"375" "GO:0000326" "C"
"377" "GO:0000327" "C"
"379" "GO:0000328" "C"
"380" "GO:0000329" "C"
"381" "GO:0000330" "C"
"382" "GO:0000331" "C"
"384" "GO:0000332" "F"
"385" "GO:0000333" "C"
"387" "GO:0000334" "F"
"388" "GO:0000335" "P"
"391" "GO:0000336" "P"
"394" "GO:0000337" "P"
"396" "GO:0000338" "P"
"397" "GO:0000339" "F"
"398" "GO:0000340" "F"
"399" "GO:0000341" "F"
"400" "GO:0000342" "F"
"401" "GO:0000343" "C"
"402" "GO:0000344" "C"
"403" "GO:0000345" "C"
"405" "GO:0000346" "C"
"407" "GO:0000347" "C"
"409" "GO:0000348" "P"
"410" "GO:0000349" "P"
"411" "GO:0000350" "P"
"412" "GO:0000352" "P"
"413" "GO:0000353" "P"
"414" "GO:0000354" "P"
"415" "GO:0000365" "P"
"416" "GO:0000366" "P"
"418" "GO:0000372" "P"
"419" "GO:0000373" "P"
"420" "GO:0000374" "P"
"421" "GO:0000375" "P"
"422" "GO:0000376" "P"
"423" "GO:0000377" "P"
"424" "GO:0000378" "P"
"425" "GO:0000379" "P"
"426" "GO:0000380" "P"
"427" "GO:0000381" "P"
"428" "GO:0000384" "F"
"429" "GO:0000386" "F"
"430" "GO:0000387" "P"
"431" "GO:0000388" "P"
"432" "GO:0000389" "P"
"433" "GO:0000390" "P"
"434" "GO:0000393" "P"
"435" "GO:0000394" "P"
"436" "GO:0000395" "P"
"437" "GO:0000398" "P"
"439" "GO:0000399" "C"
"440" "GO:0000400" "F"
"441" "GO:0000401" "F"
"442" "GO:0000402" "F"
"443" "GO:0000403" "F"
"444" "GO:0000404" "F"
"446" "GO:0000405" "F"
"447" "GO:0000406" "F"
"448" "GO:0000407" "C"
"449" "GO:0000408" "C"
"451" "GO:0000409" "P"
"452" "GO:0000410" "P"
"454" "GO:0000411" "P"
"456" "GO:0000412" "P"
"458" "GO:0000413" "P"
"459" "GO:0000414" "P"
"460" "GO:0000415" "P"
"462" "GO:0000416" "P"
"464" "GO:0000417" "C"
"465" "GO:0000418" "C"
"466" "GO:0000419" "C"
"467" "GO:0000421" "C"
"468" "GO:0000422" "P"
"470" "GO:0000423" "P"
"472" "GO:0000424" "P"
"474" "GO:0000425" "P"
"476" "GO:0000426" "P"
"478" "GO:0000427" "C"
"480" "GO:0000428" "C"
"481" "GO:0000429" "P"
"483" "GO:0000430" "P"
"485" "GO:0000431" "P"
"487" "GO:0000432" "P"
"490" "GO:0000433" "P"
"492" "GO:0000434" "P"
"495" "GO:0000435" "P"
"498" "GO:0000436" "P"
"501" "GO:0000437" "P"
"504" "GO:0000438" "C"
"506" "GO:0000439" "C"
"507" "GO:0000440" "C"
"508" "GO:0000444" "C"
"510" "GO:0000445" "C"
"511" "GO:0000446" "C"
"513" "GO:0000447" "P"
"514" "GO:0000448" "P"
"515" "GO:0000449" "P"
"516" "GO:0000450" "P"
"517" "GO:0000451" "P"
"518" "GO:0000452" "P"
"519" "GO:0000453" "P"
"520" "GO:0000454" "P"
"521" "GO:0000455" "P"
"522" "GO:0000457" "P"
"523" "GO:0000458" "P"
"524" "GO:0000459" "P"
"526" "GO:0000460" "P"
"527" "GO:0000461" "P"
"529" "GO:0000462" "P"
"530" "GO:0000463" "P"
"531" "GO:0000464" "P"
"532" "GO:0000465" "P"
"534" "GO:0000466" "P"
"535" "GO:0000467" "P"
"537" "GO:0000468" "P"
"538" "GO:0000469" "P"
"539" "GO:0000470" "P"
"540" "GO:0000471" "P"
"541" "GO:0000472" "P"
"543" "GO:0000473" "P"
"544" "GO:0000474" "P"
"545" "GO:0000475" "P"
"546" "GO:0000476" "P"
"547" "GO:0000477" "P"
"549" "GO:0000478" "P"
"551" "GO:0000479" "P"
"552" "GO:0000480" "P"
"553" "GO:0000481" "P"
"554" "GO:0000482" "P"
"555" "GO:0000483" "P"
"556" "GO:0000484" "P"
"557" "GO:0000485" "P"
"558" "GO:0000486" "P"
"559" "GO:0000487" "P"
"560" "GO:0000488" "P"
"561" "GO:0000489" "P"
"562" "GO:0000491" "P"
"563" "GO:0000492" "P"
"564" "GO:0000493" "P"
"565" "GO:0000494" "P"
"567" "GO:0000495" "P"
"569" "GO:0000497" "F"
"570" "GO:0000500" "C"
"571" "GO:0000501" "P"
"572" "GO:0000502" "C"
"574" "GO:0000506" "C"
"577" "GO:0000578" "P"
"579" "GO:0000700" "F"
"580" "GO:0000701" "F"
"581" "GO:0000702" "F"
"582" "GO:0000703" "F"
"583" "GO:0000704" "F"
"584" "GO:0000705" "P"
"585" "GO:0000706" "P"
"587" "GO:0000707" "P"
"589" "GO:0000708" "P"
"591" "GO:0000709" "P"
"592" "GO:0000710" "P"
"594" "GO:0000711" "P"
"596" "GO:0000712" "P"
"597" "GO:0000713" "P"
"598" "GO:0000714" "P"
"600" "GO:0000715" "P"
"601" "GO:0000716" "P"
"602" "GO:0000717" "P"
"603" "GO:0000718" "P"
"604" "GO:0000719" "P"
"605" "GO:0000720" "P"
"607" "GO:0000721" "F"
"608" "GO:0000722" "P"
"610" "GO:0000723" "P"
"613" "GO:0000724" "P"
"615" "GO:0000725" "P"
"617" "GO:0000726" "P"
"618" "GO:0000727" "P"
"619" "GO:0000728" "P"
"621" "GO:0000729" "P"
"622" "GO:0000730" "P"
"624" "GO:0000731" "P"
"625" "GO:0000732" "P"
"626" "GO:0000733" "P"
"628" "GO:0000734" "P"
"630" "GO:0000735" "P"
"631" "GO:0000736" "P"
"632" "GO:0000737" "P"
"634" "GO:0000738" "P"
"636" "GO:0000740" "P"
"637" "GO:0000741" "P"
"638" "GO:0000742" "P"
"640" "GO:0000743" "P"
"642" "GO:0000744" "P"
"643" "GO:0000745" "P"
"644" "GO:0000746" "P"
"645" "GO:0000747" "P"
"648" "GO:0000748" "P"
"649" "GO:0000749" "P"
"651" "GO:0000750" "P"
"652" "GO:0000751" "P"
"653" "GO:0000752" "P"
"656" "GO:0000753" "P"
"658" "GO:0000754" "P"
"659" "GO:0000755" "P"
"660" "GO:0000756" "P"
"663" "GO:0000758" "P"
"665" "GO:0000759" "P"
"666" "GO:0000760" "P"
"668" "GO:0000761" "P"
"669" "GO:0000762" "P"
"670" "GO:0000765" "P"
"672" "GO:0000766" "P"
"673" "GO:0000767" "P"
"674" "GO:0000768" "P"
"676" "GO:0000769" "P"
"677" "GO:0000770" "P"
"679" "GO:0000771" "P"
"680" "GO:0000772" "F"
"681" "GO:0000773" "F"
"683" "GO:0000774" "F"
"685" "GO:0000775" "C"
"686" "GO:0000776" "C"
"689" "GO:0000777" "C"
"690" "GO:0000778" "C"
"692" "GO:0000779" "C"
"693" "GO:0000780" "C"
"695" "GO:0000781" "C"
"696" "GO:0000782" "C"
"698" "GO:0000783" "C"
"700" "GO:0000784" "C"
"702" "GO:0000785" "C"
"703" "GO:0000786" "C"
"706" "GO:0000787" "C"
"708" "GO:0000788" "C"
"710" "GO:0000789" "C"
"712" "GO:0000790" "C"
"714" "GO:0000791" "C"
"715" "GO:0000792" "C"
"716" "GO:0000793" "C"
"717" "GO:0000794" "C"
"719" "GO:0000795" "C"
"720" "GO:0000796" "C"
"722" "GO:0000797" "C"
"724" "GO:0000798" "C"
"726" "GO:0000799" "C"
"728" "GO:0000800" "C"
"729" "GO:0000801" "C"
"730" "GO:0000802" "C"
"731" "GO:0000803" "C"
"732" "GO:0000804" "C"
"733" "GO:0000805" "C"
"734" "GO:0000806" "C"
"735" "GO:0000807" "C"
"736" "GO:0000808" "C"
"738" "GO:0000809" "C"
"740" "GO:0000810" "F"
"741" "GO:0000811" "C"
"743" "GO:0000812" "C"
"745" "GO:0000813" "C"
"747" "GO:0000814" "C"
"749" "GO:0000815" "C"
"751" "GO:0000817" "C"
"753" "GO:0000818" "C"
"755" "GO:0000819" "P"
"757" "GO:0000820" "P"
"758" "GO:0000821" "P"
"759" "GO:0000822" "F"
"762" "GO:0000823" "F"
"763" "GO:0000824" "F"
"764" "GO:0000825" "F"
"765" "GO:0000827" "F"
"767" "GO:0000828" "F"
"769" "GO:0000829" "F"
"771" "GO:0000830" "F"
"772" "GO:0000831" "F"
"773" "GO:0000832" "F"
"774" "GO:0000833" "F"
"775" "GO:0000834" "F"
"776" "GO:0000835" "C"
"779" "GO:0000836" "C"
"780" "GO:0000837" "C"
"781" "GO:0000838" "C"
"782" "GO:0000839" "C"
"783" "GO:0000900" "F"
"785" "GO:0000901" "F"
"787" "GO:0000902" "P"
"788" "GO:0000904" "P"
"789" "GO:0000905" "P"
"790" "GO:0000906" "F"
"791" "GO:0000907" "F"
"792" "GO:0000908" "F"
"793" "GO:0000909" "P"
"794" "GO:0000910" "P"
"795" "GO:0000911" "P"
"796" "GO:0000912" "P"
"798" "GO:0000913" "P"
"800" "GO:0000914" "P"
"801" "GO:0000915" "P"
"803" "GO:0000916" "P"
"804" "GO:0000917" "P"
"805" "GO:0000918" "P"
"806" "GO:0000919" "P"
"808" "GO:0000920" "P"
"809" "GO:0000921" "P"
"812" "GO:0000922" "C"
"813" "GO:0000923" "C"
"815" "GO:0000924" "C"
"816" "GO:0000927" "C"
"817" "GO:0000928" "C"
"818" "GO:0000930" "C"
"820" "GO:0000931" "C"
"821" "GO:0000932" "C"
"822" "GO:0000933" "C"
"823" "GO:0000934" "C"
"824" "GO:0000935" "C"
"826" "GO:0000936" "C"
"827" "GO:0000937" "C"
"828" "GO:0000938" "C"
"831" "GO:0000939" "C"
"833" "GO:0000940" "C"
"835" "GO:0000941" "C"
"837" "GO:0000942" "C"
"839" "GO:0000943" "C"
"840" "GO:0000947" "P"
"842" "GO:0000948" "P"
"844" "GO:0000949" "P"
"846" "GO:0000950" "P"
"848" "GO:0000951" "P"
"851" "GO:0000952" "P"
"853" "GO:0000953" "P"
"855" "GO:0000954" "P"
"860" "GO:0000955" "P"
"861" "GO:0000956" "P"
"862" "GO:0000957" "P"
"864" "GO:0000958" "P"
"866" "GO:0000959" "P"
"867" "GO:0000960" "P"
"869" "GO:0000961" "P"
"871" "GO:0000962" "P"
"874" "GO:0000963" "P"
"877" "GO:0000964" "P"
"879" "GO:0000965" "P"
"881" "GO:0000966" "P"
"882" "GO:0000967" "P"
"884" "GO:0000968" "P"
"885" "GO:0000969" "P"
"886" "GO:0000970" "P"
"887" "GO:0000971" "P"
"888" "GO:0000972" "P"
"889" "GO:0000973" "P"
"890" "GO:0000974" "C"
"891" "GO:0000976" "F"
"893" "GO:0000977" "F"
"895" "GO:0000978" "F"
"897" "GO:0000979" "F"
"899" "GO:0000980" "F"
"901" "GO:0000981" "F"
"902" "GO:0000984" "F"
"904" "GO:0000985" "F"
"906" "GO:0000986" "F"
"908" "GO:0000987" "F"
"909" "GO:0000992" "F"
"911" "GO:0000993" "F"
"913" "GO:0000994" "F"
"914" "GO:0000995" "F"
"915" "GO:0001000" "F"
"916" "GO:0001001" "F"
"917" "GO:0001002" "F"
"919" "GO:0001003" "F"
"921" "GO:0001004" "F"
"922" "GO:0001006" "F"
"924" "GO:0001010" "F"
"925" "GO:0001012" "F"
