Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Transcript start (bp)	Transcript end (bp)
YHR055C	YHR055C.1	YHR055C	YHR055C.1	214533	214718
YPR161C	YPR161C.1	YPR161C	YPR161C.1	864449	866422
YOL138C	YOL138C.1	YOL138C	YOL138C.1	61325	65350
YDR395W	YDR395W.1	YDR395W	YDR395W.1	1263324	1266158
YGR129W	YGR129W.1	YGR129W	YGR129W.1	750400	751047
YPR165W	YPR165W.1	YPR165W	YPR165W.1	875368	875997
YPR098C	YPR098C.1	YPR098C	YPR098C.1	728947	729528
YPL015C	YPL015C.1	YPL015C	YPL015C.1	525810	526883
YCL050C	YCL050C.1	YCL050C	YCL050C.1	37836	38801
YAL069W	YAL069W.1	YAL069W	YAL069W.1	335	649
YMR193W	YMR193W.1	YMR193W	YMR193W.1	650036	650812
YLR031W	YLR031W.1	YLR031W	YLR031W.1	204225	204785
YIL014C-A	YIL014C-A.1	YIL014C-A	YIL014C-A.1	325212	325526
YGR053C	YGR053C.1	YGR053C	YGR053C.1	594986	595837
YCR101C	YCR101C.1	YCR101C	YCR101C.1	302482	303030
YER087C-B	YER087C-B.1	YER087C-B	YER087C-B.1	332582	332830
YOR280C	YOR280C.1	YOR280C	YOR280C.1	844992	845792
YGR097W	YGR097W.1	YGR097W	YGR097W.1	678695	682135
YHR215W	YHR215W.1	YHR215W	YHR215W.1	552099	553502
YKL025C	YKL025C.1	YKL025C	YKL025C.1	390240	392279
YKR011C	YKR011C.1	YKR011C	YKR011C.1	461635	462696
YEL004W	YEL004W.1	YEL004W	YEL004W.1	146951	147979
YJL200C	YJL200C.1	YJL200C	YJL200C.1	56444	58813
YLL027W	YLL027W.1	YLL027W	YLL027W.1	87403	88155
YOR024W	YOR024W.1	YOR024W	YOR024W.1	377847	378170
YLR045C	YLR045C.1	YLR045C	YLR045C.1	235037	237703
YDR348C	YDR348C.1	YDR348C	YDR348C.1	1170326	1171825
YPL183C	YPL183C.1	YPL183C	YPL183C.1	199495	202536
YGR003W	YGR003W.1	YGR003W	YGR003W.1	500132	502366
YEL008C-A	YEL008C-A.1	YEL008C-A	YEL008C-A.1	140726	140818
YBL095W	YBL095W.1	YBL095W	YBL095W.1	43277	44089
YGL060W	YGL060W.1	YGL060W	YGL060W.1	390065	391990
YLL007C	YLL007C.1	YLL007C	YLL007C.1	134302	136299
YEL009C	YEL009C.1	YEL009C	YEL009C.1	138918	139763
YEL015W	YEL015W.1	YEL015W	YEL015W.1	126629	128284
YOR083W	YOR083W.1	YOR083W	YOR083W.1	479533	480420
YBR252W	YBR252W.1	YBR252W	YBR252W.1	722611	723054
YDR329C	YDR329C.1	YDR329C	YDR329C.1	1126270	1127595
YDL202W	YDL202W.1	YDL202W	YDL202W.1	98475	99224
YHR209W	YHR209W.1	YHR209W	YHR209W.1	519437	520312
YPR008W	YPR008W.1	YPR008W	YPR008W.1	573018	575102
YER075C	YER075C.1	YER075C	YER075C.1	308413	311199
YDL203C	YDL203C.1	YDL203C	YDL203C.1	96082	97953
YBR050C	YBR050C.1	YBR050C	YBR050C.1	337183	338199
YMR197C	YMR197C.1	YMR197C	YMR197C.1	658545	659198
YDR261W-A	YDR261W-A.1	YDR261W-A	YDR261W-A.1	981462	982778
YBL049W	YBL049W.1	YBL049W	YBL049W.1	126828	127244
YER054C	YER054C.1	YER054C	YER054C.1	262052	263698
YDR305C	YDR305C.1	YDR305C	YDR305C.1	1072746	1073488
YHL019W-A	YHL019W-A.1	YHL019W-A	YHL019W-A.1	67711	68304
YNL201C	YNL201C.1	YNL201C	YNL201C.1	260627	263203
YHR180W-A	YHR180W-A.1	YHR180W-A	YHR180W-A.1	466932	467114
YCR061W	YCR061W.1	YCR061W	YCR061W.1	225563	227458
YBR206W	YBR206W.1	YBR206W	YBR206W.1	634601	634924
YPL171C	YPL171C.1	YPL171C	YPL171C.1	226169	227371
YHR051W	YHR051W.1	YHR051W	YHR051W.1	209705	210151
YDL116W	YDL116W.1	YDL116W	YDL116W.1	251566	253746
YPR124W	YPR124W.1	YPR124W	YPR124W.1	786208	787428
YJL023C	YJL023C.1	YJL023C	YJL023C.1	397355	398398
