YGL078C	CG7878
YNL112W	CG10077
YNL112W	mahe
YNL112W	Rm62
YNL112W	CG14443
YBR237W	CG6418
YPL119C	bel
YOR204W	bel
YGL171W	CG5589
YDR243C	CG10333
YHR065C	CG9253
YHR169W	Dbp45A
YLL008W	Rs1
YDL031W	CG32344
YFL002C	CG9630
YMR290C	pit
YKR059W	eIF4A
YJL138C	eIF4A
YDR021W	CG7483
YOR046C	Dbp80
YDL160C	Gem3
YDL160C	me31B
YOL016C	CG17528
YFR014C	CG17528
YGL158W	CG17528
YLR248W	CG17528
YOR351C	lok
YPL153C	lok
YDL101C	lok
YPL150W	Sik3
YKL101W	CG43143
YDR224C	His2B:CG33890
YBL002W	His2B:CG33890
YDR224C	His2B:CG33886
YBL002W	His2B:CG33886
YDR224C	His2B:CG33888
YBL002W	His2B:CG33888
YDR224C	His2B:CG33882
YBL002W	His2B:CG33882
YDR224C	His2B:CG33884
YBL002W	His2B:CG33884
YDR224C	His2B:CG33872
YBL002W	His2B:CG33872
YDR224C	His2B:CG33874
YBL002W	His2B:CG33874
YDR224C	His2B:CG33876
YBL002W	His2B:CG33876
YDR224C	His2B:CG33878
YBL002W	His2B:CG33878
YDR224C	His2B:CG33880
YBL002W	His2B:CG33880
YDR224C	His2B:CG33910
YBL002W	His2B:CG33910
YDR224C	His2B:CG33870
YBL002W	His2B:CG33870
YDR224C	His2B:CG33868
YBL002W	His2B:CG33868
YDR224C	His2B:CG33894
YBL002W	His2B:CG33894
YDR224C	His2B:CG33906
YBL002W	His2B:CG33906
YDR224C	His2B:CG33908
YBL002W	His2B:CG33908
YDR224C	His2B:CG33902
YBL002W	His2B:CG33902
YDR224C	His2B:CG33904
YBL002W	His2B:CG33904
YDR224C	His2B:CG17949
YBL002W	His2B:CG17949
YDR224C	His2B:CG33900
YBL002W	His2B:CG33900
YDR224C	His2B:CG33898
YBL002W	His2B:CG33898
YDR224C	His2B:CG33896
YBL002W	His2B:CG33896
YDR224C	His2B:CG33892
YBL002W	His2B:CG33892
YDR225W	His2A:CG33841
YBL003C	His2A:CG33841
YDR225W	His2A:CG33844
YBL003C	His2A:CG33844
YDR225W	His2A:CG33808
YBL003C	His2A:CG33808
YDR225W	His2A:CG33847
YBL003C	His2A:CG33847
YDR225W	His2A:CG33838
YBL003C	His2A:CG33838
YDR225W	His2A:CG33835
YBL003C	His2A:CG33835
YDR225W	His2A:CG33832
YBL003C	His2A:CG33832
YDR225W	His2A:CG31618
YBL003C	His2A:CG31618
YDR225W	His2A:CG33865
YBL003C	His2A:CG33865
YDR225W	His2A:CG33862
YBL003C	His2A:CG33862
YDR225W	His2A:CG33829
YBL003C	His2A:CG33829
YDR225W	His2A:CG33823
YBL003C	His2A:CG33823
YDR225W	His2A:CG33820
YBL003C	His2A:CG33820
YDR225W	His2A:CG33826
YBL003C	His2A:CG33826
YDR225W	His2A:CG33817
YBL003C	His2A:CG33817
YDR225W	His2A:CG33814
YBL003C	His2A:CG33814
YDR225W	His2A:CG33850
YBL003C	His2A:CG33850
YDR225W	His2A:CG33859
YBL003C	His2A:CG33859
YDR225W	His2A:CG33853
YBL003C	His2A:CG33853
YDR225W	His2A:CG33856
YBL003C	His2A:CG33856
YBR010W	His3:CG33806
YNL031C	His3:CG33806
YBR010W	His3:CG33842
YNL031C	His3:CG33842
YBR010W	His3:CG33845
YNL031C	His3:CG33845
YBR010W	His3:CG33803
YNL031C	His3:CG33803
YBR010W	His3:CG33818
YNL031C	His3:CG33818
YBR010W	His3:CG33836
YNL031C	His3:CG33836
YBR010W	His3:CG33830
YNL031C	His3:CG33830
YBR010W	His3:CG33833
YNL031C	His3:CG33833
YBR010W	His3:CG33827
YNL031C	His3:CG33827
YBR010W	His3:CG33824
YNL031C	His3:CG33824
YBR010W	His3:CG33812
YNL031C	His3:CG33812
YBR010W	His3:CG33809
YNL031C	His3:CG33809
YBR010W	His3:CG33851
YNL031C	His3:CG33851
YBR010W	His3:CG33857
YNL031C	His3:CG33857
YBR010W	His3:CG33854
YNL031C	His3:CG33854
YBR010W	His3:CG31613
YNL031C	His3:CG31613
YBR010W	His3:CG33815
YNL031C	His3:CG33815
YBR010W	His3:CG33821
YNL031C	His3:CG33821
YBR010W	His3:CG33863
YNL031C	His3:CG33863
YBR010W	His3:CG33860
YNL031C	His3:CG33860
YBR010W	His3:CG33866
YNL031C	His3:CG33866
YBR010W	His3:CG33839
YNL031C	His3:CG33839
YBR010W	His3:CG33848
YNL031C	His3:CG33848
YBR010W	His3.3B
YNL031C	His3.3B
YBR010W	His3.3A
YNL031C	His3.3A
YDR402C	Cyp4p2
YDR402C	Cyp4p1
YDR402C	Cyp4p3
YDR402C	Cyp4ac1
YDR402C	Cyp4ac3
YDR402C	Cyp4ac2
YDR402C	Cyp4c3
YDR402C	Cyp4g15
YDR402C	Cyp4g1
YDR402C	Cyp4aa1
YDR402C	Cyp4s3
YDR402C	Cyp4e3
YDR402C	Cyp4e1
YDR402C	Cyp4e2
YDR402C	Cyp4ad1
YDR402C	Cyp4d1
YDR402C	Cyp312a1
YDR402C	Cyp311a1
YDR402C	Cyp4d8
YDR402C	Cyp316a1
YDR402C	Cyp4d21
YDR402C	Cyp4d20
YDR402C	Cyp4ae1
YDR402C	Cyp4d2
YDR402C	Cyp4d14
