NCU05782	YGL078C
NCU07839	YNL112W
NCU01369	YPL119C
NCU01369	YOR204W
NCU00919	YGL171W
NCU02803	YDR243C
NCU04504	YHR065C
NCU06418	YHR169W
NCU11175	YLL008W
NCU07712	YDL031W
NCU03380	YFL002C
NCU09349	YMR290C
NCU07670	YDR194C
NCU07420	YKR059W
NCU07420	YJL138C
NCU01234	YDR021W
NCU01160	YOR046C
NCU06149	YDL160C
NCU02283	YOL016C
NCU02283	YFR014C
NCU09123	YOL016C
NCU09123	YFR014C
NCU09212	YGL158W
NCU09212	YLR248W
NCU02751	YOR351C
NCU02751	YPL153C
NCU02814	YDL101C
NCU02245	YPL150W
NCU02435	YDR224C
NCU02435	YBL002W
NCU02437	YDR225W
NCU02437	YBL003C
NCU01635	YBR010W
NCU01635	YNL031C
NCU02031	YDR402C
NCU02018	YIR035C
NCU02018	YIR036C
NCU00606	YKL055C
NCU09106	YAL019W
NCU06306	YFR038W
NCU03060	YER164W
NCU03875	YOR304W
NCU03875	YBR245C
NCU06488	YOR290C
NCU06488	YIL126W
NCU03200	YHR205W
NCU07280	YMR104C
NCU07280	YKL126W
NCU03197	YBR028C
NCU01797	YNR047W
NCU01797	YCR091W
NCU08693	YEL030W
NCU08693	YJR045C
NCU03982	YJL034W
NCU02075	YDL229W
NCU02075	YNL209W
NCU09602	YAL005C
NCU09602	YLL024C
NCU09602	YER103W
NCU09602	YBL075C
NCU00290	YOL075C
NCU02544	YCR011C
NCU01817	YPR089W
NCU01440	YAL029C
NCU01440	YOR326W
NCU00551	YHR023W
NCU01107	YOR246C
NCU08699	YOR246C
NCU09278	YOR246C
NCU09579	YOR246C
NCU06976	YKR054C
NCU08384	YHR104W
NCU01906	YBR149W
NCU04510	YDR368W
NCU04510	YOR120W
NCU09519	YJR096W
NCU01233	YJR096W
NCU01759	YDL124W
NCU00478	YOR360C
NCU00108	YPL209C
NCU02885	YJL164C
NCU02885	YKL166C
NCU02885	YPL203W
NCU06240	YJL164C
NCU06240	YKL166C
NCU06240	YPL203W
NCU00682	YJL164C
NCU00682	YKL166C
NCU00682	YPL203W
NCU06358	YDL138W
NCU06358	YDL194W
NCU10021	YDL138W
NCU10021	YDL194W
NCU04537	YDL138W
NCU04537	YDL194W
NCU08180	YDL138W
NCU08180	YDL194W
NCU04963	YDL138W
NCU04963	YDL194W
NCU02582	YDL138W
NCU02582	YDL194W
NCU05627	YNL318C
NCU05627	YEL069C
NCU05627	YNR072W
NCU05627	YJR158W
NCU05627	YDL245C
NCU05627	YFL011W
NCU05627	YMR011W
NCU05627	YJL219W
NCU05627	YOL156W
NCU05627	YDR343C
NCU05627	YDR342C
NCU05627	YHR092C
NCU05627	YLR081W
NCU05627	YJL214W
NCU05627	YHR096C
NCU05627	YDR345C
NCU05627	YHR094C
NCU01633	YNL318C
NCU01633	YEL069C
NCU01633	YNR072W
