NCU05782	CG7878
NCU07839	CG10077
NCU07839	mahe
NCU07839	Rm62
NCU07839	CG14443
NCU01369	bel
NCU09093	vas
NCU00919	CG5589
NCU02803	CG10333
NCU04504	CG9253
NCU06418	Dbp45A
NCU11175	Rs1
NCU07712	CG32344
NCU03380	CG9630
NCU09349	pit
NCU07420	eIF4A
NCU01234	CG7483
NCU01160	Dbp80
NCU06149	Gem3
NCU06149	me31B
NCU05480	solo
NCU02283	CG17528
NCU09123	CG17528
NCU09212	CG17528
NCU02751	lok
NCU02814	lok
NCU06486	lok
NCU02245	Sik3
NCU02435	His2B:CG33890
NCU02435	His2B:CG33886
NCU02435	His2B:CG33888
NCU02435	His2B:CG33882
NCU02435	His2B:CG33884
NCU02435	His2B:CG33872
NCU02435	His2B:CG33874
NCU02435	His2B:CG33876
NCU02435	His2B:CG33878
NCU02435	His2B:CG33880
NCU02435	His2B:CG33910
NCU02435	His2B:CG33870
NCU02435	His2B:CG33868
NCU02435	His2B:CG33894
NCU02435	His2B:CG33906
NCU02435	His2B:CG33908
NCU02435	His2B:CG33902
NCU02435	His2B:CG33904
NCU02435	His2B:CG17949
NCU02435	His2B:CG33900
NCU02435	His2B:CG33898
NCU02435	His2B:CG33896
NCU02435	His2B:CG33892
NCU02437	His2A:CG33841
NCU02437	His2A:CG33844
NCU02437	His2A:CG33808
NCU02437	His2A:CG33847
NCU02437	His2A:CG33838
NCU02437	His2A:CG33835
NCU02437	His2A:CG33832
NCU02437	His2A:CG31618
NCU02437	His2A:CG33865
NCU02437	His2A:CG33862
NCU02437	His2A:CG33829
NCU02437	His2A:CG33823
NCU02437	His2A:CG33820
NCU02437	His2A:CG33826
NCU02437	His2A:CG33817
NCU02437	His2A:CG33814
NCU02437	His2A:CG33850
NCU02437	His2A:CG33859
NCU02437	His2A:CG33853
NCU02437	His2A:CG33856
NCU01635	His3:CG33806
NCU01635	His3:CG33842
NCU01635	His3:CG33845
NCU01635	His3:CG33803
NCU01635	His3:CG33818
NCU01635	His3:CG33836
NCU01635	His3:CG33830
NCU01635	His3:CG33833
NCU01635	His3:CG33827
NCU01635	His3:CG33824
NCU01635	His3:CG33812
NCU01635	His3:CG33809
NCU01635	His3:CG33851
NCU01635	His3:CG33857
NCU01635	His3:CG33854
NCU01635	His3:CG31613
NCU01635	His3:CG33815
NCU01635	His3:CG33821
NCU01635	His3:CG33863
NCU01635	His3:CG33860
NCU01635	His3:CG33866
NCU01635	His3:CG33839
NCU01635	His3:CG33848
NCU01635	His3.3B
NCU01635	His3.3A
NCU08062	Cyp4p2
NCU02031	Cyp4p2
NCU09636	Cyp4p2
NCU09419	Cyp4p2
NCU08062	Cyp4p1
NCU02031	Cyp4p1
NCU09636	Cyp4p1
NCU09419	Cyp4p1
NCU08062	Cyp4p3
NCU02031	Cyp4p3
NCU09636	Cyp4p3
NCU09419	Cyp4p3
NCU08062	Cyp4ac1
NCU02031	Cyp4ac1
NCU09636	Cyp4ac1
NCU09419	Cyp4ac1
NCU08062	Cyp4ac3
NCU02031	Cyp4ac3
NCU09636	Cyp4ac3
NCU09419	Cyp4ac3
NCU08062	Cyp4ac2
NCU02031	Cyp4ac2
NCU09636	Cyp4ac2
NCU09419	Cyp4ac2
NCU08062	Cyp4c3
NCU02031	Cyp4c3
NCU09636	Cyp4c3
NCU09419	Cyp4c3
NCU08062	Cyp4g15
NCU02031	Cyp4g15
NCU09636	Cyp4g15
NCU09419	Cyp4g15
NCU08062	Cyp4g1
NCU02031	Cyp4g1
NCU09636	Cyp4g1
NCU09419	Cyp4g1
NCU08062	Cyp4aa1
NCU02031	Cyp4aa1
NCU09636	Cyp4aa1
NCU09419	Cyp4aa1
NCU08062	Cyp4s3
NCU02031	Cyp4s3
NCU09636	Cyp4s3
NCU09419	Cyp4s3
NCU08062	Cyp4e3
NCU02031	Cyp4e3
NCU09636	Cyp4e3
NCU09419	Cyp4e3
NCU08062	Cyp4e1
NCU02031	Cyp4e1
NCU09636	Cyp4e1
NCU09419	Cyp4e1
NCU08062	Cyp4e2
NCU02031	Cyp4e2
NCU09636	Cyp4e2
NCU09419	Cyp4e2
NCU08062	Cyp4ad1
NCU02031	Cyp4ad1
NCU09636	Cyp4ad1
NCU09419	Cyp4ad1
NCU08062	Cyp4d1
NCU02031	Cyp4d1
NCU09636	Cyp4d1
NCU09419	Cyp4d1
NCU08062	Cyp312a1
NCU02031	Cyp312a1
NCU09636	Cyp312a1
NCU09419	Cyp312a1
NCU08062	Cyp311a1
NCU02031	Cyp311a1
NCU09636	Cyp311a1
NCU09419	Cyp311a1
NCU08062	Cyp4d8
NCU02031	Cyp4d8
NCU09636	Cyp4d8
NCU09419	Cyp4d8
NCU08062	Cyp316a1
NCU02031	Cyp316a1
NCU09636	Cyp316a1
NCU09419	Cyp316a1
NCU08062	Cyp4d21
NCU02031	Cyp4d21
NCU09636	Cyp4d21
NCU09419	Cyp4d21
NCU08062	Cyp4d20
NCU02031	Cyp4d20
NCU09636	Cyp4d20
NCU09419	Cyp4d20
NCU08062	Cyp4ae1
NCU02031	Cyp4ae1
NCU09636	Cyp4ae1
NCU09419	Cyp4ae1
NCU08062	Cyp4d2
NCU02031	Cyp4d2
NCU09636	Cyp4d2
NCU09419	Cyp4d2
NCU08062	Cyp4d14
NCU02031	Cyp4d14
NCU09636	Cyp4d14
NCU09419	Cyp4d14
NCU01634	His4:CG33869
NCU00212	His4:CG33869
NCU04338	His4:CG33869
NCU01634	His4:CG33881
NCU00212	His4:CG33881
NCU04338	His4:CG33881
NCU01634	His4:CG33877
NCU00212	His4:CG33877
NCU04338	His4:CG33877
NCU01634	His4:CG33879
NCU00212	His4:CG33879
NCU04338	His4:CG33879
NCU01634	His4:CG33889
NCU00212	His4:CG33889
NCU04338	His4:CG33889
NCU01634	His4:CG33885
NCU00212	His4:CG33885
NCU04338	His4:CG33885
NCU01634	His4:CG33887
NCU00212	His4:CG33887
NCU04338	His4:CG33887
NCU01634	His4:CG33883
NCU00212	His4:CG33883
NCU04338	His4:CG33883
NCU01634	His4:CG33871
NCU00212	His4:CG33871
NCU04338	His4:CG33871
NCU01634	His4:CG33873
NCU00212	His4:CG33873
NCU04338	His4:CG33873
NCU01634	His4:CG33875
NCU00212	His4:CG33875
NCU04338	His4:CG33875
NCU01634	His4:CG33909
NCU00212	His4:CG33909
NCU04338	His4:CG33909
NCU01634	His4:CG33905
NCU00212	His4:CG33905
NCU04338	His4:CG33905
NCU01634	His4:CG33907
NCU00212	His4:CG33907
NCU04338	His4:CG33907
NCU01634	His4:CG33901
NCU00212	His4:CG33901
NCU04338	His4:CG33901
NCU01634	His4:CG33903
NCU00212	His4:CG33903
NCU04338	His4:CG33903
NCU01634	His4r
NCU00212	His4r
NCU04338	His4r
NCU01634	His4:CG31611
NCU00212	His4:CG31611
NCU04338	His4:CG31611
NCU01634	His4:CG33899
NCU00212	His4:CG33899
NCU04338	His4:CG33899
NCU01634	His4:CG33897
NCU00212	His4:CG33897
NCU04338	His4:CG33897
NCU01634	His4:CG33895
NCU00212	His4:CG33895
NCU04338	His4:CG33895
NCU01634	His4:CG33893
NCU00212	His4:CG33893
NCU04338	His4:CG33893
NCU01634	His4:CG33891
NCU00212	His4:CG33891
NCU04338	His4:CG33891
NCU07964	CG3603
NCU02018	CG3699
NCU00606	CG3699
NCU02920	CG3699
NCU16454	CG3699
NCU02480	CG3699
NCU02018	CG31548
NCU00606	CG31548
NCU02920	CG31548
NCU16454	CG31548
NCU02480	CG31548
NCU02018	CG31549
NCU00606	CG31549
NCU02920	CG31549
NCU16454	CG31549
NCU02480	CG31549
NCU02018	CG12171
NCU00606	CG12171
NCU02920	CG12171
NCU16454	CG12171
NCU02480	CG12171
NCU02018	CG31546
NCU00606	CG31546
NCU02920	CG31546
NCU16454	CG31546
NCU02480	CG31546
NCU09977	Dot
NCU09977	CG17324
NCU09977	CG17323
NCU09977	CG17322
NCU09977	CG3797
NCU09977	CG30438
NCU09977	Ugt86Di
NCU09977	Ugt86Dc
NCU09977	Ugt86Da
NCU09977	CG15661
NCU09977	CG6475
NCU09977	CG4302
NCU09977	Ugt58Fa
NCU09977	CG10178
NCU09977	Ugt35b
NCU09977	CG31002
NCU09977	Ugt86Dg
NCU09977	Ugt86De
NCU09977	Ugt86Dh
NCU09977	CG10170
NCU09977	CG16732
NCU09977	CG10168
NCU09977	Ugt86Dj
NCU09977	Ugt86Dd
NCU09977	Ugt35a
NCU09977	Ugt36Ba
NCU09977	Ugt37c1
NCU09977	Ugt36Bb
NCU09977	Ugt36Bc
NCU09977	Ugt37b1
NCU09977	Ugt37a1
NCU09977	CG5999
NCU09977	CG5724
NCU09977	CG11289
NCU08625	CG18869
NCU09106	Etl1
NCU10337	Chd3
NCU10337	Mi-2
NCU03060	Chd1
NCU03875	Iswi
NCU06488	brm
NCU03200	S6kII
NCU07280	S6kII
NCU03200	JIL-1
NCU07280	JIL-1
NCU03200	S6k
NCU07280	S6k
NCU03200	Akt1
NCU07280	Akt1
NCU03200	Pkcdelta
NCU07280	Pkcdelta
NCU08693	Hsc70-5
NCU03982	Hsc70-3
NCU09602	Hsc70-1
NCU09602	Hsc70-4
NCU09602	Hsc70-2
NCU09602	Hsp70Bc
NCU09602	Hsp70Bb
NCU09602	Hsp70Bbb
NCU09602	Hsp70Ba
NCU09602	Hsp70Ab
NCU09602	Hsp70Aa
NCU09602	Hsp68
NCU00290	CG11069
NCU02544	st
NCU02544	bw
NCU02544	w
NCU01817	Myo10A
NCU01440	didum
NCU00551	zip
NCU00551	Mhc
NCU01107	CG11200
NCU08699	CG11200
NCU09278	CG11200
NCU09579	CG11200
NCU04930	CG12869
NCU09575	CG12869
NCU06573	CG12869
NCU01839	CG12869
NCU03978	Ace
NCU08752	Ace
NCU02679	Ace
NCU00761	Ace
NCU03978	Gli
NCU08752	Gli
NCU02679	Gli
NCU00761	Gli
NCU03978	CG5397
NCU08752	CG5397
NCU02679	CG5397
NCU00761	CG5397
NCU03978	Jhe
NCU08752	Jhe
NCU02679	Jhe
NCU00761	Jhe
NCU03978	Jhedup
NCU08752	Jhedup
NCU02679	Jhedup
NCU00761	Jhedup
NCU03978	Est-P
NCU08752	Est-P
NCU02679	Est-P
NCU00761	Est-P
NCU03978	Est-6
NCU08752	Est-6
NCU02679	Est-6
NCU00761	Est-6
NCU03978	clt
NCU08752	clt
NCU02679	clt
NCU00761	clt
NCU03978	alpha-Est6
NCU08752	alpha-Est6
NCU02679	alpha-Est6
NCU00761	alpha-Est6
NCU03978	gas
NCU08752	gas
NCU02679	gas
NCU00761	gas
NCU03978	alpha-Est1
NCU08752	alpha-Est1
NCU02679	alpha-Est1
NCU00761	alpha-Est1
NCU03978	alpha-Est2
NCU08752	alpha-Est2
NCU02679	alpha-Est2
NCU00761	alpha-Est2
NCU03978	alpha-Est10
NCU08752	alpha-Est10
NCU02679	alpha-Est10
NCU00761	alpha-Est10
NCU03978	alpha-Est8
NCU08752	alpha-Est8
NCU02679	alpha-Est8
NCU00761	alpha-Est8
NCU03978	alpha-Est9
NCU08752	alpha-Est9
NCU02679	alpha-Est9
NCU00761	alpha-Est9
NCU03978	alpha-Est7
NCU08752	alpha-Est7
NCU02679	alpha-Est7
NCU00761	alpha-Est7
NCU03978	alpha-Est5
NCU08752	alpha-Est5
NCU02679	alpha-Est5
NCU00761	alpha-Est5
NCU03978	alpha-Est3
NCU08752	alpha-Est3
NCU02679	alpha-Est3
NCU00761	alpha-Est3
NCU03978	alpha-Est4
NCU08752	alpha-Est4
NCU02679	alpha-Est4
NCU00761	alpha-Est4
NCU03978	CG10175
NCU08752	CG10175
NCU02679	CG10175
NCU00761	CG10175
NCU03978	CG6414
NCU08752	CG6414
NCU02679	CG6414
NCU00761	CG6414
NCU03978	CG4382
NCU08752	CG4382
NCU02679	CG4382
NCU00761	CG4382
NCU03978	CG4757
NCU08752	CG4757
NCU02679	CG4757
NCU00761	CG4757
NCU03978	CG3841
NCU08752	CG3841
NCU02679	CG3841
NCU00761	CG3841
NCU06976	Dhc64C
NCU08384	CG2767
NCU01906	ARY
NCU04510	ARY
NCU09519	ARY
NCU01233	ARY
NCU01759	ARY
NCU04923	ARY
NCU01906	CG9436
NCU04510	CG9436
NCU09519	CG9436
NCU01233	CG9436
NCU01759	CG9436
NCU04923	CG9436
NCU01906	CG10638
NCU04510	CG10638
NCU09519	CG10638
NCU01233	CG10638
NCU01759	CG10638
NCU04923	CG10638
NCU01906	CG10863
NCU04510	CG10863
NCU09519	CG10863
NCU01233	CG10863
NCU01759	CG10863
NCU04923	CG10863
NCU01906	CG12766
NCU04510	CG12766
NCU09519	CG12766
NCU01233	CG12766
NCU01759	CG12766
NCU04923	CG12766
NCU01906	CG6084
NCU04510	CG6084
NCU09519	CG6084
NCU01233	CG6084
NCU01759	CG6084
NCU04923	CG6084
NCU01906	CG6083
NCU04510	CG6083
NCU09519	CG6083
NCU01233	CG6083
NCU01759	CG6083
NCU04923	CG6083
NCU00478	Pde9
NCU00478	dnc
