CG7878	Ddx43
CG10077	Ddx17
CG10077	Ddx5
mahe	Ddx17
mahe	Ddx5
Rm62	Ddx17
Rm62	Ddx5
CG14443	Ddx17
CG14443	Ddx5
CG6418	Ddx42
bel	Ddx3x
bel	D1Pas1
bel	Ddx3y
vas	Ddx4
CG5589	Ddx52
CG10333	Ddx23
CG9253	Ddx47
Dbp45A	Ddx49
Rs1	Ddx27
CG32344	Ddx54
CG9630	Ddx55
pit	Ddx18
eIF4A	Eif4a1
eIF4A	Eif4a2
CG7483	Gm5580
CG7483	Gm8994
CG7483	Eif4a3
Dbp80	Ddx19b
Dbp80	Ddx19a
Dbp80	Ddx25
Gem3	Ddx20
me31B	Ddx6
CG17528	Dclk3
CG17528	Dclk2
CG17528	Dclk1
CaMKII	Camk2d
CaMKII	Camk2b
CaMKII	Camk2g
CaMKII	Camk2a
Unc-89	Dapk3
Strn-Mlck	Dapk3
CaMKI	Pskh1
CaMKI	Camkv
CaMKI	Camk1
CaMKI	Camk1d
CaMKI	Camk1g
CaMKI	Pnck
lok	Chek2
His2B:CG33890	Hist1h2ba
His2B:CG33890	Hist3h2ba
His2B:CG33890	Hist2h2bb
His2B:CG33890	Hist1h2bp
His2B:CG33890	Hist1h2bm
His2B:CG33890	Hist1h2be
His2B:CG33890	Hist1h2bg
His2B:CG33890	Hist1h2bh
His2B:CG33890	Hist1h2bc
His2B:CG33890	Hist1h2bb
His2B:CG33890	Hist1h2bq
His2B:CG33890	Hist1h2br
His2B:CG33890	Hist1h2bl
His2B:CG33890	Hist1h2bf
His2B:CG33890	Hist1h2bj
His2B:CG33890	Hist1h2bn
His2B:CG33890	Hist1h2bk
His2B:CG33890	Hist2h2be
His2B:CG33886	Hist1h2ba
His2B:CG33886	Hist3h2ba
His2B:CG33886	Hist2h2bb
His2B:CG33886	Hist1h2bp
His2B:CG33886	Hist1h2bm
His2B:CG33886	Hist1h2be
His2B:CG33886	Hist1h2bg
His2B:CG33886	Hist1h2bh
His2B:CG33886	Hist1h2bc
His2B:CG33886	Hist1h2bb
His2B:CG33886	Hist1h2bq
His2B:CG33886	Hist1h2br
His2B:CG33886	Hist1h2bl
His2B:CG33886	Hist1h2bf
His2B:CG33886	Hist1h2bj
His2B:CG33886	Hist1h2bn
His2B:CG33886	Hist1h2bk
His2B:CG33886	Hist2h2be
His2B:CG33888	Hist1h2ba
His2B:CG33888	Hist3h2ba
His2B:CG33888	Hist2h2bb
His2B:CG33888	Hist1h2bp
His2B:CG33888	Hist1h2bm
His2B:CG33888	Hist1h2be
His2B:CG33888	Hist1h2bg
His2B:CG33888	Hist1h2bh
His2B:CG33888	Hist1h2bc
His2B:CG33888	Hist1h2bb
His2B:CG33888	Hist1h2bq
His2B:CG33888	Hist1h2br
His2B:CG33888	Hist1h2bl
His2B:CG33888	Hist1h2bf
His2B:CG33888	Hist1h2bj
His2B:CG33888	Hist1h2bn
His2B:CG33888	Hist1h2bk
His2B:CG33888	Hist2h2be
His2B:CG33882	Hist1h2ba
His2B:CG33882	Hist3h2ba
His2B:CG33882	Hist2h2bb
His2B:CG33882	Hist1h2bp
His2B:CG33882	Hist1h2bm
His2B:CG33882	Hist1h2be
His2B:CG33882	Hist1h2bg
His2B:CG33882	Hist1h2bh
His2B:CG33882	Hist1h2bc
His2B:CG33882	Hist1h2bb
His2B:CG33882	Hist1h2bq
His2B:CG33882	Hist1h2br
His2B:CG33882	Hist1h2bl
His2B:CG33882	Hist1h2bf
His2B:CG33882	Hist1h2bj
His2B:CG33882	Hist1h2bn
His2B:CG33882	Hist1h2bk
His2B:CG33882	Hist2h2be
His2B:CG33884	Hist1h2ba
His2B:CG33884	Hist3h2ba
His2B:CG33884	Hist2h2bb
His2B:CG33884	Hist1h2bp
His2B:CG33884	Hist1h2bm
His2B:CG33884	Hist1h2be
His2B:CG33884	Hist1h2bg
His2B:CG33884	Hist1h2bh
His2B:CG33884	Hist1h2bc
His2B:CG33884	Hist1h2bb
His2B:CG33884	Hist1h2bq
His2B:CG33884	Hist1h2br
His2B:CG33884	Hist1h2bl
His2B:CG33884	Hist1h2bf
His2B:CG33884	Hist1h2bj
His2B:CG33884	Hist1h2bn
His2B:CG33884	Hist1h2bk
His2B:CG33884	Hist2h2be
His2B:CG33872	Hist1h2ba
His2B:CG33872	Hist3h2ba
His2B:CG33872	Hist2h2bb
His2B:CG33872	Hist1h2bp
His2B:CG33872	Hist1h2bm
His2B:CG33872	Hist1h2be
His2B:CG33872	Hist1h2bg
His2B:CG33872	Hist1h2bh
His2B:CG33872	Hist1h2bc
His2B:CG33872	Hist1h2bb
His2B:CG33872	Hist1h2bq
His2B:CG33872	Hist1h2br
His2B:CG33872	Hist1h2bl
His2B:CG33872	Hist1h2bf
His2B:CG33872	Hist1h2bj
His2B:CG33872	Hist1h2bn
His2B:CG33872	Hist1h2bk
His2B:CG33872	Hist2h2be
His2B:CG33874	Hist1h2ba
His2B:CG33874	Hist3h2ba
His2B:CG33874	Hist2h2bb
His2B:CG33874	Hist1h2bp
His2B:CG33874	Hist1h2bm
His2B:CG33874	Hist1h2be
His2B:CG33874	Hist1h2bg
His2B:CG33874	Hist1h2bh
His2B:CG33874	Hist1h2bc
His2B:CG33874	Hist1h2bb
His2B:CG33874	Hist1h2bq
His2B:CG33874	Hist1h2br
His2B:CG33874	Hist1h2bl
His2B:CG33874	Hist1h2bf
His2B:CG33874	Hist1h2bj
His2B:CG33874	Hist1h2bn
His2B:CG33874	Hist1h2bk
His2B:CG33874	Hist2h2be
His2B:CG33876	Hist1h2ba
His2B:CG33876	Hist3h2ba
His2B:CG33876	Hist2h2bb
His2B:CG33876	Hist1h2bp
His2B:CG33876	Hist1h2bm
His2B:CG33876	Hist1h2be
His2B:CG33876	Hist1h2bg
His2B:CG33876	Hist1h2bh
His2B:CG33876	Hist1h2bc
His2B:CG33876	Hist1h2bb
His2B:CG33876	Hist1h2bq
His2B:CG33876	Hist1h2br
His2B:CG33876	Hist1h2bl
His2B:CG33876	Hist1h2bf
His2B:CG33876	Hist1h2bj
His2B:CG33876	Hist1h2bn
His2B:CG33876	Hist1h2bk
His2B:CG33876	Hist2h2be
His2B:CG33878	Hist1h2ba
His2B:CG33878	Hist3h2ba
His2B:CG33878	Hist2h2bb
His2B:CG33878	Hist1h2bp
His2B:CG33878	Hist1h2bm
His2B:CG33878	Hist1h2be
His2B:CG33878	Hist1h2bg
His2B:CG33878	Hist1h2bh
His2B:CG33878	Hist1h2bc
His2B:CG33878	Hist1h2bb
His2B:CG33878	Hist1h2bq
His2B:CG33878	Hist1h2br
His2B:CG33878	Hist1h2bl
His2B:CG33878	Hist1h2bf
His2B:CG33878	Hist1h2bj
His2B:CG33878	Hist1h2bn
His2B:CG33878	Hist1h2bk
His2B:CG33878	Hist2h2be
His2B:CG33880	Hist1h2ba
His2B:CG33880	Hist3h2ba
His2B:CG33880	Hist2h2bb
His2B:CG33880	Hist1h2bp
His2B:CG33880	Hist1h2bm
His2B:CG33880	Hist1h2be
His2B:CG33880	Hist1h2bg
His2B:CG33880	Hist1h2bh
His2B:CG33880	Hist1h2bc
His2B:CG33880	Hist1h2bb
His2B:CG33880	Hist1h2bq
His2B:CG33880	Hist1h2br
His2B:CG33880	Hist1h2bl
His2B:CG33880	Hist1h2bf
His2B:CG33880	Hist1h2bj
His2B:CG33880	Hist1h2bn
His2B:CG33880	Hist1h2bk
His2B:CG33880	Hist2h2be
His2B:CG33910	Hist1h2ba
His2B:CG33910	Hist3h2ba
His2B:CG33910	Hist2h2bb
His2B:CG33910	Hist1h2bp
His2B:CG33910	Hist1h2bm
His2B:CG33910	Hist1h2be
His2B:CG33910	Hist1h2bg
His2B:CG33910	Hist1h2bh
His2B:CG33910	Hist1h2bc
His2B:CG33910	Hist1h2bb
His2B:CG33910	Hist1h2bq
His2B:CG33910	Hist1h2br
His2B:CG33910	Hist1h2bl
His2B:CG33910	Hist1h2bf
His2B:CG33910	Hist1h2bj
His2B:CG33910	Hist1h2bn
His2B:CG33910	Hist1h2bk
His2B:CG33910	Hist2h2be
His2B:CG33870	Hist1h2ba
His2B:CG33870	Hist3h2ba
His2B:CG33870	Hist2h2bb
His2B:CG33870	Hist1h2bp
His2B:CG33870	Hist1h2bm
His2B:CG33870	Hist1h2be
His2B:CG33870	Hist1h2bg
His2B:CG33870	Hist1h2bh
His2B:CG33870	Hist1h2bc
His2B:CG33870	Hist1h2bb
His2B:CG33870	Hist1h2bq
His2B:CG33870	Hist1h2br
His2B:CG33870	Hist1h2bl
His2B:CG33870	Hist1h2bf
His2B:CG33870	Hist1h2bj
His2B:CG33870	Hist1h2bn
His2B:CG33870	Hist1h2bk
His2B:CG33870	Hist2h2be
His2B:CG33868	Hist1h2ba
His2B:CG33868	Hist3h2ba
