Synpcc7942_1294	Chek2
Synpcc7942_1367	Gm45753
Synpcc7942_1367	Cyp4v3
Synpcc7942_1367	Cyp4f40
Synpcc7942_1367	Cyp4f15
Synpcc7942_1367	Cyp4f14
Synpcc7942_1367	Cyp4f18
Synpcc7942_1367	Cyp4f13
Synpcc7942_1367	Cyp4f17
Synpcc7942_1367	Cyp4f37
Synpcc7942_1367	Cyp4f16
Synpcc7942_1367	Cyp4f39
Synpcc7942_1367	Cyp4x1
Synpcc7942_1367	Cyp4a14
Synpcc7942_1367	Cyp4a30b
Synpcc7942_1367	Cyp4a32
Synpcc7942_1367	Cyp4a10
Synpcc7942_1367	Cyp4a31
Synpcc7942_1367	Cyp4a12a
Synpcc7942_1367	Cyp4a12b
Synpcc7942_1367	Cyp4a29
Synpcc7942_1367	Cyp4b1
Synpcc7942_0684	Cbr4
Synpcc7942_1596	Hsd17b14
Synpcc7942_2073	Hspa9
Synpcc7942_2503	Rdh12
Synpcc7942_2503	Rdh11
Synpcc7942_2503	Rdh13
Synpcc7942_2503	Dhrs13
Synpcc7942_2503	Rdh14
Synpcc7942_0287	Kcnd3
Synpcc7942_0287	Kcnd2
Synpcc7942_0287	Kcnd1
Synpcc7942_0287	Kcnc4
Synpcc7942_0287	Kcnc2
Synpcc7942_0287	Kcnc1
Synpcc7942_0287	Kcnc3
Synpcc7942_0287	Kcnf1
Synpcc7942_0287	Kcns1
Synpcc7942_0287	Kcns3
Synpcc7942_0287	Kcns2
Synpcc7942_0287	Kcnv1
Synpcc7942_0287	Kcng3
Synpcc7942_0287	Kcng1
Synpcc7942_0287	Kcng4
Synpcc7942_0287	Kcng2
Synpcc7942_0287	Kcnb2
Synpcc7942_0287	Kcnb1
Synpcc7942_0287	Kcna7
Synpcc7942_0287	Kcna2
Synpcc7942_0287	Kcna1
Synpcc7942_0287	Kcna6
Synpcc7942_0287	Kcna4
Synpcc7942_0287	Kcna3
Synpcc7942_0287	Kcna5
Synpcc7942_0287	Kcna10
Synpcc7942_1660	Kcnd3
Synpcc7942_1660	Kcnd2
Synpcc7942_1660	Kcnd1
Synpcc7942_1660	Kcnc4
Synpcc7942_1660	Kcnc2
Synpcc7942_1660	Kcnc1
Synpcc7942_1660	Kcnc3
Synpcc7942_1660	Kcnf1
Synpcc7942_1660	Kcns1
Synpcc7942_1660	Kcns3
Synpcc7942_1660	Kcns2
Synpcc7942_1660	Kcnv1
Synpcc7942_1660	Kcng3
Synpcc7942_1660	Kcng1
Synpcc7942_1660	Kcng4
Synpcc7942_1660	Kcng2
Synpcc7942_1660	Kcnb2
Synpcc7942_1660	Kcnb1
Synpcc7942_1660	Kcna7
Synpcc7942_1660	Kcna2
Synpcc7942_1660	Kcna1
Synpcc7942_1660	Kcna6
Synpcc7942_1660	Kcna4
Synpcc7942_1660	Kcna3
Synpcc7942_1660	Kcna5
Synpcc7942_1660	Kcna10
Synpcc7942_0663	Gucy2f
Synpcc7942_0663	Gucy2d
Synpcc7942_0663	Gucy2e
Synpcc7942_0663	Npr2
Synpcc7942_0663	Npr1
Synpcc7942_0663	Gucy2g
Synpcc7942_0663	Gucy2c
Synpcc7942_2195	Gucy2f
Synpcc7942_2195	Gucy2d
Synpcc7942_2195	Gucy2e
Synpcc7942_2195	Npr2
Synpcc7942_2195	Npr1
Synpcc7942_2195	Gucy2g
Synpcc7942_2195	Gucy2c
Synpcc7942_1571	Aqp8
Synpcc7942_1978	Txn2
Synpcc7942_1793	Txn2
Synpcc7942_1830	Txn2
Synpcc7942_1699	Slc47a1
Synpcc7942_1699	Slc47a2
Synpcc7942_0790	Cirbp
Synpcc7942_0790	Rbm3
Synpcc7942_0679	Cirbp
Synpcc7942_0679	Rbm3
Synpcc7942_1999	Cirbp
Synpcc7942_1999	Rbm3
Synpcc7942_1388	Car8
Synpcc7942_1388	Car7
Synpcc7942_1388	Car5a
Synpcc7942_1388	Car5b
Synpcc7942_1388	Car3
Synpcc7942_1388	Car1
Synpcc7942_1388	Car13
Synpcc7942_1388	Car2
Synpcc7942_1388	Car6
Synpcc7942_1388	Car9
Synpcc7942_1388	Car15
Synpcc7942_1388	Car4
Synpcc7942_1136	Lnpep
Synpcc7942_1136	Erap1
Synpcc7942_1136	Enpep
Synpcc7942_1136	Trhde
Synpcc7942_1136	Lvrn
Synpcc7942_1136	Anpep
Synpcc7942_1380	Slc26a10
Synpcc7942_1380	Slc26a6
Synpcc7942_1380	Slc26a6
Synpcc7942_1380	Slc26a5
Synpcc7942_1380	Slc26a2
Synpcc7942_1380	Slc26a1
Synpcc7942_1380	Slc26a11
Synpcc7942_1111	Map2k1
Synpcc7942_1111	Map2k2
Synpcc7942_1111	Map2k3
Synpcc7942_1111	Map2k6
Synpcc7942_1111	Map2k4
Synpcc7942_1111	Map2k5
Synpcc7942_1121	Map2k1
Synpcc7942_1121	Map2k2
Synpcc7942_1121	Map2k3
Synpcc7942_1121	Map2k6
Synpcc7942_1121	Map2k4
Synpcc7942_1121	Map2k5
Synpcc7942_0780	Map2k1
Synpcc7942_0780	Map2k2
Synpcc7942_0780	Map2k3
Synpcc7942_0780	Map2k6
Synpcc7942_0780	Map2k4
Synpcc7942_0780	Map2k5
Synpcc7942_2354	Fkbp14
Synpcc7942_2354	Fkbp11
Synpcc7942_2354	Fkbp1b
Synpcc7942_2354	Fkbp1a
Synpcc7942_1588	Clcn5
Synpcc7942_1588	Clcn4
Synpcc7942_1588	Clcn3
Synpcc7942_1588	Clcn1
Synpcc7942_1588	Clcn2
Synpcc7942_1576	Clcn5
Synpcc7942_1576	Clcn4
Synpcc7942_1576	Clcn3
Synpcc7942_1576	Clcn1
Synpcc7942_1576	Clcn2
Synpcc7942_1021	Acsf2
Synpcc7942_1021	Acsf3
Synpcc7942_2561	Scd1
Synpcc7942_2561	Scd3
Synpcc7942_2561	Scd2
Synpcc7942_2561	Scd4
Synpcc7942_0587	Vars2
Synpcc7942_0587	Vars
Synpcc7942_0811	Slc9a3
Synpcc7942_0811	Slc9a2
Synpcc7942_1719	Idh3a
Synpcc7942_2124	Hdac10
Synpcc7942_2124	Hdac6
Synpcc7942_2124	Hdac5
Synpcc7942_2124	Hdac9
Synpcc7942_2124	Hdac4
Synpcc7942_2124	Hdac7
Synpcc7942_B2623	Cbs
Synpcc7942_B2664	Cbs
Synpcc7942_1466	Cbs
Synpcc7942_1820	Tmbim7
Synpcc7942_1820	Grina
Synpcc7942_1820	Tmbim1
Synpcc7942_1820	Faim2
Synpcc7942_0771	Clic1
Synpcc7942_0771	Clic5
Synpcc7942_0771	Clic4
Synpcc7942_0771	Clic6
Synpcc7942_0771	Clic3
Synpcc7942_1522	Polr1b
Synpcc7942_1214	Gpx8
Synpcc7942_1214	Gpx7
Synpcc7942_0185	Ggt7
Synpcc7942_0185	Ggt5
Synpcc7942_B2624	Ggt7
Synpcc7942_B2624	Ggt5
Synpcc7942_0637	Clpb
Synpcc7942_1089	Clpb
Synpcc7942_0260	Clpb
Synpcc7942_1813	Trap1
Synpcc7942_0094	Rfc4
Synpcc7942_1324	Mtrex
Synpcc7942_1523	Polr1a
Synpcc7942_1153	9930111J21Rik1
Synpcc7942_1153	LT629152.2
Synpcc7942_1153	9930111J21Rik2
Synpcc7942_1153	Gm5431
Synpcc7942_1153	Gm5431
Synpcc7942_1153	Gm5431
Synpcc7942_1153	Gm12185
Synpcc7942_1153	Gm12185
Synpcc7942_1153	Gm12185
Synpcc7942_1153	Tgtp2
Synpcc7942_1153	Tgtp1
Synpcc7942_1153	Tgtp2
Synpcc7942_1153	LT629149.3
Synpcc7942_1153	Iigp1
Synpcc7942_1153	Gm4951
Synpcc7942_1153	Gm4841
Synpcc7942_1153	F830016B08Rik
Synpcc7942_1153	Ifi47
Synpcc7942_1153	Ifi47
Synpcc7942_1153	Ifi47
Synpcc7942_1153	Irgc1
Synpcc7942_1154	9930111J21Rik1
Synpcc7942_1154	LT629152.2
Synpcc7942_1154	9930111J21Rik2
Synpcc7942_1154	Gm5431
Synpcc7942_1154	Gm5431
Synpcc7942_1154	Gm5431
Synpcc7942_1154	Gm12185
Synpcc7942_1154	Gm12185
Synpcc7942_1154	Gm12185
Synpcc7942_1154	Tgtp2
Synpcc7942_1154	Tgtp1
Synpcc7942_1154	Tgtp2
Synpcc7942_1154	LT629149.3
Synpcc7942_1154	Iigp1
Synpcc7942_1154	Gm4951
Synpcc7942_1154	Gm4841
Synpcc7942_1154	F830016B08Rik
Synpcc7942_1154	Ifi47
Synpcc7942_1154	Ifi47
Synpcc7942_1154	Ifi47
Synpcc7942_1154	Irgc1
Synpcc7942_2525	Clpp
Synpcc7942_1554	Clpp
Synpcc7942_2537	Clpp
Synpcc7942_2538	Clpp
Synpcc7942_0295	Papss2
Synpcc7942_0295	Papss1
Synpcc7942_0777	Mthfd2
Synpcc7942_0777	Mthfd2l
Synpcc7942_2190	Msrb2
Synpcc7942_0352	Msrb3
Synpcc7942_0098	Pklr
Synpcc7942_0098	Pkm
Synpcc7942_0585	Htra2
Synpcc7942_0585	Htra3
Synpcc7942_0585	Htra1
Synpcc7942_0585	Htra4
Synpcc7942_1101	Htra2
Synpcc7942_1101	Htra3
Synpcc7942_1101	Htra1
Synpcc7942_1101	Htra4
Synpcc7942_0481	Htra2
Synpcc7942_0481	Htra3
Synpcc7942_0481	Htra1
Synpcc7942_0481	Htra4
Synpcc7942_1835	Rhbdf1
Synpcc7942_1835	Rhbdf2
Synpcc7942_1939	Gm10358
Synpcc7942_1939	Gapdh
Synpcc7942_1939	Gm3839
Synpcc7942_1939	Gapdhs
Synpcc7942_0245	Gm10358
Synpcc7942_0245	Gapdh
Synpcc7942_0245	Gm3839
Synpcc7942_0245	Gapdhs
Synpcc7942_0184	Slc20a2
Synpcc7942_0184	Slc20a1
Synpcc7942_0216	Cryzl2
Synpcc7942_0216	Vat1
Synpcc7942_0216	Vat1l
Synpcc7942_0216	Cryz
Synpcc7942_1516	Pfkfb3
Synpcc7942_1516	Gm29427
Synpcc7942_1516	Pfkfb2
Synpcc7942_1516	Pfkfb1
Synpcc7942_1516	Pfkfb4
Synpcc7942_1301	Recql5
Synpcc7942_1831	Gmpr2
