YGL078C	Ddx43
YNL112W	Ddx17
YNL112W	Ddx5
YBR237W	Ddx42
YPL119C	Ddx3x
YOR204W	Ddx3x
YPL119C	D1Pas1
YOR204W	D1Pas1
YPL119C	Ddx3y
YOR204W	Ddx3y
YGL171W	Ddx52
YDR243C	Ddx59
YDR243C	Ddx23
YHR065C	Ddx47
YHR169W	Ddx49
YLL008W	Ddx27
YDL031W	Ddx54
YFL002C	Ddx55
YMR290C	Ddx18
YKR059W	Eif4a1
YJL138C	Eif4a1
YKR059W	Eif4a2
YJL138C	Eif4a2
YDR021W	Gm5580
YDR021W	Gm8994
YDR021W	Eif4a3
YOR046C	Ddx19b
YOR046C	Ddx19a
YOR046C	Ddx25
YDL160C	Ddx20
YDL160C	Ddx6
YOL016C	Dclk3
YFR014C	Dclk3
YGL158W	Dclk3
YLR248W	Dclk3
YOL016C	Dclk2
YFR014C	Dclk2
YGL158W	Dclk2
YLR248W	Dclk2
YOL016C	Dclk1
YFR014C	Dclk1
YGL158W	Dclk1
YLR248W	Dclk1
YOR351C	Chek2
YPL153C	Chek2
YDL101C	Chek2
YDR224C	Hist1h2ba
YBL002W	Hist1h2ba
YDR224C	Hist3h2ba
YBL002W	Hist3h2ba
YDR224C	Hist2h2bb
YBL002W	Hist2h2bb
YDR224C	Hist1h2bp
YBL002W	Hist1h2bp
YDR224C	Hist1h2bm
YBL002W	Hist1h2bm
YDR224C	Hist1h2be
YBL002W	Hist1h2be
YDR224C	Hist1h2bg
YBL002W	Hist1h2bg
YDR224C	Hist1h2bh
YBL002W	Hist1h2bh
YDR224C	Hist1h2bc
YBL002W	Hist1h2bc
YDR224C	Hist1h2bb
YBL002W	Hist1h2bb
YDR224C	Hist1h2bq
YBL002W	Hist1h2bq
YDR224C	Hist1h2br
YBL002W	Hist1h2br
YDR224C	Hist1h2bl
YBL002W	Hist1h2bl
YDR224C	Hist1h2bf
YBL002W	Hist1h2bf
YDR224C	Hist1h2bj
YBL002W	Hist1h2bj
YDR224C	Hist1h2bn
YBL002W	Hist1h2bn
YDR224C	Hist1h2bk
YBL002W	Hist1h2bk
YDR224C	Hist2h2be
YBL002W	Hist2h2be
YDR225W	H2afx
YBL003C	H2afx
YDR225W	Hist2h2ab
YBL003C	Hist2h2ab
YDR225W	H2afj
YBL003C	H2afj
YDR225W	Hist2h2ac
YBL003C	Hist2h2ac
YDR225W	Hist1h2aa
YBL003C	Hist1h2aa
YDR225W	Hist2h2aa1
YBL003C	Hist2h2aa1
YDR225W	Hist2h2aa2
YBL003C	Hist2h2aa2
YDR225W	Hist1h2af
YBL003C	Hist1h2af
YDR225W	Hist1h2ag
YBL003C	Hist1h2ag
YDR225W	Hist1h2ap
YBL003C	Hist1h2ap
YDR225W	Hist1h2ao
YBL003C	Hist1h2ao
YDR225W	Hist1h2ad
YBL003C	Hist1h2ad
YDR225W	Hist1h2ac
YBL003C	Hist1h2ac
YDR225W	Hist1h2ai
YBL003C	Hist1h2ai
YDR225W	Hist1h2ab
YBL003C	Hist1h2ab
YDR225W	Hist1h2an
YBL003C	Hist1h2an
YDR225W	Hist1h2ae
YBL003C	Hist1h2ae
YDR225W	Hist1h2ak
YBL003C	Hist1h2ak
YDR225W	Hist1h2ah
YBL003C	Hist1h2ah
YDR225W	Hist3h2a
YBL003C	Hist3h2a
YBR010W	Hist1h3a
YNL031C	Hist1h3a
YBR010W	Hist1h3h
YNL031C	Hist1h3h
YBR010W	Hist1h3g
YNL031C	Hist1h3g
YBR010W	Hist1h3i
YNL031C	Hist1h3i
YBR010W	Hist2h3c1
YNL031C	Hist2h3c1
YBR010W	Hist1h3c
YNL031C	Hist1h3c
YBR010W	Hist1h3b
YNL031C	Hist1h3b
YBR010W	Hist1h3f
YNL031C	Hist1h3f
