,ID,fulllength,protein
1,YJL205C,15166.5,1800.5
2,YMR048W,47154,9183.5
3,YOL098C,154393,32007
4,YGR248W,37984,7827.5
5,YER010C,34932.5,6907.5
6,YDR297W,52082,11761
7,YMR057C,18440,3862.5
8,YJR034W,16145.5,3127
9,YOL030W,72231.5,13749
10,YLR256W,223333.5,43254
11,YLR201C,38867.5,8225.5
12,YJL019W,101353.5,20399
13,YDL131W,65487.5,13054.5
14,YPL283W-A,28591,4782.5
15,YGL133W,187631.5,37254
16,YCL001W-B,12560.5,2510
17,YLR387C,64246.5,12548
18,YMR129W,199064,41533.5
19,YLR110C,19982,3446.5
20,YPR197C,27926,6003.5
21,YML054C,87931,17506
22,YNL149C,19215,3780
23,YHR080C,199630,38743
24,YOR048C,149480.5,30321
25,YAL010C,73465,15318.5
26,YOR273C,98253,20664.5
27,YDR246W-A,9975.5,1986
28,YBL061C,103408.5,20035
29,YOL101C,46680.5,10943
30,YMR117C,31704,6223
31,YBR088C,38545.5,7864
32,YLR228C,121045.5,22998.5
33,YGL154C,40619.5,8638
34,YFR043C,35324,7253
35,YBR241C,72697.5,15530.5
36,YBL051C,99383.5,17918.5
37,YGL128C,42176,8782
38,YFR034W-A,14211,2954.5
39,YKL084W,17423.5,3766.5
40,YGL248W,54938,11303.5
41,YDR404C,25583,5320
42,YKR031C,250041,50987.5
43,YJR124C,66901.5,14639.5
44,YCR082W,19142.5,3987.5
45,YOL094C,48123,9644.5
46,YLR043C,15465,3102.5
47,YJR039W,166947,35740
48,YOR256C,120411,24968
49,YER137W-A,15251,3302
50,YOR298C-A,22490,4037.5
51,YIR012W,64214,12575.5
52,YJR063W,18738,3665
53,YHR144C,46490.5,9341
54,YEL011W,104897.5,22465
55,YGL043W,45903,8926
56,YLL022C,57184,10546.5
57,YDR255C,62667,13429
58,YHR070W,74177,15270.5
59,YPL036W,141152,28083.5
60,YOR317W,104200.5,21487.5
61,YPL121C,32987.5,6664.5
62,YDR408C,31859.5,6231.5
63,YLR021W,26685,5318.5
64,YEL031W,181151,37514
65,YDR088C,56630.5,11005
66,YPL251W,15016.5,3261
67,YGL207W,153896,30993.5
68,YJR080C,58691.5,11972.5
69,YBL044W,18216.5,3524.5
70,YKL162C-A,7584.5,1603.5
71,YGR166W,83441.5,17022.5
72,YJL137C,56639.5,12101.5
73,YER068W,87279,16661
74,YLR009W,29597,5779.5
75,YJL102W,121784,24457.5
76,YDR177W,32059,6314.5
77,YGR276C,82242,16801.5
78,YDR181C,71418,13856
79,YAR029W,11146.5,2351
80,YMR279C,80616.5,17941
81,YCR075C,38869.5,9067
82,YPL268W,129274,27154
83,YDL037C,49081.5,9207.5
84,YNL277W-A,9360.5,2141
85,YDR320C,99318.5,19529
86,YNL083W,73577.5,15357.5
87,YDR203W,15835,3436.5
88,YDR428C,38965,8135.5
89,YFR024C-A,73022,12812
90,YKL047W,76869.5,16056.5
91,YOR348C,93342,20069
92,YGR023W,82282,15065
93,YKR005C,81558.5,15546.5
