"","ID","fulllength","protein"
"1","ENSMUST00000060171",75860.5,715
"2","ENSMUST00000164571",9820,870
"3","ENSMUST00000092552",9826,821.5
"4","ENSMUST00000073238",18611.5,821.5
"5","ENSMUST00000099177",9833,821.5
"6","ENSMUST00000170061",9833,830
"7","ENSMUST00000167423",47567,1227.5
"8","ENSMUST00000064591",108896.5,852
"9","ENSMUST00000099413",95722,1515.5
"10","ENSMUST00000104985",25410,1198.5
"11","ENSMUST00000066573",26101,1185
"12","ENSMUST00000169286",43329,1373
"13","ENSMUST00000089097",22761,1737
"14","ENSMUST00000167725",31356.5,1078.5
"15","ENSMUST00000100068",78229,1717
"16","ENSMUST00000099099",79787,1736.5
"17","ENSMUST00000068342",75118,2148.5
"18","ENSMUST00000098886",15016.5,1636
"19","ENSMUST00000062524",19482,1893
"20","ENSMUST00000079151",22013,1936
"21","ENSMUST00000163768",60671.5,1650.5
"22","ENSMUST00000099141",65939.5,1935
"23","ENSMUST00000077715",22932.5,2114.5
"24","ENSMUST00000169954",26236,2160
"25","ENSMUST00000163259",40714.5,1982.5
"26","ENSMUST00000057431",89391,1928.5
"27","ENSMUST00000072280",28787.5,2163.5
"28","ENSMUST00000068068",22626,1675
"29","ENSMUST00000053460",23948.5,2219
"30","ENSMUST00000099179",92069.5,2257.5
"31","ENSMUST00000074576",19209,2062.5
"32","ENSMUST00000060761",39890.5,2018.5
"33","ENSMUST00000097739",147613.5,2330.5
"34","ENSMUST00000097824",131029.5,2014
"35","ENSMUST00000100864",124255.5,2150
"36","ENSMUST00000105093",22417,1903
"37","ENSMUST00000091506",15514,1839
"38","ENSMUST00000100848",29997.5,2031
"39","ENSMUST00000098589",79583,1815.5
"40","ENSMUST00000105161",24476,2436
"41","ENSMUST00000073177",24476,2436
"42","ENSMUST00000167135",24478,2396.5
"43","ENSMUST00000105081",72023.5,2421.5
"44","ENSMUST00000089106",25812,2600
"45","ENSMUST00000089105",26390,2669
"46","ENSMUST00000074637",29824,2636.5
"47","ENSMUST00000076906",29545,2669
"48","ENSMUST00000067993",59525.5,2860
"49","ENSMUST00000101619",136433,2965.5
"50","ENSMUST00000097289",72931.5,2699
"51","ENSMUST00000171685",16741.5,2499
"52","ENSMUST00000053150",16995,2499
"53","ENSMUST00000097384",12801.5,2538
"54","ENSMUST00000051103",15058,2866.5
"55","ENSMUST00000072180",72890,2733.5
"56","ENSMUST00000105139",36232.5,2648
"57","ENSMUST00000098074",88228.5,2739
"58","ENSMUST00000081334",24473.5,2835.5
"59","ENSMUST00000075284",26079,2833
"60","ENSMUST00000056118",30704,2847.5
"61","ENSMUST00000078471",28814.5,2923
"62","ENSMUST00000075602",56984.5,2230.5
"63","ENSMUST00000003122",54986,2270.5
"64","ENSMUST00000067523",46310,3245
"65","ENSMUST00000165488",17217.5,2907
"66","ENSMUST00000088147",25800.5,2644.5
"67","ENSMUST00000071254",68409,3248.5
"68","ENSMUST00000076896",114064.5,3124.5
"69","ENSMUST00000099276",177950.5,2792.5
"70","ENSMUST00000052902",30344.5,2734
"71","ENSMUST00000097608",140332.5,3200
"72","ENSMUST00000097644",118648,3143.5
"73","ENSMUST00000059053",18463,2292
"74","ENSMUST00000055502",29974,2646.5
"75","ENSMUST00000092700",36319,2726
"76","ENSMUST00000092699",51214.5,2726
"77","ENSMUST00000071028",48052,2870.5
"78","ENSMUST00000050864",19993.5,2304
"79","ENSMUST00000033479",152496.5,3362
"80","ENSMUST00000074862",144453,2942.5
"81","ENSMUST00000066505",114386.5,2758.5
"82","ENSMUST00000114578",23623,3331
"83","ENSMUST00000172178",50818,2434
"84","ENSMUST00000056256",99562.5,3130
"85","ENSMUST00000051217",58883,3383.5
"86","ENSMUST00000036821",21356.5,2955.5
"87","ENSMUST00000061311",30929.5,2757
"88","ENSMUST00000151653",88115.5,3466
"89","ENSMUST00000058538",56058.5,2719
"90","ENSMUST00000069051",75958.5,3304.5
"91","ENSMUST00000064334",92428.5,2871.5
"92","ENSMUST00000042671",21925.5,3175
"93","ENSMUST00000067360",120286,3391.5
"94","ENSMUST00000087714",21065.5,3056.5
"95","ENSMUST00000104941",19849,3056.5
"96","ENSMUST00000102979",21235,3056.5
"97","ENSMUST00000102964",26612.5,3056.5
"98","ENSMUST00000102965",24244.5,3056.5
"99","ENSMUST00000102977",26540.5,3056.5
"100","ENSMUST00000102972",23227,3056.5
"101","ENSMUST00000102971",19305.5,3056.5
"102","ENSMUST00000102968",19400.5,3056.5
"103","ENSMUST00000171473",79459,3056.5
"104","ENSMUST00000072739",21714.5,3031.5
"105","ENSMUST00000102967",19495.5,3056.5
"106","ENSMUST00000104964",162777.5,3268
"107","ENSMUST00000056086",61530.5,2615.5
"108","ENSMUST00000059598",147909,3211.5
"109","ENSMUST00000097982",158687.5,3254.5
"110","ENSMUST00000076667",47003.5,3136.5
"111","ENSMUST00000023262",139758,3101.5
"112","ENSMUST00000085720",18896,3270.5
"113","ENSMUST00000105102",186367,3044
"114","ENSMUST00000098075",32509.5,3269
"115","ENSMUST00000078246",23524,3288
"116","ENSMUST00000073080",23521,3255.5
"117","ENSMUST00000075698",23534,3272.5
"118","ENSMUST00000164165",25926.5,2906.5
"119","ENSMUST00000164729",25923.5,2882.5
"120","ENSMUST00000169484",24691,2906.5
"121","ENSMUST00000096501",24691,2906.5
"122","ENSMUST00000169046",24691,2906.5
"123","ENSMUST00000164398",24691,2906.5
"124","ENSMUST00000170569",24691,2906.5
"125","ENSMUST00000171729",25923.5,2891
"126","ENSMUST00000169690",24693,2906.5
"127","ENSMUST00000105138",24692,2899
"128","ENSMUST00000073949",26620.5,2901
"129","ENSMUST00000164330",70478.5,2848.5
"130","ENSMUST00000099182",60667.5,2585.5
"131","ENSMUST00000110619",63080,3318
"132","ENSMUST00000052622",65883.5,3209
"133","ENSMUST00000105046",80349,2516.5
"134","ENSMUST00000098479",111413,3171.5
"135","ENSMUST00000076071",60852,3308.5
"136","ENSMUST00000068250",63887,3448.5
"137","ENSMUST00000060246",35598.5,2977.5
"138","ENSMUST00000069431",161937.5,2860.5
"139","ENSMUST00000053319",80816.5,3491.5
"140","ENSMUST00000092680",88536.5,3406.5
"141","ENSMUST00000079952",25137.5,2947.5
"142","ENSMUST00000105049",37672.5,2562.5
"143","ENSMUST00000100089",72234,3241.5
"144","ENSMUST00000095109",71278,3400.5
"145","ENSMUST00000060348",58920.5,3208
"146","ENSMUST00000089635",20885.5,3460.5
"147","ENSMUST00000105137",25129.5,2983
"148","ENSMUST00000099256",117719,3437.5
"149","ENSMUST00000069543",140351,3433.5
"150","ENSMUST00000054333",104128,3358.5
"151","ENSMUST00000167843",98013.5,2994
"152","ENSMUST00000037090",35129.5,3073
"153","ENSMUST00000110971",72798.5,3006.5
"154","ENSMUST00000060705",49622,3164
"155","ENSMUST00000098592",77864.5,2845
"156","ENSMUST00000105001",25938.5,3045.5
"157","ENSMUST00000168646",63311,2999.5
"158","ENSMUST00000059428",44281,3259.5
"159","ENSMUST00000074808",23212.5,3522
"160","ENSMUST00000101030",49180.5,2860.5
"161","ENSMUST00000066758",58814.5,3864
"162","ENSMUST00000063384",19798.5,3679
"163","ENSMUST00000098916",105399,3285
"164","ENSMUST00000170146",201747.5,3384.5
"165","ENSMUST00000052898",67993,3465.5
"166","ENSMUST00000072014",67112,3708.5
"167","ENSMUST00000070359",45177.5,3198
"168","ENSMUST00000067077",87167,3843.5
"169","ENSMUST00000088778",60920.5,3617.5
"170","ENSMUST00000088779",63147,3617.5
"171","ENSMUST00000058992",32232,3336
"172","ENSMUST00000171969",34297.5,3298.5
"173","ENSMUST00000082166",34462,3350.5
"174","ENSMUST00000094956",122805.5,3340.5
"175","ENSMUST00000070500",81595.5,3166.5
"176","ENSMUST00000095459",84697.5,3305
"177","ENSMUST00000164001",24801.5,3126.5
"178","ENSMUST00000052724",49646,3285.5
"179","ENSMUST00000071430",38224.5,2872
"180","ENSMUST00000104999",127380.5,3268
"181","ENSMUST00000099990",34545.5,3296.5
"182","ENSMUST00000091218",69892.5,3287.5
"183","ENSMUST00000104959",64746,3092.5
"184","ENSMUST00000064646",35934.5,3171
"185","ENSMUST00000172206",24591.5,3021
"186","ENSMUST00000094315",125179.5,3549.5
"187","ENSMUST00000068836",91808,3271
"188","ENSMUST00000070258",87673.5,3293.5
"189","ENSMUST00000099385",56039.5,2932.5
"190","ENSMUST00000077208",20379.5,3320.5
"191","ENSMUST00000076166",22941,3513
"192","ENSMUST00000164240",21848,2992.5
"193","ENSMUST00000071536",22951,3514.5
"194","ENSMUST00000104915",197518.5,3826
"195","ENSMUST00000090946",46578,3829.5
"196","ENSMUST00000084306",147202.5,2739.5
"197","ENSMUST00000166373",93385,3814.5
"198","ENSMUST00000079279",127441.5,3531.5
"199","ENSMUST00000073560",29668,3331.5
"200","ENSMUST00000075909",50567.5,3303.5
"201","ENSMUST00000057870",52921,3444.5
"202","ENSMUST00000048824",30602,3032
"203","ENSMUST00000044987",27344,3177.5
"204","ENSMUST00000084445",20156,3476
"205","ENSMUST00000081679",20158,3471.5
"206","ENSMUST00000069880",158724,4063
"207","ENSMUST00000094955",39206,3387
"208","ENSMUST00000065533",129619.5,3311.5
"209","ENSMUST00000087964",42587,3189
"210","ENSMUST00000098586",47673.5,3008.5
"211","ENSMUST00000098092",67941,3760
"212","ENSMUST00000099148",55500.5,3222.5
"213","ENSMUST00000165827",65268,3346.5
"214","ENSMUST00000050306",26769.5,3145
"215","ENSMUST00000066196",68344.5,3229.5
"216","ENSMUST00000098424",67437.5,3742
"217","ENSMUST00000096324",70457.5,3717.5
"218","ENSMUST00000070814",148621,3825.5
"219","ENSMUST00000029080",25094.5,3035.5
"220","ENSMUST00000065310",40692.5,2815
"221","ENSMUST00000085097",68253,3449.5
"222","ENSMUST00000164855",60299.5,3286.5
"223","ENSMUST00000169328",71480.5,3499
"224","ENSMUST00000050829",31062,3778
"225","ENSMUST00000060657",125427,4000.5
"226","ENSMUST00000094214",67204,3415.5
"227","ENSMUST00000082269",49881.5,3417
"228","ENSMUST00000100823",84224.5,3104.5
"229","ENSMUST00000065921",83806.5,3485
"230","ENSMUST00000068526",73926,2867
"231","ENSMUST00000168138",62730.5,3389
"232","ENSMUST00000059704",53065.5,3210.5
"233","ENSMUST00000046116",38862.5,3554.5
"234","ENSMUST00000069263",66047,4024.5
"235","ENSMUST00000094945",114439,3991.5
"236","ENSMUST00000066837",84858,3233.5
"237","ENSMUST00000166566",133387.5,4663
"238","ENSMUST00000163332",119808,3543.5
"239","ENSMUST00000099104",65271,3469.5
"240","ENSMUST00000054532",51634,3317.5
"241","ENSMUST00000165229",21904.5,3832
"242","ENSMUST00000102782",21908.5,3797
"243","ENSMUST00000167359",59926,3817
"244","ENSMUST00000079045",130462.5,4248
"245","ENSMUST00000054425",23556,3880.5
"246","ENSMUST00000060220",57195,3475.5
"247","ENSMUST00000079057",49700.5,3978
"248","ENSMUST00000062127",69421.5,3847
"249","ENSMUST00000028069",72297.5,3740
"250","ENSMUST00000062667",104904,3233.5
"251","ENSMUST00000069568",59329.5,3825.5
"252","ENSMUST00000059507",76072.5,4299
"253","ENSMUST00000059351",41778,4373.5
"254","ENSMUST00000099389",115763.5,3490
"255","ENSMUST00000066689",150150,4031
"256","ENSMUST00000104912",206807.5,3760.5
"257","ENSMUST00000088648",20511,3774
"258","ENSMUST00000097040",20510,3761.5
"259","ENSMUST00000060994",20516,3772
"260","ENSMUST00000098612",101074,3897.5
"261","ENSMUST00000075768",33473,3756.5
"262","ENSMUST00000110476",25840,3674.5
"263","ENSMUST00000110452",22812.5,3667.5
"264","ENSMUST00000079251",30563,3667.5
"265","ENSMUST00000110455",23647.5,3667.5
"266","ENSMUST00000078156",21486,3675.5
"267","ENSMUST00000105106",22726.5,3667.5
"268","ENSMUST00000102982",23121.5,3696.5
"269","ENSMUST00000078267",30591,3668
"270","ENSMUST00000099703",23135.5,3669.5
"271","ENSMUST00000090781",130056,3703
"272","ENSMUST00000064229",122826.5,4054
"273","ENSMUST00000057722",36118.5,3946.5
"274","ENSMUST00000170390",44941.5,3704.5
"275","ENSMUST00000168137",167097.5,3446.5
"276","ENSMUST00000055358",37116,3577
"277","ENSMUST00000052189",122573,3921.5
"278","ENSMUST00000096582",42855.5,3958.5
"279","ENSMUST00000095978",42848.5,3958.5
"280","ENSMUST00000072100",148283.5,3830
"281","ENSMUST00000094424",35091,3832
"282","ENSMUST00000091742",26192.5,3590
"283","ENSMUST00000089430",24837,3804
"284","ENSMUST00000099198",167705.5,3574
"285","ENSMUST00000099442",85504.5,3572
"286","ENSMUST00000098625",97764,4289.5
"287","ENSMUST00000057113",27276,3605.5
"288","ENSMUST00000035939",98277.5,3780
"289","ENSMUST00000066460",21961,4058.5
"290","ENSMUST00000090782",25627,3623.5
"291","ENSMUST00000074556",90369.5,3619
"292","ENSMUST00000078422",37084,4027.5
"293","ENSMUST00000099661",110398,3898
"294","ENSMUST00000077142",117542,3282.5
"295","ENSMUST00000104942",95357,3804.5
"296","ENSMUST00000074976",28512,3656.5
"297","ENSMUST00000078756",28512,3656.5
"298","ENSMUST00000074752",25282.5,3655.5
"299","ENSMUST00000091741",23204.5,3648.5
"300","ENSMUST00000070124",51456.5,3648.5
"301","ENSMUST00000090776",28237,3648.5
"302","ENSMUST00000081342",25578.5,3648.5
"303","ENSMUST00000078369",24957,3648.5
"304","ENSMUST00000091745",25578.5,3648.5
"305","ENSMUST00000102969",34821,3648.5
"306","ENSMUST00000073261",19633.5,3648.5
"307","ENSMUST00000171127",122938,3648.5
"308","ENSMUST00000099454",138811,3929
"309","ENSMUST00000108817",98641,3641.5
"310","ENSMUST00000169612",83027.5,3287
"311","ENSMUST00000057768",82297,4071
"312","ENSMUST00000063891",54429.5,4133
"313","ENSMUST00000058298",114596.5,4093
"314","ENSMUST00000092370",33310.5,3297.5
"315","ENSMUST00000093950",200826.5,4143.5
"316","ENSMUST00000068970",24263.5,3499.5
"317","ENSMUST00000105155",24263.5,3499.5
"318","ENSMUST00000165573",24263.5,3499.5
"319","ENSMUST00000059018",75104,4017
"320","ENSMUST00000074926",41172,3382.5
"321","ENSMUST00000072306",32886.5,3382.5
"322","ENSMUST00000086764",23139.5,3854
"323","ENSMUST00000080355",24436.5,3854
"324","ENSMUST00000067972",155151.5,4488.5
"325","ENSMUST00000054018",34091.5,3810
"326","ENSMUST00000052867",24862,3640
"327","ENSMUST00000101060",124779.5,4439
"328","ENSMUST00000089614",30643,3177
"329","ENSMUST00000099266",74607,4274
"330","ENSMUST00000098658",69078.5,3556
"331","ENSMUST00000068485",168256.5,4337.5
"332","ENSMUST00000077710",78018.5,4054.5
"333","ENSMUST00000163731",30422,3514
"334","ENSMUST00000169657",68414.5,4919.5
"335","ENSMUST00000070021",103349,4114.5
"336","ENSMUST00000078326",24990,4204.5
"337","ENSMUST00000091090",66028.5,3416
"338","ENSMUST00000066157",138040.5,3593.5
"339","ENSMUST00000098355",109479,4076.5
"340","ENSMUST00000086544",35622,3927
"341","ENSMUST00000164667",61345,3085.5
"342","ENSMUST00000098843",24043,3865.5
"343","ENSMUST00000167403",49956.5,3865.5
"344","ENSMUST00000176059",90293,3865.5
"345","ENSMUST00000091752",31152,3865.5
"346","ENSMUST00000105105",61907.5,3865.5
"347","ENSMUST00000091701",26371,3877.5
"348","ENSMUST00000105107",41389,3865.5
"349","ENSMUST00000091754",24095,3877.5
"350","ENSMUST00000091703",30624,3865.5
"351","ENSMUST00000075558",49653,3865.5
"352","ENSMUST00000099704",23845.5,3877.5
"353","ENSMUST00000080859",26177,3877.5
"354","ENSMUST00000097682",23485.5,4452
"355","ENSMUST00000063563",71258.5,3839.5
"356","ENSMUST00000170499",50821.5,3867
"357","ENSMUST00000099162",145825.5,3718
"358","ENSMUST00000080170",51078,3903
"359","ENSMUST00000062683",37590.5,3483.5
"360","ENSMUST00000084653",114402.5,4459.5
"361","ENSMUST00000056140",49580.5,3956.5
"362","ENSMUST00000073853",40495.5,3507
"363","ENSMUST00000084390",66459,4117
"364","ENSMUST00000086675",58921,3951.5
"365","ENSMUST00000097466",127882,4249
"366","ENSMUST00000165499",45545,3310.5
"367","ENSMUST00000104998",45317,4824.5
"368","ENSMUST00000098110",165700.5,3973
"369","ENSMUST00000031308",142738,4186.5
"370","ENSMUST00000076791",55980.5,4314.5
"371","ENSMUST00000067018",68964,4330.5
"372","ENSMUST00000053120",51377,3760
